Feature,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2
Feature16,0.0571109052185347,-0.0155655332570909,0.046181225543528,-0.202464250786066
Feature61,-0.405085911084635,-0.269943518182564,-3.47326308114286,-2.7486310417516
Feature76,-0.297338381025371,-0.951829268336026,-1.30896053664728,-0.889429435125008
Feature77,-0.473920975649653,-0.655540316713257,0.204332735568548,-0.918776802474475
Feature82,-0.220820693158183,-0.07183499504558,0.0341073554537662,0.393477095608416
Feature98,-0.663266573297146,-0.41888568588626,-0.305509453739475,-0.375406088599604
Feature100,-0.811076532926909,-0.441558804767277,-0.369024571512438,-0.754456203361555
Feature113,-0.860757919861629,0.124772920548909,-0.713152090122842,-3.05034205103673
Feature115,-0.392533701928678,0.24402052872415,0.655777051565574,0.827998693429418
Feature118,1.35821596405895,-0.407072190116585,-2.15652644090422,-1.02282825920798
Feature120,-0.330621703565654,-1.09275505813982,1.1063415123171,0.0380790614197057
Feature124,1.14956589597532,2.83937864328954,1.509577793213,1.16316002763078
Feature126,-0.270431243364046,-0.306010739736542,-5.8302533365643,-3.51099386303233
Feature127,-0.307081216508767,-0.616016129676385,-1.0452102964417,-0.796489345383442
Feature131,-0.915343692150325,-0.350301806223091,-0.692441737816041,-2.00678840753545
Feature134,0.302834306991499,-1.01872967906522,-1.42833971344384,-5.58260471966431
Feature137,-0.412437600882242,-0.288039146414721,-0.576643229204186,-1.16236929648457
Feature138,-0.865914748127952,-0.0930539537458783,-1.05807196124739,-0.921823578462998
Feature139,0.041726149983974,-0.291963100053137,-0.124279414346686,-0.180664054383174
Feature142,-0.978609550059991,-0.373291770877039,-1.80639070494784,-1.01075437199089
Feature144,0.287425857464491,-6.14985865638977,-4.81458673211389,-9.84617870920334
Feature145,0.272505914645658,-2.92561870673155,-11.1047454574033,-4.76965172320457
Feature146,-1.50697796439578,-1.24493765478131,-22.8200392708728,-5.8012886902727
Feature150,-0.20929846286266,0.0367610397255266,0.0956714705024086,0.0377056428309215
Feature156,0.173197182764659,-0.324180949861751,-0.45145292371316,-0.633915305698872
Feature157,0.297558554845888,-0.437028312569513,-0.745533468323317,-0.486957091321877
Feature158,0.913855205937829,-17.7816576528921,-5.10518078601807,-4.76755548582118
Feature166,-0.459461153129838,-0.382625979415028,0.217419185693044,-0.584862624647336
Feature172,-1.31373817472941,-0.805753467564798,-0.181140902835252,-1.02594129699775
Feature174,-2.63652621598519,-0.354592725205732,-1.57763641999931,-1.76034371047783
Feature175,-3.73982394696446,-1.31453155036542,0.452688148721696,-1.05545754114415
Feature176,0.413906776502832,-0.230810202188003,-0.200276964511195,-0.750758840286302
Feature177,0.115713471186358,0.0419069628020896,0.410302203165003,-0.235101452194397
Feature183,-0.669787376481397,-0.338889815623391,-0.339613289232714,-0.697442468677408
Feature184,-0.546593259354758,-0.405486510797782,-0.250851386252156,-0.686071463245076
Feature185,0.402877461170402,-0.0267401472412683,0.181869418289421,0.00962033845248776
Feature186,-0.820420170386817,-0.512906035716991,-0.19601822030739,-0.505780740915855
Feature187,-0.565249750715063,-0.291537009394699,-0.197165608507171,-0.235439183598833
Feature192,0.176086023539267,-0.922822297962659,-1.00850044758378,-0.541059325202891
Feature193,-0.492597975854941,-2.52859131322982,-4.62057023199985,-2.31549295429796
Feature195,0.000661964190971323,-3.05653415834797,-4.38698443305203,-2.57148290637359
Feature200,0.198231603356536,-1.76616995730238,-0.743907492913875,-0.85212797639077
Feature202,-0.126129860257674,-0.0940566808953653,-0.0543175796432285,-0.258766502209594
Feature203,-0.0404684070103249,0.0349561132395371,-0.0140133707738835,-0.0464932702014568
Feature204,0.135845717878014,-0.168068200349564,0.112381177312199,-0.10682964784989
Feature206,-0.339630268480505,0.00433454293437404,0.703180209997286,0.409573134100896
Feature210,-0.995393908880301,-0.353494429468749,-1.64322434904979,-0.740488856837305
Feature211,-0.0199239476036344,-2.00375458621492,0.819469458082737,-2.02273343707955
Feature212,-0.218911361677592,0.201415604001195,0.498518641317134,0.556546431457067
Feature213,1.39895164898274,-0.782178600211281,-1.56905236604908,-2.44180377305575
Feature217,-0.565739712816214,0.0540969274992252,0.561376413934243,-0.550898501641159
Feature221,-0.275304407761737,-0.714903142283752,-0.474030927706671,-0.041449151933873
Feature232,-0.154733429834669,0.385936490688386,0.43918576522833,0.27726717099607
Feature235,-0.285167496246375,-0.193828602578712,0.162819195926207,-0.313431618323232
Feature237,-2.45749356590752,0.0734114704776322,1.21474085568609,-15.4652399836073
Feature241,-0.139168415998653,-0.380516897175947,-0.312702147566829,-0.417465497480266
Feature242,-0.189290251837251,-0.406447765960232,-0.207835678956131,-0.333305903053982
Feature247,-3.57730135854273,-0.398837683142278,-8.95312200524381,-1.25705672895936
Feature250,-0.35945457147695,-0.156851216116389,-0.0394518611520497,-0.366796916364887
Feature252,1.17507171613879,-0.763559247494602,-3.64417347129227,-0.856188967546027
Feature256,-0.239150749540967,-3.43352536971894,-0.418252844774877,-2.60694898426999
Feature259,0.017538711804306,-1.25216114238883,-1.60872303679508,-1.1972134206494
Feature261,-1.69335620027329,-0.259484780583852,-0.986570089693565,-1.14552846691156
Feature262,-1.40996063251765,-1.44847885129356,-1.48443253264382,-0.439615260670511
Feature263,0.665757059312524,-1.35963108401239,-2.02679649892852,-1.50405290710077
Feature265,-0.152949492452871,-0.142715755228339,-0.297880367206729,-0.8666532845635
Feature267,-0.378223467065225,-0.184238856366336,-0.916208721745006,-0.593340368252864
Feature268,-0.477635865793372,-0.240606290800046,0.297856974738652,-0.645830974351032
Feature269,-0.0152537342213396,-2.84722109996011,-3.89243640089445,-2.72051679094007
Feature270,-0.393562885839518,-0.98788466809964,-1.59247663052812,-0.97487138484988
Feature271,-0.28623797335427,-0.897901040889818,-1.36655114411384,-0.834648452489535
Feature272,-0.0986358863411431,-0.442918696503073,0.227885210511544,-0.349944170050817
Feature274,1.25209752252133,0.377489272293929,-0.00612013910906603,-0.380206094301774
Feature276,-1.06578131458156,-1.30944748499185,-1.91943904043784,-1.2049559570678
Feature277,0.13173837870732,-0.697209009537206,-1.20359755211172,-2.16121043358436
Feature279,-0.140070358635233,-0.417462513959163,-0.626503865424618,-0.467275350261151
Feature280,-2.59220443103616,-1.0598428223823,1.47158443257067,0.125601793299851
Feature283,-0.255807081809659,-0.0656275076083776,-0.654855118539147,-0.506263976649962
Feature284,-0.722149250254836,-1.32608785122889,-0.320403691514976,-0.320437810131068
Feature285,-0.581083470334467,0.40296581380262,0.526532661049882,0.108869191307978
Feature286,-1.77395092002159,-0.612479842394874,-0.18742961848044,-2.11023444495703
Feature288,0.080320467557054,0.667050600171893,0.800422898308656,-0.053781166691769
Feature289,-0.382390445819444,0.16779595493494,0.430344849395344,0.164562356981947
Feature290,-1.48717301853291,-0.89775636670436,-1.16746541749335,-1.39436343660639
Feature291,0.609985932790089,0.495747171201533,0.931270375655587,0.570164966866555
Feature300,-0.743139563705121,-0.856800680601747,0.758221368191816,-0.996179183005875
Feature306,0.260024351294347,-1.245719113182,-3.25586112856262,-1.15143750856256
Feature308,-1.11253293331085,0.861159083670543,1.27344567851021,-1.2129382902006
Feature315,-0.429523511056044,-1.96398392699946,-1.08399784030468,-0.23673828156731
Feature317,-0.466461411248073,0.359575946899183,-0.359557791176607,-2.11132775182878
Feature318,3.82948566538194,2.98147572120185,2.37568490846802,3.72723433377352
Feature319,-0.0354553012102881,-0.201759708473151,0.163354717148075,-0.298118857576206
Feature322,-0.0187181695361528,0.375078054973233,0.367069825221814,0.523235512810697
Feature325,-0.418356146935068,-0.26895738789165,0.291630280010122,-0.378575941773555
Feature326,-13.5197623865148,5.92205307939469,3.17570161776664,5.79645871532644
Feature327,-0.106740252370053,-0.0892094706529354,-1.05342241451719,0.291144981627034
Feature328,-0.163880553828189,-0.173882192906024,0.247684716347321,-0.111690572155207
Feature334,0.131681901147546,0.202160759437619,0.320668555785473,0.30471086175687
Feature335,-0.465182792456126,-0.261980292371846,0.108305299804382,-0.131087415527798
Feature340,0.361199625796965,-17.7442106519166,-3.13337231855262,0.475513797945028
Feature346,0.09298051624545,0.222974999061774,0.0929048081728689,0.0807477013029688
Feature347,-8.48469544525745,1.45810188841013,3.13277860666954,2.47811276373158
Feature348,0.521464299988975,-12.0815705880156,-7.1505977646294,-1.97461857279266
Feature355,-0.0980320959790834,0.46588611864245,0.315224588848232,-0.764548193554667
Feature357,1.2889735858787,-0.781642995973412,-5.14303450007601,-1.69283386272056
Feature358,-0.267205408647067,-0.0361965542192468,-0.00883390171137071,-0.719272249693739
Feature359,-1.42854214769575,-0.145786219328397,0.328629862322908,-0.509291008354787
Feature360,0.00762889589804051,-1.02091992526204,-12.71202498325,-1.59430643000369
Feature361,-0.585876304236093,0.125513909374603,2.35722305324046,0.307395312156143
Feature362,1.44318081069491,1.30588109533182,-2.11668576039598,-0.22366312278432
Feature368,0.664420984732418,-1.38584729651102,-2.06270425286025,-1.4994534739975
Feature372,-0.562694591495549,0.113055337753208,0.656838557076106,0.342491108225483
Feature375,1.62956323800709,0.509046601442237,0.0515532323844653,-0.620236315437377
Feature385,-1.44064644960509,-1.74189007922172,1.6073077815405,0.552786888204475
Feature386,-0.948769559517946,-0.421164711978071,1.48050697082164,0.292746379147393
Feature387,-0.989502027692594,-0.573917286442626,0.689845831522316,-0.594135133445084
Feature390,-0.609349511136619,-0.301606526154174,-3.19095599878691,-1.68108480009807
Feature391,-10.3838698264052,0.121008030407031,0.390226860926958,-2.47942562053105
Feature395,-0.199284887884027,1.21719170616807,0.594432309495795,1.65348708636104
Feature396,0.773266058141115,-0.0187204062785902,0.0704260824687564,-5.85912613720986
Feature398,1.49781519744009,0.647989530467608,0.621821546762236,-0.211980434874821
Feature402,-0.451362268462993,-0.529213777287001,0.222127795984805,-0.718827875979688
Feature411,-3.77168275445757,-0.713644185318501,-7.7124802033389,-1.7756232660982
Feature412,-3.2848836544206,-0.26748578777407,-3.26021166804865,-1.3930477693311
Feature416,-0.616672620005171,0.16338283118787,-2.72173032262173,-0.8042179748538
Feature417,0.137035144710267,-0.174289316421652,0.29242922764422,-0.814121490359814
Feature419,-0.0511669725874546,-0.245636305398785,0.302709510423686,-0.326551358595562
Feature420,0.154976713696141,0.417628148554522,0.119510265698497,0.399521561747095
Feature425,-2.59777839828709,-0.0932844374659744,0.0848781232000471,-0.0260805537889176
Feature427,0.144691229544928,-1.39304967943602,-1.77570054144251,-1.19400219007743
Feature428,0.87051363454356,-0.304830039370194,-0.461805339905404,-0.748940180877424
Feature429,-1.57889666198835,-1.61083183423757,-1.675433412265,-0.498211132619038
Feature432,-1.89989843406342,-0.998562053537153,-1.84408864272516,-0.569901011649261
Feature433,-0.022790674847118,-0.270146127935812,0.363834094274073,-0.667686328630928
Feature434,-0.195450817249364,-1.33315904544171,-1.27188521108134,-1.16071243902174
Feature435,-6.45652546648281,1.22357950899478,0.702341012653954,0.16385256181363
Feature437,1.61650401448162,-3.17075446590348,1.59019777122009,0.576841861194829
Feature439,0.608340421856779,0.840418163928232,-4.05529662561856,-1.24923819670579
Feature440,0.365074200502519,-1.73535524107594,-4.01015929420344,-0.810023498814005
Feature441,-0.659408526383531,-1.38021300838197,-2.55477880860384,-3.59859066656085
Feature445,-0.769915304538105,-1.48561607591286,-3.02799295453641,-2.47541283245587
Feature447,0.0104883510709865,0.515130951738447,0.388005198281171,-0.777209124276028
Feature448,-0.662336650256186,-0.135300169564069,-0.376765464985815,0.735113817379424
Feature454,-0.240720151313106,0.227985204102284,0.291010039573985,0.0887868054091769
Feature455,-0.0423571449447026,0.0231450778339467,0.255817924836361,0.303537457456992
Feature458,-1.3279258228186,-0.534545109734134,-2.23817351298981,-1.50449754452262
Feature460,1.18023045275652,-0.311995205501236,0.36873928947012,-0.780058046427204
Feature464,1.45580802711604,0.256621541693837,-0.0192020452834494,-0.726227829759113
Feature465,1.33767411101382,0.00294039270868156,-0.251835502129133,-1.19603620879717
Feature471,0.0129227049729971,-0.291583518187605,-3.61011455174283,-1.34672645053694
Feature472,0.174376019192557,-0.202442750834944,0.521245254986287,-0.0866620481646462
Feature477,-1.82613733757372,0.0454424059072304,1.29559686816388,1.22239640216068
Feature479,-0.223294220601498,0.452763073834213,0.84078120414088,0.655121606722846
Feature486,-0.158329468345636,-0.654405937111914,-0.0215986198348227,-0.945017885829008
Feature487,-0.168046872960556,-0.453618381798226,-0.310179885767008,-0.0553277966837048
Feature491,-0.166364616510266,-0.192196023851122,0.252575068329714,-0.551551327698256
Feature493,-0.592616401325047,-0.391264801692308,0.680684469642287,-0.113092854566834
Feature495,0.154572557802631,-1.64739826583184,1.15905660212295,0.198441340939062
Feature496,0.492350321015355,0.0342404464102832,0.848573628519561,-1.46083033789552
Feature497,-0.460976437343302,-0.594240018894416,0.275202743335294,-0.823454659300984
Feature499,-2.88153688251346,0.333664010635863,-0.0810482667461752,-0.499332029124006
Feature510,-0.332472255964272,-0.454218939356141,-0.407981956829899,-0.558889265576553
Feature515,0.0324140758630429,1.25237426635439,2.06693317442519,1.35161429987315
Feature516,-0.103816075591456,-0.120340956213469,0.192818249015025,-0.317235734043598
Feature522,0.572532335232627,-0.0362178908666549,0.831971672441921,-1.59707549189084
Feature523,0.562948715821996,-0.00244765990241973,0.866745019544918,-1.66551155710908
Feature524,-2.07668112523357,0.208419133617453,0.947247858528376,-3.56502482870238
Feature531,1.19031630722974,-0.310425765635291,-1.0384593902119,-1.2342987903638
Feature533,-0.0924894731897705,-0.361076776138906,0.142529734195053,-0.898080431471019
Feature534,0.00109663341274102,-0.169682538738135,0.0569780408398517,-0.671353525850821
Feature535,0.254518355817372,-0.522684140498442,-1.36262491659417,-0.632096527850993
Feature536,0.112094210813503,-0.150246477556049,-0.347917196792392,-0.403611714311115
Feature537,1.35289766659011,0.493818071939222,-0.0221657671693152,-0.403984757169213
Feature540,0.136226741605679,0.0568041124690968,0.423406788596883,0.227833640793995
Feature550,0.0625839561633204,-0.588138622426966,-0.385836772660952,-0.739842481862486
Feature558,0.00860152288937219,0.537898851867549,0.928945481111687,0.99113314481305
Feature560,0.960889847048889,-0.287198773923225,-0.160563598606746,-2.8145277357415
Feature563,-0.0538123716758796,-0.442058020398534,-0.357485031664913,-0.549650013657554
Feature564,-0.120327887011831,-0.11373029964434,0.754294094322361,0.0195789327785417
Feature567,-0.394707702634731,-0.57940133086154,-0.29416101841995,-1.16293727260647
Feature569,-0.930202421385765,0.251681275578296,-0.788730190493451,-3.85285280845435
Feature576,1.2224957854271,0.168299694798707,-0.418814052591666,-6.15285094313104
Feature578,-0.392618054602153,0.183860128364317,0.705003263551298,0.692725431333605
Feature580,-0.074034006132443,-0.25649788897353,0.424909329244687,-0.617687789616482
Feature581,-0.361219971537396,0.0121185927531735,0.392743778654545,-0.0289329887450238
Feature583,-0.849305715009266,-0.247919528498675,1.60969511693808,-0.682009090194437
Feature584,-1.09756252332661,-0.29738984704422,1.56279676987135,0.222671421777699
Feature586,-0.710471097751664,-0.271771348055712,0.380858732489545,-0.107403081248381
Feature587,-0.34668248186358,-0.0788350271979769,0.124388625736953,0.132757450319987
Feature588,0.2718022724777,0.378445900775942,0.710044629360074,-0.752949110630759
Feature590,0.0900710547154814,-0.224370403386012,0.753705424124426,-1.71469150687825
Feature599,1.71964520966186,-9.32620651752958,-18.046255325521,-12.0948328022214
Feature600,0.15812133848278,-1.12935040726552,-1.50663741027293,-2.65218390430466
