Feature,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2
Feature75,-0.231737900206455,0.118750202410259,-0.795119991126527,-0.094468433453042
Feature163,0.298896549314395,0.596760039446904,-0.174926914197113,0.523470948065529
Feature169,-0.356710318737845,-0.131062859362093,0.314510242242188,0.302937372937565
Feature215,-1.97010983382594,-0.07802634731563,-2.41599521614752,-2.33998053064692
Feature232,0.0373999720702545,-0.074443691638601,0.113227761595036,0.0466985247546309
Feature250,-0.562114490814893,-4.59369201714604,-1.53662493556388,-3.64184073652736
Feature264,-0.130743391224527,-0.147459893934633,0.606644858761455,0.523821873006694
Feature265,0.0615256053340228,0.659976861053178,0.125571944900308,0.976341516832284
Feature273,-0.93450234124528,-0.376527420247876,-0.461578938405471,-0.32544572340159
Feature281,-0.713697753144643,-3.71383873809224,-1.59059651512268,-0.958817146090727
Feature282,-0.733124780765257,-3.30451633038453,-3.30227308563672,-1.57522560263652
Feature287,-0.430643252701083,0.161098639291018,0.0754919934568329,0.0925649899229261
Feature288,-0.436701173515582,-0.182451983866304,0.162354956509274,0.199484440112819
Feature333,-0.85360973076596,0.375602533321413,0.654337945309364,0.433286842538837
Feature336,0.269607702783838,0.341293995041066,1.49111020540901,1.60066845533405
Feature352,-0.185733981038661,-3.59317602247461,-19.4143699439108,-6.4236292659923
Feature358,-0.255460392890464,0.0920145524135946,-0.0769723661145711,0.566800584610126
Feature359,-1.827437920624,-6.37092282230584,-2.42633317729488,-2.05433731114612
Feature374,-2.60259459425564,-0.676451822159149,0.376565547954584,-0.512790152495993
Feature384,-0.299715542403259,-0.0371329945324714,-0.523955367142554,0.843098844467113
Feature397,-0.342371731838626,-0.278224869368031,-0.143284090969405,0.0442643670630268
Feature400,-0.200804664549185,0.346508812897966,-0.799696284336936,-0.679176097150475
Feature406,-0.326896105852795,-3.1743118116896,-3.74082505864921,-2.0890889480628
Feature410,-0.507146159627168,-0.977049317398819,-1.25136747900624,-0.323404748915827
Feature414,-0.453106818300574,-0.246403456482947,-0.310575567380484,0.115309788201322
Feature428,-0.137193286411462,-10.6784612688589,-5.45191796864492,1.4599376407113
Feature441,-0.303651320303235,0.0236114973568,-0.563111777017175,0.320823038680955
Feature453,-0.970033602563297,-0.31746159377657,-0.100968929355209,-0.409473024373972
Feature454,-0.993594391200265,-0.400240114783073,-0.0695227221598633,-0.351573696142596
Feature455,-0.192540227448647,-1.54887024336464,-1.53588459353717,-1.63243449998214
Feature472,0.771548054902126,0.976117182413912,0.957403394067014,1.33680068888013
Feature481,6.21676370131454,3.43375544117955,6.06667127563251,7.09282362443436
Feature483,-0.0131218614546924,0.734365437220041,0.562729539616248,1.76142678879425
Feature488,-1.17590602050347,-5.3920471755736,-5.38820199301649,-4.03204249841432
Feature494,-0.404592042518807,-4.20572117473765,-3.25864083362244,0.64354204924004
Feature497,-0.414576430953441,-0.673477414244534,-0.866634622756878,-0.30219034571424
Feature507,0.271006522692734,0.071801735834173,0.0735566094505093,-0.30009276439732
Feature513,0.440830689586487,-0.260373169103789,-1.63907150460558,-1.37382184575651
