Feature,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2
Feature75,-0.232671062405388,0.114447308907418,-0.789109143128151,-0.0980107396645522
Feature116,-0.634468722192087,-0.0490750420200925,0.626902663996706,0.281876254655372
Feature167,-0.242743048028512,-0.434673501752496,-0.0771864089343115,0.125236340386658
Feature168,-0.292295351436642,0.190171565675529,0.461530625067626,0.19598752108499
Feature169,-0.356332216349278,-0.132287866885466,0.301926034424008,0.300112792688928
Feature171,-0.0905536966055558,0.949358511085371,1.77798846251387,1.71655632244567
Feature207,0.0574964635846358,0.682525302519495,0.447628696418776,0.290859813284298
Feature209,-0.021008579374275,0.0705179950592355,-0.0302865497349527,0.0402781754931196
Feature215,-1.94094012017644,-0.0697617632564665,-2.39611438852958,-2.32707044619545
Feature232,0.0389111040191676,-0.0713289244662448,0.110733918980194,0.051549641361493
Feature263,0.0240417743203649,-0.424408515687084,0.00973096346467211,0.116529662666264
Feature265,0.0547349520925935,0.645011021521313,0.116366825635181,0.959363246185914
Feature273,-0.923107126663308,-0.373543773838448,-0.454728390578019,-0.32328973274285
Feature281,-0.73989360854604,-3.27810883217688,-1.59087438982776,-0.963090055766141
Feature282,-0.722139331471615,-3.06669892267886,-4.76391030606433,-1.55804008970644
Feature287,-0.437605807964742,0.161717077059021,0.0767968562704493,0.0873772814370231
Feature289,-0.435890350650723,-0.183369779149603,0.16059013590701,0.19815051788731
Feature301,-4.22943453790244,-0.067421320729935,3.318756176961,3.99186059602965
Feature332,-0.844110675791822,0.366718486453644,0.643993723509966,0.425415282300097
Feature336,0.265301385968905,0.334944714751333,1.48292535986472,1.59140768034866
Feature352,-0.179356956485584,-3.38251635857741,-4.7902871653321,-7.29350819254193
Feature357,-1.78942107573427,-6.65605778764687,-2.38842099457303,-2.01284029340407
Feature359,-0.255477089341812,0.0882602158941227,-0.0792064792081312,0.563090568307986
Feature375,-3.13777015058996,-0.667180528158403,0.380056469211923,-0.501094275630652
Feature385,-0.297807810434738,-0.0372881112229853,-0.520798684079126,0.837751496111202
Feature387,-0.360842793176103,1.5201577256341,-0.371158284881057,1.85947470042541
Feature388,4.1829819076279,-28.8136863058798,0.324130257541498,-7.58069889352755
Feature392,-2.45990611352385,-3.1282702926165,0.899043773075518,-5.35779908182627
Feature398,-0.336153270656993,-0.273965200317605,-0.144827361514349,0.0409435671899137
Feature399,-0.462619735718374,-0.466288137712922,0.0440442561206176,-0.0477710987675917
Feature401,-0.196132598579055,0.348451568643162,-0.790181794728895,-0.675934981006052
Feature407,-0.327153036821195,-4.87605953458511,-3.53472876846498,-2.07564184149036
Feature411,-0.5060504762735,-0.973685608724649,-1.24698707283565,-0.324363671094748
Feature425,-1.23133640860316,-0.565237476992817,-0.702239144722673,-0.463491150964335
Feature429,-0.127919030169091,-3.78715388408183,-5.77429661641138,1.46173074413481
Feature442,-0.307656579030389,0.0276227621627879,-0.562862354464999,0.315903942409387
Feature454,-0.967616237272082,-0.3163166213042,-0.099269306159225,-0.407762975266327
Feature455,-0.990078736140976,-0.400434968702329,-0.0696305433125492,-0.351831457198855
