Feature,Sample1,Sample2,Sample3,Sample5,Sample6,Sample7,Sample8,Sample9,Sample11,Sample12,Sample13,Sample14,Sample15,Sample17,Sample18,Sample19,Sample20,Sample21,Sample23,Sample24,Sample25,Sample26,Sample27,Sample29,Sample30,Sample49,Sample50,Sample51,Sample52,Sample54
Feature178,4763.8896,0,0,0,1821.5585,2455.6433,3416.1477,1152.0404,0,0,0,2001.8359,0,0,1813.9695,0,0,0,0,0,0,0,0,0,1263.9385,0,0,0,0,0
Feature180,2909.4656,1291.5045,0,1991.2305,0,2467.1006,0,1794.3324,1802.3777,1235.3708,1382.6692,1622.1138,1720.8615,0,1850.3422,2931.6118,2188.8557,2502.3877,2483.352,0,2701.185,0,1333.6102,0,0,0,0,932.29474,0,0
Feature185,62835.977,62676.855,58793.816,74457,29457.6,32603.914,20627.617,29974.412,35559.64,24746.4,43559.383,30592.875,51464.5,38190,35232.543,41642.785,39977.22,38263.344,34097.21,42355.51,16263.287,29505.572,31120.977,42809.06,24066.346,0,0,0,0,0
Feature186,71513.68,70283.54,68779.13,79151.2,29431.072,48096.1,29463.053,39751.043,38325.156,24455.932,45791.074,33475.977,50208.59,39696.15,34913.52,52115.984,48100.91,47622.457,39946.527,48813.22,18748.365,33023.605,33612.86,43674.914,29195.18,0,0,0,0,0
Feature187,9030.085,12434.013,14385.737,11436.116,14692.18,18118.299,15668.937,26102.22,15166.041,18073.125,11308.231,10719.997,10732.01,11937.321,15280.111,14060.365,16050.979,14108.48,14882.148,14206.041,20816.045,9705.747,13804.565,14155.717,7213.3687,0,0,0,0,0
Feature188,651856.06,638741.6,621129.9,678389.4,301376.88,451629.56,202954.77,440761.03,330433.53,234047.06,437964.5,355412.03,469710.72,451993.22,370848.7,542715.8,431579.34,513535.4,420861.47,387744.5,418794.94,458951.47,384485.84,534663.6,411583.75,0,0,0,0,0
Feature194,19516.443,18782.332,48433.953,19751.39,85996.32,53409.49,34645.09,68308.74,56058.45,10137.489,10415.182,17547.592,13074.479,14600.958,8610.363,13019.35,13465.156,11550.786,9356.652,10330.694,33640.582,28567.523,18829.17,14586.008,7619.016,0,0,0,0,0
Feature195,2595.408,974.9238,5249.784,1553.9518,4646.8525,2720.3406,1290.2893,2623.24,3927.844,0,0,0,0,1198.134,0,0,0,0,0,0,821.9662,0,372.6826,0,0,0,0,0,0,0
Feature197,2324.7964,0,5552.554,0,2773.1558,4603.065,0,3136.097,2418.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature200,3329.5542,3404.4443,3952.2937,3723.647,4771.9985,6498.5713,3876.765,3772.91,4831.1914,3311.1694,3710.3145,2807.6372,2719.2637,4011.321,3129.729,5171.891,3974.113,4465.2695,3824.5261,3935.9277,3494.5408,2887.592,3565.072,3710.2256,3563.5947,0,0,0,0,0
Feature201,3484.5596,3069.5938,3476.6375,3450.4666,3495.2415,3229.977,2526.784,3218.6042,3864.2407,3575.9185,3937.362,2678.7937,3194.7444,4702.2485,3361.1877,3365.6143,3793.4048,3928.016,2378.036,3555.2646,3662.6335,2819.4915,3296.9392,3339.657,3139.8132,1257.5647,2225.158,0,973.0044,1894.3751
Feature203,3378.5251,3088.7632,3272.4302,3161.389,3275.733,3088.414,2221.9048,2828.117,3435.1387,2804.3142,3506.862,2511.2563,2519.6587,3985.3662,2547.1777,3236.9167,3471.689,3783.4617,2166.5386,2961.4404,2663.7842,0,2777.5562,2931.4548,2513.0552,0,1662.5657,0,0,0
Feature205,3005.1746,2498.268,3800.0884,0,5517.587,6522.355,3805.112,3066.6768,4471.734,0,0,0,0,0,0,3320.0042,0,0,0,0,0,0,2157.2969,0,0,0,0,0,0,0
