Feature,Sample1,Sample2,Sample3,Sample5,Sample6,Sample7,Sample8,Sample9,Sample11,Sample12,Sample13,Sample14,Sample15,Sample17,Sample18,Sample19,Sample20,Sample21,Sample23,Sample24,Sample25,Sample26,Sample27,Sample29,Sample30,Sample49,Sample50,Sample51,Sample52,Sample54
Feature361,5907.3403,3160.6006,0,5057.53,1678.1984,2968.8425,1587.8158,1966.3921,3130.3477,958.2385,3519.2349,2370.1646,2943.1108,2398.9446,1470.0599,5132.0195,3332.9114,3307.4158,2703.088,0,4273.188,2184.954,954.9882,0,0,0,0,0,0,0
Feature362,1276.3766,1194.9376,1430.8981,2798.0715,842.3504,0,0,471.50308,508.42383,352.67993,1513.1547,1321.533,841.2617,1411.6442,1047.044,2097.9033,2941.5999,2172.9463,2008.705,972.41626,665.49304,1247.8441,1823.9158,998.70386,0,0,0,0,0,0
Feature363,3758.0671,3523.9573,6520.5674,0,10522.0625,8159.339,3443.4224,4672.8125,6785.7344,0,2458.678,2563.2937,1426.6803,0,0,0,0,0,0,0,2889.2275,0,0,0,0,0,0,0,0,0
Feature364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529.8931,1582.1677,3527.0022,1718.177,1825.6852,0,0,0,0,0,0,0,0,0,0
Feature365,0,0,1927.5046,0,0,1823.4554,766.19366,0,6497.8735,2297.749,1094.3658,870.3772,0,1960.5503,5594.559,0,0,0,0,0,1187.2678,0,0,0,0,0,0,0,0,0
Feature372,51594.68,45040.023,59189.23,51681.3,25675.346,75742.54,55765.582,76044.11,55066.51,27253.271,28031.064,22831.26,27973.906,29529.318,25901.4,0,26976.918,23657.672,0,0,0,13391.843,18581.488,31552.748,7529.972,0,0,0,0,0
Feature374,5270.9526,0,27786.049,2797.8367,19443.758,0,5503.659,15121.521,19166.059,4289.8784,0,2667.305,0,3443.3274,2003.154,0,0,0,0,1826.2848,5261.4053,1210.2637,0,1711.0325,0,0,0,0,0,0
Feature376,0,0,7464.916,0,6627.2354,0,2110.8943,0,0,0,0,0,0,1831.8441,0,0,0,0,0,1606.7695,0,1342.3059,0,1685.402,765.07,0,0,0,0,0
Feature377,0,0,0,1306.282,0,0,0,0,0,0,749.3759,0,0,0,880.568,1075.4673,1184.0642,1002.1944,1093.0746,686.20483,0,0,1058.7838,965.4672,865.41254,0,0,0,0,0
Feature381,39908.61,636.96844,0,0,6140.406,15988.627,23378.828,5143.5493,5199.524,3140.5435,1448.1998,8496.15,824.8074,1956.9762,5985.1025,12548.563,605.42255,0,5070.4565,1269.9584,1563.3732,1056.6036,0,0,5840.7544,0,0,0,0,0
Feature390,824.3714,0,0,694.8933,0,0,654.48016,920.1388,0,0,834.4332,782.79205,1083.3174,699.36053,0,0,0,999.9961,0,0,736.3353,869.4951,752.6458,991.26385,0,0,0,0,0,0
Feature392,415.1623,388.8546,0,581.51935,0,0,0,0,0,0,0,0,0,0,0,1248.382,1906.127,2078.4128,1704.1278,1679.6421,978.9693,424.50073,549.1431,0,1232.6843,0,0,0,0,0
Feature393,4593.1357,7358.757,5866.346,6237.315,5012.4565,2727.0796,1696.1263,2701.4514,2752.5383,1603.8218,3293.1423,3735.0244,4584.617,3730.4993,3625.1396,21215.564,39549.145,17297.695,25334.873,27690.312,15711.581,7036.7695,5626.739,2671.8372,16166.434,0,0,0,0,0
Feature394,3672.7434,6557.0947,7724.805,5135.476,4757.909,4380.792,777.0708,1878.4344,2732.6252,1842.594,2664.5107,2320.53,2461.9224,3559.5115,4744.862,7841.5586,14744.068,7602.641,9671.773,16834.576,4506.047,2551.6082,2623.679,1844.7854,4180.924,0,0,0,391.5963,0
Feature396,3167.715,6118.0435,4869.6616,4528.139,1280.0433,2691.3918,1019.27716,2261.4724,2542.8948,1646.9418,1450.9103,3298.126,1829.6951,3959.1714,3476.4375,0,0,4111.834,0,0,0,1298.9377,0,3069.5764,0,0,5036.8955,0,0,0
Feature397,3320.5635,2492.701,0,4865.6807,0,0,0,0,0,0,0,2667.0872,0,6712.814,3796.9346,4335.182,4843.505,6981.787,0,2647.9714,0,0,0,0,0,0,0,0,0,0
Feature401,0,0,0,4055.824,1424.3696,0,7529.8096,0,0,0,8181.552,8259.995,9347.933,0,0,4153.9077,0,5655.7666,2118.691,0,7342.7827,6516.148,5308.605,3090.2178,5498.569,0,0,0,0,0
Feature409,41199.65,1182.028,0,0,14718.698,21048.492,24271.94,12129.346,5105.4316,6598.915,5590.446,10037.35,1065.3774,3307.7107,16334.127,26806.938,8727.912,0,9614.283,2454.8735,5684.5806,3981.4194,0,0,12407.289,0,0,0,0,0
Feature410,5805.063,2513.3745,3688.0703,7157.218,3358.5989,1434.6052,1680.8365,4528.3306,4116.378,3136.201,942.6384,2941.9375,0,10340.783,5456.3223,5104.1016,6637.062,8654.846,3197.0632,4100.7534,0,0,5189.8013,6289.955,3245.9932,0,0,0,0,0
Feature417,16877.766,21168.834,13382.824,21705.066,0,0,0,0,0,0,5690.8125,10095.579,5931.233,0,10208.779,0,0,0,0,0,0,4311.914,0,0,0,0,0,0,0,0
Feature420,11461.9375,14561.347,10084.804,18865.795,0,0,0,0,0,0,5725.7173,9422.186,6569.1313,9385.809,8611.336,0,0,0,0,0,0,4186.2544,0,0,0,0,0,0,0,0
Feature421,0,0,0,0,15319.998,0,11163.528,0,0,0,0,10908.808,0,0,0,14537.002,11384.557,12989.114,0,0,0,0,0,0,0,0,0,0,0,0
Feature425,2210.8987,1270.6862,2202.0068,2095.4114,587.0226,1313.3549,0,0,1541.2158,1124.5929,1782.4755,1330.4355,1220.976,2244.148,2796.322,0,0,0,0,0,0,681.0912,1061.0059,1354.9321,0,0,0,0,0,0
Feature429,5570.3975,0,0,5545.293,0,0,3330.253,5318.553,5812.006,0,2846.1116,6004.494,5506.9346,6681.0923,0,6522.886,0,7554.6846,0,0,2942.5874,3235.3403,5847.772,5732.5674,3365.8938,0,0,0,0,0
Feature443,15573.09,14515.736,12846.379,16518.041,4089.796,2803.6184,1091.4746,1864.3289,2521.1602,1101.2406,4706.2725,3386.0513,3641.9822,5190.6216,4372.5215,1703.5962,2475.416,1622.5317,2084.27,1427.3265,4966.0728,5900.0933,6842.326,7023.169,8073.9824,0,0,0,0,0
Feature444,1145.9365,898.75653,0,849.142,0,1038.959,0,529.1191,824.4392,635.2156,0,1051.0762,0,0,788.5314,1279.1809,1178.0365,1342.368,873.13666,0,0,0,697.2039,0,0,432.12793,0,0,0,0
Feature446,12722.285,0,10719.297,5617.409,0,0,1727.7716,3435.203,0,0,4108.346,0,3371.7188,17042.395,12162.116,3811.366,2237.4683,4850.5947,1047.6938,2182.6934,4927.52,0,841.2948,1430.8807,3021.811,0,0,0,0,0
Feature449,50562.254,6860.6787,0,20827.629,0,0,0,15523.829,37356.918,7410.7407,0,11679.552,9750.007,57152.184,0,0,5235.271,12093.286,0,0,16201.975,0,0,0,10783.269,0,0,0,0,0
Feature450,1355.296,638.5116,2406.018,0,0,1929.4166,0,0,6166.2705,2364.153,1450.1688,1210.7635,0,2512.7913,6212.619,0,0,0,0,0,0,0,0,0,618.7754,0,0,0,0,0
Feature451,0,0,2585.0852,763.692,3234.312,3036.3765,599.1053,991.52203,4213.068,0,0,0,0,457.6599,0,0,0,0,0,0,2104.1494,604.1776,0,0,0,0,0,0,0,0
Feature455,4288.2275,2607.575,6894.868,4951.008,1765.2802,6142.694,1029.8094,1249.4186,6735.9434,580.1158,828.5899,1084.3038,789.33624,995.5016,1109.5559,0,0,0,623.1012,0,0,0,0,0,0,0,0,0,0,0
Feature459,16218.106,12060.103,35498.58,10335.156,20761.932,11369.777,4407.947,8897.805,18923.305,2007.7626,1059.8395,2610.2395,614.76074,1626.2917,645.405,929.295,607.06274,0,601.26965,0,503.5458,0,1992.44,1129.7758,870.914,0,0,0,0,0
Feature460,16644.904,10385.859,27574.492,21707.771,10643.462,10073.064,3941.1633,7624.2544,29463.262,2633.0781,2842.7668,3497.6958,3071.3616,5843.9106,3671.2607,1370.0969,951.51276,690.4475,899.2411,378.04675,1688.1926,422.77905,2043.3916,2180.339,1501.5923,0,0,0,0,0
Feature461,2127.8433,1949.8246,0,2867.9822,0,1697.5417,0,2254.287,1901.3314,892.0799,3796.5002,2681.8293,3223.6252,0,2074.986,2087.1987,3486.2212,1941.3916,2610.4624,0,1253.3613,0,815.2191,0,0,0,0,0,0,0
Feature464,2502.3467,2682.403,2170.3906,2719.806,3236.9182,2330.2473,2559.245,2064.976,2341.7224,2420.9453,1083.0837,2872.948,1868.3851,3250.318,2954.8835,3290.1633,3073.452,3280.6868,2511.8135,2797.8484,0,1401.0602,2657.3137,2851.1497,2040.0911,3119.885,0,1000.3773,2540.7905,0
Feature465,20900.746,16788,26331.314,21046.012,15830.045,34383.746,24594.857,39044.176,34909.27,19810.36,12237.565,12207.113,12236.587,18855.613,20874.691,13255.043,22624.672,25221.605,7599.0337,10759.631,10806.322,10595.588,11639.203,16033.003,7810.4575,0,0,0,0,0
Feature467,2446.7615,1475.0884,1424.4767,2181.702,1103.1267,1623.8308,1057.7101,1303.5374,1163.146,1446.6133,1687.1058,1747.3071,2923.3933,2490.3118,1778.1475,2173.6892,2131.9314,2922.1975,1832.4692,2187.507,1654.0317,1643.9569,1966.7842,2100.0964,1785.1156,2526.8696,1463.6777,1213.887,1207.476,864.46
Feature468,6530.927,3496.8782,5604.3867,5298.0117,4932.145,6033.6196,3239.3098,5151.479,5582.645,4753.625,5630.3574,3885.8413,6724.06,5585.964,4569.131,6619.5513,7000.6294,7224.7217,4937.976,7271.7793,8157.562,6731.399,5124.4136,6938.2056,7707.6636,5648.755,4361.638,4352.0825,3489.5388,3824.6594
Feature471,0,11336.961,7493.235,9889.588,1964.1982,1809.3165,0,1953.9152,1487.7588,0,1739.99,3086.6528,2179.614,2622.244,2626.4993,1031.1592,0,0,0,0,0,3007.423,0,1596.8876,0,0,0,0,0,0
Feature477,11268.825,0,0,0,1842.0746,5092.726,8583.027,1674.464,1566.3229,1174.2927,542.6758,3089.88,0,604.4618,1911.1615,4103.5522,0,0,1698.5964,460.7163,564.59845,0,0,0,2147.6174,0,0,0,0,0
Feature479,9272.268,0,0,0,1162.5153,3718.335,6188.4746,0,1034.4794,785.9657,0,2339.244,0,434.28662,1484.264,3262.0933,0,0,1239.6415,0,0,0,0,0,1628.919,0,0,0,0,0
Feature482,0,0,871.7089,733.89417,3034.49,0,2917.1392,1083.4692,784.00946,0,0,1549.7786,0,1710.5903,0,0,0,0,0,0,0,0,553.0288,0,0,0,0,0,0,0
Feature485,1547.0782,0,1049.5045,987.6287,1402.3274,1347.8899,1063.4547,1320.8293,1217.6547,699.52655,0,963.9117,743.18933,1291.08,945.0189,1626.7372,1599.0812,1671.4912,1461.2715,1353.4396,820.89813,405.5725,1110.5411,1245.6887,999.5946,856.93207,1104.8324,0,0,1204.2854
Feature490,1923.4243,1840.958,939.8636,1728.493,0,0,0,0,0,0,1382.244,871.6151,1783.8033,1506.0974,1717.618,5128.2344,5748.26,5116.8926,5144.9487,5665.0356,2482.1072,2231.5754,3820.818,5018.111,4293.3403,0,0,0,0,0
Feature492,2691.827,2475.8318,0,2952.394,0,0,1436.4392,2320.977,0,2254.6282,792.9338,1724.1365,2983.859,3443.2832,3376.0845,2589.1174,3202.0396,2982.7512,4422.523,3194.1582,0,2138.7317,5814.4624,4663.4033,3832.8833,0,0,472.68588,0,2371.148
Feature499,2564.803,1462.8817,3520.4207,2216.8308,0,0,0,3007.3718,2946.1443,1635.834,0,0,0,2630.1782,2025.1633,0,2216.1917,0,2397.3298,1528.6226,0,0,4189.6367,3476.9873,1610.8448,0,0,0,0,0
Feature505,3909.7703,2880.4177,2229.6565,2953.2087,4025.669,3844.5574,4132.8286,2439.7773,2397.5903,1447.6733,1489.5801,4231.803,2220.984,3477.7656,2457.1245,5647.972,4708.9116,4697.3223,3077.9265,2742.8286,1182.7195,1448.564,2395.7676,2337.4934,2098.599,1329.2284,2566.1646,416.73868,1017.25824,3155.9626
Feature507,1474.7896,1216.3701,1858.588,1941.3512,1020.3975,1042.4077,0,995.89465,1188.2089,636.9228,793.5016,764.0227,859.88055,1376.3184,1586.1058,2783.4373,3307.8638,2759.5742,2533.221,2866.102,1671.2937,1122.9646,1487.6671,977.0436,1331.3368,0,0,0,0,0
Feature511,6878.133,4704.9116,4483.4517,8979.105,3916.8354,0,2058.092,5517.7573,0,6005.8467,973.81506,4341.376,0,12534.179,7757.2705,6721.996,0,11222.733,5221.9077,5795.4766,0,0,7632.8423,0,3737.9617,0,0,0,0,2235.9128
Feature526,6411.5654,2166.4126,4900.374,3400.548,3072.3135,4957.7627,7068.7197,0,6268.699,0,2228.714,3690.303,0,5318.435,2178.773,3624.9087,2885.269,2920.146,3858.6892,0,4325.648,2410.9922,1197.126,0,4550.0356,0,0,0,0,1456.3715
Feature530,0,0,0,0,0,0,0,0,0,0,0,0,2547.2588,2548.9941,2797.5498,3619.6404,4885.711,4910.663,4869.3105,5216.932,2063.6355,2504.2258,3202.4846,2235.3542,1866.4902,0,0,0,0,0
Feature535,6094.444,9169.25,4962.4233,7711.8623,1584.4037,2030.6237,950.51044,0,1197.4954,1062.6746,4342.824,2872.9275,0,2591.4282,2275.083,4567.3594,3012.7354,3429.497,3650.0327,2678.0737,1156.4712,1954.0076,3529.9436,4563.9326,1948.2053,0,0,0,0,0
Feature541,0,0,0,1321.275,0,0,0,0,0,0,0,2268.212,0,0,0,2852.0037,2335.356,2750.9163,0,0,0,0,0,0,0,0,0,0,0,0
Feature547,33804.492,14406.357,0,31037.783,0,111444.9,0,29130.207,134964.4,16951.012,5374.2754,21598.762,3443.4536,0,13672.201,3524.74,3896.2488,3791.5642,3537.46,0,15050.861,0,4239.4585,0,0,0,0,0,0,0
Feature550,6684.3335,3090.5376,3145.6353,5323.015,7032.3057,4651.7056,8777.49,4859.0728,5339.664,2315.001,1926.1205,9030.939,2927.237,6236.303,3306.1882,8082.0903,5552.464,8249.091,3166.088,2754.395,1834.954,1785.9852,4010.91,3048.8462,2147.892,2194.0732,4088.5476,935.6951,1754.3068,4561.9
Feature551,1957.7227,0,0,0,1455.6862,892.9231,0,0,882.0977,0,0,0,0,0,0,1349.4208,953.85547,0,953.4498,0,0,1182.5914,0,835.14056,0,0,0,0,0,0
Feature552,4188.643,2007.8774,9622.969,5081.458,10356.614,14960.6045,4462.3843,7283.339,19598.877,1609.4392,1845.6343,6306.689,2003.5095,4565.176,2969.75,1635.9077,1771.4578,1307.7526,1153.4309,1135.8496,10411.968,5372.2495,1188.6158,1728.1495,1618.4814,0,0,0,0,0
Feature553,4546.4478,3204.8938,5330.6753,1756.3684,16062.566,5261.5312,5688.8447,5523.5527,5261.9604,4379.386,5096.6616,2407.039,3470.8818,4026.8857,5989.4946,2255.7065,4145.1597,3791.7847,2859.8926,3802.5645,3533.9985,2973.7227,2632.9634,4959.367,2110.809,0,0,2715.2715,0,0
Feature554,28756.338,0,0,0,3874.6465,10667.524,21640.762,3693.7852,3735.8071,2368.576,1542.8932,7873.9336,1121.8328,1814.7505,4222.468,10201.633,0,0,4061.8667,1058.2378,1441.9678,1163.8824,0,0,5007.1553,0,0,0,0,0
Feature558,3318.5752,4990.1494,3237.4375,3348.733,3957.7314,4812.3438,4708.6196,3957.2458,3118.0889,5048.0474,4925.103,4422.067,4149.625,2807.4797,3752.2485,5710.83,5429.6484,4587.9243,7642.919,5420.9873,5378.1753,4921.249,4262.3276,5609.4053,3529.0486,0,0,0,0,0
Feature559,0,0,0,0,4464.019,0,3349.9648,0,0,4509.9014,6368.958,6180.2407,5899.146,4337.4995,4579.969,6824.172,0,0,7768.936,6254.4917,6258.012,0,0,6857.093,6508.1035,0,0,0,0,0
Feature562,0,814.1477,0,813.9962,0,0,0,0,0,0,0,0,0,2220.654,826.57184,1256.9606,1420.6833,1661.3704,1635.5317,981.2392,0,658.13806,0,678.3805,0,0,0,0,0,0
Feature565,8566.05,16317.283,6855.898,20714.824,1229.9108,1486.8986,730.6297,1816.5527,2126.2441,1289.2397,7474.3325,7511.718,8730.163,8682.528,10437.874,803.8572,923.5835,900.0862,1024.2068,592.3471,0,5494.0234,0,1085.3972,0,0,0,0,0,0
Feature568,9313.764,0,10148.571,0,11382.981,26008.193,8209.155,8455.521,14070.167,0,2958.1113,3530.0667,0,10587.694,9126.281,7494.795,0,4057.1702,0,4799.62,2767.716,7234.344,0,3365.968,0,0,0,0,0,0
Feature570,25426.188,19527.398,36728.6,24908.18,15251.805,44159.535,22302.547,33561.1,32450.818,12696.004,13507.767,11584.8955,15338.808,14546.244,13190.542,14617.847,16964.502,15801.477,10824.115,14284.89,17814.854,16907.43,12172.461,14781.137,11484.897,0,0,0,0,0
Feature578,23415.191,20540.236,23316.549,27477.314,21012.865,22161.53,15910.025,21747.266,21904.746,19545.973,30072.414,22815.44,33863.67,38770.06,37398.73,54695.516,53229.1,55379.12,45006.168,52226.61,53282.35,37686.863,39971.203,47883.742,57332.004,41087.78,17830.076,16892.479,12571.647,13909.552
Feature584,3946.938,1994.1584,3886.5056,3837.935,3707.615,4858.714,1927.5529,2633.4226,4499.2036,2982.6519,3120.4626,1509.514,0,3161.402,2836.8647,2404.9082,2199.9973,2190.6233,2600.6814,2589.415,2240.308,0,2164.4644,2373.9749,2289.1714,0,0,0,0,0
Feature585,2458.1284,1805.5924,1945.32,2145.7927,1727.7426,1863.1592,1371.0588,1815.3228,2057.1565,1856.3905,1622.6682,1656.5492,2360.0574,1697.7311,1696.4954,3590.1853,4701.997,4965.946,3944.6895,3475.074,2741.3071,1587.6757,2077.9307,1764.9899,2506.4036,1609.2133,1245.3134,989.33264,1130.2313,1536.0867
Feature588,2560.8792,1253.28,3576.4812,2724.039,3555.3608,2659.075,765.7466,1561.0586,2410.0176,2277.3572,2007.341,1077.83,1280.5743,1211.5903,2050.398,1836.8641,2082.3591,1411.8441,1852.2251,3014.669,0,1075.8558,939.1131,1296.5586,0,0,799.6615,0,0,1059.2578
Feature596,4582.1006,0,0,0,0,3560.9456,4062.308,0,562.3886,0,0,1105.9103,0,0,764.49,1407.3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature599,4028.4363,2992.8198,2392.5413,3683.2734,5311.0884,4470.9624,4767.7227,2581.8093,3574.9001,2036.2482,1422.1196,4231.6924,1798.4307,4605.672,3189.7756,7172.4727,6972.7603,6719.665,3877.1326,3648.1653,1627.0156,1392.7695,3197.3015,2519.989,1474.4056,0,3182.842,422.12198,1130.1112,3214.0864
Feature602,3393.1155,1293.533,1381.3712,1568.8229,1430.3179,1691.7567,0,1050.6692,1465.8368,1222.4302,1535.5687,975.9931,3650.7112,1782.8635,1458.2085,2032.397,5270.197,2567.8752,1580.2167,2155.1978,1850.5702,1619.1704,1675.8087,1654.7935,1424.7502,3505.0315,1164.6927,750.7742,807.5346,920.59076
Feature603,7961.8003,9504.52,7552.9043,14565.309,2530.6792,4216.958,1660.2137,3407.3958,6747.223,2061.1016,4041.8508,5606.268,9257.536,5108.6455,6013.705,30550.916,66741.54,28635.355,38684.742,28563.516,1695.6631,5458.6484,14495.759,2437.7124,2440.4463,0,0,0,0,0
Feature604,8658.199,8132.9175,8499.436,13113.017,6320.961,4837.0303,0,3395.286,5805.058,1754.5892,6232.088,5323.905,7085.475,7324.4985,6593.368,30433.744,48832.926,56631.867,32124.385,43781.004,20404.95,8823.019,11744.704,3552.0059,20019.006,0,0,0,0,0
Feature606,7056.024,0,5617.9756,8074.5054,1590.2861,2551.7378,858.8241,2675.253,1333.587,1120.0372,4173.8887,3078.5154,0,3707.9348,2829.326,6700.7417,4034.6448,5566.682,4506.187,2935.3335,3837.137,0,3598.4087,5547.3916,3895.5276,0,0,0,0,0
Feature607,5038.689,7682.529,5091.252,5785.549,3805.9834,4279.527,3103.243,5017.6313,3034.6887,3906.2751,5727.2866,5140.5337,5820.554,4328.6187,4083.9448,6442.901,5646.45,5993.6973,7176.6855,5221.354,5535.89,6365.8574,6238.192,6761.281,5726.097,0,0,0,0,0
Feature608,2000.096,3190.0579,2880.7595,3498.4602,2880.856,3164.4478,1869.6449,4233.784,4052.533,7198.8057,6672.154,5832.491,6974.7905,2842.7747,1578.9487,5557.9297,5049.262,5766.077,6408.1416,6025.0303,0,0,5187.0874,0,0,0,0,0,0,0
Feature609,1733.2739,1057.8932,0,1404.7444,3185.3862,2247.9102,0,977.693,1381.0209,711.58185,0,1190.34,0,2071.549,1236.554,2386.9146,2163.1848,2521.0693,0,875.661,0,0,0,0,343.97974,0,0,0,0,0
Feature613,30275.46,19809.902,0,39194.96,0,6107.5576,0,19273.312,19724.668,19706.182,5029.5034,19910.654,3138.1924,0,32991.01,28314.764,35048.414,50154.133,23156.299,0,0,0,31325.156,0,0,1045.9462,0,0,0,0
Feature617,3454.369,2250.7815,2084.454,2876.4958,6750.7847,4609.206,3434.8196,2125.3152,2861.8186,1558.7213,0,2544.9312,0,4312.376,2613.0518,5088.7817,4953.882,5179.043,1359.3651,1866.3345,0,0,1704.6433,1860.9261,0,0,2666.0527,0,0,2464.784
Feature621,941.13226,0,1803.4751,429.94568,0,5249.0522,6162.709,2350.086,5447.4243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature622,66234.516,44317.84,101917.75,50680.33,21206.828,99510.336,59431.76,87174.805,75001.13,18239.398,22577.32,11142.449,13568.097,22131.365,15700.844,12107.986,24307.318,11172.419,8790.304,6213.9004,2106.8252,1105.7596,8832.967,22556.826,1271.963,0,948.15094,0,0,0
Feature624,3075.7815,3962.56,2020.328,5090.72,2622.4622,3853.0242,3833.4377,3046.417,1983.5035,3171.4011,1501.1667,3952.1797,1599.2354,4841.9688,4512.9546,3464.532,3182.118,3607.6157,4489.416,2359.9734,1159.08,1122.434,4385.905,3570.5032,1793.9542,1486.9177,2754.6658,938.1659,1430.4146,2217.6753
Feature625,10598.193,9741.274,10040.11,9533.075,12959.077,12030.604,12134.201,9220.218,10410.208,8590.848,6556.3525,10287.426,7845.772,11922.098,10683.187,12984.575,13923.659,15803.246,10544.981,10742.806,11632.547,6180.3364,10707.676,9658.067,10688.175,8871.21,11725.504,6147.5,8822.304,12204.097
Feature626,1379.0455,1186.3252,1225.5137,2066.4038,1884.5073,1300.2115,1358.918,1595.7019,1563.1943,1790.8737,1291.3495,1255.6078,1499.2323,1406.8704,1549.6008,1432.0479,1438.9972,1488.5057,2013.8306,2236.6013,3051.9807,1828.0784,1706.2064,1627.3685,3823.3628,1372.0642,1467.339,1245.8488,1258.0667,1864.0002
Feature627,5501.6226,5808.729,4625.129,9469.652,4501.691,5022.731,2739.2864,5886.351,6383.1333,3950.5708,5350.1875,6599.6553,8289.597,8247.506,7728.391,15100.717,34165.824,49202.293,25305.906,18412.361,8628.297,5156.671,6813.8853,3586.91,8074.905,2335.1174,2214.5696,2273.601,2186.3027,3759.103
Feature639,3747.5562,0,10340.089,1955.6398,2619.9426,6297.53,1262.2722,5401.158,3588.5176,0,0,0,0,0,0,0,0,0,0,0,1234.5769,0,0,0,0,0,0,0,0,0
Feature640,1594.3071,1161.2776,1558.283,1424.7155,3216.911,2432.0713,2750.9683,1483.2943,1811.4988,758.87616,784.9826,2284.0066,806.3552,1685.2874,1836.7787,3821.6284,2147.0273,2615.733,1926.6963,1980.6049,0,933.4712,1059.5157,1002.80566,661.7112,919.6206,1484.0822,0,698.9059,1620.7877
Feature643,4952.285,2922.8533,7225.7705,4341.515,2596.1118,7532.513,3084.987,3753.5642,7862.3037,1579.683,2697.85,2230.6665,2928.8113,2626.6562,2400.0454,2171.3887,2229.4895,2367.2034,1654.8152,2176.851,1609.0138,0,1119.6185,1570.8865,0,0,0,0,0,0
Feature644,0,0,2010.0621,0,0,1413.256,616.0547,700.6001,1155.2175,0,0,0,0,0,0,0,0,0,0,0,624.9658,0,0,0,0,0,0,0,0,0
Feature650,10459.571,8315.997,13011.468,10569.118,8375.935,9850.345,4698.494,7629.512,10466.063,4517.5845,6677.1226,6558.0063,6313.9497,8895.795,7334.028,4108.1167,7497.4673,4179.608,4321.1177,2917.7236,7405.018,6635.2217,7322.903,5470.606,6974.7256,0,0,0,0,0
Feature651,3905.6309,3414.4111,3827.2263,3867.4631,2023.0044,1404.5509,0,1325.1833,2226.235,765.42664,1835.0823,1419.6876,1501.4756,2168.5603,1788.114,1467.3055,1623.0723,1608.9364,1270.3917,1153.1469,1242.5176,1709.1204,1943.8422,2226.567,1483.0236,0,0,0,0,0
Feature654,1029.7178,0,3175.8762,0,1304.203,4341.009,1725.8108,2372.292,3850.1328,452.84204,0,0,0,0,0,0,0,0,0,0,1180.2654,0,0,0,0,0,0,0,0,0
Feature660,37030.1,42874.83,32739.48,44131.734,32736.135,20369.486,28787.273,33570.25,24801.13,33028.51,39634.797,32162.01,37863.617,38261.805,37407.465,39575,45640.207,40979.547,40403.695,37847.188,43100.918,40997.105,33863.7,35445.918,39840.867,31687.045,33240.355,25350.617,25317.783,37348.445
Feature662,0,16041.477,0,0,8025.5117,0,0,20793.89,0,4442.5894,6109.2427,12258.758,8316.356,19322.902,17808.115,0,0,0,0,12778.505,8385.664,17255.562,7832.847,7025.981,15716.435,0,0,0,0,0
Feature663,25627.436,0,33724.375,26947.854,0,27496.723,14886.05,0,38586.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feature670,4359.7935,4255.538,3074.0708,3514.296,2627.4072,2590.7947,4516.9316,3954.7178,3863.3591,3096.013,4131.6543,4756.4644,4555.843,3535.4895,3239.1782,3827.2332,2750.8235,4126.538,4750.0166,2235.809,3002.5525,4418.0674,5605.3735,4577.257,2746.614,2335.63,1816.0205,1888.6976,3287.953,2487.6204
Feature671,8779.326,0,0,9253.775,0,0,8978.474,9180.479,9583.636,0,0,8375.815,9403.922,9349.049,11107.989,9177.043,0,9284.113,0,0,0,0,0,10676.737,0,0,0,0,0,0
Feature675,1164.7642,537.7695,0,1181.1514,0,2995.458,0,1094.8347,3266.197,755.17224,0,837.3493,0,0,609.3368,0,0,0,0,0,641.82245,0,0,0,0,0,0,0,0,0
Feature678,809.2215,0,0,0,791.3715,933.36456,703.97217,0,0,464.06754,0,694.8796,626.0571,0,606.27734,1844.6824,1646.7892,1256.9801,1617.8152,2105.601,1022.13306,0,581.5693,0,1114.9226,0,0,0,0,0
Feature679,2348.021,1644.8861,1605.2494,1987.8817,3558.5566,2494.7957,3065.4238,1427.1221,1950.5944,1432.0029,1416.7842,3989.7197,2504.8445,3373.1565,3201.6538,5863.6895,5117.259,5719.3984,4092.74,3914.5723,1866.7212,2803.6274,3133.1267,2468.5063,1969.4309,879.5194,1726.5922,0,764.3339,1888.8826
Feature680,8771.698,5891.2144,8468.394,8345.067,5038.345,6373.0234,3687.6343,5097.707,7026.1055,3398.563,4669.6045,5951.5845,4391.426,5704.4224,6323.39,8926.392,9972.624,8901.449,7446.9434,6367.868,3203.2708,5011.3433,5844.0034,4998.75,2502.2537,470.98306,0,0,0,1938.701
Feature681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6214.7324,4418.743,4194.61,4709.337,7659.7993,4686.0444,2142.7476,1536.7467,0,6863.405,0,0,0,0,0
Feature682,3664.84,0,0,2994.8447,799.97284,0,2554.4812,3579.648,3190.453,0,2966.7847,2855.9473,3704.4807,3467.7935,426.20538,3056.1643,0,3815.255,1595.5989,814.1148,3229.8127,2890.638,2589.7517,2736.308,3138.8003,888.9282,0,0,0,0
Feature683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.8247,1678.7823,1487.9098,1110.4514,1579.7776,1028.4764,0,405.73593,0,510.5625,0,0,0,0,0
