ASV_ID,Lfc_symrk,Lfc_ccamk,Lfc_nsp1,Lfc_nsp2,DA_symrk,DA_ccamk,DA_nsp1,DA_nsp2,Kingdom,Phylum,Class,Order,Family,Genus,Hv_WT_HvSC_only_endo_1,Hv_WT_HvSC_only_endo_2,Hv_WT_HvSC_only_endo_3,Hv_WT_HvSC_only_endo_4,Hv_WT_HvSC_only_endo_5,Hv_symrk_HvSC_only_endo_1,Hv_symrk_HvSC_only_endo_2,Hv_symrk_HvSC_only_endo_3,Hv_symrk_HvSC_only_endo_4,Hv_symrk_HvSC_only_endo_5,Hv_symrk_HvSC_only_endo_6,Hv_ccamk_HvSC_only_endo_1,Hv_ccamk_HvSC_only_endo_2,Hv_ccamk_HvSC_only_endo_3,Hv_ccamk_HvSC_only_endo_4,Hv_ccamk_HvSC_only_endo_5,Hv_ccamk_HvSC_only_endo_6,Hv_nsp1_HvSC_only_endo_1,Hv_nsp1_HvSC_only_endo_2,Hv_nsp1_HvSC_only_endo_3,Hv_nsp1_HvSC_only_endo_4,Hv_nsp1_HvSC_only_endo_5,Hv_nsp1_HvSC_only_endo_6,Hv_nsp2_HvSC_only_endo_1,Hv_nsp2_HvSC_only_endo_2,Hv_nsp2_HvSC_only_endo_3,Hv_nsp2_HvSC_only_endo_4,Hv_nsp2_HvSC_only_endo_5,Hv_nsp2_HvSC_only_endo_6
P2_H12,-0.738445883427302,-0.934611842376165,-0.752142662391429,-0.13911743486386,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,0.000254519308471039,0.000353162768796107,0.00140772971589455,0,0,0.000385973940910899,0,0,0,0,0.000315681477389314,0,0.000232099338516885,0.000231968880482495,0,0,0,0,0.000232925713334997,0,0.00049414090074827,0,0,0,0,0.000578066007912279,0,0.00050161631925092,0.000589384868319012
P2_H2,1.47455470986752,1.26911521020752,0.680262212468668,1.33617756402066,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,0,0.00176581384398054,0.0053429741489634,0,0,0.00278369084656951,0.00247229511396413,0.00255280808889779,0.00298511405513215,0.00321496205170364,0.00246231552363665,0.00295308808639892,0.00355111987930834,0.00157025088326612,0.00191220258420521,0.00127443446970407,0.00439989510183863,0.00240199622210303,0.00246235754096997,0.00127488257660479,0.00193420866864323,0.00113815443880231,0.000919653671885514,0.00117650519132916,0.0052734375,0.0014451650197807,0.00358889237808981,0.00320477092854754,0.0022644787045941
P2_H3,0.166666666666677,1.00085319882635e-14,0.708599963565996,9.98545855335628e-15,0,0,0,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,0,0,0,0,0,0,0,0,0,5.87207680676463e-05,0,0,0,0,0,0,0,0,0.000183013060477498,0,0,0,8.97223094522453e-05,0,0,0,0,0,0
P2_H9,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3_A2,0.856342206639579,0.913546860839075,1.69797949529542,2.61343342519244,0,0,0,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,0.000725380029142461,0,0.000287944714614794,0,0,0.000269012140634869,0,0.000400440484532986,0.000184918569786947,0.000616568064710287,0.000457738142214506,0.00040780740240747,0.000742717883254033,0.00014275008029692,0.000382440516841041,0.000431058717694023,0,0.000419766330076258,0.000715414690957491,0.000492059941847461,0.000578850769447974,0.000364793089359715,0.000426180969898165,0.000794141004147181,0.000813802083333333,0.00155355239626425,0.00067291732089184,0.000696689332292944,0.00127183050531997
P3_C5,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3_C6,-1.14688757387092,-2.24764517032352,-1.95914331939141,-1.7448330708799,0,-1,-1,-1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,0.000248156325759263,0.000765185999058233,0.000479907857691323,0.000167892280312951,0.000205349350582679,0.000210531240496854,0,0.000137651416558214,0.000132084692704962,0.000176162304202939,0.000252545181911451,0,0.000116049669258443,0.000124906320259805,0,0,0,0,0,0.000178930887944531,9.88281801496541e-05,0,0.000134583464178368,0.000382364187181976,0,0.000307097566703398,0,0,0
P4_A12,,,,,,,,,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_A5,,,,,,,,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_A8,0.124955805627341,-0.268243491735455,-0.340896597072705,-0.0410154815564976,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,0.0773865957406194,0.0605870350023544,0.0066867161504991,0.00191397199556764,0.0127829970737718,0.0160354628178437,0.00752531933811889,0.018032335569126,0.0171710100516451,0.0364362365859745,0.0142372346302581,0.01172797840027,0.023024254380875,0.015363477391956,0.00953369574125167,0.0093333583222445,0.010227570733413,0.0118467386488188,0.0313950586473671,0.00682174010288526,0.0166596075109417,0.00834646588455028,0.00791799380916065,0.0203241271802112,0.0141927083333333,0.0236826417616562,0.0188416849849715,0.00724556905584662,0.0104228060923783
