Fresh_weight	Genotype	Treatment	
0,017	ccamk	Lj_SC	
0,0121	ccamk	Lj_SC	
0,0262	ccamk	Lj_SC	
0,0152	ccamk	Lj_SC	
0,0262	nsp1	Lj_SC	
0,0421	nsp1	Lj_SC	
0,0177	nsp1	Lj_SC	
0,0242	nsp1	Lj_SC	
0,0119	nsp1	Lj_SC	
0,0196	nsp1	Lj_SC	
0,0347	nsp1	Lj_SC	
0,0117	nsp1	Lj_SC	
0,014	nsp1	Lj_SC	
0,0168	nsp1	Lj_SC	
0,0145	nsp1	Lj_SC	
0,0198	nsp1	Lj_SC	
0,0126	nsp1	Lj_SC	
0,0167	nsp1	Lj_SC	
0,0197	nsp1	Lj_SC	
0,0232	nsp1	Lj_SC	
0,0162	nsp1	Lj_SC	
0,0325	nsp1	Lj_SC	
0,0174	nsp1	Lj_SC	
0,0135	nsp1	Lj_SC	
0,0177	nsp1	Lj_SC	
0,0209	nsp1	Lj_SC	
0,0164	nsp1	Lj_SC	
0,0134	nsp1	Lj_SC	
0,0132	nsp1	Lj_SC	
0,0132	nsp1	Lj_SC	
0,0281	nsp1	Lj_SC	
0,0198	nsp1	Lj_SC	
0,0213	nsp1	Lj_SC	
0,0207	nsp1	Lj_SC	
0,0166	nsp1	Lj_SC	
0,0304	nsp1	Lj_SC	
0,0299	nsp1	Lj_SC	
0,0151	nsp1	Lj_SC	
0,0237	nsp1	Lj_SC	
0,018	nsp1	Lj_SC	
0,0259	nsp1	Lj_SC	
0,0166	nsp1	Lj_SC	
0,0148	nsp1	Lj_SC	
0,0186	nsp1	Lj_SC	
0,0097	nsp1	Lj_SC	
0,0211	nsp1	Lj_SC	
0,0123	nsp1	Lj_SC	
0,0136	nsp1	Lj_SC	
0,0377	nsp1	Lj_SC	
0,0124	nsp1	Lj_SC	
0,0192	nsp1	Lj_SC	
0,0176	nsp1	Lj_SC	
0,0248	nsp1	Lj_SC	
0,016	nsp1	Lj_SC	
0,0144	nsp1	Lj_SC	
0,0322	nsp1	Lj_SC	
0,0241	nsp1	Lj_SC	
0,0176	nsp1	Lj_SC	
0,0274	nsp1	Lj_SC	
0,0305	nsp1	Lj_SC	
0,0214	nsp1	Lj_SC	
0,0151	nsp1	Lj_SC	
0,0144	nsp1	Lj_SC	
0,0128	nsp1	Lj_SC	
0,0188	nsp1	Lj_SC	
0,0228	nsp1	Lj_SC	
0,0261	nsp1	Lj_SC	
0,0268	nsp1	Lj_SC	
0,0192	nsp1	Lj_SC	
0,034	nsp1	Lj_SC	
0,028	nsp1	Lj_SC	
0,0167	nsp1	Lj_SC	
0,0235	nsp1	Lj_SC	
0,0196	nsp1	Lj_SC	
0,0204	nsp1	Lj_SC	
0,0206	nsp1	Lj_SC	
0,0137	nsp1	Lj_SC	
0,0151	nsp1	Lj_SC	
0,0121	nsp1	Lj_SC	
0,0275	nsp1	Lj_SC	
0,0319	nsp1	Lj_SC	
0,0261	nsp1	Lj_SC	
0,0187	nsp1	Lj_SC	
0,0234	nsp1	Lj_SC	
0,0162	nsp1	Lj_SC	
0,033	nsp1	Lj_SC	
0,0109	nsp1	Lj_SC	
0,0205	nsp1	Lj_SC	
0,0192	nsp1	Lj_SC	
0,0196	nsp1	Lj_SC	
0,0274	nsp1	Lj_SC	
0,0181	nsp1	Lj_SC	
0,0282	nsp1	Lj_SC	
0,0209	nsp1	Lj_SC	
0,0252	nsp1	Lj_SC	
0,0236	nsp1	Lj_SC	
0,0195	nsp1	Lj_SC	
0,0168	nsp1	Lj_SC	
0,0231	nsp1	Lj_SC	
0,0229	nsp1	Lj_SC	
0,0258	nsp1	Lj_SC	
0,0169	nsp1	Lj_SC	
0,0389	nsp1	Lj_SC	
0,0321	nsp1	Lj_SC	
0,0163	nsp1	Lj_SC	
0,0222	nsp1	Lj_SC	
0,0239	nsp2	Lj_SC	
0,0186	nsp2	Lj_SC	
0,0288	nsp2	Lj_SC	
0,0203	nsp2	Lj_SC	
0,0198	nsp2	Lj_SC	
0,0269	nsp2	Lj_SC	
0,0249	nsp2	Lj_SC	
0,0197	nsp2	Lj_SC	
0,0245	nsp2	Lj_SC	
0,0233	nsp2	Lj_SC	
0,0436	nsp2	Lj_SC	
0,0327	nsp2	Lj_SC	
0,0298	nsp2	Lj_SC	
0,0256	nsp2	Lj_SC	
0,018	nsp2	Lj_SC	
0,0237	nsp2	Lj_SC	
0,0267	nsp2	Lj_SC	
0,0275	nsp2	Lj_SC	
0,023	nsp2	Lj_SC	
0,0288	nsp2	Lj_SC	
0,0178	nsp2	Lj_SC	
0,0346	nsp2	Lj_SC	
0,0283	nsp2	Lj_SC	
0,0339	nsp2	Lj_SC	
0,0255	nsp2	Lj_SC	
0,0236	nsp2	Lj_SC	
0,0114	nsp2	Lj_SC	
0,0167	nsp2	Lj_SC	
0,027	nsp2	Lj_SC	
0,0176	nsp2	Lj_SC	
0,0211	nsp2	Lj_SC	
0,0273	nsp2	Lj_SC	
0,0368	nsp2	Lj_SC	
0,0194	nsp2	Lj_SC	
0,0244	nsp2	Lj_SC	
0,0183	nsp2	Lj_SC	
0,0176	nsp2	Lj_SC	
0,0183	nsp2	Lj_SC	
0,0109	nsp2	Lj_SC	
0,0197	nsp2	Lj_SC	
0,0321	nsp2	Lj_SC	
0,0258	nsp2	Lj_SC	
0,0278	nsp2	Lj_SC	
0,0197	nsp2	Lj_SC	
0,022	nsp2	Lj_SC	
0,014	nsp2	Lj_SC	
0,0223	nsp2	Lj_SC	
0,044	nsp2	Lj_SC	
0,017	nsp2	Lj_SC	
0,0179	nsp2	Lj_SC	
0,0238	nsp2	Lj_SC	
0,0287	nsp2	Lj_SC	
0,0319	nsp2	Lj_SC	
0,0177	nsp2	Lj_SC	
0,0233	nsp2	Lj_SC	
0,0191	nsp2	Lj_SC	
0,0311	nsp2	Lj_SC	
0,0209	nsp2	Lj_SC	
0,0208	nsp2	Lj_SC	
0,018	nsp2	Lj_SC	
0,0197	nsp2	Lj_SC	
0,0205	nsp2	Lj_SC	
0,019	nsp2	Lj_SC	
0,0137	nsp2	Lj_SC	
0,0174	nsp2	Lj_SC	
0,0209	nsp2	Lj_SC	
0,027	nsp2	Lj_SC	
0,0256	nsp2	Lj_SC	
0,0216	nsp2	Lj_SC	
0,0187	nsp2	Lj_SC	
0,0212	nsp2	Lj_SC	
0,0219	nsp2	Lj_SC	
0,0176	nsp2	Lj_SC	
0,0196	nsp2	Lj_SC	
0,0194	nsp2	Lj_SC	
0,0278	nsp2	Lj_SC	
0,0161	nsp2	Lj_SC	
0,0192	nsp2	Lj_SC	
0,0268	nsp2	Lj_SC	
0,0196	nsp2	Lj_SC	
0,0202	nsp2	Lj_SC	
0,0164	nsp2	Lj_SC	
0,0167	nsp2	Lj_SC	
0,0172	nsp2	Lj_SC	
0,0285	nsp2	Lj_SC	
0,0195	nsp2	Lj_SC	
0,0188	nsp2	Lj_SC	
0,0276	nsp2	Lj_SC	
0,0203	nsp2	Lj_SC	
0,0228	nsp2	Lj_SC	
0,0217	nsp2	Lj_SC	
0,0209	nsp2	Lj_SC	
0,013	nsp2	Lj_SC	
0,0141	nsp2	Lj_SC	
0,0142	nsp2	Lj_SC	
0,0129	nsp2	Lj_SC	
0,0284	f6h1	Lj_SC	
0,0235	f6h1	Lj_SC	
0,0386	f6h1	Lj_SC	
0,0244	f6h1	Lj_SC	
0,0227	f6h1	Lj_SC	
0,0355	f6h1	Lj_SC	
0,0302	f6h1	Lj_SC	
0,0225	f6h1	Lj_SC	
0,0138	f6h1	Lj_SC	
0,0214	f6h1	Lj_SC	
0,0249	f6h1	Lj_SC	
0,0288	f6h1	Lj_SC	
0,0331	f6h1	Lj_SC	
0,0418	f6h1	Lj_SC	
0,0318	f6h1	Lj_SC	
0,0259	f6h1	Lj_SC	
0,0287	f6h1	Lj_SC	
0,0159	f6h1	Lj_SC	
0,0212	f6h1	Lj_SC	
0,0139	f6h1	Lj_SC	
0,0081	f6h1	Lj_SC	
0,0032	f6h1	Lj_SC	
0,0034	f6h1	Lj_SC	
0,0237	f6h1	Lj_SC	
0,0328	f6h1	Lj_SC	
0,0265	f6h1	Lj_SC	
0,0287	f6h1	Lj_SC	
0,027	f6h1	Lj_SC	
0,0278	f6h1	Lj_SC	
0,02	f6h1	Lj_SC	
0,0159	f6h1	Lj_SC	
0,0263	f6h1	Lj_SC	
0,0301	f6h1	Lj_SC	
0,0277	f6h1	Lj_SC	
0,0275	f6h1	Lj_SC	
0,029	f6h1	Lj_SC	
0,0294	f6h1	Lj_SC	
0,0251	f6h1	Lj_SC	
0,0235	f6h1	Lj_SC	
0,0285	f6h1	Lj_SC	
0,0217	f6h1	Lj_SC	
0,0203	f6h1	Lj_SC	
0,0256	f6h1	Lj_SC	
0,0326	f6h1	Lj_SC	
0,0142	f6h1	Lj_SC	
0,0316	f6h1	Lj_SC	
0,0289	f6h1	Lj_SC	
0,0216	f6h1	Lj_SC	
0,0184	f6h1	Lj_SC	
0,0171	f6h1	Lj_SC	
0,0346	f6h1	Lj_SC	
0,0227	f6h1	Lj_SC	
0,0398	f6h1	Lj_SC	
0,0296	f6h1	Lj_SC	
0,03	f6h1	Lj_SC	
0,0271	f6h1	Lj_SC	
0,0398	f6h1	Lj_SC	
0,0261	f6h1	Lj_SC	
0,0244	f6h1	Lj_SC	
0,0373	f6h1	Lj_SC	
0,0274	f6h1	Lj_SC	
0,0288	f6h1	Lj_SC	
0,0327	f6h1	Lj_SC	
0,0224	f6h1	Lj_SC	
0,0301	f6h1	Lj_SC	
0,0191	f6h1	Lj_SC	
0,0214	f6h1	Lj_SC	
0,0178	f6h1	Lj_SC	
0,0328	f6h1	Lj_SC	
0,0198	f6h1	Lj_SC	
0,0239	f6h1	Lj_SC	
0,0278	f6h1	Lj_SC	
0,0215	f6h1	Lj_SC	
0,0051	f6h1	Lj_SC	
0,0279	f6h1	Lj_SC	
0,0301	f6h1	Lj_SC	
0,0188	f6h1	Lj_SC	
0,0326	f6h1	Lj_SC	
0,0222	f6h1	Lj_SC	
0,0146	f6h1	Lj_SC	
0,0256	f6h1	Lj_SC	
0,0117	f6h1	Lj_SC	
0,0213	f6h1	Lj_SC	
0,0223	f6h1	Lj_SC	
0,0147	f6h1	Lj_SC	
0,0235	f6h1	Lj_SC	
0,0234	f6h1	Lj_SC	
0,0189	f6h1	Lj_SC	
0,0207	f6h1	Lj_SC	
0,0028	f6h1	Lj_SC	
0,0219	f6h1	Lj_SC	
0,0123	f6h1	Lj_SC	
0,0084	f6h1	Lj_SC	
0,0163	f6h1	Lj_SC	
0,0183	f6h1	Lj_SC	
0,0114	f6h1	Lj_SC	
0,0242	f6h1	Lj_SC	
			
			
			
