Fresh_weight	Genotype	Treatment	
0,0235	symrk	no_SC	
0,0083	symrk	no_SC	
0,0121	symrk	no_SC	
0,0186	ccamk	no_SC	
0,0122	ccamk	no_SC	
0,0199	ccamk	no_SC	
0,0417	ccamk	no_SC	
0,0296	ccamk	no_SC	
0,0216	ccamk	no_SC	
0,0355	ccamk	no_SC	
0,0283	ccamk	no_SC	
0,0148	ccamk	no_SC	
0,0317	ccamk	no_SC	
0,0152	ccamk	no_SC	
0,0232	ccamk	no_SC	
0,0219	ccamk	no_SC	
0,0361	ccamk	no_SC	
0,0385	ccamk	no_SC	
0,0164	ccamk	no_SC	
0,0157	ccamk	no_SC	
0,038	ccamk	no_SC	
0,0353	ccamk	no_SC	
0,0129	ccamk	no_SC	
0,0213	ccamk	no_SC	
0,0152	ccamk	no_SC	
0,0256	ccamk	no_SC	
0,0298	ccamk	no_SC	
0,0106	ccamk	no_SC	
0,0071	ccamk	no_SC	
0,0192	ccamk	no_SC	
0,0371	ccamk	no_SC	
0,016	ccamk	no_SC	
0,0264	ccamk	no_SC	
0,0185	ccamk	no_SC	
0,0215	ccamk	no_SC	
0,0191	ccamk	no_SC	
0,0265	ccamk	no_SC	
0,0196	ccamk	no_SC	
0,0266	ccamk	no_SC	
0,0229	ccamk	no_SC	
0,0271	ccamk	no_SC	
0,0276	ccamk	no_SC	
0,0304	ccamk	no_SC	
0,0144	ccamk	no_SC	
0,0267	ccamk	no_SC	
0,0219	ccamk	no_SC	
0,018	ccamk	no_SC	
0,0261	ccamk	no_SC	
0,0181	ccamk	no_SC	
0,0269	ccamk	no_SC	
0,0211	ccamk	no_SC	
0,0167	ccamk	no_SC	
0,0209	ccamk	no_SC	
0,0201	ccamk	no_SC	
0,0206	ccamk	no_SC	
0,0237	ccamk	no_SC	
0,0184	ccamk	no_SC	
0,0259	ccamk	no_SC	
0,0276	ccamk	no_SC	
0,0343	ccamk	no_SC	
0,0134	ccamk	no_SC	
0,0195	ccamk	no_SC	
0,0233	ccamk	no_SC	
0,0216	ccamk	no_SC	
0,0134	ccamk	no_SC	
0,0148	ccamk	no_SC	
0,0204	ccamk	no_SC	
0,031	ccamk	no_SC	
0,026	ccamk	no_SC	
0,0232	ccamk	no_SC	
0,0107	ccamk	no_SC	
0,0213	ccamk	no_SC	
0,0249	ccamk	no_SC	
0,0258	ccamk	no_SC	
0,0166	ccamk	no_SC	
0,0115	ccamk	no_SC	
0,0281	ccamk	no_SC	
0,0236	ccamk	no_SC	
0,018	ccamk	no_SC	
0,0278	ccamk	no_SC	
0,0131	ccamk	no_SC	
0,0221	ccamk	no_SC	
0,0285	ccamk	no_SC	
0,0344	ccamk	no_SC	
0,0261	ccamk	no_SC	
0,0252	ccamk	no_SC	
0,0323	ccamk	no_SC	
0,0237	ccamk	no_SC	
0,0269	ccamk	no_SC	
0,0332	ccamk	no_SC	
0,0362	ccamk	no_SC	
0,0185	ccamk	no_SC	
0,018	ccamk	no_SC	
0,08	ccamk	no_SC	
0,0163	ccamk	no_SC	
0,0272	ccamk	no_SC	
0,0199	ccamk	no_SC	
0,0199	ccamk	no_SC	
0,0234	ccamk	no_SC	
0,0286	ccamk	no_SC	
