	chao1
UF_Lj_ccamk_2_endo	85.0
UF_Lj_ccamk_2_rhizo	371.82608695652175
UF_Lj_ccamk_3_endo	96.0
UF_Lj_ccamk_3_rhizo	222.0
UF_Lj_ccamk_4_endo	73.33333333333333
UF_Lj_ccamk_4_rhizo	372.3658536585366
UF_Lj_ccamk_5_endo	132.2
UF_Lj_ccamk_5_rhizo	344.02564102564105
UF_Lj_ccamk_6_endo	86.0
UF_Lj_ccamk_6_rhizo	265.6875
UF_Lj_nsp1_1_endo	106.2
UF_Lj_nsp1_1_rhizo	281.5
UF_Lj_nsp1_2_endo	194.19354838709677
UF_Lj_nsp1_2_rhizo	130.6
UF_Lj_nsp1_3_endo	111.0
UF_Lj_nsp1_3_rhizo	240.33333333333334
UF_Lj_nsp1_4_endo	102.5
UF_Lj_nsp1_4_rhizo	170.6153846153846
UF_Lj_nsp1_5_endo	175.1764705882353
UF_Lj_nsp1_5_rhizo	205.8
UF_Lj_nsp1_6_endo	108.75
UF_Lj_nsp1_6_rhizo	259.037037037037
UF_Lj_nsp2_1_endo	108.2
UF_Lj_nsp2_1_rhizo	265.5
UF_Lj_nsp2_2_endo	107.42857142857143
UF_Lj_nsp2_2_rhizo	244.52631578947367
UF_Lj_nsp2_3_endo	132.1818181818182
UF_Lj_nsp2_3_rhizo	342.1224489795918
UF_Lj_nsp2_4_endo	98.5
UF_Lj_nsp2_4_rhizo	168.0
UF_Lj_nsp2_5_endo	75.0
UF_Lj_nsp2_5_rhizo	121.75
UF_Lj_nsp2_6_endo	149.0
UF_Lj_nsp2_6_rhizo	201.58823529411765
UF_Lj_symrk_1_endo	122.0
UF_Lj_symrk_1_rhizo	210.3125
UF_Lj_symrk_2_endo	105.85714285714286
UF_Lj_symrk_2_rhizo	138.0
UF_Lj_symrk_3_endo	139.5
UF_Lj_symrk_3_rhizo	327.0285714285714
UF_Lj_symrk_4_endo	396.9
UF_Lj_symrk_4_rhizo	215.77272727272728
UF_Lj_symrk_5_endo	88.75
UF_Lj_symrk_5_rhizo	325.96875
UF_Lj_symrk_6_endo	96.0
UF_Lj_symrk_6_rhizo	408.6388888888889
UF_Lj_WT_1_endo	161.33333333333334
UF_Lj_WT_1_nod	15.75
UF_Lj_WT_1_rhizo	318.0
UF_Lj_WT_2_endo	241.04761904761904
UF_Lj_WT_2_nod	59.25
UF_Lj_WT_2_rhizo	273.2758620689655
UF_Lj_WT_3_endo	135.8
UF_Lj_WT_3_nod	11.0
UF_Lj_WT_3_rhizo	313.5
UF_Lj_WT_4_endo	146.86666666666667
UF_Lj_WT_4_nod	13.0
UF_Lj_WT_4_rhizo	242.25
UF_Lj_WT_5_endo	117.5
UF_Lj_WT_5_nod	9.0
UF_Lj_WT_5_rhizo	166.0
UF_Lj_WT_6_endo	132.76923076923077
UF_Lj_WT_6_nod	12.333333333333334
UF_Lj_WT_6_rhizo	218.0
