SampleID	Genotype	Compartment	Inoculum	Description	Bio_rep
Hv_WT_HvSC_only_endo_3	WT	endo	SC	Hv_WT_HvSC_only_endo_3	3
Hv_WT_HvSC_only_endo_4	WT	endo	SC	Hv_WT_HvSC_only_endo_4	4
Hv_WT_HvSC_only_endo_5	WT	endo	SC	Hv_WT_HvSC_only_endo_5	5
Hv_symrk_HvSC_only_endo_1	symrk	endo	SC	Hv_symrk_HvSC_only_endo_1	1
Hv_symrk_HvSC_only_endo_2	symrk	endo	SC	Hv_symrk_HvSC_only_endo_2	2
Hv_symrk_HvSC_only_endo_3	symrk	endo	SC	Hv_symrk_HvSC_only_endo_3	3
Hv_symrk_HvSC_only_endo_4	symrk	endo	SC	Hv_symrk_HvSC_only_endo_4	4
Hv_symrk_HvSC_only_endo_5	symrk	endo	SC	Hv_symrk_HvSC_only_endo_5	5
Hv_symrk_HvSC_only_endo_6	symrk	endo	SC	Hv_symrk_HvSC_only_endo_6	6
Hv_ccamk_HvSC_only_endo_1	ccamk	endo	SC	Hv_ccamk_HvSC_only_endo_1	1
Hv_ccamk_HvSC_only_endo_2	ccamk	endo	SC	Hv_ccamk_HvSC_only_endo_2	2
Hv_ccamk_HvSC_only_endo_3	ccamk	endo	SC	Hv_ccamk_HvSC_only_endo_3	3
Hv_ccamk_HvSC_only_endo_4	ccamk	endo	SC	Hv_ccamk_HvSC_only_endo_4	4
Hv_ccamk_HvSC_only_endo_5	ccamk	endo	SC	Hv_ccamk_HvSC_only_endo_5	5
Hv_ccamk_HvSC_only_endo_6	ccamk	endo	SC	Hv_ccamk_HvSC_only_endo_6	6
Hv_nsp1_HvSC_only_endo_1	nsp1	endo	SC	Hv_nsp1_HvSC_only_endo_1	1
Hv_nsp1_HvSC_only_endo_2	nsp1	endo	SC	Hv_nsp1_HvSC_only_endo_2	2
Hv_nsp1_HvSC_only_endo_3	nsp1	endo	SC	Hv_nsp1_HvSC_only_endo_3	3
Hv_nsp1_HvSC_only_endo_4	nsp1	endo	SC	Hv_nsp1_HvSC_only_endo_4	4
Hv_nsp1_HvSC_only_endo_5	nsp1	endo	SC	Hv_nsp1_HvSC_only_endo_5	5
Hv_nsp1_HvSC_only_endo_6	nsp1	endo	SC	Hv_nsp1_HvSC_only_endo_6	6
Hv_nsp2_HvSC_only_endo_1	nsp2	endo	SC	Hv_nsp2_HvSC_only_endo_1	1
Hv_nsp2_HvSC_only_endo_2	nsp2	endo	SC	Hv_nsp2_HvSC_only_endo_2	2
Hv_nsp2_HvSC_only_endo_3	nsp2	endo	SC	Hv_nsp2_HvSC_only_endo_3	3
Hv_nsp2_HvSC_only_endo_4	nsp2	endo	SC	Hv_nsp2_HvSC_only_endo_4	4
Hv_nsp2_HvSC_only_endo_5	nsp2	endo	SC	Hv_nsp2_HvSC_only_endo_5	5
Hv_nsp2_HvSC_only_endo_6	nsp2	endo	SC	Hv_nsp2_HvSC_only_endo_6	6
Hv_OXNSP1_HvSC_only_endo_1	OXNSP1	endo	SC	Hv_OXNSP1_HvSC_only_endo1	1
Hv_OXNSP1_HvSC_only_endo_2	OXNSP1	endo	SC	Hv_OXNSP1_HvSC_only_endo2	2
Hv_OXNSP1_HvSC_only_endo_3	OXNSP1	endo	SC	Hv_OXNSP1_HvSC_only_endo3	3
Hv_OXNSP1_HvSC_only_endo_4	OXNSP1	endo	SC	Hv_OXNSP1_HvSC_only_endo4	4
Hv_OXNSP1_HvSC_only_endo_5	OXNSP1	endo	SC	Hv_OXNSP1_HvSC_only_endo5	5
Hv_OXNSP1_HvSC_only_endo_6	OXNSP1	endo	SC	Hv_OXNSP1_HvSC_only_endo6	6
Hv_OXNSP2_HvSC_only_endo_1	OXNSP2	endo	SC	Hv_OXNSP2_HvSC_only_endo1	1
Hv_OXNSP2_HvSC_only_endo_2	OXNSP2	endo	SC	Hv_OXNSP2_HvSC_only_endo2	2
Hv_OXNSP2_HvSC_only_endo_3	OXNSP2	endo	SC	Hv_OXNSP2_HvSC_only_endo3	3
Hv_OXNSP2_HvSC_only_endo_4	OXNSP2	endo	SC	Hv_OXNSP2_HvSC_only_endo4	4
