feature	Actinomycetales	Burkholderiales	Caulobacterales	Flavobacteriales	Pseudomonadales	Rhizobiales	Sphingomonadales	Xanthomonadales
Lj_Gifu_LjSC_1_endo	0.00139729855612483	0.296803373127743	0.0980192680116687	0.0995391366165764	0.0590542495035913	0.405817174515235	0.0104797391709362	0.0288897604981247
Lj_Gifu_LjSC_2_endo	0.00107376785139053	0.279222592075593	0.0830666809835714	0.0476752926017395	0.0522280682916354	0.506646623000107	0.0109739074412112	0.0191130677547514
Lj_Gifu_LjSC_3_endo	0.000634428309601015	0.176183091310682	0.0896423704121434	0.0672728981625076	0.0357394614408572	0.590112317308144	0.0117486724000188	0.0286667606560459
Lj_Gifu_LjSC_4_endo	0.00123673322540025	0.184340708760568	0.0904838999820112	0.0602176650476704	0.0333018528512322	0.60357078611261	0.0126146788990826	0.0142336751214247
Lj_symrk_LjSC_1_endo	6.77070990893395e-05	0.445800467178984	0.0970411997697959	0.0584142997393277	0.199719015538779	0.176952503469989	0.0101052845390839	0.0118995226649514
Lj_symrk_LjSC_2_endo	0.000201539256068221	0.446447240801622	0.0629810175213191	0.0599579286802958	0.177581277003111	0.225862525034954	0.00855282217939513	0.0184156495232337
Lj_symrk_LjSC_3_endo	0.000315656565656566	0.508358585858586	0.0827777777777778	0.0759343434343434	0.113762626262626	0.192310606060606	0.0104671717171717	0.0160732323232323
Lj_symrk_LjSC_4_endo	0.00217156383471415	0.299521432614625	0.11763495085679	0.156805434055473	0.118767045746925	0.232882210672567	0.00878917305614161	0.0634281891627644
Lj_ccamk_LjSC_1_endo	0.00057927359091699	0.35150321496843	0.0819382494352082	0.180212014134276	0.0628511846144934	0.244829983201066	0.0104269246365058	0.0676591554191044
Lj_ccamk_LjSC_2_endo	0	0.423093777388256	0.0988716038562664	0.112346625766871	0.130970639789658	0.193634969325153	0.0134750219106047	0.0276073619631902
Lj_ccamk_LjSC_3_endo	0.000975330855768746	0.298081288782014	0.124859165587637	0.18551465518691	0.066894243866346	0.270133014949468	0.0105100307733701	0.0430322699984866
Lj_ccamk_LjSC_4_endo	0.00044782111862627	0.322709163346614	0.0669569782883968	0.275780598536088	0.0718366842706693	0.181707279409494	0.0104851910188703	0.0700762840112419
Lj_nsp1_LjSC_1_endo	0.000272200339449835	0.451724469209338	0.108463829378423	0.151247318026067	0.0687866269574407	0.190908508662376	0.00774970378198354	0.0208473436449227
Lj_nsp1_LjSC_2_endo	0.000749679572440812	0.347657855916423	0.125196488597616	0.137409010664796	0.0977969093855046	0.246910594665183	0.0130831176996929	0.0311963434983435
Lj_nsp1_LjSC_3_endo	0.000202315387209172	0.29596493199955	0.162998763628189	0.206114420591211	0.0820051702821176	0.213330336068338	0.0143419130043835	0.0250421490390019
Lj_nsp1_LjSC_4_endo	0	0.288169464428457	0.145483613109512	0.172262190247802	0.116506794564349	0.222621902478018	0.01378896882494	0.0411670663469225
Lj_nsp2_LjSC_1_endo	0.000648734966814711	0.288138130645242	0.127518006553887	0.142305836951278	0.110351481278174	0.29242976196417	0.0129081624166209	0.0256998852238136
Lj_nsp2_LjSC_2_endo	0.000191881289442265	0.380841719256353	0.10982005799079	0.0939152311103531	0.068757462050145	0.288887941326966	0.0162246290295071	0.0413610779464438
Lj_nsp2_LjSC_3_endo	0	0.310722392842836	0.136500200293764	0.0867271998931767	0.0898317532380825	0.312525036720523	0.0237014287621845	0.0399919882494325
Lj_nsp2_LjSC_4_endo	0.000209602593482757	0.664747638477447	0.0613017718405902	0.0409982672852272	0.0978844111564474	0.104675535185289	0.0104521826616735	0.0197305907998435
