	chao1
UF_Lj_ccamk_6_rhizo	272.625
UF_Lj_nsp1_1_endo	105
UF_Lj_nsp1_1_rhizo	274.84
UF_Lj_nsp1_2_endo	195.1818182
UF_Lj_nsp1_2_rhizo	129
UF_Lj_nsp1_3_endo	112.5
UF_Lj_nsp1_3_rhizo	236.9285714
UF_Lj_nsp1_4_endo	105.5
UF_Lj_nsp1_4_rhizo	169.625
UF_Lj_nsp1_5_endo	189.2727273
UF_Lj_nsp1_5_rhizo	207.6
UF_Lj_nsp1_6_endo	106
UF_Lj_nsp1_6_rhizo	276.5882353
UF_Lj_nsp2_1_endo	107.2
UF_Lj_nsp2_1_rhizo	259.1428571
UF_Lj_nsp2_2_endo	107.75
UF_Lj_nsp2_2_rhizo	241.0454545
UF_Lj_nsp2_3_endo	156
UF_Lj_nsp2_3_rhizo	349.5
UF_Lj_nsp2_4_endo	95
UF_Lj_nsp2_4_rhizo	163.8666667
UF_Lj_nsp2_5_endo	74
UF_Lj_nsp2_5_rhizo	117.125
UF_Lj_nsp2_6_endo	147.1538462
UF_Lj_nsp2_6_rhizo	196.5
UF_Lj_symrk_1_endo	120.5
UF_Lj_symrk_1_rhizo	208.3684211
UF_Lj_symrk_2_endo	103
UF_Lj_symrk_2_rhizo	136.6666667
UF_Lj_symrk_3_endo	138
UF_Lj_symrk_3_rhizo	316.3958333
UF_Lj_symrk_4_endo	463.06
UF_Lj_symrk_4_rhizo	207.9130435
UF_Lj_symrk_5_endo	83
UF_Lj_symrk_5_rhizo	323.0909091
UF_Lj_symrk_6_endo	92.2
UF_Lj_symrk_6_rhizo	414.8730159
UF_Lj_WT_1_endo	156.4
UF_Lj_WT_1_nod	13.5
UF_Lj_WT_1_rhizo	333
UF_Lj_WT_2_endo	238.8
UF_Lj_WT_2_nod	47.54545455
UF_Lj_WT_2_rhizo	267.8
UF_Lj_WT_3_endo	129.6
UF_Lj_WT_3_nod	9
UF_Lj_WT_3_rhizo	306.1428571
UF_Lj_WT_4_endo	153.6666667
UF_Lj_WT_4_nod	13
UF_Lj_WT_4_rhizo	250.2857143
UF_Lj_WT_5_endo	115
UF_Lj_WT_5_nod	6
UF_Lj_WT_5_rhizo	163.375
UF_Lj_WT_6_endo	137
UF_Lj_WT_6_nod	11.33333333
UF_Lj_WT_6_rhizo	211.75
