Fresh_weight	Plant_species	Genotype	Soil_type
0.0307	Lotus	WT	PK
0.028	Lotus	WT	PK
0.0339	Lotus	WT	PK
0.032	Lotus	WT	PK
0.0346	Lotus	WT	PK
0.0505	Lotus	WT	PK
0.0386	Lotus	WT	PK
0.043	Lotus	WT	PK
0.0302	Lotus	WT	PK
0.0738	Lotus	WT	PK
0.0602	Lotus	WT	PK
0.0487	Lotus	WT	PK
0.0587	Lotus	WT	PK
0.054	Lotus	WT	PK
0.0391	Lotus	WT	PK
0.0486	Lotus	WT	PK
0.0397	Lotus	WT	PK
0.0154	Lotus	WT	PK
0.041	Lotus	WT	PK
0.0378	Lotus	WT	PK
0.0354	Lotus	WT	PK
0.062	Lotus	WT	PK
0.0521	Lotus	WT	PK
0.03	Lotus	WT	PK
0.0406	Lotus	WT	PK
0.0412	Lotus	WT	PK
0.037	Lotus	WT	PK
0.0425	Lotus	WT	PK
0.0324	Lotus	nsp2	UF
0.0283	Lotus	nsp2	UF
0.0517	Lotus	nsp2	UF
0.0289	Lotus	nsp2	UF
0.0332	Lotus	nsp2	UF
0.0236	Lotus	nsp2	UF
0.0199	Lotus	nsp2	UF
0.0218	Lotus	nsp2	UF
0.0207	Lotus	nsp2	UF
0.0276	Lotus	nsp2	UF
0.0205	Lotus	nsp2	UF
0.0141	Lotus	nsp2	UF
0.0208	Lotus	nsp2	UF
0.0254	Lotus	nsp2	UF
0.0139	Lotus	nsp2	UF
0.0232	Lotus	nsp2	UF
0.0153	Lotus	nsp2	UF
0.02	Lotus	nsp2	UF
0.0177	Lotus	nsp2	UF
0.0154	Lotus	nsp2	UF
0.0172	Lotus	nsp2	UF
0.022	Lotus	nsp2	UF
0.0202	Lotus	nsp2	UF
0.0159	Lotus	nsp2	UF
0.0195	Lotus	nsp2	UF
0.0113	Lotus	nsp2	UF
0.017	Lotus	nsp2	UF
0.0164	Lotus	nsp2	UF
0.0201	Lotus	nsp2	UF
0.0179	Lotus	nsp2	UF
0.0135	Lotus	nsp2	UF
0.014	Lotus	nsp2	UF
0.0195	Lotus	nsp2	UF
0.0153	Lotus	nsp2	UF
0.0206	Lotus	nsp2	UF
0.0206	Lotus	nsp2	UF
0.0203	Lotus	nsp2	UF
0.0131	Lotus	nsp2	UF
0.0186	Lotus	nsp2	UF
0.02	Lotus	nsp2	UF
0.014	Lotus	nsp2	UF
0.0182	Lotus	nsp2	UF
0.026	Lotus	nsp2	UF
0.023	Lotus	nsp2	UF
0.0151	Lotus	nsp2	UF
0.0212	Lotus	nsp2	UF
0.0175	Lotus	nsp2	UF
0.0217	Lotus	nsp2	UF
0.0173	Lotus	nsp2	UF
0.017	Lotus	nsp2	UF
0.0163	Lotus	nsp2	UF
0.015	Lotus	nsp2	UF
0.014	Lotus	nsp2	UF
0.0188	Lotus	nsp2	UF
0.0162	Lotus	nsp2	UF
0.0154	Lotus	nsp2	UF
0.0132	Lotus	nsp2	UF
0.0166	Lotus	nsp2	UF
0.0205	Lotus	symrk	UF
0.0191	Lotus	symrk	UF
0.0185	Lotus	symrk	UF
0.0167	Lotus	symrk	UF
0.0227	Lotus	symrk	UF
0.0289	Lotus	symrk	UF
0.0204	Lotus	symrk	UF
0.0167	Lotus	symrk	UF
0.017	Lotus	symrk	UF
0.0237	Lotus	symrk	UF
0.0225	Lotus	symrk	UF
0.0208	Lotus	symrk	UF
0.0217	Lotus	symrk	UF
0.0255	Lotus	symrk	UF
0.0169	Lotus	symrk	UF
0.0372	Lotus	symrk	UF
0.0155	Lotus	symrk	UF
0.0301	Lotus	symrk	UF
0.0214	Lotus	symrk	UF
0.021	Lotus	symrk	UF
0.0197	Lotus	symrk	UF
0.0124	Lotus	symrk	UF
0.0213	Lotus	symrk	UF
0.0192	Lotus	symrk	UF
0.0141	Lotus	symrk	UF
0.0153	Lotus	symrk	UF
0.0202	Lotus	symrk	UF
0.019	Lotus	symrk	UF
0.0184	Lotus	symrk	UF
0.0162	Lotus	nsp1	UF
0.0185	Lotus	nsp1	UF
0.0165	Lotus	nsp1	UF
0.017	Lotus	nsp1	UF
0.0156	Lotus	nsp1	UF
0.0229	Lotus	nsp1	UF
0.022	Lotus	nsp1	UF
0.0201	Lotus	nsp1	UF
0.0129	Lotus	nsp1	UF
0.0175	Lotus	nsp1	UF
0.0158	Lotus	nsp1	UF
0.0156	Lotus	nsp1	UF
0.0177	Lotus	nsp1	UF
0.0121	Lotus	nsp1	UF
0.0131	Lotus	nsp1	UF
0.0167	Lotus	nsp1	UF
0.0112	Lotus	nsp1	UF
0.0128	Lotus	nsp1	UF
0.0144	Lotus	nsp1	UF
0.0067	Lotus	nsp1	UF
0.0152	Lotus	nsp1	UF
0.015	Lotus	nsp1	UF
0.0193	Lotus	nsp1	UF
0.0153	Lotus	nsp1	UF
0.0176	Lotus	nsp1	UF
0.0179	Lotus	nsp1	UF
0.0154	Lotus	nsp1	UF
0.0155	Lotus	nsp1	UF
0.0131	Lotus	nsp1	UF
0.0103	Lotus	nsp1	UF
0.0194	Lotus	nsp1	UF
0.0156	Lotus	nsp1	UF
0.0128	Lotus	nsp1	UF
0.0101	Lotus	nsp1	UF
0.0162	Lotus	nsp1	UF
0.0144	Lotus	nsp1	UF
0.0173	Lotus	nsp1	UF
0.0143	Lotus	nsp1	UF
0.0139	Lotus	nsp1	UF
0.013	Lotus	nsp1	UF
0.019	Lotus	nsp1	UF
0.02	Lotus	nsp1	UF
0.0201	Lotus	nsp1	UF
0.02	Lotus	nsp1	UF
0.0201	Lotus	nsp1	UF
0.0179	Lotus	nsp1	UF
0.0146	Lotus	nsp1	UF
0.0098	Lotus	nsp1	UF
0.0118	Lotus	nsp1	UF
0.0128	Lotus	nsp1	UF
0.0165	Lotus	nsp1	UF
0.0189	Lotus	nsp1	UF
0.012	Lotus	nsp1	UF
0.0159	Lotus	nsp1	UF
0.0152	Lotus	nsp1	UF
0.0184	Lotus	nsp1	UF
0.0149	Lotus	nsp1	UF
0.0167	Lotus	nsp1	UF
0.0144	Lotus	nsp1	UF
0.0182	Lotus	nsp1	UF
0.0281	Lotus	ccamk	UF
0.0211	Lotus	ccamk	UF
0.0213	Lotus	ccamk	UF
0.0277	Lotus	ccamk	UF
0.0249	Lotus	ccamk	UF
0.02	Lotus	ccamk	UF
0.0221	Lotus	ccamk	UF
0.0205	Lotus	ccamk	UF
0.0268	Lotus	ccamk	UF
0.0195	Lotus	ccamk	UF
0.0217	Lotus	ccamk	UF
0.0292	Lotus	ccamk	UF
0.0258	Lotus	ccamk	UF
0.028	Lotus	ccamk	UF
0.0079	Lotus	ccamk	UF
0.0288	Lotus	ccamk	UF
0.0247	Lotus	ccamk	UF
0.0213	Lotus	ccamk	UF
0.0224	Lotus	ccamk	UF
0.0115	Lotus	ccamk	UF
0.0116	Lotus	ccamk	UF
0.0185	Lotus	ccamk	UF
0.02	Lotus	ccamk	UF
0.0184	Lotus	ccamk	UF
0.0195	Lotus	ccamk	UF
0.0154	Lotus	ccamk	UF
0.02	Lotus	ccamk	UF
0.0208	Lotus	ccamk	UF
0.0149	Lotus	ccamk	UF
0.0216	Lotus	ccamk	UF
0.0299	Lotus	ccamk	UF
0.016	Lotus	ccamk	UF
0.0205	Lotus	ccamk	UF
0.0198	Lotus	ccamk	UF
0.0186	Lotus	ccamk	UF
0.0109	Lotus	ccamk	UF
0.0264	Lotus	ccamk	UF
0.0146	Lotus	ccamk	UF
0.0244	Lotus	ccamk	UF
0.021	Lotus	ccamk	UF
0.0149	Lotus	ccamk	UF
0.0263	Lotus	ccamk	UF
0.0206	Lotus	ccamk	UF
0.0131	Lotus	ccamk	UF
0.0256	Lotus	ccamk	UF
0.0241	Lotus	ccamk	UF
0.0264	Lotus	ccamk	UF
0.028	Lotus	ccamk	UF
0.0185	Lotus	ccamk	UF
0.0239	Lotus	ccamk	UF
0.0167	Lotus	ccamk	UF
0.0213	Lotus	ccamk	UF
0.0229	Lotus	ccamk	UF
0.0268	Lotus	ccamk	UF
0.0103	Lotus	ccamk	UF
0.0224	Lotus	ccamk	UF
0.0236	Lotus	ccamk	UF
0.0278	Lotus	ccamk	UF
0.0202	Lotus	WT	UF
0.0187	Lotus	WT	UF
0.0166	Lotus	WT	UF
0.0134	Lotus	WT	UF
0.0242	Lotus	WT	UF
0.0266	Lotus	WT	UF
0.0193	Lotus	WT	UF
0.0236	Lotus	WT	UF
0.0215	Lotus	WT	UF
0.0214	Lotus	WT	UF
0.0358	Lotus	WT	UF
0.0323	Lotus	WT	UF
0.024	Lotus	WT	UF
0.0257	Lotus	WT	UF
0.0244	Lotus	WT	UF
0.0225	Lotus	WT	UF
0.0257	Lotus	WT	UF
0.0258	Lotus	WT	UF
0.022	Lotus	WT	UF
0.019	Lotus	WT	UF
0.0228	Lotus	WT	UF
0.0231	Lotus	WT	UF
0.0256	Lotus	WT	UF
0.0212	Lotus	WT	UF
0.024	Lotus	WT	UF
0.019	Lotus	WT	UF
0.0208	Lotus	WT	UF
0.022	Lotus	WT	UF
0.0274	Lotus	WT	UF
0.0239	Lotus	WT	UF
0.0292	Lotus	WT	UF
0.0329	Lotus	WT	UF
0.02	Lotus	WT	UF
0.0235	Lotus	WT	UF
0.0214	Lotus	WT	UF
0.0222	Lotus	WT	UF
0.0235	Lotus	WT	UF
0.0259	Lotus	WT	UF
0.0231	Lotus	WT	UF
0.0224	Lotus	WT	UF
0.0228	Lotus	WT	UF
0.0225	Lotus	WT	UF
0.0198	Lotus	WT	UF
0.0335	Lotus	WT	UF
0.0208	Lotus	WT	UF
0.024	Lotus	WT	UF
0.0214	Lotus	WT	UF
0.0282	Lotus	WT	UF
0.0209	Lotus	WT	UF
0.0212	Lotus	WT	UF
0.0173	Lotus	WT	UF
0.028	Lotus	WT	UF
0.0169	Lotus	WT	UF
0.0226	Lotus	WT	UF
0.0225	Lotus	WT	UF
0.0249	Lotus	WT	UF
0.0186	Lotus	WT	UF
0.0203	Lotus	WT	UF
