"","Soil","MaxValue","Letters","y_position","Compartment","ANOVA_sig"
"1","NPK",987.860759493671,"c",1000,"Rhizosphere","***"
"2","PK",731.952380952381,"a",761.348203737191,"Rhizosphere","***"
"3","UF",408.638888888889,"b",438.034711673699,"Rhizosphere","***"
"4","NPK",285.666666666667,"a",315.062489451477,"Root",""
"5","PK",693.141592920354,"a",722.537415705164,"Root",""
"6","UF",396.9,"a",426.29582278481,"Root",""
"7","NPK",104,"a",133.39582278481,"Nodules",""
"8","PK",18.3333333333333,"a",47.7291561181435,"Nodules",""
"9","UF",59.25,"a",88.6458227848101,"Nodules",""
