	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
G1_LjRoot134	2323	175	1660	491	55	1070	677	529	1070	677	52	827	393	411	173	484	826	871	920	574	846	841	1002	1930	1107	1462	130	689	762	746	675	425	484	1221	487	936	670	904	1376	887	605	750	842	741
LjRoot71	32	6	533	34	0	882	9	0	1488	20	20	1418	109	2520	12	356	129	4148	365	2723	17	628	31	1248	63	440	36	333	79	1252	23	327	29	795	32	556	15	667	21	857	34	693	4684	340
LjRoot289	1196	128	878	372	70	987	509	25	897	740	166	1402	43	116	117	530	277	556	662	499	341	1438	341	1410	270	1377	84	630	695	927	195	192	222	919	93	373	522	1075	280	866	798	909	206	814
LjRoot3	1078	66	551	426	66	624	986	25	385	321	53	368	722	584	200	247	1143	1028	1117	1156	487	550	524	729	378	527	64	307	509	377	260	143	224	326	132	296	273	554	666	606	607	597	1104	462
G4_LjRoot26	224	28	367	81	43	704	170	0	501	96	33	766	210	663	89	312	271	902	431	983	149	485	254	1067	184	401	42	318	397	815	248	265	236	614	423	739	185	542	303	604	277	644	1339	244
LjRoot18	264	14	378	82	11	386	235	8	442	134	17	480	21	105	124	345	87	175	16	67	325	556	285	725	240	606	38	279	254	257	629	391	486	691	439	1250	189	606	682	1646	229	951	272	1178
G6_LjRoot130	354	0	267	183	0	474	216	0	398	185	64	480	205	254	143	296	617	609	548	281	232	418	267	700	230	557	51	264	486	611	285	338	237	818	248	664	302	482	441	725	325	612	469	418
G17_LjRoot232	266	14	635	0	19	1053	50	0	1096	80	37	748	101	301	52	181	354	588	353	251	385	723	296	597	307	339	0	145	324	1172	256	188	171	493	574	522	146	514	225	375	237	460	578	332
LjRoot227	517	18	273	336	21	313	374	12	198	380	24	233	55	76	155	170	182	127	61	70	282	328	275	328	405	398	48	128	446	155	545	134	515	316	557	431	327	256	453	257	515	318	200	388
LjRoot219	457	28	300	397	12	380	293	8	213	344	17	358	256	268	47	174	432	377	273	311	205	314	178	371	325	272	37	200	410	294	149	73	180	208	226	233	165	277	248	207	356	253	480	221
LjRoot122	405	0	630	122	0	877	85	0	453	67	0	477	585	1606	59	302	857	4203	691	2390	47	487	89	863	50	459	31	225	272	851	81	199	91	468	296	856	80	522	95	577	163	579	2906	305
LjRoot243	442	44	176	288	53	178	251	0	155	245	0	140	125	119	107	140	358	233	250	107	438	155	362	222	428	157	88	144	489	173	493	102	409	261	240	239	377	191	796	248	396	171	307	166
G12_LjRoot70	298	0	500	88	0	270	0	0	623	149	0	548	103	222	0	0	383	610	119	0	210	578	356	1007	0	299	0	110	198	370	0	163	0	174	0	148	0	257	170	187	236	456	335	212
G29_LjRoot226	278	25	229	145	17	268	101	7	152	155	16	203	238	149	78	85	368	290	507	348	193	162	257	337	224	184	21	83	254	137	167	87	114	168	139	269	242	206	174	122	263	271	374	175
G22_LjRoot238	355	14	213	146	15	260	191	17	317	99	13	155	136	229	27	125	389	406	147	239	136	180	172	312	147	156	26	118	198	169	210	119	99	184	186	243	117	271	245	428	153	261	484	148
