structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	2	0,156	0,156	-104,874		0,124	40,163	C18H34O12	[M - H]-	C18H33O12-	MHJYRHBCBPGGHL	InChI=1S/C18H34O12/c1-9(2)17(25,6-19)3-4-27-15-13(23)12(22)11(21)10(30-15)5-28-16-14(24)18(26,7-20)8-29-16/h9-16,19-26H,3-8H2,1-2H3		CC(C)C(CCOC1C(C(C(C(O1)COC2C(C(CO2)(CO)O)O)O)O)O)(CO)O	-3,600	96355420;96355421;60208866;72683307	COCONUT:(CNP0456606);CHEBI:(182061);PUBCHEM:(96355420 96355421 60208866 72683307);GNPS:(CCMSLIB00000849820 CCMSLIB00000850568);PUBMED	2101346	441,197	398	6,641	694881377506983737	694877446017702882	2880	
1	3	0,029	0,191	-518,908		0,002	48,961	C32H39N3O6	[M - H]-	C32H38N3O6-	ZYAQEXLNQYIHNU	InChI=1S/C32H39N3O6/c1-18-15-19(2)27(20(3)16-18)35-31(39)33-26-17-23(22-9-12-24(40-8)13-10-22)11-14-25(26)29(36)34-28(30(37)38)21(4)41-32(5,6)7/h9-17,21,28H,1-8H3,(H,34,36)(H,37,38)(H2,33,35,39)	(2S)-2-[[4-(4-methoxyphenyl)-2-[(2,4,6-trimethylphenyl)carbamoylamino]benzoyl]amino]-3-[(2-methylpropan-2-yl)oxy]butanoic acid	CC1=CC(=C(C(=C1)C)NC(=O)NC2=C(C=CC(=C2)C3=CC=C(C=C3)OC)C(=O)NC(C(C)OC(C)(C)C)C(=O)O)C	5,900	25218523;11628297	PUBCHEMANNOTATIONBIO;PUBCHEM:(25218523 11628297);PUBMED	16777282	560,276	399	6,645	694881408192512858	694877460995564262	3235	
1	1	0,086	0,086	-132,098		1,000	51,007	C10H10O5	[M - H]-	C10H9O5-	SIXWWNJBOOYCOG	InChI=1S/C10H10O5/c1-5(11)2-6-3-7(12)4-8(13)9(6)10(14)15/h3-4,12-13H,2H2,1H3,(H,14,15)	2,4-dihydroxy-6-(2-oxopropyl)benzoic acid	CC(=O)CC1=C(C(=CC(=C1)O)O)C(=O)O	0,900	150898	COCONUT:(CNP0109676);SUPERNATURAL:(SN0346735);MESH:(150898);PUBCHEM:(150898);DSSTox:(DTXSID10152923);LOTUS:(Q77497524);PUBMED:(null)	137710534726	209,045	399	6,646	694881413716411742	694877370713158593	839	
1	2	0,003	0,003	-245,330		0,416	74,357	C10H11N2O8P	[M - H]-	C10H10N2O8P-	LBTRQTSMCAVTJZ	InChI=1S/C10H11N2O8P/c13-6-1-3-12(10(16)11-6)9-8(15)7(14)5(20-9)2-4-21(17,18)19/h1,3,5,7-9,14-15H,(H,11,13,16)(H2,17,18,19)/p-1	2-[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]ethynyl-hydroxy-dioxidophosphanium	C1=CN(C(=O)NC1=O)C2C(C(C(O2)C#C[P+](O)([O-])[O-])O)O	-3,800	101484504	PUBCHEM:(101484504)	2	317,015	399	6,647	694881375036538575	694877410219313678	1974	
1	1	0,099	0,252	-85,693		1,000	26,046	C9H10O5	[M - H]-	C9H9O5-	PAFLSMZLRSPALU	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)	Danshensu	C1=CC(=C(C=C1CC(C(=O)O)O)O)O	0,429	21677748;146036101;25202033;25203144;179536;439435;11600642	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003503);MiMeDB:(MMDBc0054828);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(439435 21677748 11600642);SUPERNATURAL:(SN0279910);MESH:(439435 11600642);FooDB:(FDB023184);PUBCHEM:(21677748 146036101 25202033 25203144 179536 439435 11600642);COCONUT:(CNP0265014);METACYC:(3-34-DIHYDROXYPHENYLLACTATE CPD-6982 CPD-7022);PLANTCYC:(CPD-6982);CHEBI:(71572 58279 71492 17807);KEGG:(C22038 C01207);DSSTox:(DTXSID60469215 DTXSID90194927);LOTUS:(Q10395557 Q83067800 Q27102635);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(PAFLSMZLRSPALU-UHFFFAOYSA-N)	139442915710	197,046	399	6,650	694881397144715850	694877366434967848	706	
1	2	0,089	0,089	-321,339		0,000	158,577	C18H33N3O3	[M - H]-	C18H32N3O3-	HJBDVFFKADBHHV	InChI=1S/C18H33N3O3/c22-16-10-4-1-7-13-19-17(23)11-5-2-9-15-21-18(24)12-6-3-8-14-20-16/h1-15H2,(H,19,23)(H,20,22)(H,21,24)	1,8,15-triazacyclohenicosane-2,9,16-trione	C1CCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCC1	1,000	9949800	COCONUT:(CNP0302655);SUPERNATURAL:(SN0127003);PUBCHEM:(9949800);DSSTox:(DTXSID801031783)	137442099202	338,245	399	6,650	694881413171152134	694877420147232547	2232	
1	2	0,198	0,198	-171,124		0,009	105,928	C13H18O5	[M - H]-	C13H17O5-	ZJPNWNNXUHAYDP	InChI=1S/C13H18O5/c1-3-5-9(14)12-8(13(16)17)7-10(15)11(18-12)6-4-2/h3-7,9-12,14-15H,1-2H3,(H,16,17)	Waol Acid	CC=CC1C(C=C(C(O1)C(C=CC)O)C(=O)O)O	0,100	102367306;162963041	COCONUT:(CNP0234362);SUPERNATURAL:(SN0472148);PUBCHEM:(102367306 162963041)	3145730	253,107	399	6,651	694881414496552360	694877385217064051	1282	
1	1	0,126	0,126	-209,243		1,000	40,343	C20H37N3O5	[M - H]-	C20H36N3O5-	ALMQDMPRSWZSDO	InChI=1S/C20H37N3O5/c1-7-8-9-15(20(27)28)22-19(26)17(11-13(4)5)23-18(25)16(10-12(2)3)21-14(6)24/h12-13,15-17H,7-11H2,1-6H3,(H,21,24)(H,22,26)(H,23,25)(H,27,28)	Ac-Leu-Leu-Norleucinol	CCCCC(C(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C	2,542	21918201;87526152;446403	PUBCHEMANNOTATIONBIO:(null);PUBCHEM:(21918201 87526152 446403);PUBMED:(null)	16777282	398,266	399	6,651	694881415540934091	694877437184497657	2682	
1	6	-Infinity	-Infinity	-219,697		0,000	116,125	C10H18N2O6S3	[M - H]-	C10H17N2O6S3-	OEWNVVPWLQJNJU	InChI=1S/C10H18N2O6S3/c1-6-8(12-10(3,13)14)4-5-20(15,16)9(6)19-7(2)21(11,17)18/h8,12-14H,2,4-5H2,1,3H3,(H2,11,17,18)	1-[[4-(1,1-dihydroxyethylamino)-5-methyl-1,1-dioxo-3,4-dihydro-2H-thiopyran-6-yl]sulfanyl]ethenesulfonamide	CC1=C(S(=O)(=O)CCC1NC(C)(O)O)SC(=C)S(=O)(=O)N	-1,500	91344559	PUBCHEM:(91344559)	2	357,029	399	6,653	694881437951101234	694877426224779878	2399	
1	1	0,208	0,208	-407,135		1,000	170,042	C19H29N5O3	[M - H]-	C19H28N5O3-	CRHJLDDLRFXYIO	InChI=1S/C19H29N5O3/c1-13(26)22-6-4-16(5-7-22)23-11-17(8-18(23)12-25)24-10-15(9-20-24)21-19(27)14-2-3-14/h9-10,14,16-18,25H,2-8,11-12H2,1H3,(H,21,27)	N-[1-[(3S,5S)-1-(1-acetylpiperidin-4-yl)-5-(hydroxymethyl)pyrrolidin-3-yl]pyrazol-4-yl]cyclopropanecarboxamide	CC(=O)N1CCC(CC1)N2CC(CC2CO)N3C=C(C=N3)NC(=O)C4CC4	-0,600	146119157	SUPERNATURAL:(SN0053502);PUBCHEM:(146119157)	1048578	374,221	399	6,653	694881446813666074	694877431580906668	2513	
