formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C7H11NO5	[M - H]-	C7H10NO5-		1,000	31,532	31,532	0,000	10	0,725	-3,595	9,864	1,776		188,057	199	3,319	694880063863329532	694877363847081890	628	
1	C21H35N3O9S	[M - H]-	C21H34N3O9S-		1,000	78,742	78,742	0,000	41	0,816	2,945	3,885	7,330		504,206	199	3,319	694880072524567759	694877455958204589	3123	
1	C25H26N4O4S2	[M - H]-	C25H25N4O4S2-		1,000	75,508	75,508	0,000	45	0,846	-1,494	4,756	-6,552		509,129	199	3,325	694880083417175805	694877456553795827	3137	
1	C5H11NO2	[M - H]-	C5H10NO2-		0,996	4,217	2,000	2,217	0	0,000			5,065		116,072	200	3,334	694880093546420647	694877340111512674	52	
1	C7H10O5	[M - H]-	C7H9O5-		0,999	46,208	46,208	0,000	10	0,235	0,129	4,395	1,578		173,046	200	3,340	694880095408693499	694877357866003546	460	
1	C7H12O5	[M - H]-	C7H11O5-		0,781	54,543	54,543	0,000	9	0,120	-0,609	5,655	-0,097		175,061	201	3,346	694880083668834074	694877358616784072	482	
1	C5H6N6O3	[M - H]-	C5H5N6O3-		0,937	17,907	17,907	0,000	4	0,115	-0,138	1,704	13,593		197,046	203	3,390	694880089427613828	694877366267195663	701	
1	C13H14N2O5	[M - H]-	C13H13N2O5-		0,997	76,249	73,523	2,726	22	0,431	-0,298	6,936	-3,014		277,082	203	3,391	694880103059108125	694877392242524386	1509	
1	C11H14O2S2	[M - H]-	C11H13O2S2-		0,861	57,780	57,780	0,000	14	0,312	0,781	6,263	-5,083		241,035	203	3,391	694880099636555742	694877382155221571	1170	
1	C6H8N3O2	[M - H]-	C6H7N3O2-		0,966	40,111	38,453	1,658	10	0,149	3,465	11,963	9,375		153,056	203	3,392	694880099351342960	694877351633266937	287	
1	C7H12N5O	[M - H]-	C7H11N5O-		0,967	34,062	34,001	0,061	11	0,156	-5,659	6,476	-8,054		181,095	204	3,398	694880098936106084	694877360818793947	537	
1	C10H14N2O4	[M - H]-	C10H13N2O4-		0,985	128,146	123,785	4,361	22	0,669	0,961	5,176	-1,068		225,088	204	3,400	694880099863048283	694877376060897063	1013	
1	C8H16N2O3	[M - H]-	C8H15N2O3-		1,000	24,814	24,814	0,000	7	0,279	2,537	8,703	-2,846		187,108	204	3,403	694880103000387863	694877363306016599	613	
1	C7H12O4	[M - H]-	C7H11O4-		0,996	7,619	7,619	0,000	1	0,102	-11,870	11,870	2,625		159,067	205	3,423	694880103168160076	694877353583618562	340	
1	C11H11NO5	[M - H]-	C11H10NO5-		0,919	55,402	55,402	0,000	12	0,236	-1,118	7,482	-1,593		236,056	207	3,443	694880107672843728	694877381005982055	1126	
1	C17H13N5O3S2	[M - H]-	C17H12N5O3S2-		0,848	36,955	36,955	0,000	35	0,762	3,137	5,933	6,110		398,041	207	3,448	694880117768536728	694877436924450779	2676	
1	C8H6O4	[M - H]-	C8H5O4-		1,000	31,562	31,562	0,000	5	0,241	-4,387	5,843	3,477		165,020	207	3,458	694880104464200244	694877355248757485	387	
1	C8H14N2O8P2S3	[M - H]-	C8H13N2O8P2S3-		0,991	50,257	50,257	0,000	26	0,594	2,790	4,795	-0,190		422,931	208	3,471	694880110503999852	694877442343492118	2788	
1	C3H13N7O5	[M - H]-	C3H12N7O5-		0,981	44,532	44,532	0,000	15	0,250	8,440	10,895	0,884		226,091	209	3,476	694880111372221129	694877376354498398	1024	
1	C9H18N2O3	[M - H]-	C9H17N2O3-		0,803	6,659	6,659	0,000	3	0,068	-2,121	5,327	-1,919		201,124	211	3,512	694880107370853716	694877368825721478	776	
1	C9H6O4	[M - H]-	C9H5O4-		0,994	11,807	11,807	0,000	2	0,061	-7,644	7,644	0,778		177,019	211	3,523	694880107391825251	694877359057186062	496	
1	C10H20N2O4	[M - H]-	C10H19N2O4-		1,000	75,997	75,997	0,000	19	0,437	2,567	6,451	-1,070		231,135	211	3,525	694880109317011574	694877380427167983	1102	
1	C6H7NO3	[M - H]-	C6H6NO3-		0,900	1,646	1,646	0,000	0	0,000	5,473	5,473	10,878		140,037	213	3,556	694880102182498527	694877347069863650	180	
1	C18H17N5O6	[M - H]-	C18H16N5O6-		0,932	68,600	68,600	0,000	27	0,621	-3,401	5,361	-4,411		398,109	215	3,592	694880120507417772	694877437129971700	2681	
1	C11H22N4O5S	[M - H]-	C11H21N4O5S-		0,839	118,435	118,435	0,000	29	0,531	-1,488	4,903	-16,736		321,118	216	3,606	694880115834962259	694877411804760845	2025	
1	C14H17N5O4	[M - H]-	C14H16N5O4-		0,999	62,351	62,073	0,277	22	0,342	-0,046	4,974	-5,085		318,119	219	3,648	694880117441380949	694877411033008779	1999	
1	C7H6N2O3	[M - H]-	C7H5N2O3-		0,998	16,152	16,152	0,000	4	0,165	1,581	5,815	-7,936		165,029	219	3,653	694880111703571291	694877355286506226	388	
1	C6H6N2O	[M - H]-	C6H5N2O-		0,990	2,000	2,000	0,000	0	0,000			-8,232		121,040	219	3,658	694880113037360703	694877341348832454	72	
1	C6H10O5	[M - H]-	C6H9O5-		0,885	13,535	10,833	2,702	3	0,028	6,795	11,056	0,267		161,046	219	3,658	694880109488978087	694877354175015511	357	
1	C12H13N5O2	[M - H]-	C12H12N5O2-		0,986	45,905	43,388	2,517	15	0,142	1,424	5,117	-5,844		258,098	220	3,663	694880116065649027	694877386966089084	1335	
1	C5H10N3O4	[M - H]-	C5H9N3O4-		1,000	42,699	42,699	0,000	9	0,269	-2,625	6,516	7,344		175,061	220	3,665	694880112810868190	694877358683892946	484	
1	C7H12O4	[M - H]-	C7H11O4-		0,935	11,090	11,090	0,000	1	0,011	7,505	7,505	1,368		159,067	220	3,673	694880110550137216	694877353545869821	339	
1	C7H14O4	[M - H]-	C7H13O4-		1,000	74,202	74,202	0,000	10	0,517	-1,191	5,348	-3,181		161,081	222	3,700	694880114580865073	694877354351176304	362	
1	C7H10O4	[M - H]-	C7H9O4-		1,000	31,772	31,772	0,000	2	0,437	2,267	4,163	-3,708		157,050	222	3,703	694880112357883145	694877352803477913	319	
1	C5H8O4	[M - H]-	C5H7O4-		0,923	4,500	4,500	0,000	0	0,000			4,333		131,036	222	3,704	694880111082814044	694877344775579092	126	
1	C13H12O8	[M - H]-	C13H11O8-		0,988	130,949	128,165	2,783	21	0,521	-3,480	5,639	0,404		295,046	223	3,719	694880119190405997	694877399309927568	1695	
1	C29H33N3O9	[M - H]-	C29H32N3O9-		0,504	59,026	57,061	1,965	23	0,688	2,953	4,824	8,012		566,219	223	3,722	694880118494151468	694877461373051682	3247	
1	C6H7NO3	[M - H]-	C6H6NO3-		0,922	2,000	2,000	0,000	0	0,000			3,880		140,036	224	3,732	694880110759852472	694877347023726301	179	
1	C6H14N3O5	[M - H]-	C6H13N3O5-		1,000	31,149	31,149	0,000	14	0,199	3,570	7,414	3,143		207,087	229	3,824	694880113897193272	694877370545386403	833	
1	C10H9N4O7PS3	[M - H]-	C10H8N4O7PS3-		1,000	47,285	47,285	0,000	33	0,745	1,126	4,188	4,541		422,932	230	3,835	694880121648268506	694877442414795301	2791	
1	C5H4O3	[M - H]-	C5H3O3-		0,991	4,076	4,076	0,000	0	0,000	8,067	8,067	9,000		111,010	230	3,839	694880110151678239	694877338245047254	24	
1	C14H18N2O4	[M - H]-	C14H17N2O4-		0,843	59,098	59,098	0,000	15	0,252	-0,426	3,052	0,038		277,119	231	3,842	694880128346574340	694877392297050348	1511	
1	C4H5N3O5P2S	[M - H]-	C4H4N3O5P2S-		0,979	34,014	34,014	0,000	15	0,388	5,566	6,616	4,038		267,936	231	3,847	694880129290292892	694877389621083951	1422	
1	C10H14N2O4	[M - H]-	C10H13N2O4-		1,000	71,291	71,291	0,000	17	0,274	-2,898	6,562	-3,993		225,087	232	3,861	694880127197334873	694877375947650835	1009	
1	C8H8O4S	[M - H]-	C8H7O4S-		1,000	46,975	46,975	0,000	7	0,322	-0,820	6,668	0,285		199,007	232	3,866	694880128459820577	694877367097667980	726	
1	C9H18N3O7S	[M - H]-	C9H17N3O7S-		0,500	68,122	68,122	0,000	33	0,502	-3,667	7,250	-0,705		311,079	233	3,890	694880129839746768	694877405278423095	1882	
1	C12H16N4O4	[M - H]-	C12H15N4O4-		1,000	84,622	84,622	0,000	24	0,308	-0,976	5,196	-7,160		279,108	234	3,907	694880128564678214	694877392930390352	1531	
1	C5H5N3O4S2	[M - H]-	C5H4N3O4S2-		1,000	29,997	29,997	0,000	6	0,298	2,316	7,112	1,876		233,965	235	3,913	694880127339941243	694877380783683893	1116	
1	C6H13N4O4S	[M - H]-	C6H12N4O4S-		1,000	66,395	66,395	0,000	24	0,579	-0,758	5,949	-9,042		236,056	235	3,918	694880128174607843	694877381031147884	1127	
1	C17H23N3O6S	[M - H]-	C17H22N3O6S-		1,000	80,328	80,328	0,000	28	0,651	0,265	4,708	7,245		396,126	236	3,928	694880136487722789	694877436395968400	2661	
1	C24H30N2O8S	[M - H]-	C24H29N2O8S-		1,000	88,272	88,272	0,000	43	0,689	-1,030	3,305	0,712		505,165	237	3,949	694880147225143683	694877456050479287	3125	
1	C5H11NO4S	[M - H]-	C5H10NO4S-		1,000	12,321	12,321	0,000	3	0,226	-4,894	14,298	-1,402		180,033	238	3,960	694880135476895008	694877360370003354	524	
1	C9H6O4	[M - H]-	C9H5O4-		1,000	37,297	37,297	0,000	4	0,619	11,300	12,400	0,100		177,019	238	3,972	694880135862771318	694877359027825929	495	
1	C11H20N2O5	[M - H]-	C11H19N2O5-		0,982	57,850	57,850	0,000	14	0,188	-1,348	6,004	-1,749		259,129	240	4,004	694880137817317716	694877387402296770	1349	
1	C10H19N4O7	[M - H]-	C10H18N4O7-		0,991	56,516	56,516	0,000	24	0,299	0,609	4,235	4,054		306,119	242	4,028	694880139750892441	694877403034470135	1818	
1	C8H12N2O10S4	[M - H]-	C8H11N2O10S4-		0,385	58,177	58,177	0,000	26	0,595	-2,617	6,242	2,903		422,931	242	4,036	694880142426859325	694877442364463643	2789	
1	C7H9O3S4	[M - H]-	C7H8O3S4-		0,757	16,091	16,091	0,000	6	0,188	1,273	1,817	-1,213		267,936	244	4,072	694880145148962897	694877389591723818	1421	
1	H6N3O2S	[M - H]-	H5N3O2S-		0,602	-1,920	-1,920	0,000	0	0,000	5,297	5,297	-8,882		111,010	246	4,100	694880138974945948	694877338429596640	26	
1	C20H32N12O9S	[M - H]-	C20H31N12O9S-		0,447	58,219	58,219	0,000	35	0,641	0,157	2,939	-2,008		615,205	248	4,133	694880185145862162	694877463839302784	3317	
1	C9H10O7S	[M - H]-	C9H9O7S-		1,000	85,018	85,018	0,000	17	0,445	-1,083	7,202	-0,181		261,007	248	4,140	694880145966852301	694877387746229753	1360	
1	C6H13NO3	[M - H]-	C6H12NO3-		0,997	2,259	2,259	0,000	1	0,016	0,993	4,670	-0,372		146,082	249	4,146	694880137968312706	694877349133461458	228	
1	C8H8N4O5S	[M - H]-	C8H7N4O5S-		1,000	43,335	43,335	0,000	18	0,213	-0,350	5,511	3,060		271,015	250	4,161	694880145165740128	694877390766129118	1457	
1	C9H17NO4	[M - H]-	C9H16NO4-		0,986	8,172	5,256	2,916	3	0,027	1,123	10,700	-0,552		202,108	250	4,165	694880138723287636	694877369446478560	794	
1	C7H15N4O4	[M - H]-	C7H14N4O4-		0,895	106,061	101,748	4,313	25	0,484	4,488	4,715	5,899		218,103	250	4,168	694880139373404909	694877374177654242	948	
1	C12H26O4S3	[M - H]-	C12H25O4S3-		1,000	58,360	58,360	0,000	21	0,534	-3,097	6,371	-13,722		329,088	251	4,186	694880152992313086	694877415231507733	2129	
1	C6H9N4O12PS2	[M - H]-	C6H8N4O12PS2-		0,488	73,917	73,917	0,000	45	0,892	-1,632	2,869	-1,522		422,932	252	4,200	694880159149551996	694877442393823776	2790	
1	C20H16N4O4S2	[M - H]-	C20H15N4O4S2-		0,894	41,612	41,612	0,000	34	0,855	2,295	5,177	2,208		439,055	253	4,213	694880156318396432	694877445648604065	2867	
1	C12H16N4O4S	[M - H]-	C12H15N4O4S-		0,998	109,071	105,511	3,560	37	0,499	1,050	6,908	-4,756		311,080	253	4,221	694880155743776754	694877405316171836	1883	
1	C2H9N2O5P2S	[M - H]-	C2H8N2O5P2S-		0,997	31,489	31,489	0,000	13	0,322	-6,057	9,073	7,291		233,965	254	4,233	694880163364827840	694877380758518064	1115	
1	C9H20N5O2	[M - H]-	C9H19N5O2-		1,000	44,780	44,780	0,000	18	0,252	0,259	6,477	4,244		229,155	254	4,241	694880160869216864	694877377847670867	1073	
1	C10H26N3O3S3	[M - H]-	C10H25N3O3S3-		1,000	65,532	65,532	0,000	29	0,584	0,577	5,408	-9,312		331,103	256	4,267	694880173594746949	694877416389135797	2161	
1	C10H13NO3	[M - H]-	C10H12NO3-		0,995	27,293	27,293	0,000	9	0,170	-2,559	6,920	-2,508		194,082	256	4,270	694880169677257027	694877365495443617	679	
1	C12H16N4O4	[M - H]-	C12H15N4O4-		1,000	83,767	83,767	0,000	21	0,295	-0,867	7,327	-6,121		279,108	257	4,282	694880173649272918	694877393001693530	1533	
1	C21H35N9O12S	[M - H]-	C21H34N9O12S-		0,848	73,494	73,494	0,000	40	0,730	0,946	3,691	7,031		636,210	257	4,286	694880196139134753	694877464812381452	3345	
1	C8H15N4O4	[M - H]-	C8H14N4O4-		1,000	119,129	119,129	0,000	27	0,598	1,434	6,507	5,721		230,103	258	4,295	694880173594746938	694877380100012206	1089	
1	C7H6O3	[M - H]-	C7H5O3-		0,982	4,500	4,500	0,000	0	0,000			2,426		137,025	258	4,298	694880173577969706	694877346344248968	162	
1	C14H14N4O5	[M - H]-	C14H13N4O5-		0,999	59,390	56,991	2,399	21	0,252	-0,892	4,039	-5,876		317,087	259	4,312	694880177436730586	694877410315782685	1977	
1	C7H6O6S	[M - H]-	C7H5O6S-		1,000	34,168	31,670	2,498	8	0,378	-7,407	8,549	6,902		216,983	259	4,314	694880177432536272	694877373724669330	932	
1	C6H12O4	[M - H]-	C6H11O4-		1,000	32,105	32,105	0,000	5	0,303	-1,275	4,965	-0,560		147,066	259	4,315	694880169761143133	694877349552891913	239	
1	C8H14N5O3	[M - H]-	C8H13N5O3-		1,000	75,090	75,090	0,000	22	0,365	4,619	8,013	1,477		227,103	259	4,324	694880176853722296	694877376685848469	1035	
1	C7H8N3O3	[M - H]-	C7H7N3O3-		1,000	87,911	87,911	0,000	18	0,493	-5,016	7,865	8,121		181,051	260	4,333	694880173577969714	694877360701353420	534	
1	C8H8O3	[M - H]-	C8H7O3-		0,997	4,368	4,368	0,000	0	0,000	-2,057	2,057	2,018		151,040	260	4,333	694880173577969701	694877350723102879	269	
1	C7H8O3	[M - H]-	C7H7O3-		0,745	14,583	14,583	0,000	1	0,294	-4,726	4,726	2,318		139,040	260	4,334	694880179491940100	694877346814011076	174	
1	C9H19NO4	[M - H]-	C9H18NO4-		0,924	44,049	44,049	0,000	9	0,127	-1,474	6,294	-0,829		204,124	260	4,337	694880178896348834	694877370088207182	816	
1	C5H4O3	[M - H]-	C5H3O3-		0,991	4,500	4,500	0,000	0	0,000			7,949		111,010	262	4,359	694880178711799401	694877337775285191	21	
1	C13H12O8S4	[M - H]-	C13H11O8S4-		0,962	33,704	33,704	0,000	13	0,417	-0,492	3,648	-6,277		422,932	263	4,376	694880182444730292	694877442444155434	2792	
1	C5H10O3	[M - H]-	C5H9O3-		0,999	4,208	4,208	0,000	0	0,000	-5,516	5,516	-1,860		117,056	264	4,399	694880192477506616	694877340379948155	57	
1	C12H13NO6	[M - H]-	C12H12NO6-		1,000	52,400	52,400	0,000	16	0,264	-0,360	3,518	0,073		266,067	266	4,428	694880196827000707	694877389168099029	1404	
1	C8H12O6	[M - H]-	C8H11O6-		1,000	57,638	57,638	0,000	10	0,180	0,102	5,354	3,291		203,057	267	4,442	694880194847288892	694877369807188764	806	
1	C8H11NO3	[M - H]-	C8H10NO3-		0,980	10,658	10,658	0,000	1	0,248	14,425	14,425	-0,814		168,066	269	4,478	694880197338705947	694877355965983574	408	
1	C3H10N3O2P2S2	[M - H]-	C3H9N3O2P2S2-		0,729	15,798	15,798	0,000	13	0,326	-5,383	7,280	1,468		244,962	269	4,486	694880203147817656	694877383828749182	1233	
1	C4H4O3	[M - H]-	C4H3O3-		1,000	4,231	4,231	0,000	0	0,000	6,065	6,065	10,428		99,010	270	4,501	694880193224093024	694877335950762886	8	
1	C5H11N4O2S	[M - H]-	C5H10N4O2S-		0,981	43,814	43,814	0,000	10	0,546	2,079	3,485	4,603		190,054	270	4,507	694880197447757901	694877364404924407	645	
1	C9H15NO4	[M - H]-	C9H14NO4-		1,000	39,598	39,598	0,000	11	0,281	-1,314	7,459	-0,232		200,093	271	4,513	694880195556126384	694877368087523864	754	
1	C12H16N4O4	[M - H]-	C12H15N4O4-		1,000	89,761	89,761	0,000	22	0,408	1,122	4,384	-8,020		279,108	271	4,518	694880200509600271	694877392867475782	1529	
1	C5H8O4	[M - H]-	C5H7O4-		1,000	18,291	18,291	0,000	1	0,516	-7,783	7,783	5,401		131,036	271	4,520	694880192301345795	694877344821716441	127	
1	C16H23N5O6	[M - H]-	C16H22N5O6-		0,969	90,395	88,582	1,814	33	0,727	1,057	7,169	-4,569		380,156	271	4,523	694880203353338666	694877433191519639	2560	
1	C8H16NO6	[M - H]-	C8H15NO6-		1,000	77,407	77,407	0,000	17	0,365	-0,934	7,566	9,125		221,093	272	4,529	694880206310324301	694877374836160085	971	
1	C23H39N7O10S2	[M - H]-	C23H38N7O10S2-		0,513	71,190	71,190	0,000	37	0,702	0,033	3,817	-5,385		636,209	272	4,535	694880263872965798	694877464787215623	3344	
1	C7H13NO3	[M - H]-	C7H12NO3-		1,000	15,997	15,997	0,000	3	0,115	6,236	7,266	0,184		158,082	272	4,536	694880201293935210	694877353390680553	335	
1	C12H16N7O5PS2	[M - H]-	C12H15N7O5PS2-		0,652	67,926	67,926	0,000	38	0,739	3,423	4,035	9,238		432,036	273	4,547	694880210433326014	694877443320765115	2821	
1	C14H16N4O5	[M - H]-	C14H15N4O5-		1,000	62,104	62,104	0,000	20	0,171	-1,257	8,338	-6,685		319,103	273	4,549	694880207841245771	694877411326610109	2009	
1	C12H12N4O3	[M - H]-	C12H11N4O3-		1,000	30,801	26,777	4,024	11	0,072	-9,778	9,778	-5,496		259,082	273	4,555	694880207346317802	694877387259690409	1344	
1	C11H22O8S	[M - H]-	C11H21O8S-		0,594	69,118	69,118	0,000	19	0,337	-3,820	5,550	-10,515		313,093	273	4,558	694880208357145224	694877406423468247	1914	
1	C9H10N4O	[M - H]-	C9H9N4O-		0,975	36,450	36,102	0,348	7	0,349	-0,509	3,852	-10,601		189,076	275	4,581	694880205450491486	694877364144877519	637	
1	C13H18N4O5	[M - H]-	C13H17N4O5-		1,000	107,399	107,399	0,000	30	0,560	2,058	4,932	-8,260		309,118	275	4,581	694880209225366314	694877404112406403	1846	
1	C11H24N3O2S2	[M - H]-	C11H23N3O2S2-		1,000	77,680	77,680	0,000	35	0,559	1,220	6,728	-1,936		293,123	275	4,589	694880209795791704	694877396709458911	1662	
1	C15H27NO5	[M - H]-	C15H26NO5-		0,995	65,209	65,209	0,000	19	0,229	-0,791	3,544	0,573		300,182	278	4,627	694880217899192695	694877401461605845	1760	
1	C12H18N3O2S2	[M - H]-	C12H17N3O2S2-		0,915	97,342	97,342	0,000	28	0,554	3,421	5,912	0,678		299,077	278	4,629	694880218851299760	694877400807294311	1738	
1	C23H27N5O6S	[M - H]-	C23H26N5O6S-		1,000	63,006	63,006	0,000	32	0,587	0,523	2,565	-4,735		500,159	278	4,638	694880233338427396	694877455534579810	3108	
1	C7H12O4	[M - H]-	C7H11O4-		0,557	4,500	4,500	0,000	0	0,000			3,505		159,067	278	4,638	694880224719131628	694877353621367303	341	
1	C7H5NO3S	[M - H]-	C7H4NO3S-		1,000	25,682	22,556	3,126	7	0,138	0,572	4,632	0,947		181,992	278	4,641	694880225125979185	694877360860736992	538	
1	C9H17NO4	[M - H]-	C9H16NO4-		1,000	45,485	43,433	2,052	8	0,181	2,007	5,764	-2,135		202,108	279	4,653	694880215839789285	694877369329038033	791	
1	C18H19N3O7S2	[M - H]-	C18H18N3O7S2-		1,000	91,060	91,060	0,000	42	0,787	0,306	5,001	4,523		452,061	279	4,654	694880241861254259	694877447930305756	2930	
1	C12H16N4O4	[M - H]-	C12H15N4O4-		1,000	117,296	113,592	3,704	29	0,644	-1,898	6,532	-5,584		279,108	280	4,664	694880239189482314	694877393039442271	1534	
1	C13H16N4O4	[M - H]-	C13H15N4O4-		1,000	74,888	74,888	0,000	30	0,365	0,436	7,124	-6,350		291,108	280	4,664	694880242700115131	694877396009010003	1634	
1	C9H11NO2PS	[M - H]-	C9H10NO2PS-		1,000	50,094	50,094	0,000	20	0,383	-0,365	7,852	9,714		227,020	280	4,666	694880238497422066	694877376471938930	1028	
1	C10H21N2O5S	[M - H]-	C10H20N2O5S-		1,000	79,314	79,314	0,000	35	0,624	-2,898	7,530	6,493		280,112	280	4,670	694880228804384348	694877393265934727	1542	
1	C15H22N3OS	[M - H]-	C15H21N3OS-		0,945	38,863	38,863	0,000	18	0,284	-0,048	4,360	11,191		291,144	280	4,671	694880233380370454	694877396084507490	1637	
1	C22H26O11	[M - H]-	C22H25O11-		0,490	61,616	60,607	1,009	22	0,765	0,525	3,924	-1,022		465,140	280	4,674	694880238077991580	694877450836958640	2970	
1	C7H13N4O3	[M - H]-	C7H12N4O3-		0,995	52,622	51,913	0,709	12	0,193	1,542	7,551	5,953		200,093	281	4,691	694880248714747361	694877368058163731	753	
1	C8H9NO	[M - H]-	C8H8NO-		1,000	3,620	2,000	1,620	0	0,000			0,541		134,061	281	4,692	694880244159733147	694877345538942505	143	
1	C10H9NO4	[M - H]-	C10H8NO4-		1,000	77,901	77,901	0,000	11	0,497	-1,626	4,194	0,236		206,046	282	4,693	694880249872375371	694877370226619239	821	
1	C8H11NO4	[M - H]-	C8H10NO4-		1,000	37,851	37,851	0,000	6	0,675	-11,325	11,355	0,264		184,062	282	4,693	694880256969138843	694877361582157390	560	
1	C8H5NO2	[M - H]-	C8H4NO2-		1,000	10,148	7,947	2,201	1	0,156	4,650	4,650	1,356		146,025	282	4,693	694880256641983060	694877349062158280	226	
1	C15H14N4O8S	[M - H]-	C15H13N4O8S-		0,960	45,218	45,218	0,000	20	0,584	-0,936	3,677	-2,929		409,045	282	4,705	694880262551759863	694877439063546119	2736	
1	C9H20N5O2	[M - H]-	C9H19N5O2-		0,810	57,451	57,451	0,000	15	0,385	1,954	8,012	3,280		229,155	283	4,716	694880243736108398	694877377814116430	1072	
1	C12H16N2O3	[M - H]-	C12H15N2O3-		1,000	44,389	44,389	0,000	7	0,350	2,987	5,504	-1,599		235,108	283	4,723	694880249729769009	694877380909513043	1122	
1	C16H14N4O7S	[M - H]-	C16H13N4O7S-		0,695	74,140	74,140	0,000	35	0,711	0,023	3,956	-3,070		405,050	283	4,725	694880257241768708	694877438438594733	2718	
1	C12H16N3O7	[M - H]-	C12H15N3O7-		0,998	80,358	77,968	2,391	28	0,269	0,303	4,875	4,093		313,093	284	4,728	694880263038299180	694877406394108114	1913	
1	C14H18N4O3	[M - H]-	C14H17N4O3-		0,534	79,870	78,690	1,179	16	0,356	2,014	5,181	-1,639		289,130	284	4,728	694880261507378079	694877395434390250	1613	
1	C11H17N5O7P	[M - H]-	C11H16N5O7P-		1,000	130,219	130,219	0,000	35	0,631	-5,440	5,767	-1,781		361,079	284	4,729	694880274283229593	694877427080418014	2423	
1	C24H26N6O3S	[M - H]-	C24H25N6O3S-		0,797	106,397	106,397	0,000	43	0,746	-1,537	4,656	-0,363		477,171	284	4,737	694880279802934038	694877452653092537	3023	
1	C11H11N4O2	[M - H]-	C11H10N4O2-		0,878	41,467	41,467	0,000	9	0,335	-4,786	6,606	2,025		230,081	284	4,738	694880265923980782	694877379990960282	1085	
1	C19H24N6O5S2	[M - H]-	C19H23N6O5S2-		0,499	72,122	72,122	0,000	35	0,766	-1,862	5,146	2,289		479,119	285	4,744	694880279362531992	694877452925722342	3032	
1	C22H30N6O13	[M - H]-	C22H29N6O13-		1,000	91,570	91,570	0,000	44	0,851	0,328	2,512	2,600		585,181	285	4,753	694880302389264229	694877462287410084	3273	
1	C13H19N6O4	[M - H]-	C13H18N6O4-		0,808	105,509	105,509	0,000	30	0,482	-3,530	4,851	2,509		322,140	285	4,755	694880263935880389	694877412110945092	2036	
1	C11H12N2O2	[M - H]-	C11H11N2O2-		1,000	65,091	62,251	2,841	9	0,478	-6,611	7,456	0,093		203,083	286	4,767	694880281497433089	694877369899463467	809	
1	C8H7N	[M - H]-	C8H6N-		1,000	2,000	2,000	0,000	0	0,000			1,786		116,051	286	4,769	694880279488361168	694877339977294931	49	
1	C7H13NO3S	[M - H]-	C7H12NO3S-		0,890	34,989	34,989	0,000	7	0,267	1,219	8,953	-1,778		190,054	287	4,785	694880281057031119	694877364438478844	646	
1	C21H24N4O3S	[M - H]-	C21H23N4O3S-		0,865	94,703	94,703	0,000	40	0,747	0,032	4,234	0,741		411,150	287	4,791	694880286933251955	694877440883874101	2743	
1	C19H33N5O7	[M - H]-	C19H32N5O7-		1,000	107,757	107,757	0,000	38	0,747	0,129	2,827	-2,058		442,230	288	4,794	694880284185982303	694877446072228844	2882	
1	C6H10O3	[M - H]-	C6H9O3-		1,000	5,561	4,500	1,061	0	0,000			1,877		129,056	288	4,796	694880286278940281	694877343542453631	109	
1	C25H30N4O6S	[M - H]-	C25H29N4O6S-		1,000	127,263	127,263	0,000	48	0,890	-2,141	4,961	-1,187		513,181	289	4,810	694880312833084622	694877457149387045	3147	
1	C11H20N2O3	[M - H]-	C11H19N2O3-		1,000	91,955	90,578	1,377	19	0,356	-2,841	5,387	-1,171		227,140	289	4,810	694880287176521627	694877377000421324	1046	
1	C8H13N3O5S2	[M - H]-	C8H12N3O5S2-		0,999	58,997	58,997	0,000	38	0,747	-0,890	7,047	2,258		294,023	289	4,811	694880295422524499	694877399171515511	1690	
1	C16H16N4O6	[M - H]-	C16H15N4O6-		0,999	101,901	101,280	0,621	35	0,712	-0,216	4,478	-6,315		359,097	289	4,814	694880300623461874	694877426665181863	2412	
1	C12H18N3O2S2	[M - H]-	C12H17N3O2S2-		1,000	99,459	99,459	0,000	37	0,671	1,337	4,543	1,948		299,077	289	4,817	694880301869170385	694877400912151926	1741	
1	C13H24N2O7S	[M - H]-	C13H23N2O7S-		0,601	84,117	84,117	0,000	37	0,734	-1,729	5,993	-6,737		351,121	289	4,820	694880303060352974	694877424660304256	2353	
1	C15H20N2O7	[M - H]-	C15H19N2O7-		0,999	144,562	143,383	1,180	37	0,688	-0,010	6,080	-2,313		339,119	290	4,835	694880306621317325	694877420184981288	2233	
1	C9H17NO4	[M - H]-	C9H16NO4-		1,000	66,351	66,351	0,000	15	0,295	1,231	6,807	-2,020		202,108	291	4,843	694880288363509846	694877369282900684	790	
1	C8H9N4O3	[M - H]-	C8H8N4O3-		1,000	69,847	69,847	0,000	18	0,251	-4,744	9,106	6,158		208,061	291	4,844	694880291303717404	694877370687992764	838	
1	C23H26O13	[M - H]-	C23H25O13-		0,992	54,196	50,960	3,236	23	0,615	-0,851	3,582	-1,246		509,129	291	4,853	694880327651561248	694877456683819261	3139	
