formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C33H32N2O9S	[M - H]-	C33H31N2O9S-		0,904	53,993	53,993	0,000	30	0,720	-0,841	2,660	-4,666		631,173	110	1,826	694879631615047219	694877464577500388	3337	
1	C6H19N4O7S	[M - H]-	C6H18N4O7S-		0,668	86,652	86,652	0,000	37	0,686	-1,418	4,810	-7,613		290,088	110	1,828	694879616461026021	694877395799294763	1626	
1	C6H12N4O9P2	[M - H]-	C6H11N4O9P2-		0,999	35,590	35,590	0,000	26	0,782	3,144	3,798	-7,289		344,998	110	1,829	694879614569394714	694877422550569029	2290	
1	C12H16N4O5	[M - H]-	C12H15N4O5-		1,000	134,245	133,546	0,699	39	0,639	-3,532	5,325	-5,500		295,103	110	1,831	694879608013696529	694877399381230746	1697	
1	C44H48N2O10S2	[M - H]-	C44H47N2O10S2-		0,978	97,243	97,243	0,000	39	0,797	-3,055	3,171	-3,966		827,264	110	1,832	694879672941529049	694877466875979370	3415	
1	C9H11NO3	[M - H]-	C9H10NO3-		1,000	64,447	63,255	1,192	11	0,413	3,044	5,757	-3,425		180,066	110	1,833	694879641538771256	694877360399363487	525	
1	C9H12N2O6	[M - H]-	C9H11N2O6-		1,000	71,277	68,323	2,954	19	0,297	-0,377	6,021	-4,648		243,061	110	1,833	694879602888255799	694877383048608488	1203	
1	C20H30N4O6S2	[M - H]-	C20H29N4O6S2-		0,200	77,887	77,887	0,000	45	0,830	-1,464	4,632	-6,679		485,150	110	1,833	694879652578181073	694877453777166174	3056	
1	C27H29N5O7S	[M - H]-	C27H28N5O7S-		0,593	105,603	101,463	4,140	38	0,650	1,948	4,571	7,413		566,176	110	1,834	694879753434426168	694877461318525720	3245	
1	C9H20N3O3S2	[M - H]-	C9H19N3O3S2-		0,996	65,830	65,830	0,000	24	0,407	-2,069	4,687	-2,035		281,087	110	1,835	694879654562087114	694877393349820822	1545	
1	C28H30N8O7S	[M - H]-	C28H29N8O7S-		1,000	67,429	64,283	3,146	38	0,783	-6,399	6,399	-2,044		621,187	110	1,836	694879689982987390	694877464002880665	3322	
1	C27H28N2O7S	[M - H]-	C27H27N2O7S-		1,000	67,683	67,683	0,000	40	0,725	-0,591	3,652	6,411		523,158	110	1,836	694879672522098483	694877458000830882	3172	
1	C5H7NO3	[M - H]-	C5H6NO3-		0,990	3,144	3,144	0,000	1	0,004	3,367	3,367	3,307		128,036	110	1,837	694879644625779456	694877343022359895	101	
1	C6H10O5	[M - H]-	C6H9O5-		0,948	7,080	4,500	2,580	0	0,000			0,267		161,046	110	1,838	694879649575058998	694877354208569948	358	
1	C20H34O18	[M - H]-	C20H33O18-		1,000	69,112	63,470	5,642	30	0,786	-0,217	3,515	-1,404		561,166	110	1,838	694879752826252026	694877461092033264	3237	
1	C7H14O6	[M - H]-	C7H13O6-		0,777	8,443	4,500	3,943	0	0,000			-1,925		193,071	110	1,840	694879645204593523	694877365264756862	672	
1	C6H12O5	[M - H]-	C6H11O5-		0,719	10,059	7,721	2,338	1	0,040	-11,186	11,186	-1,883		163,061	110	1,840	694879672656316269	694877354858687163	377	
1	C7H6O5S	[M - H]-	C7H5O5S-		1,000	28,499	24,198	4,301	6	0,091	1,309	5,105	0,110		200,986	110	1,841	694879661130368041	694877368150438434	756	
1	C5H6O3	[M - H]-	C5H5O3-		1,000	6,678	4,500	2,178	0	0,000			7,099		113,025	110	1,842	694879673079941145	694877338974856195	33	
1	C10H13N4O5P2S	[M - H]-	C10H12N4O5P2S-		0,398	91,483	91,145	0,338	37	0,806	-1,333	5,474	0,187		362,001	111	1,842	694879683842526100	694877427562763049	2438	
