formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C23H44NO7P	[M - H]-	C23H43NO7P-		44,396	38,065	6,331	21	0,737	-4,872	5,448	0,021		476,278	1027	17,116	650283078586029602	650277988180812102	1893	
1	C10H21N4O2	[M - H]-	C10H20N4O2-		52,846	51,691	1,155	21	0,224	-3,029	7,287	5,371		228,160	1028	17,130	650283074253312498	650277902780582393	710	
1	C16H26N3O5	[M - H]-	C16H25N3O5-		108,549	108,549	0,000	34	0,565	-0,471	5,049	6,543		339,182	1028	17,133	650283081882755147	650277958594189740	1512	
1	C6H8O3	[M - H]-	C6H7O3-		4,917	4,917	0,000	1	0,002	5,133	5,133	1,624		127,040	1028	17,137	650283083765999619	650277875895090744	95	
1	C12H24N3O3	[M - H]-	C12H23N3O3-		95,840	91,954	3,886	26	0,507	-2,020	8,155	4,700		257,176	1029	17,142	650283084663581947	650277911433432478	897	
1	C15H31N5O5S	[M - H]-	C15H30N5O5S-		47,978	44,045	3,934	29	0,336	-3,210	6,423	-9,379		392,194	1031	17,182	650283085829599219	650277979154669291	1774	
1	C11H14N2O5	[M - H]-	C11H13N2O5-		91,143	89,017	2,126	34	0,589	2,382	6,541	0,656		253,083	1031	17,189	650283087532487080	650277909713767693	868	
1	C18H35NO2	[M - H]-	C18H34NO2-		69,143	66,100	3,044	18	0,422	0,003	5,196	0,353		296,260	1032	17,199	650283084378369045	650277930366522019	1151	
1	C20H39NO4	[M - H]-	C20H38NO4-		119,247	115,626	3,621	26	0,482	-3,786	4,758	-0,834		356,280	1033	17,211	650283084390951972	650277966953438199	1626	
1	C17H32N2O7	[M - H]-	C17H31N2O7-		125,040	124,265	0,775	41	0,647	3,554	6,515	7,263		375,216	1035	17,244	650283092532098574	650277973030985139	1715	
1	C16H28N3O2	[M - H]-	C16H27N3O2-		102,222	101,722	0,500	28	0,605	-2,560	5,754	4,687		293,212	1036	17,259	650283088518148876	650277927380177392	1116	
1	C18H33NO2	[M - H]-	C18H32NO2-		90,160	86,943	3,216	20	0,482	-1,838	4,149	0,441		294,244	1037	17,283	650283084458060928	650277927933825555	1123	
1	C16H30N3O2	[M - H]-	C16H29N3O2-		115,280	115,280	0,000	35	0,636	2,044	5,260	7,399		295,229	1041	17,358	650283084978154979	650277929636713068	1140	
1	C27H45N5O2	[M - H]-	C27H44N5O2-		45,533	39,644	5,889	17	0,832	3,848	5,143	-3,144		470,349	1043	17,385	650283087154999594	650277987551666472	1887	
