Genotype,x,y,SampleID,Compartment,Description,Bio_rep,Rev_barcode,seg_x,seg_y,Host
nsp2,-0.0846991915157831,0.0190563718465516,Lj_nsp2_LjSC_3_endo,Root,Lj_nsp2_LjSC_3_endo,3,B5-R-78,0.00552298941394897,0.080708016048932,Lotus
nsp2,0.276664006956634,0.235351302990546,Lj_nsp2_LjSC_4_endo,Root,Lj_nsp2_LjSC_4_endo,4,B5-R-80,0.00552298941394897,0.080708016048932,Lotus
symrk,0.185237418792226,0.16649592357941,Lj_symrk_LjSC_1_endo,Root,Lj_symrk_LjSC_1_endo,1,B5-R-26,0.063059055876779,0.112491850048582,Lotus
symrk,0.103979429280092,0.15815053492557,Lj_symrk_LjSC_2_endo,Root,Lj_symrk_LjSC_2_endo,2,B5-R-28,0.063059055876779,0.112491850048582,Lotus
symrk,0.15287743386995,0.13129393413728,Lj_symrk_LjSC_3_endo,Root,Lj_symrk_LjSC_3_endo,3,B5-R-30,0.063059055876779,0.112491850048582,Lotus
symrk,-0.189858058435152,-0.0059729924479332,Lj_symrk_LjSC_4_endo,Root,Lj_symrk_LjSC_4_endo,4,B5-R-32,0.063059055876779,0.112491850048582,Lotus
WT,0.0748017839543987,-0.146308703390797,Lj_Gifu_LjSC_1_endo,Root,Lj_Gifu_LjSC_1_endo,1,B5-R-14,0.140904050515654,-0.244686587787886,Lotus
WT,0.240529913029942,-0.188864278336342,Lj_Gifu_LjSC_2_endo,Root,Lj_Gifu_LjSC_2_endo,2,B5-R-17,0.140904050515654,-0.244686587787886,Lotus
WT,0.129151008395133,-0.335589000196831,Lj_Gifu_LjSC_3_endo,Root,Lj_Gifu_LjSC_3_endo,3,B5-R-20,0.140904050515654,-0.244686587787886,Lotus
WT,0.119133496683144,-0.307984369227574,Lj_Gifu_LjSC_4_endo,Root,Lj_Gifu_LjSC_4_endo,4,B5-R-23,0.140904050515654,-0.244686587787886,Lotus
