ASVid	AM_S_1	AM_S_10	AM_S_100	AM_S_101	AM_S_102	AM_S_103	AM_S_104	AM_S_105	AM_S_106	AM_S_107	AM_S_108	AM_S_109	AM_S_11	AM_S_110	AM_S_111	AM_S_112	AM_S_113	AM_S_114	AM_S_115	AM_S_116	AM_S_117	AM_S_118	AM_S_119	AM_S_12	AM_S_120	AM_S_121	AM_S_122	AM_S_123	AM_S_124	AM_S_125	AM_S_126	AM_S_127	AM_S_128	AM_S_129	AM_S_13	AM_S_130	AM_S_131	AM_S_132	AM_S_133	AM_S_134	AM_S_135	AM_S_136	AM_S_137	AM_S_138	AM_S_139	AM_S_14	AM_S_140	AM_S_141	AM_S_142	AM_S_143	AM_S_144	AM_S_145	AM_S_146	AM_S_147	AM_S_148	AM_S_149	AM_S_15	AM_S_150	AM_S_151	AM_S_152	AM_S_153	AM_S_154	AM_S_155	AM_S_156	AM_S_157	AM_S_158	AM_S_159	AM_S_16	AM_S_160	AM_S_161	AM_S_162	AM_S_163	AM_S_164	AM_S_165	AM_S_166	AM_S_167	AM_S_168	AM_S_169	AM_S_17	AM_S_170	AM_S_171	AM_S_172	AM_S_173	AM_S_174	AM_S_175	AM_S_176	AM_S_177	AM_S_178	AM_S_179	AM_S_18	AM_S_180	AM_S_181	AM_S_182	AM_S_183	AM_S_184	AM_S_185	AM_S_186	AM_S_187	AM_S_188	AM_S_189	AM_S_19	AM_S_190	AM_S_191	AM_S_2	AM_S_20	AM_S_21	AM_S_22	AM_S_23	AM_S_24	AM_S_25	AM_S_26	AM_S_27	AM_S_28	AM_S_29	AM_S_3	AM_S_30	AM_S_31	AM_S_32	AM_S_33	AM_S_34	AM_S_35	AM_S_36	AM_S_37	AM_S_38	AM_S_39	AM_S_4	AM_S_40	AM_S_41	AM_S_42	AM_S_43	AM_S_44	AM_S_45	AM_S_46	AM_S_47	AM_S_48	AM_S_49	AM_S_5	AM_S_50	AM_S_51	AM_S_52	AM_S_53	AM_S_54	AM_S_55	AM_S_56	AM_S_57	AM_S_58	AM_S_59	AM_S_6	AM_S_60	AM_S_61	AM_S_62	AM_S_63	AM_S_64	AM_S_65	AM_S_66	AM_S_67	AM_S_68	AM_S_69	AM_S_7	AM_S_70	AM_S_71	AM_S_72	AM_S_73	AM_S_74	AM_S_75	AM_S_76	AM_S_77	AM_S_78	AM_S_79	AM_S_8	AM_S_80	AM_S_81	AM_S_82	AM_S_83	AM_S_84	AM_S_85	AM_S_86	AM_S_87	AM_S_88	AM_S_89	AM_S_9	AM_S_90	AM_S_91	AM_S_92	AM_S_93	AM_S_94	AM_S_95	AM_S_96	AM_S_97	AM_S_98	AM_S_99
3622ff252c37eae1c1ca16398fdda7a1	0	0	0	2	1	1	0	1	1	3	0	4	0	0	1	2	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	1	1	0	0	1	1	0	2	0	1	1	1	0	3	1	1	5	0	2	0	3	0	0	0	0	0	0	0	2	0	1	2	1	1	0	3	0	1	3	0	5	0	3	0	2	2	0	0	0	1	0	3	0	0	0	2	0	3	0	0	1	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	6	0	0	0	0	2	0	1	0	0	1	2	0	1	0	1	2	0	3	0	1	0	2	1	1	0	1	1	0	3	0	2	0	2	0	2
2b421ca229af3a266dbdd21dbec8cb7c	0	5	0	0	0	0	0	0	0	2	1	1	0	0	4	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	2	4	1	0	2	0	0	2	0	4	0	3	3	4	1	3	0	0	1	3	2	1	0	0	2	0	0	0	0	3	0	1	2	3	0	0	1	0	2	0	1	3	0	0	2	1	1	5	4	0	0	2	0	0	0	1	0	0	0	1	0	4	0	18	2	0	1	0	2	0	2	0	2	0	0	3	0	3	0	1	0	1	0	1	0	0	3	0	0	0	3	0	6	0	0	1	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	2	1	0	0	0	0	4	0	1	0	0	0	0	0	8
b33517f5edeff1e873d5661c0e7439c4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	2	1	0	1	1	3	2	0	1	4	0	0	0	1	1	2	0	1	0	1	1	0	2	2	1	0	2	0	1	0	0	0	0	1	1	0	1	2	0	0	1	1	0	1	0	1	0	0	2	0	1	0	0	1	0	1	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3
5fbc2544cdf52c973d6410e6eaa1a30f	0	0	2	0	1	0	0	2	0	1	1	0	2	1	0	0	1	0	1	0	1	0	1	0	0	0	1	2	2	1	1	0	1	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	0	3	0	0	1	1	0	2	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	4	0	2	0	1	1	0	0	0	0	0	1	1	0	3	0	3	0	0	0	0	1	0	1	0	0	1	2	0	0	1	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	1	0	0	0	0	2	0	1	0	0	1	1	0	2	0	2	0	1	0	0	2	1	0	1	0	0	1	1	1	3	1	1	0	1	1	1	1
677143aa7a1da51518268c1910d1d567	0	0	0	1	0	1	0	3	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	1	1	0	0	0	3	1	0	1	0	4	0	1	0	0	0	0	0	0	0	3	2	0	2	0	1	0	3	0	2	0	0	4	0	1	0	1	0	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	4	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	1	0	2	0	2	0	2	1	1	0	0	2	0	3	0	1	0	2	0	0
a452bcdf114bedb4eed921b0230de513	0	1	0	1	0	0	0	2	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	2	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	4	0	2	0	2	0	1	0	0	0	0	3	0	1	0	1	0	2	0	3	0	1	1	0	0	0	2	0	0	0	3	0	0	1	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	4	0	5	0	0	1	0	1	0	3	0	2	0	1	0	2	0	0	0	0	0	0	4	0	4	0	1
1c55f9a278d6d5f9b06cf63a0b45dae8	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	2	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	4	5	7	0	0	0	0	1	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0
16bd8bce158568dbee8ea2269687b567	1	0	2	0	0	0	2	1	0	1	2	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	1	0	1	0	2	0	0	2	1	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	1	2	4	0	1	0	2	0	1	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0
258fd093dfecc4b00fdffbece2af7251	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	3	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	1	2	0	0	0	1	1	1	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
be13a55d7e731a497cd2d571def4c71a	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	2	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	3	1	2	1	0	1	2	0	0	0	0	0	1	1	1	1	1	0	2	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	2	0	0	1	0	0	0	1	1	0	0	2	3	0	1
9e9b313091709306ef11a93f22d0ba9f	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	2	1	1	1	1	0	1	3	3	2	2	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	2	0	2	0	0	1	3	0	0	0	0	1	0	2	0	1	0	4	0	3	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6cc75dac2ff83acdd8af2933ab981d38	3	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	0	3	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	2	1	0	0	2	1	5	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	3	0	0	0	0	0	0	2	1	2	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0
417d0d7cdb0bf05f29dc77df9141ca54	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	1	1	0	1	2	2	0	0	2	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	2	1	0	2	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	1	0	1	1	0	1	0	2	1	1	0	1	0	0	1	0	1	0	0	0	2	2	0	0	0	2	0	0	0	0	1	0	0	0
adfb4894c9f494aa55889690210b7f8a	0	3	1	0	0	1	1	1	0	2	0	1	1	0	2	0	0	0	0	1	0	1	2	0	1	0	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	2	1	0	0	6	0	0	0	0	0	1	2	1	1	0	2	0	0	0	0	2	0	1	1	2	1	0	0	0	2	0	2	0	2	0	6	1	0	4	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1
ce6b3d05be610385b37b3ca5c899d8ee	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	1	0	2	1	1	1	1	0	1	0	0	2	0	1	0	1	0	1	0	0	0	0	0	0	2	0	2	0	2	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	3	1	0
