# Constructed from biom file
#OTU ID	Hv_OXNSP1NSP2_HvSC_only_endo_1	Hv_OXNSP1NSP2_HvSC_only_endo_2	Hv_OXNSP1NSP2_HvSC_only_endo_3	Hv_OXNSP1NSP2_HvSC_only_endo_4	Hv_OXNSP1NSP2_HvSC_only_endo_5	Hv_OXNSP1NSP2_HvSC_only_endo_6	Hv_OXNSP1NSP2_HvSC_only_rhizo_1	Hv_OXNSP1NSP2_HvSC_only_rhizo_2	Hv_OXNSP1NSP2_HvSC_only_rhizo_3	Hv_OXNSP1NSP2_HvSC_only_rhizo_4	Hv_OXNSP1NSP2_HvSC_only_rhizo_5	Hv_OXNSP1NSP2_HvSC_only_rhizo_6	Hv_OXNSP1_HvSC_only_endo_1	Hv_OXNSP1_HvSC_only_endo_2	Hv_OXNSP1_HvSC_only_endo_3	Hv_OXNSP1_HvSC_only_endo_4	Hv_OXNSP1_HvSC_only_endo_5	Hv_OXNSP1_HvSC_only_endo_6	Hv_OXNSP1_HvSC_only_rhizo_1	Hv_OXNSP1_HvSC_only_rhizo_2	Hv_OXNSP1_HvSC_only_rhizo_3	Hv_OXNSP1_HvSC_only_rhizo_4	Hv_OXNSP1_HvSC_only_rhizo_5	Hv_OXNSP1_HvSC_only_rhizo_6	Hv_OXNSP2_HvSC_only_endo_1	Hv_OXNSP2_HvSC_only_endo_2	Hv_OXNSP2_HvSC_only_endo_3	Hv_OXNSP2_HvSC_only_endo_4	Hv_OXNSP2_HvSC_only_endo_5	Hv_OXNSP2_HvSC_only_endo_6	Hv_OXNSP2_HvSC_only_rhizo_1	Hv_OXNSP2_HvSC_only_rhizo_2	Hv_OXNSP2_HvSC_only_rhizo_3	Hv_OXNSP2_HvSC_only_rhizo_4	Hv_OXNSP2_HvSC_only_rhizo_5	Hv_OXNSP2_HvSC_only_rhizo_6	Hv_WT_HvSC_only_endo_1	Hv_WT_HvSC_only_endo_2	Hv_WT_HvSC_only_endo_3	Hv_WT_HvSC_only_endo_4	Hv_WT_HvSC_only_endo_5	Hv_WT_HvSC_only_rhizo_1	Hv_WT_HvSC_only_rhizo_2	Hv_WT_HvSC_only_rhizo_3	Hv_WT_HvSC_only_rhizo_4	Hv_WT_HvSC_only_rhizo_5	Hv_WT_HvSC_only_rhizo_6	Hv_ccamk_HvSC_only_endo_1	Hv_ccamk_HvSC_only_endo_2	Hv_ccamk_HvSC_only_endo_3	Hv_ccamk_HvSC_only_endo_4	Hv_ccamk_HvSC_only_endo_5	Hv_ccamk_HvSC_only_endo_6	Hv_ccamk_HvSC_only_rhizo_1	Hv_ccamk_HvSC_only_rhizo_2	Hv_ccamk_HvSC_only_rhizo_3	Hv_ccamk_HvSC_only_rhizo_4	Hv_ccamk_HvSC_only_rhizo_5	Hv_ccamk_HvSC_only_rhizo_6	Hv_nsp1_HvSC_only_endo_1	Hv_nsp1_HvSC_only_endo_2	Hv_nsp1_HvSC_only_endo_3	Hv_nsp1_HvSC_only_endo_4	Hv_nsp1_HvSC_only_endo_5	Hv_nsp1_HvSC_only_endo_6	Hv_nsp1_HvSC_only_rhizo_1	Hv_nsp1_HvSC_only_rhizo_2	Hv_nsp1_HvSC_only_rhizo_3	Hv_nsp1_HvSC_only_rhizo_4	Hv_nsp1_HvSC_only_rhizo_5	Hv_nsp1_HvSC_only_rhizo_6	Hv_nsp2_HvSC_only_endo_1	Hv_nsp2_HvSC_only_endo_2	Hv_nsp2_HvSC_only_endo_3	Hv_nsp2_HvSC_only_endo_4	Hv_nsp2_HvSC_only_endo_5	Hv_nsp2_HvSC_only_endo_6	Hv_nsp2_HvSC_only_rhizo_1	Hv_nsp2_HvSC_only_rhizo_2	Hv_nsp2_HvSC_only_rhizo_3	Hv_nsp2_HvSC_only_rhizo_4	Hv_nsp2_HvSC_only_rhizo_5	Hv_nsp2_HvSC_only_rhizo_6	Hv_symrk_HvSC_only_endo_1	Hv_symrk_HvSC_only_endo_2	Hv_symrk_HvSC_only_endo_3	Hv_symrk_HvSC_only_endo_4	Hv_symrk_HvSC_only_endo_5	Hv_symrk_HvSC_only_endo_6	Hv_symrk_HvSC_only_rhizo_1	Hv_symrk_HvSC_only_rhizo_2	Hv_symrk_HvSC_only_rhizo_3	Hv_symrk_HvSC_only_rhizo_4	Hv_symrk_HvSC_only_rhizo_5	Hv_symrk_HvSC_only_rhizo_6	SC_input_1	SC_input_2	bulk_HvSC_1	bulk_HvSC_2	bulk_HvSC_3	bulk_HvSC_4	bulk_HvSC_5	bulk_HvSC_6
P2_H11	5108.0	23798.0	8282.0	22963.0	20633.0	8384.0	2904.0	1143.0	4991.0	1142.0	794.0	899.0	21178.0	16059.0	26098.0	10282.0	17868.0	16593.0	1632.0	2537.0	2448.0	2309.0	5906.0	3324.0	30.0	4603.0	8900.0	3510.0	2858.0	4623.0	1429.0	1020.0	2973.0	1437.0	2663.0	2372.0	58789.0	10065.0	7604.0	8888.0	5859.0	2743.0	2353.0	2683.0	3022.0	4356.0	5497.0	14024.0	5122.0	14104.0	7439.0	5282.0	6572.0	129.0	3931.0	2930.0	966.0	869.0	1466.0	16564.0	9372.0	16449.0	19548.0	21728.0	9551.0	793.0	1673.0	2058.0	4483.0	1877.0	2846.0	6185.0	3591.0	8465.0	2975.0	6190.0	7503.0	2104.0	3109.0	1235.0	5022.0	9075.0	5611.0	24975.0	24815.0	31537.0	17992.0	27892.0	21479.0	3449.0	7698.0	5466.0	3175.0	5060.0	3683.0	23.0	35.0	362.0	54.0	479.0	653.0	0.0	7.0
P5_A1	7176.0	18019.0	8727.0	8099.0	7533.0	10265.0	91.0	37.0	163.0	73.0	46.0	47.0	25079.0	17320.0	21576.0	16079.0	15337.0	18116.0	51.0	49.0	141.0	100.0	119.0	172.0	39.0	7718.0	6926.0	4540.0	4904.0	5460.0	49.0	42.0	180.0	55.0	182.0	65.0	19232.0	12100.0	8645.0	7624.0	7008.0	133.0	105.0	118.0	192.0	179.0	255.0	37270.0	21045.0	15311.0	12794.0	26984.0	13523.0	15.0	349.0	536.0	134.0	178.0	220.0	10047.0	22033.0	12378.0	20499.0	19115.0	12515.0	139.0	249.0	188.0	246.0	185.0	141.0	4161.0	11146.0	12367.0	7453.0	11520.0	8091.0	88.0	113.0	60.0	196.0	173.0	97.0	19910.0	8384.0	16468.0	31613.0	10645.0	13901.0	191.0	253.0	141.0	193.0	170.0	195.0	0.0	0.0	54.0	58.0	187.0	117.0	0.0	0.0
P4_H10	1482.0	4781.0	2146.0	2254.0	2208.0	2651.0	2677.0	1476.0	3111.0	1631.0	1212.0	2258.0	3930.0	13226.0	9986.0	8761.0	10006.0	12522.0	858.0	1710.0	2011.0	2003.0	4604.0	5128.0	21.0	1026.0	1283.0	1615.0	517.0	1151.0	2208.0	978.0	3784.0	3122.0	3416.0	3494.0	8595.0	2866.0	836.0	2559.0	1128.0	1989.0	1917.0	1243.0	2356.0	1940.0	3073.0	2973.0	1596.0	12149.0	7834.0	8254.0	6212.0	13.0	5730.0	3100.0	4050.0	3852.0	3629.0	3775.0	5421.0	6552.0	6619.0	10961.0	12650.0	2006.0	1736.0	3553.0	2559.0	2085.0	1761.0	11031.0	2313.0	6285.0	2777.0	1510.0	3777.0	1936.0	2777.0	3070.0	5204.0	5671.0	4158.0	4260.0	3645.0	3121.0	3456.0	4652.0	6044.0	2320.0	3172.0	2380.0	2051.0	3026.0	2769.0	0.0	0.0	196.0	16.0	445.0	211.0	0.0	6.0
P1_A1	440.0	1016.0	2296.0	739.0	4026.0	402.0	3914.0	1975.0	2797.0	1284.0	2583.0	2144.0	784.0	1391.0	2561.0	2793.0	2764.0	774.0	2165.0	3476.0	4006.0	4273.0	3843.0	3137.0	27.0	217.0	484.0	178.0	302.0	2985.0	1368.0	996.0	5648.0	1390.0	3655.0	2779.0	10858.0	1029.0	260.0	63.0	79.0	3300.0	3137.0	372.0	431.0	482.0	264.0	680.0	282.0	890.0	306.0	651.0	434.0	73.0	2745.0	5767.0	3918.0	2144.0	4110.0	820.0	1081.0	971.0	3551.0	1071.0	724.0	4081.0	9761.0	3486.0	2931.0	1968.0	3190.0	1092.0	416.0	1174.0	395.0	342.0	296.0	3201.0	3500.0	2256.0	1930.0	3267.0	3545.0	1571.0	472.0	1216.0	873.0	803.0	940.0	5594.0	8165.0	5552.0	3158.0	3086.0	3626.0	50.0	50.0	28050.0	119.0	38614.0	25816.0	0.0	2812.0
P1_A8	5341.0	2418.0	1559.0	1054.0	2192.0	2434.0	1114.0	557.0	1645.0	738.0	314.0	425.0	4508.0	1764.0	3318.0	946.0	2472.0	3331.0	528.0	659.0	834.0	977.0	1219.0	1126.0	0.0	4079.0	2381.0	3085.0	3571.0	1737.0	622.0	455.0	1834.0	859.0	1109.0	783.0	7996.0	3456.0	4157.0	2938.0	936.0	1111.0	807.0	673.0	1539.0	1322.0	1594.0	2132.0	3727.0	1512.0	515.0	1140.0	613.0	71.0	1605.0	1427.0	976.0	704.0	892.0	1183.0	4022.0	755.0	2214.0	1602.0	1410.0	512.0	1147.0	1426.0	951.0	842.0	693.0	2434.0	2918.0	7229.0	1539.0	3417.0	3411.0	619.0	1100.0	816.0	1273.0	1416.0	1409.0	7970.0	1608.0	5840.0	3426.0	5856.0	5261.0	1116.0	1622.0	1293.0	849.0	1267.0	1114.0	0.0	0.0	75.0	0.0	210.0	23.0	0.0	0.0
P4_A8	3138.0	1418.0	745.0	998.0	1032.0	1380.0	3418.0	1037.0	1937.0	2172.0	457.0	331.0	2416.0	1006.0	2836.0	471.0	1049.0	744.0	1212.0	1325.0	2177.0	1636.0	1815.0	1702.0	6.0	908.0	1388.0	829.0	1067.0	1590.0	1045.0	652.0	8631.0	1643.0	2539.0	3026.0	12162.0	3088.0	209.0	57.0	249.0	1429.0	674.0	200.0	145.0	437.0	66.0	834.0	992.0	861.0	349.0	498.0	351.0	8.0	1138.0	1672.0	851.0	1054.0	965.0	508.0	1887.0	305.0	1180.0	572.0	353.0	4910.0	3415.0	4134.0	1267.0	3054.0	3043.0	691.0	436.0	1311.0	420.0	260.0	336.0	12295.0	1566.0	797.0	2436.0	2930.0	2464.0	1371.0	347.0	1441.0	1300.0	2482.0	902.0	5899.0	2784.0	3271.0	2613.0	1562.0	1828.0	7.0	0.0	141.0	6.0	201.0	304.0	0.0	2.0
P4_B4	97.0	208.0	137.0	109.0	191.0	121.0	2325.0	1219.0	2499.0	898.0	1839.0	1481.0	132.0	326.0	397.0	874.0	477.0	159.0	1457.0	2052.0	1866.0	3105.0	1987.0	1522.0	0.0	107.0	86.0	108.0	53.0	135.0	628.0	646.0	3615.0	1359.0	2193.0	1846.0	1199.0	454.0	52.0	38.0	24.0	1520.0	1752.0	170.0	249.0	187.0	90.0	53.0	107.0	372.0	252.0	303.0	191.0	0.0	987.0	1337.0	3139.0	1734.0	2650.0	126.0	249.0	139.0	602.0	246.0	165.0	1532.0	2454.0	1834.0	1445.0	763.0	1207.0	267.0	56.0	183.0	83.0	97.0	55.0	1214.0	1882.0	1400.0	981.0	1257.0	2245.0	293.0	90.0	233.0	277.0	255.0	374.0	2172.0	3322.0	3272.0	1716.0	1607.0	1947.0	0.0	0.0	12863.0	44.0	22558.0	20214.0	0.0	2012.0
P4_C7	166.0	1402.0	417.0	808.0	431.0	302.0	2497.0	1181.0	2316.0	708.0	2199.0	1683.0	565.0	709.0	767.0	1129.0	1084.0	557.0	1366.0	1855.0	1924.0	2581.0	2263.0	1558.0	0.0	217.0	254.0	201.0	74.0	265.0	788.0	657.0	3468.0	1309.0	2482.0	1566.0	7217.0	1700.0	163.0	1270.0	98.0	2744.0	1822.0	217.0	369.0	305.0	329.0	122.0	207.0	810.0	602.0	576.0	320.0	53.0	1301.0	1761.0	2658.0	1613.0	2692.0	694.0	580.0	428.0	2178.0	574.0	423.0	2071.0	2731.0	1885.0	1724.0	952.0	1139.0	700.0	186.0	464.0	551.0	214.0	512.0	1286.0	1670.0	1270.0	1098.0	1876.0	2569.0	1012.0	327.0	775.0	1299.0	997.0	1131.0	2433.0	3797.0	3480.0	1868.0	1870.0	1991.0	23.0	32.0	9839.0	66.0	20668.0	17528.0	0.0	2049.0
P1_F10	2893.0	2868.0	1786.0	1047.0	1710.0	2044.0	46.0	17.0	24.0	16.0	20.0	19.0	3333.0	3022.0	4515.0	1517.0	3080.0	2316.0	28.0	12.0	72.0	48.0	72.0	83.0	0.0	2869.0	1685.0	1510.0	1449.0	2348.0	28.0	13.0	97.0	44.0	87.0	48.0	2432.0	2009.0	998.0	753.0	437.0	34.0	43.0	12.0	22.0	25.0	40.0	4571.0	2795.0	1571.0	1199.0	3232.0	1548.0	0.0	112.0	136.0	47.0	39.0	52.0	2186.0	3927.0	1541.0	2254.0	3786.0	1365.0	36.0	95.0	70.0	67.0	72.0	65.0	696.0	3389.0	2148.0	871.0	2951.0	1977.0	46.0	66.0	37.0	59.0	80.0	90.0	5854.0	1776.0	4265.0	4029.0	2608.0	2509.0	75.0	101.0	50.0	82.0	42.0	81.0	0.0	0.0	56.0	0.0	0.0	27.0	0.0	0.0
P1_E1	2575.0	2109.0	1308.0	1007.0	1276.0	1574.0	316.0	205.0	313.0	127.0	82.0	87.0	3046.0	1645.0	2377.0	728.0	1872.0	3600.0	159.0	184.0	257.0	190.0	291.0	346.0	7.0	1756.0	1228.0	1457.0	1151.0	1185.0	226.0	111.0	743.0	231.0	352.0	262.0	4733.0	1875.0	1891.0	1027.0	649.0	280.0	284.0	128.0	408.0	343.0	291.0	1335.0	1165.0	1687.0	848.0	1519.0	998.0	0.0	500.0	411.0	307.0	269.0	370.0	1017.0	2532.0	682.0	1806.0	1241.0	1091.0	245.0	498.0	537.0	463.0	303.0	323.0	1217.0	1377.0	4208.0	1091.0	1923.0	1484.0	211.0	307.0	198.0	428.0	467.0	324.0	3472.0	806.0	2728.0	1931.0	2755.0	2660.0	298.0	412.0	266.0	249.0	343.0	368.0	0.0	0.0	583.0	4.0	293.0	267.0	0.0	6.0
