feature	LjRoot221	LjRoot149	LjRoot223	G37_LjNodule209	G21_LjRoot111	LjRoot228	G3_LjRoot129	LjRoot196	G32_LjRoot291	LjRoot259	G11_LjRoot25	G8_LjRoot126	LjRoot17	G2_LjRoot102	G16_LjRoot125	LjRoot82	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot122	LjRoot243	G12_LjRoot70	G29_LjRoot226	G22_LjRoot238	LjRoot237	G7_LjRoot117	LjRoot10	LjRoot229	G5_LjRoot105	LjRoot11	G36_LjRoot142	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	G35_LjRoot145	LjRoot89	LjRoot1	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot295	LjRoot296	LjRoot257	G9_LjRoot131	G24_LjRoot12	LjRoot244	G15_LjRoot29	LjRoot230	LjRoot258	LjRoot220	G34_LjRoot233	LjRoot261	G31_LjRoot101	LjRoot28	LjRoot288	LjRoot231
Lj_Gifu_LjSC_1_endo	0.123033921369114	0.0850424783317601	0.0671929975113705	0.0288460359686653	0.0421595910311263	0.204459918353336	0.0222628139902661	0.0663103308773952	0.0356008875703375	0.0345098135366736	0.0173100734329602	0.0282575915460151	0.0187689252307805	0.0170894067744664	0.0254747397972319	0.0145149624253718	0.0123328143580439	0.008532444128428	0.028478258204509	0.000392296281766804	0.0146620735310343	0.0132154809920192	0.00274607397236763	0.00323644432457614	0.00433977761704527	0.00326096284218656	0.00633803680229493	0.00560248127398217	0.00496499981611112	0.00541859239190399	0.00365325912395337	0.00340807394784911	0.00435203687585049	0.00441333316987655	0.00140981476259945	0.00312611099532922	0.00216988880852264	0	0.00230474065537998	0.00343259246545954	0.00557796275637175	0.00333451839501784	0.0020350369616653	0.00190018511480796	0.00107881477485871	0.000735555528312758	0.00127496291574211	0.00134851846857339	0.000551666646234569	0.000392296281766804	0.000833629598754459	0.000392296281766804	0.00120140736291084	0.000171629623272977	0.000612962940260632	0.000919444410390948	0.00120140736291084	0.00100525922202744	6.12962940260632e-05	0.00041681479937723	0.000367777764156379	0.00129948143335254	0	0.000257444434909465	0.00018388888207819	0.000220666658493827	0	0	0
Lj_Gifu_LjSC_2_endo	0.123531054632952	0.0392076825574151	0.112058779298344	0.155541710529143	0.0393365845274669	0.177455045437944	0.0180892431305992	0.0173802822953144	0.0327840677165016	0.0211828904118418	0.0467054804820934	0.0338582508002664	0.0183255634090274	0.00996841901733731	0.0173587986336391	0.0084860463617419	0.011687111951361	0.00657400047264056	0.0105484778825703	0.000730444496960062	0.00799192214321009	0.00915203987367607	0.00174017659569897	0.00176166025737427	0.00393151008657916	0	0.00721851032289943	0.00852901368509249	0.0026210067243861	0.00618729456248523	0.00189056222742604	0.00311513094291791	0.00313661460459321	0.00367370614647561	0.00122456871549187	0.00298622897286614	0.00219133349088019	0	0.0026210067243861	0.00240617010763315	0.00191204588910134	0.00227726813758137	0.00163275828732249	0.00358777149977442	0	0.000644509850258878	0.00148237265559542	0.000966764775388317	0.000494124218531807	0	0	0.000537091541882398	0.000859346467011837	0.000257803940103551	0.000343738586804735	0.00116011773046598	0	0.000537091541882398	0.00665993511934174	0.000214836616752959	0.000150385631727072	0.00206243152082841	0.000386705910155327	0.000515607880207102	0	0	0	0	0.000128901970051776
Lj_Gifu_LjSC_3_endo	0.11231730814418	0.0613750646176982	0.0257765872456412	0.366511584190986	0.024390243902439	0.0531979886272851	0.0173175431176277	0.0159781944640256	0.0349405517176559	0.0294891677240472	0.00921095916161474	0.021876028008835	0.0157667183608252	0.0152732741200244	0.023144884628037	0.00589783354480944	0.00932844588561493	0.0224164669392359	0.0159077024296255	0.000211476103200338	0.0119601485032191	0.0231683819728371	0.00399454861600639	0.00552187602800884	0.00507542647680812	0.00117486724000188	0.00878800695521406	0.00688472202641102	0.0019972743080032	0.00589783354480944	0	0.0023732318248038	0.00448799285680718	0.00411203534000658	0.00108087786080173	0.00249071854880399	0.00495793975280793	0	0.00126885661920203	0.00192678227360308	0.00392405658160628	0.0025612105832041	0.00122186192960195	0.00249071854880399	0.00183279289440293	0.00058743362000094	0.00164481413600263	0.00122186192960195	0.000634428309601015	0	0	0.000258470792800414	0.000516941585600827	0.00119836458480192	0.00103388317120165	0	0	0.000375957516800602	0	0.000234973448000376	0.000281968137600451	0.00230273979040368	0	0.000187978758400301	0	0	0	0	0
Lj_Gifu_LjSC_4_endo	0.160278902384166	0.0499550157444894	0.0234592892487629	0.389946018893387	0.0218623481781377	0.011650922177238	0.0144174538911381	0.0409806567701305	0.0377642825011246	0.0317363922627081	0.0163067926225821	0.0188034188034188	0.0104813315339631	0.00944669365721997	0.0112235717498875	0.0102789023841655	0.00793972109761583	0.010706252811516	0.0152271704903284	0.000449842555105713	0.0166441745389114	0.00721997300944669	0.00215924426450742	0.00301394511920828	0.00416104363472785	0.00179937022042285	0.00854700854700855	0.00773729194781826	0.00150697255960414	0.00551057130004498	0.00335132703553756	0.00348627980206928	0.00222672064777328	0.00269905533063428	0.00132703553756185	0.00737741790373369	0.00267656320287899	0	0.00206927575348628	0.00254161043634728	0.00395861448493027	0.00278902384165542	0.00195681511470985	0.00204678362573099	0	0.000584795321637427	0.00114709851551957	0.001102114260009	0.000674763832658569	0.000584795321637427	0.00107962213225371	0.000607287449392713	0.000494826810616284	0	0	0	0	0.000629779577147998	0.000157444894287	0.00035987404408457	0.000157444894287	0.00184435447593342	0.00035987404408457	0.000292397660818713	0.000202429149797571	0	0	0	0
Lj_symrk_LjSC_1_endo	0.14437090576705	0.0514582663303824	0.251231443709058	0	0.152258916329536	0.001066404861452	0.0392200010156237	0.0261353826362205	0.0506288403270308	0.0237148128713374	0.0531509724596713	0.00834504121739425	0.00678775157844847	0.0148111786312778	0.00870050950454492	0.00695702219137736	0.0437056722582393	0.0184166426866632	0.0113411310662356	0.000253905919393334	0.00883592599488803	0.00462108773295868	0.00313150633918445	0.00319921458435601	0.00511197251045246	0.00247135094876179	0.00553514904277468	0.00279296511332668	0.00135416490343112	0.00638150210741913	0	0.00409634883287912	0.00198046617126801	0.00309765221659868	0.000710936574301336	0.00123567547438089	0.00326692282952757	0	0.00123567547438089	0.00138801902601689	0.00162499788411734	0.0131184725019889	0.00176041437446045	0.00164192494541023	0.00135416490343112	0.00047395771620089	0.00116796722920934	0.00079557188076578	0.000558593022665335	0.000457030654908001	0.000761717758180002	6.77082451715558e-05	0.000440103593615112	0.000727863635594225	0	0	0	0	0	0.000203124735514667	0.000287760041979112	0.00142187314860267	0.000135416490343112	0	0	0	0	0	0
Lj_symrk_LjSC_2_endo	0.179655124636294	0.0524744618407628	0.195387386479576	0.00165006109004799	0.131236538146641	0.000541623105893615	0.0508118048645312	0.0171555969820257	0.0304694486780617	0.022773362219899	0.054766913126173	0.00515171744908113	0.0047990326359411	0.0219042460732325	0.00982479122318651	0.00746936050685846	0.0428763965688806	0.0580922270786361	0.0173319393885957	0.000264513609855021	0.00352684813140028	0.00838886019825925	0.00381655351362245	0.00859039437719641	0.00555478580695545	0.0028340743913038	0.00570593644115832	0.00312377977352597	0.00119660918743938	0.0100263254021237	0.00214130065120732	0.00219168419594161	0.00308599211497525	0.00330012218009598	0.00061719842299505	0.00168784874859871	0.00511392979053041	0	0.00102026678086937	0.000869116146666499	0.00531546396946757	0.00181380761043443	0.00125958861835724	0.00172563640714943	0.00138554748019297	0.000654986081545767	0.00103286266705294	0.000554218992077188	0.000365280699323601	0	0.00166265697623156	5.03835447342898e-05	0.000264513609855021	0.000957287349951506	0.000793540829565064	0	0	0.000151150634202869	0.0028340743913038	0.000705369626280057	0.000151150634202869	0.000818732601932209	0	0	0	0	0	7.55753171014347e-05	0
Lj_symrk_LjSC_3_endo	0.154839768681027	0.0615167049672972	0.282014697340842	0.00268946185509735	0.0932346776433748	0.00204550619965151	0.0340665168312331	0.0569080027273416	0.0396600924265764	0.0251521503068259	0.0402787949190636	0.0104169297204475	0.0110987651203313	0.0201015177150938	0.0131821510644208	0.0144195560493952	0.0157706002676835	0.027791105836006	0.00763908179499482	0.00042930377029723	0.0100760120205056	0.00766433495795348	0.00349756306977449	0.00289148715876664	0.00410363898078234	0.00299249981060128	0.0065026894618551	0.00449506300664158	0.00205813278113084	0.00500012626581479	0.00297987322912195	0.00332079092906387	0.00193186696633753	0.00300512639208061	0.00202025303669285	0.0015025631960403	0.00343443016237784	0	0.00199499987373419	0.00119952524053638	0.00146468345160231	0.00237379731811409	0.00152781635899896	0.00172984166266825	0.00126265814793303	0.000643955655445845	0.00128791131089169	0.000517689840652542	0.000404050607338569	0.000934367029470441	0.00103537968130508	0.000151518977751963	0.000505063259173211	0.000694461981363166	0.000340917699941918	0	0	0.000164145559231294	0	0.000391424025859239	0.000176772140710624	0	0.000164145559231294	0.000265158211065936	0	0	0	3.78797444379909e-05	0
Lj_symrk_LjSC_4_endo	0.186724898026451	0.122811173828849	0.0293972230233612	0	0.0420254624860945	0.000442915413456388	0.060370400889951	0.0204565118866137	0.0226813893123481	0.0106711713567632	0.0180565283671872	0.0227328911046104	0.0778398088253471	0.0411087305838243	0.0606794116435252	0.0341250875530468	0.0195912817766058	0.0306023649623007	0.00867290181698323	0.0482468789913889	0.00212187384120967	0.0113715957315315	0.0137921799678629	0.00280169749907297	0.00483086811421037	0.00595360718553006	0.00206007169049483	0.00494417205718759	0.0299328416628899	0.00316221004490956	0.00345062008157884	0.00385233406122533	0.00498537349099749	0.0039450372872976	0.00384203370277286	0.00599480861933995	0.00166865806930081	0.00570639858267068	0.00385233406122533	0.00250298710395122	0.000628321865600923	0.00142144946644143	0.000937332619175147	0.000865230110007828	0.0020703720489473	0.00288410036669276	0.00100943512834247	0.00111243871286721	0.000710724733220716	0.00233818136871163	0.000906431543817725	0.000442915413456388	0.000494417205718759	0.000875530468460302	0.000927032260722673	0.00116394050512958	0.000906431543817725	0.000916731902270199	0.000525318281076181	8.24028676197932e-05	0	0	0.000236908244406905	0.000113303942977216	0	0.000185406452144535	0.000236908244406905	0	0
Lj_ccamk_LjSC_1_endo	0.184875166541157	0.149481550136129	0.0174650987661473	0.000984765104558883	0.0358859989573075	0	0.0778254069396976	0.0400857324914557	0.0292243526617622	0.0102821062387766	0.0199270115275445	0.0131784741933615	0.0350170885709321	0.0496727104211319	0.0670509181486416	0.0307304639981463	0.0195215200139026	0.0671378091872792	0.0113827260615189	0.0031570410704976	0.00124543822047153	0.0209117766321033	0.0060823727046284	0.00060823727046284	0.00593755430689915	0.0029253316341308	0.00159300237502172	0.00741470196373747	0.016943752534322	0.00362045994323119	0.0029832589932225	0.00689335573191218	0.00393906041823553	0.00509760760006951	0.00892081330012165	0.00564791751144065	0.00278051323640155	0.00460522504779007	0.00338875050686439	0	0	0	0.00170885709320512	0.00104269246365058	0.00417076985460233	0.00194056652957192	0.000984765104558883	0.00156403869547587	0.000202745756820947	0.00115854718183398	0.00182471181138852	0	0.000926837745467184	0.0028094769159474	0.00104269246365058	0.00153507501593002	0.0028674042750391	0.00057927359091699	0	0	0	0	0	0.000810983027283786	0	0	0.000405491513641893	0	0
Lj_ccamk_LjSC_2_endo	0.152552585451358	0.0922984224364592	0.166082383873795	0.00197195442594216	0.112565731814198	0	0.0538453111305872	0.0398225241016652	0.0467791411042945	0.0385626643295355	0.025635407537248	0.0176928133216477	0.0109553023663453	0.0336327782646801	0.0208150744960561	0.0200482033304119	0.0148992112182296	0.0486415425065732	0.00947633654688869	0.000657318141980719	0.00640885188431201	0.0109553023663453	0.00487510955302366	0.00679228746713409	0.0078330411919369	0.00284837861524978	0.00849035933391762	0.00257449605609115	0.00323181419807187	0.00586108676599474	0	0.00427256792287467	0.00147896581945662	0.00367002629272568	0.00180762489044698	0.00219106047326906	0.00646362839614373	0	0.00131463628396144	0	0.00175284837861525	0	0	0.0010407537248028	0.00361524978089395	0.000712094653812445	0	0.000766871165644172	0	0	0.00175284837861525	0	0	0.000821647677475898	0.00109553023663453	0	0	0	0	0	0.000438212094653812	0	0	0	0	0	0	0	0
