Fresh_weight	Genotype	Inoculum	Replicate
0.1412	ccamk	SC_diaz	1
0.2632	ccamk	SC_diaz	1
0.186	ccamk	SC_diaz	1
0.1742	ccamk	SC_diaz	2
0.301	ccamk	SC_diaz	2
0.1807	ccamk	SC_diaz	2
0.1543	ccamk	SC_diaz	3
0.1598	ccamk	SC_diaz	3
0.194	ccamk	SC_diaz	3
0.2336	ccamk	SC_diaz	4
0.3157	ccamk	SC_diaz	4
0.1483	ccamk	SC_diaz	4
0.0919	ccamk	SC_diaz	5
0.3447	ccamk	SC_diaz	5
0.1653	ccamk	SC_diaz	5
0.1288	ccamk	SC_diaz	6
0.3038	ccamk	SC_diaz	6
0.1159	ccamk	SC_diaz	6
0.4066	nsp1	SC_diaz	1
0.2105	nsp1	SC_diaz	1
0.1964	nsp1	SC_diaz	1
0.2222	nsp1	SC_diaz	2
0.2001	nsp1	SC_diaz	2
0.1663	nsp1	SC_diaz	2
0.3062	nsp1	SC_diaz	3
0.244	nsp1	SC_diaz	3
0.2916	nsp1	SC_diaz	3
0.2399	nsp1	SC_diaz	4
0.179	nsp1	SC_diaz	4
0.1615	nsp1	SC_diaz	4
0.2977	nsp1	SC_diaz	5
0.2493	nsp1	SC_diaz	5
0.4209	nsp1	SC_diaz	5
0.2875	nsp1	SC_diaz	6
0.2627	nsp1	SC_diaz	6
0.3062	nsp1	SC_diaz	6
0.2194	nsp2	SC_diaz	1
0.2219	nsp2	SC_diaz	1
0.1123	nsp2	SC_diaz	1
0.2334	nsp2	SC_diaz	2
0.2599	nsp2	SC_diaz	2
0.2294	nsp2	SC_diaz	2
0.3088	nsp2	SC_diaz	3
0.1809	nsp2	SC_diaz	3
0.2144	nsp2	SC_diaz	3
0.1179	nsp2	SC_diaz	4
0.2972	nsp2	SC_diaz	4
0.2718	nsp2	SC_diaz	4
0.1829	nsp2	SC_diaz	5
0.1348	nsp2	SC_diaz	5
0.1335	nsp2	SC_diaz	5
0.3834	nsp2	SC_diaz	6
0.26	nsp2	SC_diaz	6
0.409	nsp2	SC_diaz	6
0.2137	OXNSP1	SC_diaz	1
0.2306	OXNSP1	SC_diaz	1
0.1935	OXNSP1	SC_diaz	1
0.3349	OXNSP1	SC_diaz	2
0.1782	OXNSP1	SC_diaz	2
0.1423	OXNSP1	SC_diaz	2
0.2149	OXNSP1	SC_diaz	3
0.2401	OXNSP1	SC_diaz	3
0.2218	OXNSP1	SC_diaz	3
0.3394	OXNSP1	SC_diaz	4
0.131	OXNSP1	SC_diaz	4
0.115	OXNSP1	SC_diaz	4
0.146	OXNSP1	SC_diaz	5
0.2066	OXNSP1	SC_diaz	5
0.2107	OXNSP1	SC_diaz	5
0.3446	OXNSP1	SC_diaz	6
0.1866	OXNSP1	SC_diaz	6
0.1611	OXNSP1	SC_diaz	6
0.1868	OXNSP2	SC_diaz	1
0.1944	OXNSP2	SC_diaz	1
0.1479	OXNSP2	SC_diaz	1
0.3085	OXNSP2	SC_diaz	2
0.1983	OXNSP2	SC_diaz	2
0.398	OXNSP2	SC_diaz	2
0.2432	OXNSP2	SC_diaz	3
0.2418	OXNSP2	SC_diaz	3
0.172	OXNSP2	SC_diaz	3
0.1897	OXNSP2	SC_diaz	4
0.19	OXNSP2	SC_diaz	4
0.1699	OXNSP2	SC_diaz	4
0.2259	OXNSP2	SC_diaz	5
0.2177	OXNSP2	SC_diaz	5
0.2088	OXNSP2	SC_diaz	5
0.1965	OXNSP2	SC_diaz	6
0.2435	OXNSP2	SC_diaz	6
0.2533	OXNSP2	SC_diaz	6
0.1925	OXNSP1NSP2	SC_diaz	1
0.1862	OXNSP1NSP2	SC_diaz	1
0.24	OXNSP1NSP2	SC_diaz	1
0.2436	OXNSP1NSP2	SC_diaz	2
0.20402	OXNSP1NSP2	SC_diaz	2
0.2322	OXNSP1NSP2	SC_diaz	2
0.2367	OXNSP1NSP2	SC_diaz	3
0.2516	OXNSP1NSP2	SC_diaz	3
0.1787	OXNSP1NSP2	SC_diaz	3
0.2113	OXNSP1NSP2	SC_diaz	4
0.2537	OXNSP1NSP2	SC_diaz	4
0.1903	OXNSP1NSP2	SC_diaz	4
0.1834	OXNSP1NSP2	SC_diaz	5
0.1885	OXNSP1NSP2	SC_diaz	5
0.2334	OXNSP1NSP2	SC_diaz	5
0.1914	OXNSP1NSP2	SC_diaz	6
0.3141	OXNSP1NSP2	SC_diaz	6
0.2088	OXNSP1NSP2	SC_diaz	6
0.4212	WT	uninoc	1
0.265	WT	uninoc	1
0.3213	WT	uninoc	1
0.2925	WT	uninoc	1
0.4964	symrk	SC_diaz_extra	1
0.2132	symrk	SC_diaz_extra	2
0.2029	symrk	SC_diaz_extra	3
0.1319	symrk	SC_diaz_extra	4
0.3273	symrk	SC_diaz_extra	5
0.1762	symrk	SC_diaz_extra	6
0.2146	symrk	SC_diaz_extra	7
0.2237	symrk	SC_diaz_extra	8
0.2257	symrk	SC_diaz_extra	9
0.4236	symrk	SC_diaz_extra	10
