feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
G16_LjRoot125	Genotype	ccamk	1.28525748588313	0.551643066348538	20	20	0.0341886468580263	0.148021563693634
LjRoot288	Genotype	symrk	1.34245785315422	0.577270011514524	20	4	0.0344777797055384	0.148021563693634
G21_LjRoot111	Genotype	nsp1	0.971495234356276	0.422409274893469	20	20	0.036231938757666	0.15151538025933
G21_LjRoot111	Genotype	nsp2	0.963593974327002	0.422409274893469	20	20	0.0375642557456588	0.154742307250774
G33_LjRoot104	Genotype	nsp2	1.26047000429822	0.5560327430285	20	17	0.0386126291345445	0.15672184766374
LjRoot1	Genotype	ccamk	-0.994633987157831	0.440973847244569	20	19	0.0394656496661311	0.15741497660194
G24_LjRoot12	Genotype	nsp1	-2.25036915103495	1.00037334528648	20	14	0.0399240882686079	0.15741497660194
G27_LjRoot78	Genotype	nsp1	-2.31343107693139	1.04771832961335	20	15	0.0432246887174801	0.164623510666605
LjRoot295	Genotype	symrk	1.63520171640338	0.741411128268785	20	18	0.043434886652192	0.164623510666605
LjRoot295	Genotype	nsp2	1.63424793344327	0.741411128268785	20	18	0.0435417256473268	0.164623510666605
G17_LjRoot232	Genotype	ccamk	1.51545931845169	0.700511184082064	20	18	0.0470664963718132	0.175545310792168
G4_LjRoot26	Genotype	symrk	0.951523184493947	0.448576236624063	20	20	0.0509767257724656	0.187594350842674
LjRoot1	Genotype	nsp2	-0.922914258975797	0.440973847244569	20	19	0.0537683523325135	0.195264016365444
G11_LjRoot25	Genotype	symrk	1.03096041882905	0.497573816369331	20	20	0.0559216275890318	0.195371762209782
LjRoot122	Genotype	ccamk	1.93721762253452	0.930792930481273	20	20	0.0549570675105412	0.195371762209782
LjRoot237	Genotype	nsp1	0.720258811492209	0.346571606400255	20	20	0.0552688145993073	0.195371762209782
G27_LjRoot78	Genotype	nsp2	-2.14898194018548	1.04771832961335	20	15	0.0581475297832201	0.200608977752109
G4_LjRoot26	Genotype	nsp1	0.909862711543951	0.448576236624063	20	20	0.0606687603068312	0.206723183267721
LjRoot289	Genotype	ccamk	-1.48469196275529	0.739891864820115	20	20	0.0631638473407188	0.212600266659005
G8_LjRoot126	Genotype	ccamk	-0.76843426143691	0.394267707062878	20	20	0.07024765053428	0.217846646600689
G17_LjRoot232	Genotype	nsp1	1.3670578031372	0.700511184082064	20	18	0.0699261857835571	0.217846646600689
LjRoot243	Genotype	nsp1	0.816699779960634	0.417173947180526	20	20	0.0691364500606732	0.217846646600689
G29_LjRoot226	Genotype	nsp1	0.555461125610162	0.28403733043555	20	20	0.0694043518294531	0.217846646600689
G5_LjRoot105	Genotype	ccamk	0.615000466212703	0.311149504328302	20	3	0.0667781119008549	0.217846646600689
LjRoot248	Genotype	nsp1	-1.04271065323021	0.528652350701051	20	18	0.0672909765803683	0.217846646600689
LjRoot261	Genotype	nsp1	1.38493045426365	0.701559338286523	20	7	0.0670828137302737	0.217846646600689
LjRoot221	Genotype	nsp2	0.539341796816047	0.278250282839681	20	20	0.0716375087804751	0.219688360260124
G32_LjRoot291	Genotype	nsp2	0.52166468161937	0.272845580555222	20	20	0.075178011253887	0.221389466410481
LjRoot289	Genotype	nsp2	-1.4134289908	0.739891864820115	20	20	0.0754007602992219	0.221389466410481
LjRoot18	Genotype	ccamk	-1.49721453456247	0.782007094359601	20	20	0.0748171561222648	0.221389466410481
LjRoot89	Genotype	ccamk	1.04948081501176	0.545752671070321	20	19	0.0736761089189959	0.221389466410481
LjRoot18	Genotype	nsp2	1.4736279839182	0.782007094359601	20	20	0.079037142201318	0.227231783828789
LjRoot10	Genotype	nsp2	-0.972536615031551	0.51594373835183	20	19	0.0789584979640032	0.227231783828789
G8_LjRoot126	Genotype	nsp1	-0.724422990318356	0.394267707062879	20	20	0.0860432250045042	0.240550575785069
LjRoot89	Genotype	nsp2	0.998855912332794	0.545752671070321	20	19	0.0871560057192281	0.240550575785069
LjRoot244	Genotype	ccamk	-2.78113491966414	1.51898815446646	20	6	0.0870500881682005	0.240550575785069
LjRoot244	Genotype	nsp1	-2.78113491966414	1.51898815446646	20	6	0.0870500881682004	0.240550575785069
