Genotype,SampleID,PCo1,PCo2,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
WT,Hv_WT_HvSC_only_rhizo_4,0.329255218577796,0.0540694395337722,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_4,4,0.212425393961911,-0.00153648866527922,Hordeum
WT,Hv_WT_HvSC_only_rhizo_5,0.340964686263573,0.0210699323655604,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_5,5,0.212425393961911,-0.00153648866527922,Hordeum
WT,Hv_WT_HvSC_only_rhizo_6,0.416079975568248,0.0522455643249138,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_6,6,0.212425393961911,-0.00153648866527922,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_1,-0.176594533380764,-0.0163958190574946,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_1,1,-0.0787538159501758,-0.050256279166677,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_2,-0.069621592501914,-0.112174543463719,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_2,2,-0.0787538159501758,-0.050256279166677,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_3,-0.116071317609568,-0.101465814397791,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_3,3,-0.0787538159501758,-0.050256279166677,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_4,-0.0970999800959178,-0.0262543607930401,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_4,4,-0.0787538159501758,-0.050256279166677,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_5,0.0288988567035987,-0.0266900749158144,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_5,5,-0.0787538159501758,-0.050256279166677,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_6,-0.0420343288164892,-0.0185570623722029,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_6,6,-0.0787538159501758,-0.050256279166677,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_1,0.221112452698101,-0.363045544992903,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_1,1,-0.00925589684937991,-0.0256807650337716,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_2,0.0997467532639082,0.124398057698505,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_2,2,-0.00925589684937991,-0.0256807650337716,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_3,-0.0532672865490524,0.002347037692159,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_3,3,-0.00925589684937991,-0.0256807650337716,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_4,-0.127658626206655,-0.00854154027414676,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_4,4,-0.00925589684937991,-0.0256807650337716,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_5,-0.0896534179238677,0.0979750023682317,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_5,5,-0.00925589684937991,-0.0256807650337716,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_6,-0.105815256378714,-0.00721760269447525,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_6,6,-0.00925589684937991,-0.0256807650337716,Hordeum
