Genotype,SampleID,PCo1,PCo2,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
WT,Hv_WT_HvSC_only_rhizo_4,0.463218255145669,-0.0808379861417798,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_4,4,0.292367330186509,-0.0396169098140808,Hordeum
WT,Hv_WT_HvSC_only_rhizo_5,0.502283140422534,-0.0613279964811326,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_5,5,0.292367330186509,-0.0396169098140808,Hordeum
WT,Hv_WT_HvSC_only_rhizo_6,0.474809944120267,-0.0708122584180845,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_6,6,0.292367330186509,-0.0396169098140808,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_1,-0.129017302842008,-0.0112802283215999,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_1,1,-0.0674465404548153,0.00200152043746878,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_2,-0.06103476198028,0.0136438402734988,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_2,2,-0.0674465404548153,0.00200152043746878,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_3,-0.0844270187834529,0.0192164493254955,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_3,3,-0.0674465404548153,0.00200152043746878,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_4,-0.059173482227573,-0.00602188742017266,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_4,4,-0.0674465404548153,0.00200152043746878,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_5,-0.0207587221977461,0.00153158969046734,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_5,5,-0.0674465404548153,0.00200152043746878,Hordeum
symrk,Hv_symrk_HvSC_only_rhizo_6,-0.0502679546978316,-0.00508064092287651,Rhizosphere,SC,Hv_symrk_HvSC_only_rhizo_6,6,-0.0674465404548153,0.00200152043746878,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_1,0.137862973137631,0.589381732291689,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_1,1,-0.0646657852912951,0.0818484047909177,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_2,0.0126025034261153,0.0164481633626997,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_2,2,-0.0646657852912951,0.0818484047909177,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_3,-0.0700585339833971,-0.00882709457099127,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_3,3,-0.0646657852912951,0.0818484047909177,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_4,-0.169671015069916,-0.0337648239418908,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_4,4,-0.0646657852912951,0.0818484047909177,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_5,-0.151903936945023,-0.0432500796070243,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_5,5,-0.0646657852912951,0.0818484047909177,Hordeum
ccamk,Hv_ccamk_HvSC_only_rhizo_6,-0.14682670231318,-0.0288974687889762,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_6,6,-0.0646657852912951,0.0818484047909177,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_1,-0.213055467809428,-0.0623612221749617,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_1,1,-0.112012356274326,-0.0293612012206712,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_2,-0.19966302365509,-0.0275846913478957,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_2,2,-0.112012356274326,-0.0293612012206712,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_3,-0.111994266887198,-0.039165767176009,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_3,3,-0.112012356274326,-0.0293612012206712,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_4,-0.0222510379236162,0.00162960454317154,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_4,4,-0.112012356274326,-0.0293612012206712,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_5,-0.0603865317755453,-0.0239942375519981,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_5,5,-0.112012356274326,-0.0293612012206712,Hordeum
nsp1,Hv_nsp1_HvSC_only_rhizo_6,-0.0647238095950772,-0.0246908936163341,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_6,6,-0.112012356274326,-0.0293612012206712,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_1,-0.124368765536989,-0.0355626557180709,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_1,1,-0.0482426481660727,-0.0148718141936344,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_2,-0.0576758466343814,-0.0128985317202195,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_2,2,-0.0482426481660727,-0.0148718141936344,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_3,-0.102368680146898,-0.0297550585826486,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_3,3,-0.0482426481660727,-0.0148718141936344,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_4,0.0222878088943998,-0.0102585158651843,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_4,4,-0.0482426481660727,-0.0148718141936344,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_5,0.00927453379332906,-0.00202416211334579,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_5,5,-0.0482426481660727,-0.0148718141936344,Hordeum
nsp2,Hv_nsp2_HvSC_only_rhizo_6,-0.0366049393658962,0.00126803883766252,Rhizosphere,SC,Hv_nsp2_HvSC_only_rhizo_6,6,-0.0482426481660727,-0.0148718141936344,Hordeum
