"","ASVid","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_WT_HvSC_only_rhizo_1","Hv_WT_HvSC_only_rhizo_2","Hv_WT_HvSC_only_rhizo_3","Hv_WT_HvSC_only_rhizo_4","Hv_WT_HvSC_only_rhizo_5","Hv_WT_HvSC_only_rhizo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_rhizo_2","Hv_ccamk_HvSC_only_rhizo_3","Hv_ccamk_HvSC_only_rhizo_4","Hv_ccamk_HvSC_only_rhizo_5","Hv_ccamk_HvSC_only_rhizo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp1_HvSC_only_rhizo_1","Hv_nsp1_HvSC_only_rhizo_2","Hv_nsp1_HvSC_only_rhizo_3","Hv_nsp1_HvSC_only_rhizo_4","Hv_nsp1_HvSC_only_rhizo_5","Hv_nsp1_HvSC_only_rhizo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6","Hv_nsp2_HvSC_only_rhizo_1","Hv_nsp2_HvSC_only_rhizo_2","Hv_nsp2_HvSC_only_rhizo_3","Hv_nsp2_HvSC_only_rhizo_4","Hv_nsp2_HvSC_only_rhizo_5","Hv_nsp2_HvSC_only_rhizo_6","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_symrk_HvSC_only_rhizo_1","Hv_symrk_HvSC_only_rhizo_2","Hv_symrk_HvSC_only_rhizo_3","Hv_symrk_HvSC_only_rhizo_4","Hv_symrk_HvSC_only_rhizo_5","Hv_symrk_HvSC_only_rhizo_6"
"P2_H11","P2_H11",4408,2357,2550,2978,2653,1744,1781,2734,1554,1835,2505,2336,1379,2884,2382,1198,2221,1814,1389,529,661,810,4556,1872,4365,3194,3661,2372,497,571,976,2652,1455,1937,1959,1355,1757,1496,2003,2708,976,1765,1032,2687,3692,2531,3471,6200,4614,2809,4687,3722,1411,2478,2123,1968,2756,1982
"P5_A1","P5_A1",1458,2820,2877,2453,3205,83,81,115,107,70,121,6052,5472,3098,4061,6058,4652,180,247,75,142,120,2769,4186,3146,3414,3208,3158,90,72,96,161,155,106,1331,4148,2592,3634,3603,2822,43,62,51,101,64,40,2759,2118,2427,4946,1815,2596,71,78,52,99,102,103
"P4_H10","P4_H10",661,671,307,839,467,1308,1488,1200,1229,832,1412,452,386,2522,2583,1822,2112,2760,1436,2189,2851,2049,1118,1088,1694,1095,1785,3129,1166,668,1884,1568,1672,1111,3634,851,1269,1387,485,1312,869,1598,2644,2837,2282,1850,575,894,439,559,808,1147,952,1028,880,1265,1683,1470
"P1_A1","P1_A1",855,246,74,27,30,2066,2448,372,231,186,128,111,79,181,113,157,129,1298,2634,2115,1557,2351,213,219,244,604,164,184,2388,3680,1812,1778,1468,2229,365,152,228,209,116,93,1511,1996,1986,1054,1320,1615,205,114,165,132,137,177,2308,2655,2152,1929,1768,1979
"P1_A8","P1_A8",611,791,1347,976,428,705,585,686,865,563,780,349,1033,314,159,255,209,750,644,510,512,501,304,798,155,350,269,358,303,449,764,624,629,502,813,1074,1495,798,1125,1186,288,664,676,670,540,638,1059,412,852,580,962,939,489,564,467,498,677,641
"P4_A8","P4_A8",906,726,68,19,114,871,555,196,82,177,29,162,266,191,106,104,121,539,770,394,781,533,160,356,85,202,98,88,2874,1303,2120,742,2471,2097,252,167,262,184,77,132,5713,867,671,1350,1147,1081,190,84,244,201,448,150,2519,877,1286,1552,873,980
"P4_B4","P4_B4",99,111,17,15,8,1018,1359,196,148,85,45,8,41,88,74,83,59,432,600,1687,1270,1463,38,42,35,95,40,31,886,903,949,839,636,838,88,21,36,37,36,10,594,1112,1269,575,523,1031,46,12,37,56,47,70,902,1046,1287,1029,909,1062
"P4_C7","P4_C7",540,398,40,429,50,1724,1360,219,193,126,148,18,57,163,194,111,95,624,788,1415,1214,1561,193,115,117,351,102,115,1221,989,948,1010,744,773,228,47,108,285,82,190,622,963,1085,605,746,1138,145,92,116,205,161,210,1063,1256,1316,1108,996,1007
"P1_F10","P1_F10",187,484,323,247,220,19,34,13,16,8,16,729,723,327,358,664,485,45,55,28,37,40,558,748,406,349,627,307,21,43,39,38,60,41,229,1288,467,451,950,660,19,43,34,33,32,34,797,463,669,587,409,469,24,36,23,42,24,42
"P1_E1","P1_E1",336,445,612,370,323,197,198,132,242,154,147,190,323,352,278,352,370,241,187,170,211,192,270,480,188,302,210,277,128,197,262,283,235,240,443,476,866,518,595,518,88,172,172,248,182,163,446,225,427,280,477,451,117,130,104,140,163,186
"P5_B3=P4_C1","P5_B3=P4_C1",36,45,5,0,0,860,976,79,105,55,48,8,6,96,66,49,32,325,412,1717,1346,830,22,29,35,106,41,25,626,773,577,513,357,400,64,13,15,22,19,11,273,833,1016,345,293,644,26,15,24,52,54,42,696,809,1320,1103,760,868
"P1_C1","P1_C1",206,377,214,180,192,267,290,283,228,240,324,105,132,316,268,218,315,796,494,162,255,244,201,226,289,294,248,309,220,293,365,535,513,308,347,156,213,269,233,240,168,223,189,191,187,193,184,169,191,166,177,196,165,203,118,176,285,348
"P2_D12","P2_D12",169,391,501,229,219,12,18,15,17,14,9,354,389,142,226,176,215,34,20,15,12,5,236,271,167,195,327,89,11,23,25,19,33,19,65,432,299,269,470,222,13,40,26,15,17,13,362,174,371,346,152,145,31,15,9,28,7,44
"P2_C12","P2_C12",221,469,77,113,146,33,14,13,22,26,19,85,131,65,101,19,81,23,40,6,25,16,204,119,172,261,52,37,12,64,21,42,80,14,110,124,289,134,213,172,8,46,28,16,6,14,370,73,175,104,133,130,36,13,5,12,20,31
"P1_E8","P1_E8",111,196,189,172,92,125,93,217,107,66,138,62,84,96,93,99,93,91,83,85,59,82,112,129,55,119,68,56,71,86,118,59,95,123,86,136,126,179,306,111,83,146,115,196,185,102,220,62,168,104,110,86,91,82,100,101,112,134
"P1_D3","P1_D3",94,222,31,58,145,120,65,99,105,96,17,12,50,15,33,50,44,48,59,56,41,228,63,127,45,74,53,57,496,507,178,119,301,183,232,183,148,298,87,42,193,392,130,194,55,126,145,47,111,122,76,32,283,123,96,176,61,60
"P5_A10","P5_A10",269,176,234,50,77,80,65,120,49,39,98,185,112,54,33,72,17,52,43,22,60,49,262,157,56,79,65,51,50,362,98,38,70,90,134,122,98,112,181,202,83,88,30,67,42,60,99,91,182,146,87,140,71,71,61,73,41,45
"P1_A6","P1_A6",102,100,152,161,53,29,43,27,24,29,32,111,113,142,178,119,135,114,107,63,77,101,122,194,72,129,136,138,42,50,49,69,92,64,256,119,256,190,193,187,18,35,53,45,45,43,82,105,70,82,136,185,21,38,36,35,37,34
"P4_C9","P4_C9",12,16,28,0,0,116,144,5,21,8,0,3,6,20,9,8,0,141,132,98,119,142,10,17,6,40,8,7,168,134,79,88,108,77,11,12,9,2,5,13,59,118,93,50,60,62,16,4,8,13,13,19,107,129,79,89,94,113
"P4_B10","P4_B10",123,106,80,97,70,126,73,160,104,119,92,75,101,53,30,36,25,67,81,35,39,43,97,78,26,31,21,16,62,83,78,69,110,53,22,54,37,52,62,25,32,88,67,51,58,63,75,19,51,53,91,58,102,53,58,79,64,117
"P4_E5","P4_E5",86,117,75,85,39,45,38,39,44,47,60,15,36,74,107,47,23,33,24,21,10,32,63,53,49,42,52,49,15,37,22,30,36,31,59,66,132,54,106,90,20,73,49,32,47,35,124,44,95,66,105,94,54,55,54,44,38,62
"P4_B2","P4_B2",118,113,83,76,69,44,38,54,37,35,31,61,46,18,21,36,30,84,59,30,36,28,43,65,49,48,18,19,20,27,39,39,40,39,38,80,81,37,86,52,14,56,52,32,34,25,75,10,55,38,50,37,29,38,29,36,44,65
"P4_F10","P4_F10",11,65,38,9,8,56,18,20,15,7,5,8,40,10,9,5,5,133,241,93,87,61,18,69,24,50,13,14,91,233,121,120,112,114,100,14,90,30,104,28,50,64,54,57,37,53,33,12,70,15,23,12,57,35,35,46,48,52
"P4_G1","P4_G1",33,59,37,40,11,32,15,18,28,9,29,18,19,30,28,19,25,73,67,44,36,24,24,41,34,38,34,31,19,37,41,34,29,35,57,45,113,41,82,44,22,35,11,30,45,30,22,25,29,25,48,33,23,19,28,19,34,32
"P4_D7","P4_D7",21,18,8,2,28,13,0,58,0,24,0,17,108,131,34,7,16,160,319,54,122,64,4,3,8,46,24,4,210,43,4,15,33,103,8,51,1,77,21,9,26,74,56,70,129,117,9,14,9,14,95,9,187,41,32,24,106,147
"P4_G3","P4_G3",57,124,56,38,57,16,5,16,12,30,19,0,16,3,2,3,8,37,27,12,10,11,15,22,15,36,7,6,10,29,18,22,21,19,16,25,49,16,36,20,13,20,12,36,23,17,33,5,25,12,24,21,51,21,15,16,24,25
"P2_B12","P2_B12",15,25,39,26,17,11,6,25,9,3,18,18,29,54,21,36,34,20,21,18,29,13,23,32,14,18,17,29,11,16,16,28,13,8,50,31,96,68,39,67,0,13,0,10,17,9,19,16,30,29,27,43,0,16,11,15,17,17
"P2_H2","P2_H2",0,18,66,0,0,0,0,0,0,0,0,37,37,21,24,17,55,0,0,0,0,0,26,36,11,22,14,11,0,0,0,0,0,0,13,67,14,34,29,33,0,0,0,0,0,0,26,30,32,37,51,29,0,0,0,0,0,0
"P5_B10","P5_B10",19,0,0,0,0,11,0,0,11,0,22,12,18,26,4,3,0,134,225,46,65,36,23,16,0,11,25,35,18,17,33,58,19,49,23,0,16,21,0,0,29,37,0,50,67,33,9,0,13,2,0,0,11,7,33,0,0,60
"P4_E4","P4_E4",4,0,0,0,0,2,7,5,0,0,7,0,1,0,0,0,0,61,94,3,8,27,0,2,0,0,0,0,15,20,4,19,8,10,0,0,3,0,0,0,9,7,1,19,4,19,0,0,1,0,0,0,3,7,6,0,16,10
"P5_E7","P5_E7",8,11,3,23,0,22,33,49,21,16,64,2,9,30,45,10,14,95,35,48,58,44,12,7,28,6,6,21,19,30,19,29,36,39,16,0,10,21,11,20,16,56,51,32,24,71,2,0,2,0,8,13,53,19,25,16,43,76
"P1_B10","P1_B10",21,29,24,24,14,0,13,11,0,7,6,7,33,4,12,17,15,27,15,10,0,6,16,21,3,9,10,21,8,20,7,11,28,24,24,18,49,34,22,39,6,7,0,7,9,5,15,12,22,15,26,31,9,8,3,4,12,13
"P1_C2","P1_C2",4,15,5,4,1,23,32,15,27,21,22,1,6,4,4,1,4,18,21,27,18,46,3,7,8,5,0,8,10,47,34,32,76,23,7,1,14,3,1,0,18,24,19,10,13,15,2,2,8,6,1,9,24,9,33,17,30,51
"P4_B5","P4_B5",5,8,12,9,3,14,6,0,1,1,0,1,9,12,20,12,2,34,7,11,40,18,2,2,2,1,7,9,2,8,17,6,16,20,12,17,45,59,7,20,8,9,7,36,16,13,4,3,10,17,46,18,3,8,18,42,28,10
"P2_A1","P2_A1",14,27,23,19,37,0,0,0,0,10,1,8,10,8,12,14,11,8,16,12,8,14,5,9,8,16,3,4,12,8,0,3,10,0,18,7,26,12,24,11,0,4,0,0,0,5,16,0,5,5,11,15,0,3,1,6,3,6
"P2_B1","P2_B1",14,10,2,5,38,22,8,3,17,24,11,1,3,0,0,0,0,0,2,0,7,7,11,1,3,9,3,0,9,11,12,23,16,19,1,6,0,0,0,0,10,25,21,0,8,12,9,0,7,4,1,2,27,12,7,6,16,6
"P5_C1","P5_C1",12,13,13,6,11,8,3,0,8,12,3,3,3,1,0,0,0,19,12,11,0,4,2,3,4,14,0,1,7,4,13,9,7,0,1,7,17,9,6,6,9,5,5,6,1,3,7,4,5,3,11,4,4,10,6,4,6,11
"P2_C2=P4_E2","P2_C2=P4_E2",3,0,0,0,0,4,0,12,0,0,1,6,0,0,4,2,0,15,0,20,0,0,7,14,3,9,4,11,25,28,0,22,28,11,16,10,3,0,9,0,11,11,0,2,0,18,12,0,11,3,3,2,35,11,0,9,9,24
"P5_C5","P5_C5",2,7,2,5,0,0,0,0,0,0,0,2,9,2,3,0,2,6,3,0,0,0,0,8,3,3,1,0,0,6,0,5,0,0,2,25,15,8,47,12,0,0,0,0,0,0,12,3,5,12,11,14,0,0,0,0,0,0
"P1_A9","P1_A9",6,13,5,1,10,0,8,0,6,6,4,2,9,0,0,4,1,2,11,4,0,0,6,14,1,3,0,5,1,8,2,0,8,4,4,17,18,11,11,8,2,14,6,10,6,8,2,3,17,7,3,6,3,4,0,4,4,11
"P3_A2","P3_A2",4,0,1,0,0,0,0,31,13,9,0,1,8,2,3,7,0,3,12,0,0,6,1,11,6,2,4,6,0,6,9,13,0,6,11,9,24,12,1,16,7,0,0,4,9,0,4,0,3,2,8,7,0,0,0,0,2,0
"P2_H12","P2_H12",2,5,14,0,0,0,0,0,0,0,0,0,4,7,0,0,0,10,19,0,0,0,0,4,0,5,0,0,12,15,7,0,0,0,0,0,11,0,5,8,4,9,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"P2_A8","P2_A8",6,3,10,0,0,0,6,0,7,7,0,0,0,4,11,5,7,3,5,4,0,0,2,6,8,1,0,0,0,0,3,10,1,2,9,0,6,11,0,4,1,3,0,6,0,0,4,2,1,0,2,1,4,1,0,0,2,0
"P5_D10","P5_D10",1,0,1,0,4,5,11,5,3,3,2,1,0,0,0,0,0,7,15,12,0,2,0,4,0,0,1,0,8,4,13,21,7,2,0,0,0,1,0,5,3,9,0,0,3,0,2,0,2,0,1,0,4,5,6,2,2,2
"P2_E10","P2_E10",0,19,21,14,30,21,30,0,10,0,0,0,1,0,0,3,12,17,0,6,0,0,0,0,0,2,0,0,7,0,0,0,16,0,3,0,0,0,4,0,0,7,0,0,0,3,14,0,2,0,0,0,0,0,7,0,0,6
"P2_G8","P2_G8",4,11,0,1,10,0,0,4,1,4,0,2,3,0,0,3,1,8,6,0,0,2,0,1,5,3,2,2,8,9,5,10,0,0,0,0,2,0,2,0,0,1,0,0,0,1,1,0,1,0,3,4,2,0,0,0,3,0
"P1_D2","P1_D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,18
"P2_D3","P2_D3",6,8,3,0,0,0,0,0,3,5,2,0,0,0,0,2,0,3,6,5,0,0,0,5,0,0,0,0,4,6,0,5,11,3,2,0,4,0,1,0,0,0,0,4,3,0,3,0,2,1,3,2,6,3,4,0,0,5
"P3_C6","P3_C6",1,11,5,3,0,5,0,0,3,4,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,7,6,2,0,4,0,0,0,0,3,0,7,5,8,4,0,4,3,3,4,1,2,0,0,7,12
"P5_D4=P4_F1","P5_D4=P4_F1",1,1,1,0,2,5,0,5,8,0,13,0,3,4,0,0,0,8,20,2,4,6,0,0,2,0,0,0,23,12,9,0,0,0,1,0,5,5,0,0,1,2,13,4,0,5,0,0,0,1,0,0,15,3,5,8,0,1
"P4_B11","P4_B11",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,8,0,0,0,0,0,0,3,0,0,2,8,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0
"P2_E3","P2_E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"P2_D8","P2_D8",2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"P5_A5","P5_A5",0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,6,0,5,3,0,0,0,0,0,0,3,0,1,2,5,0,0,0,0,0,0,0
"P4_H6","P4_H6",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4
"P4_H7","P4_H7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0
"P2_F5","P2_F5",4,0,5,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,3,7,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"P5_D2","P5_D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P5_D12","P5_D12",1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"P4_G10","P4_G10",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"P2_H3","P2_H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"P4_D8","P4_D8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"P1_C9","P1_C9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0
"P2_D9","P2_D9",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0
"P4_A5","P4_A5",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_H11","P4_H11",0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_F5","P4_F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_G7","P4_G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P2_H9","P2_H9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_B8","P4_B8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_A4","P5_A4",1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P2_E4","P2_E4",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_D3","P4_D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P2_B3","P2_B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931ceae7b121c3a084311d252fdda9a5","931ceae7b121c3a084311d252fdda9a5",0,0,992,1572,2394,0,0,3310,4599,5616,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,65,0,0,0,0,0,9,18,0,0,0,0,45,58,0,0
"f2843dc1f1fc9ef7a2ece75f87b6b154","f2843dc1f1fc9ef7a2ece75f87b6b154",159,119,235,162,142,0,0,0,0,0,0,289,237,240,164,92,153,0,5,0,0,0,205,176,297,219,366,338,0,0,0,4,2,0,227,154,178,344,210,300,2,0,0,0,0,2,198,433,232,165,330,346,0,2,0,0,0,0
"6196771f6564776cee7fed661af7468a","6196771f6564776cee7fed661af7468a",100,120,281,180,129,64,81,101,100,76,104,146,305,103,53,76,96,304,283,140,135,159,83,112,72,93,84,129,87,49,88,85,114,74,216,176,219,177,267,201,89,97,85,68,84,77,136,40,112,89,103,103,38,71,62,80,101,71
"a12b45349336a13ca6916ef5e121ed78","a12b45349336a13ca6916ef5e121ed78",54,65,47,47,56,0,0,0,0,1,0,96,104,270,203,110,212,1,0,4,10,0,68,115,163,130,236,423,0,0,3,0,0,0,428,127,135,350,77,193,3,0,0,1,1,0,53,118,40,53,87,157,0,0,0,0,0,0
"18c27212470bb38d0c2d35eda26932c6","18c27212470bb38d0c2d35eda26932c6",17,42,82,22,29,14,12,29,14,21,16,5,32,5,10,6,3,26,21,21,13,6,13,42,13,32,6,4,57,35,26,29,48,37,27,20,96,35,72,56,19,41,17,36,15,31,38,11,38,27,68,65,24,28,19,8,33,30
"b93830b20904e215eab8b8fc9484de02","b93830b20904e215eab8b8fc9484de02",12,8,4,0,0,55,57,11,13,5,0,2,4,4,3,1,4,17,60,31,35,35,8,9,8,14,2,2,46,30,32,37,19,25,4,0,3,9,4,0,9,20,36,23,17,20,2,0,4,3,4,4,33,33,20,20,23,55
"43345457cb99c4e2f14704a90367f918","43345457cb99c4e2f14704a90367f918",0,0,212,264,444,0,0,697,975,1047,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,1,0,0,0,0,8,18,0,0
"32c12bafe6d885a56138a89fd6067829","32c12bafe6d885a56138a89fd6067829",26,28,42,42,27,0,0,0,0,0,0,46,60,29,28,13,39,0,0,0,0,0,45,32,42,45,71,58,0,0,0,0,0,0,29,42,27,68,36,45,0,0,0,0,0,0,34,52,32,24,59,36,0,0,0,0,0,0
"f513a75c4a31a686d5c7ffe5884f1a32","f513a75c4a31a686d5c7ffe5884f1a32",10,0,0,11,16,0,0,0,0,0,0,40,54,20,30,8,18,0,0,0,0,0,21,21,17,13,25,28,0,0,0,0,0,0,0,40,15,33,29,25,0,0,0,0,0,0,8,35,8,21,7,12,0,0,0,0,0,0
"efe26477a1e129e1006cc16e0a5a15cb","efe26477a1e129e1006cc16e0a5a15cb",14,19,16,9,8,11,13,25,22,12,18,4,7,7,7,21,8,31,25,19,15,16,17,21,9,7,7,3,20,24,25,21,21,24,12,8,19,9,24,9,6,33,28,19,12,15,23,3,9,15,13,25,17,20,14,12,13,12
"97280f8665024f64d2ea898adc1a3173","97280f8665024f64d2ea898adc1a3173",6,16,23,21,11,0,0,0,0,0,0,22,35,9,30,13,17,0,0,0,0,0,10,21,9,2,14,14,0,0,0,0,0,0,10,24,10,36,19,19,0,0,0,0,0,0,13,10,10,12,18,21,0,0,0,0,0,0
"1b1f7e8583004692f1a126e48da35162","1b1f7e8583004692f1a126e48da35162",4,11,7,18,20,14,8,7,8,17,15,4,21,19,15,39,50,52,31,36,42,22,4,10,18,27,24,32,23,16,15,17,36,6,25,9,28,17,18,19,22,13,14,26,6,5,6,5,5,10,23,28,10,9,12,10,12,6
"fe9bac93c378d88d9c0c7b6898f0116c","fe9bac93c378d88d9c0c7b6898f0116c",0,0,62,88,58,0,0,659,591,254,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,81,0,0
"2bbf8a81509db5d87081d724eb0bec2a","2bbf8a81509db5d87081d724eb0bec2a",5,0,0,2,0,38,19,22,64,49,50,0,0,5,0,5,8,13,8,25,18,23,7,5,9,4,11,11,19,9,26,12,6,17,14,0,11,10,4,9,16,41,37,66,43,37,0,1,1,0,9,5,6,20,38,18,6,28
"9eaea8976bcdf19bb8454c58c729e893","9eaea8976bcdf19bb8454c58c729e893",1,2,5,9,0,5,13,4,9,0,9,5,11,13,4,9,12,25,16,24,14,10,1,10,5,4,9,39,4,3,13,23,0,27,35,13,18,15,4,25,0,14,15,19,9,8,6,12,9,9,2,14,3,2,2,3,16,10
"9e28eb88251b8872998258313f8701ea","9e28eb88251b8872998258313f8701ea",12,0,12,10,17,0,0,0,0,0,0,10,24,18,2,8,13,0,0,0,0,0,3,0,2,4,3,14,0,0,0,0,0,0,3,25,9,23,15,20,0,0,0,0,0,0,13,18,5,13,12,15,0,0,0,0,0,0
"63e57ec58a6bc5b69b3d14206e889492","63e57ec58a6bc5b69b3d14206e889492",1,0,6,1,7,7,18,3,2,0,7,5,4,11,17,6,5,60,16,10,18,15,9,8,7,2,10,16,9,1,3,18,8,4,8,15,20,8,6,9,8,13,6,17,4,11,6,12,3,0,1,11,6,8,5,5,6,4
"d026c3af3c724221d98896fe82c4d637","d026c3af3c724221d98896fe82c4d637",6,0,3,2,4,7,7,11,0,0,3,0,3,3,2,0,0,11,7,5,18,3,5,5,0,8,5,9,22,5,13,20,22,21,17,0,17,6,5,3,4,22,4,20,10,18,5,2,5,2,8,17,6,12,3,8,12,3
