Fresh_weight	Plant_species	Genotype	Soil_type	Experiment
0.3177	Barley	ccamk	PK	Barley_CSSP
0.3275	Barley	ccamk	PK	Barley_CSSP
0.3572	Barley	ccamk	PK	Barley_CSSP
0.3321	Barley	ccamk	PK	Barley_CSSP
0.3919	Barley	ccamk	PK	Barley_CSSP
0.4189	Barley	ccamk	PK	Barley_CSSP
0.4498	Barley	ccamk	PK	Barley_CSSP
0.4762	Barley	ccamk	PK	Barley_CSSP
0.5445	Barley	ccamk	PK	Barley_CSSP
0.3493	Barley	ccamk	PK	Barley_CSSP
0.3594	Barley	ccamk	PK	Barley_CSSP
0.528	Barley	ccamk	PK	Barley_CSSP
0.3866	Barley	ccamk	PK	Barley_CSSP
0.4559	Barley	ccamk	PK	Barley_CSSP
0.1645	Barley	ccamk	PK	Barley_CSSP
0.3779	Barley	ccamk	PK	Barley_CSSP
0.6052	Barley	WT	PK	Barley_CSSP
0.7252	Barley	WT	PK	Barley_CSSP
0.473	Barley	WT	PK	Barley_CSSP
0.6713	Barley	WT	PK	Barley_CSSP
0.543	Barley	WT	PK	Barley_CSSP
0.633	Barley	WT	PK	Barley_CSSP
0.7272	Barley	WT	PK	Barley_CSSP
0.7522	Barley	WT	PK	Barley_CSSP
0.572	Barley	WT	PK	Barley_CSSP
0.8037	Barley	WT	PK	Barley_CSSP
0.5831	Barley	WT	PK	Barley_CSSP
0.4756	Barley	WT	PK	Barley_CSSP
0.7294	Barley	WT	PK	Barley_CSSP
0.6726	Barley	WT	PK	Barley_CSSP
0.6685	Barley	WT	PK	Barley_CSSP
0.6911	Barley	WT	PK	Barley_CSSP
0.5479	Barley	WT	PK	Barley_CSSP
0.6542	Barley	WT	PK	Barley_CSSP
0.4401	Barley	symrk	PK	Barley_CSSP
0.5609	Barley	symrk	PK	Barley_CSSP
0.7238	Barley	symrk	PK	Barley_CSSP
0.7324	Barley	symrk	PK	Barley_CSSP
0.6146	Barley	symrk	PK	Barley_CSSP
0.6034	Barley	symrk	PK	Barley_CSSP
0.613	Barley	symrk	PK	Barley_CSSP
0.6028	Barley	symrk	PK	Barley_CSSP
0.5711	Barley	symrk	PK	Barley_CSSP
0.7449	Barley	symrk	PK	Barley_CSSP
0.658	Barley	symrk	PK	Barley_CSSP
0.6491	Barley	symrk	PK	Barley_CSSP
0.4473	Barley	symrk	PK	Barley_CSSP
0.7356	Barley	symrk	PK	Barley_CSSP
0.5401	Barley	symrk	PK	Barley_CSSP
0.64	Barley	symrk	PK	Barley_CSSP
0.7066	Barley	symrk	PK	Barley_CSSP
0.5142	Barley	symrk	PK	Barley_CSSP
1.2956	Barley	nsp1	NPK	Barley_CSSP
1.4015	Barley	nsp1	NPK	Barley_CSSP
1.4465	Barley	nsp1	NPK	Barley_CSSP
1.3165	Barley	nsp1	NPK	Barley_CSSP
1.0625	Barley	nsp1	NPK	Barley_CSSP
1.6183	Barley	nsp1	NPK	Barley_CSSP
1.7639	Barley	nsp1	NPK	Barley_CSSP
1.4154	Barley	nsp1	NPK	Barley_CSSP
1.249	Barley	nsp1	NPK	Barley_CSSP
1.605	Barley	nsp1	NPK	Barley_CSSP
1.2689	Barley	nsp1	NPK	Barley_CSSP
1.6547	Barley	nsp1	NPK	Barley_CSSP
1.2044	Barley	nsp1	NPK	Barley_CSSP
1.4017	Barley	nsp1	NPK	Barley_CSSP
1.3332	Barley	nsp1	NPK	Barley_CSSP
1.3211	Barley	nsp1	NPK	Barley_CSSP
1.2255	Barley	nsp1	NPK	Barley_CSSP
1.2912	Barley	nsp1	NPK	Barley_CSSP
1.5687	Barley	nsp2	NPK	Barley_CSSP
1.5365	Barley	nsp2	NPK	Barley_CSSP
1.257	Barley	nsp2	NPK	Barley_CSSP
1.5907	Barley	nsp2	NPK	Barley_CSSP
1.9832	Barley	nsp2	NPK	Barley_CSSP
1.3757	Barley	nsp2	NPK	Barley_CSSP
1.5765	Barley	nsp2	NPK	Barley_CSSP
1.2928	Barley	nsp2	NPK	Barley_CSSP
1.7374	Barley	nsp2	NPK	Barley_CSSP
1.6275	Barley	nsp2	NPK	Barley_CSSP
1.5032	Barley	nsp2	NPK	Barley_CSSP
1.2628	Barley	nsp2	NPK	Barley_CSSP
1.1533	Barley	nsp2	NPK	Barley_CSSP
1.3306	Barley	nsp2	NPK	Barley_CSSP
1.0332	Barley	nsp2	NPK	Barley_CSSP
1.3558	Barley	nsp2	NPK	Barley_CSSP
1.4055	Barley	nsp2	NPK	Barley_CSSP
1.5262	Barley	nsp2	NPK	Barley_CSSP
1.0779	Barley	ccamk	NPK	Barley_CSSP
0.9388	Barley	ccamk	NPK	Barley_CSSP
0.9172	Barley	ccamk	NPK	Barley_CSSP
0.9053	Barley	ccamk	NPK	Barley_CSSP
0.6877	Barley	ccamk	NPK	Barley_CSSP
0.8654	Barley	ccamk	NPK	Barley_CSSP
0.828	Barley	ccamk	NPK	Barley_CSSP
0.7664	Barley	ccamk	NPK	Barley_CSSP
0.6096	Barley	ccamk	NPK	Barley_CSSP
0.8317	Barley	ccamk	NPK	Barley_CSSP
0.7262	Barley	ccamk	NPK	Barley_CSSP
0.4452	Barley	ccamk	NPK	Barley_CSSP
0.7762	Barley	ccamk	NPK	Barley_CSSP
0.7567	Barley	ccamk	NPK	Barley_CSSP
0.5948	Barley	ccamk	NPK	Barley_CSSP
0.6018	Barley	ccamk	NPK	Barley_CSSP
0.6592	Barley	ccamk	NPK	Barley_CSSP
0.8089	Barley	ccamk	NPK	Barley_CSSP
1.9015	Barley	WT	NPK	Barley_CSSP
1.274	Barley	WT	NPK	Barley_CSSP
1.7406	Barley	WT	NPK	Barley_CSSP
1.5544	Barley	WT	NPK	Barley_CSSP
1.8487	Barley	WT	NPK	Barley_CSSP
1.0891	Barley	WT	NPK	Barley_CSSP
1.6724	Barley	WT	NPK	Barley_CSSP
1.5147	Barley	WT	NPK	Barley_CSSP
1.4075	Barley	WT	NPK	Barley_CSSP
1.3004	Barley	WT	NPK	Barley_CSSP
1.5426	Barley	WT	NPK	Barley_CSSP
1.6741	Barley	WT	NPK	Barley_CSSP
1.5315	Barley	WT	NPK	Barley_CSSP
1.4235	Barley	WT	NPK	Barley_CSSP
1.5648	Barley	WT	NPK	Barley_CSSP
1.5431	Barley	WT	NPK	Barley_CSSP
1.3577	Barley	WT	NPK	Barley_CSSP
1.4777	Barley	WT	NPK	Barley_CSSP
1.1883	Barley	symrk	NPK	Barley_CSSP
1.7621	Barley	symrk	NPK	Barley_CSSP
1.355	Barley	symrk	NPK	Barley_CSSP
1.3041	Barley	symrk	NPK	Barley_CSSP
1.6074	Barley	symrk	NPK	Barley_CSSP
1.7496	Barley	symrk	NPK	Barley_CSSP
1.974	Barley	symrk	NPK	Barley_CSSP
1.34	Barley	symrk	NPK	Barley_CSSP
1.3567	Barley	symrk	NPK	Barley_CSSP
1.5944	Barley	symrk	NPK	Barley_CSSP
1.6468	Barley	symrk	NPK	Barley_CSSP
1.263	Barley	symrk	NPK	Barley_CSSP
1.3229	Barley	symrk	NPK	Barley_CSSP
1.5901	Barley	symrk	NPK	Barley_CSSP
1.4685	Barley	symrk	NPK	Barley_CSSP
1.3633	Barley	symrk	NPK	Barley_CSSP
1.4378	Barley	symrk	NPK	Barley_CSSP
1.4479	Barley	symrk	NPK	Barley_CSSP
0.0486	Lotus	nsp1	NPK	Lotus_CSSP
0.0473	Lotus	nsp1	NPK	Lotus_CSSP
0.052	Lotus	nsp1	NPK	Lotus_CSSP
0.0472	Lotus	nsp1	NPK	Lotus_CSSP
0.0403	Lotus	nsp1	NPK	Lotus_CSSP
0.0594	Lotus	nsp1	NPK	Lotus_CSSP
0.0436	Lotus	nsp1	NPK	Lotus_CSSP
0.0327	Lotus	nsp1	NPK	Lotus_CSSP
0.0594	Lotus	nsp1	NPK	Lotus_CSSP
0.0293	Lotus	nsp1	NPK	Lotus_CSSP
0.0596	Lotus	nsp1	NPK	Lotus_CSSP
0.0643	Lotus	nsp1	NPK	Lotus_CSSP
0.0516	Lotus	nsp1	NPK	Lotus_CSSP
0.0565	Lotus	nsp1	NPK	Lotus_CSSP
0.059	Lotus	nsp1	NPK	Lotus_CSSP
0.0502	Lotus	nsp1	NPK	Lotus_CSSP
0.0642	Lotus	nsp1	NPK	Lotus_CSSP
0.0535	Lotus	nsp1	NPK	Lotus_CSSP
0.0702	Lotus	nsp1	NPK	Lotus_CSSP
0.0696	Lotus	nsp1	NPK	Lotus_CSSP
0.0677	Lotus	nsp1	NPK	Lotus_CSSP
0.0548	Lotus	nsp1	NPK	Lotus_CSSP
0.0562	Lotus	nsp1	NPK	Lotus_CSSP
0.0517	Lotus	nsp1	NPK	Lotus_CSSP
0.0358	Lotus	nsp1	NPK	Lotus_CSSP
0.0486	Lotus	nsp1	NPK	Lotus_CSSP
0.0384	Lotus	nsp1	NPK	Lotus_CSSP
0.0453	Lotus	nsp1	NPK	Lotus_CSSP
0.0551	Lotus	nsp1	NPK	Lotus_CSSP
0.0545	Lotus	nsp1	NPK	Lotus_CSSP
0.0564	Lotus	nsp1	NPK	Lotus_CSSP
0.0298	Lotus	nsp1	NPK	Lotus_CSSP
0.0496	Lotus	nsp1	NPK	Lotus_CSSP
0.0414	Lotus	nsp1	NPK	Lotus_CSSP
0.0512	Lotus	nsp1	NPK	Lotus_CSSP
0.0479	Lotus	nsp1	NPK	Lotus_CSSP
0.0445	Lotus	nsp1	NPK	Lotus_CSSP
0.0419	Lotus	nsp1	NPK	Lotus_CSSP
0.0402	Lotus	nsp1	NPK	Lotus_CSSP
0.0458	Lotus	nsp1	NPK	Lotus_CSSP
0.0503	Lotus	nsp1	NPK	Lotus_CSSP
0.0393	Lotus	nsp1	NPK	Lotus_CSSP
0.0319	Lotus	nsp1	NPK	Lotus_CSSP
0.0417	Lotus	nsp1	NPK	Lotus_CSSP
0.056	Lotus	nsp1	NPK	Lotus_CSSP
0.0448	Lotus	nsp1	NPK	Lotus_CSSP
0.041	Lotus	nsp1	NPK	Lotus_CSSP
0.0305	Lotus	nsp1	NPK	Lotus_CSSP
