ASVid,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
0285bf9f4f919b773a14bab922e48e1b,NPK,Rhizosphere,nsp2,-1.19259937721308,FALSE,TRUE,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,uncultured_Myxococcales,0.992010384276712
02ac2aaa1b389adcb8d782db90258e34,PK,Rhizosphere,nsp1,1.5463692708892,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Unknown,Unknown,Unknown,Unknown,0.99985126003573
02c2b52ff4c718aa6ac44c4bb023a5d3,PK,Rhizosphere,symrk,-0.606467403968932,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,uncultured_Hyphomicrobiaceae,0.884149948136252
02c2b52ff4c718aa6ac44c4bb023a5d3,PK,Rhizosphere,nsp1,-0.606467403968932,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,uncultured_Hyphomicrobiaceae,0.884149948136252
02c2b52ff4c718aa6ac44c4bb023a5d3,PK,Rhizosphere,nsp2,-0.606467403968932,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,uncultured_Hyphomicrobiaceae,0.884149948136252
02ca84fda1c254fdf677e5528b9f136a,UF,Rhizosphere,symrk,-0.869046228018278,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas_staleyi,0.914770478035914
02ca84fda1c254fdf677e5528b9f136a,UF,Rhizosphere,ccamk,-0.869046228018278,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas_staleyi,0.914770478035914
02df73e55cb01d01c147384916ae3037,NPK,Rhizosphere,nsp2,-0.698678792056708,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,Unknown,0.835977544672318
02ea33968083fce503429cc5009fae7a,PK,Rhizosphere,symrk,0.875101553007614,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,Unknown,0.997478637511604
02ea33968083fce503429cc5009fae7a,UF,Rhizosphere,symrk,1.19144333740915,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,Unknown,0.997478637511604
03278c89bfe5e7c211d2e8b02f9163ea,NPK,Rhizosphere,symrk,-0.738892225145233,FALSE,TRUE,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,uncultured_Acidobacteriaceae,0.855654938473802
03278c89bfe5e7c211d2e8b02f9163ea,NPK,Rhizosphere,nsp2,-0.738892225145233,FALSE,TRUE,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,uncultured,uncultured,uncultured_Acidobacteriaceae,0.855654938473802
032937b1c83fba42df4bf7102764e5ae,NPK,Root,nsp2,1.11922576825366,FALSE,TRUE,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Unknown,0.999967537736277
03383e4616e51987257cb38004a4767b,NPK,Rhizosphere,nsp2,-0.809664820396256,FALSE,TRUE,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides_terrigena,0.804023190679567
033df1bd44c189364075351078b1198f,NPK,Root,ccamk,1.09240164084681,FALSE,TRUE,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unknown,0.948799399533606
03dd46eeb17b4095a0d5fefb36b60c02,NPK,Rhizosphere,nsp2,-0.992445016585866,FALSE,TRUE,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unknown,0.999852167659822
040ff21da1bf1fd921542a7d3afb3e4f,PK,Rhizosphere,nsp1,-0.798887254434953,FALSE,TRUE,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,uncultured_delta,0.901122133635177
