feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
P2_C2.P4_E2	Genotype	nsp1	2.12905373611621	0.982963406230183	30	20	0.0400533789682216	0.149351582593369
P1_D3	Genotype	nsp1	1.39471663591847	0.64800357903144	30	29	0.0412191134808253	0.151136749429693
P4_C7	Genotype	nsp1	0.765221415181075	0.359974666733336	30	30	0.0435797416111205	0.154152441477093
P2_A1	Genotype	ccamk	2.0857875728009	0.98404299331211	30	19	0.044143653695713	0.154152441477093
P3_A2	Genotype	symrk	-1.87138703670269	0.877270652083287	30	14	0.0429077607081626	0.154152441477093
P2_H12	Genotype	nsp1	1.59214496620945	0.76221939873034	30	7	0.0470633133487137	0.161780139636203
P4_B5	Genotype	nsp2	1.84520266129795	0.904523077339147	30	28	0.0520514559762522	0.173504853254174
P2_H9	Genotype	nsp2	0.958493596936165	0.469642840697836	30	6	0.051952708151388	0.173504853254174
P2_B1	Genotype	symrk	-0.94802964637947	0.477785332859601	30	26	0.058312475771393	0.18869249795938
P2_E10	Genotype	nsp2	-1.40473511478263	0.707986708733055	30	11	0.0583231357328993	0.18869249795938
P4_B11	Genotype	ccamk	0.973309102496394	0.494883760363953	30	4	0.0604068618794259	0.192601588601068
P2_B12	Genotype	nsp2	-0.857347486900296	0.442086351894494	30	26	0.0638269067256457	0.197773513797776
P4_B5	Genotype	symrk	1.75527285780167	0.904523077339147	30	28	0.0636700226815698	0.197773513797776
P4_B4	Genotype	nsp1	1.31274462971833	0.680000813883606	30	29	0.064962027623842	0.198495084406184
P4_H10	Genotype	symrk	-0.700959588211639	0.36899495763333	30	30	0.0690751473510704	0.205358546178858
P1_C2	Genotype	nsp2	-0.74640162054947	0.39222700334958	30	29	0.0686194990655008	0.205358546178858
P2_C2.P4_E2	Genotype	symrk	1.84711854598263	0.982963406230183	30	20	0.0719332014275262	0.211004057520743
P4_B5	Genotype	ccamk	1.69011646279589	0.904523077339148	30	28	0.0734522571393992	0.212624954877208
P4_G10	Genotype	ccamk	0.616821883027228	0.339928448777536	30	4	0.0816094881400563	0.233169966114447
P1_C1	Genotype	ccamk	-0.725869459928894	0.40541910573986	30	29	0.0855058330681179	0.239069909753709
P5_B10	Genotype	nsp1	1.36652678203421	0.764129949509603	30	23	0.0858478312297411	0.239069909753709
P2_D12	Genotype	symrk	-0.784369999713657	0.442867792282569	30	29	0.0887341728765918	0.241494806322243
P5_C5	Genotype	ccamk	1.32311403403549	0.74749752296565	30	5	0.0889139968731894	0.241494806322243
P4_B4	Genotype	nsp2	1.19069417924238	0.680000813883606	30	29	0.0922055577984838	0.2473807648252
