feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
P4_G3	Genotype	ccamk	-3.69705437665657	0.445662797635588	29	29	1.65043152767811e-08	3.89501840532033e-06
P4_G3	Genotype	nsp1	-2.55314259409454	0.445662797635588	29	29	6.66057962203555e-06	0.000785948395400195
P5_C1	Genotype	ccamk	-2.99504622138347	0.552334945771416	29	26	1.43155946822825e-05	0.00112616011500622
P4_B2	Genotype	ccamk	-1.63312071825023	0.31388658270803	29	29	2.48818360727657e-05	0.00146802832829318
P4_B2	Genotype	nsp1	-1.5457431231033	0.31388658270803	29	29	5.03360971686767e-05	0.00237586378636154
P4_G3	Genotype	symrk	-2.03469739719304	0.445662797635588	29	29	0.000125355860231734	0.00493066383578152
P1_A9	Genotype	ccamk	-2.5970286282004	0.58774708507954	29	27	0.000182177845251825	0.00614199592563296
P4_B2	Genotype	symrk	-1.33041299174768	0.31388658270803	29	29	0.000287933495374551	0.00796603646593979
P3_A2	Genotype	nsp2	2.61343342519244	0.622431215221102	29	24	0.00031851341341323	0.00796603646593979
P2_E10	Genotype	nsp1	-3.73682260797051	0.894859282833557	29	13	0.000337543918048296	0.00796603646593979
P4_G3	Genotype	nsp2	-1.80415978316619	0.445662797635588	29	29	0.000466379966247632	0.0100059701849492
P2_G8	Genotype	nsp2	-2.91219985904163	0.735050014991945	29	22	0.000580116725393107	0.0114089622660644
P3_C6	Genotype	ccamk	-2.24764517032351	0.591376704204927	29	17	0.000870512901449492	0.0158031572878523
P2_B1	Genotype	ccamk	-2.77959947728218	0.744920584733522	29	19	0.00103566422847411	0.0165837901474841
P2_E10	Genotype	nsp2	-3.33278826868344	0.894859282833557	29	13	0.00105405445852653	0.0165837901474841
P1_A8	Genotype	ccamk	-1.45602850616393	0.395438860252788	29	29	0.00117167406341582	0.0172821924353833
P5_C1	Genotype	nsp1	-1.9839246400266	0.552334945771417	29	26	0.00146690533845375	0.0203640976397109
P2_B1	Genotype	nsp2	-2.63398369977962	0.744920584733523	29	19	0.00168554620487828	0.0220993835750707
P2_E10	Genotype	symrk	-3.06310228602171	0.894859282833557	29	13	0.0022279206313553	0.0276731194210448
P2_A1	Genotype	ccamk	-1.46481899513282	0.434151303368695	29	28	0.00251314012605036	0.0296550534873942
P3_C6	Genotype	nsp1	-1.95914331939141	0.591376704204927	29	17	0.00291886048839593	0.0328024321553066
P1_A8	Genotype	nsp1	-1.29968082675111	0.395438860252788	29	29	0.00311136521709517	0.0328806881544294
P2_C2.P4_E2	Genotype	nsp1	2.39679116665498	0.731938744475709	29	19	0.0032044738455588	0.0328806881544294
P1_A9	Genotype	nsp1	-1.90664942948942	0.58774708507954	29	27	0.00345196980575408	0.0339443697565818
P1_D3	Genotype	ccamk	-1.60910638966635	0.51013365246443	29	29	0.00428923480711027	0.0369825862687282
P4_B10	Genotype	nsp1	-1.3010030522127	0.409573030528535	29	29	0.00406542745395928	0.0369825862687282
P2_A1	Genotype	symrk	-1.36911799565258	0.434151303368695	29	28	0.00429682870121953	0.0369825862687282
P5_C5	Genotype	nsp2	2.2886059852345	0.727728727457914	29	25	0.00438776447256097	0.0369825862687282
P2_C12	Genotype	ccamk	-1.50443627010227	0.490615023983251	29	29	0.0052968344321533	0.0403161516243973
P1_E8	Genotype	nsp1	-0.882453308082092	0.287929024726609	29	29	0.00531714181745941	0.0403161516243973
P4_B10	Genotype	nsp2	-1.25052115786408	0.409573030528535	29	29	0.00546659683042676	0.0403161516243973
P2_E3	Genotype	nsp2	1.09201513762935	0.356415541391131	29	7	0.00532920110233085	0.0403161516243973
P2_A1	Genotype	nsp1	-1.3198294795333	0.434151303368695	29	28	0.00564172093046163	0.0403468527148165
P1_E8	Genotype	ccamk	-0.867156429181287	0.287929024726609	29	29	0.00603547006681407	0.0418178205806119
P2_B12	Genotype	nsp2	0.993579258823951	0.331163570985431	29	29	0.00620179542509075	0.0418178205806119
P2_H11	Genotype	nsp2	-0.779583396057171	0.263363420140366	29	29	0.00682140675299898	0.0445133483986049
P3_C6	Genotype	nsp2	-1.7448330708799	0.591376704204927	29	17	0.00697878767266263	0.0445133483986049
P2_E10	Genotype	ccamk	-2.61776054907498	0.894859282833556	29	13	0.00740521326318141	0.0459902718450214
P5_A1	Genotype	ccamk	0.799931355723017	0.279031286769721	29	29	0.00849651437314793	0.05141480492469
P1_F10	Genotype	nsp2	0.988473707429794	0.348229170080955	29	29	0.00907638487030953	0.0525867474948666
P4_E5	Genotype	ccamk	-0.876402795886443	0.310182979125134	29	29	0.00935865845247626	0.0525867474948666
P1_C2	Genotype	ccamk	-1.51661297655185	0.534831169500509	29	29	0.00913772734847073	0.0525867474948666
P2_H2	Genotype	symrk	1.47455470986752	0.525487230833059	29	26	0.00979009315573245	0.05373167406402
P2_H11	Genotype	ccamk	-0.715502654605301	0.263363420140366	29	29	0.0120339176220286	0.0620498049563946
P1_E1	Genotype	nsp1	-0.679841162120084	0.251027870213249	29	29	0.0122727847647303	0.0620498049563946
P4_G1	Genotype	ccamk	-0.880680282194683	0.325546501676421	29	29	0.0123573764108074	0.0620498049563946
P3_A2	Genotype	nsp1	1.69797949529542	0.622431215221102	29	24	0.011728177761394	0.0620498049563946
P2_C2.P4_E2	Genotype	symrk	1.97150296345282	0.731938744475709	29	19	0.0126933452189578	0.0624089473265424
P4_B10	Genotype	ccamk	-1.09259885777191	0.409573030528535	29	29	0.0134672452703458	0.0641191310801134
P5_D4.P4_F1	Genotype	symrk	-2.22655485863607	0.835840186164141	29	12	0.0135845616695155	0.0641191310801134
P1_A6	Genotype	nsp2	0.692824319438784	0.261537955836695	29	29	0.0140509822855727	0.0650202317528464
P5_A10	Genotype	ccamk	-1.27169761584188	0.486266362144333	29	29	0.0151724272809704	0.0688594776597886
P4_H10	Genotype	nsp1	1.30593220480939	0.504892671140649	29	29	0.016188591619852	0.0720850494770767
P2_D8	Genotype	ccamk	-1.32341029774308	0.515571528122537	29	7	0.016922196711017	0.0726116077054549
P2_D8	Genotype	nsp1	-1.32341029774308	0.515571528122537	29	7	0.016922196711017	0.0726116077054549
P1_F10	Genotype	symrk	0.887726102397238	0.348229170080955	29	29	0.0176054890738759	0.0739660229714526
P2_H2	Genotype	nsp2	1.33617756402066	0.525487230833059	29	26	0.0178646750397152	0.0739660229714526
P1_F10	Genotype	ccamk	0.868105466069268	0.348229170080955	29	29	0.0199664641281217	0.081242854038564
P4_B2	Genotype	nsp2	-0.777523439490421	0.31388658270803	29	29	0.0206808483356638	0.0827233933426553
P2_H2	Genotype	ccamk	1.26911521020752	0.525487230833059	29	26	0.0237107678392492	0.0932623535010469
P4_B10	Genotype	symrk	-0.965487901477894	0.409573030528535	29	29	0.0269020837656814	0.102401480140336
P2_C2.P4_E2	Genotype	nsp2	1.72692525107582	0.731938744475709	29	19	0.0267806589474639	0.102401480140336
P5_B10	Genotype	nsp1	2.41528343064216	1.03415366562302	29	17	0.0282036330206968	0.105651704648959
P5_B3.P4_C1	Genotype	nsp1	1.89720937147889	0.818522899757724	29	27	0.0293014588071658	0.10638683505371
P2_G8	Genotype	symrk	-1.70625244179801	0.735050014991945	29	22	0.0290854457697319	0.10638683505371
P1_B10	Genotype	ccamk	-0.761189930777572	0.334389211500258	29	29	0.0320338361023862	0.113185987829346
P1_B10	Genotype	nsp1	-0.760705542813248	0.334389211500259	29	29	0.0321333101040939	0.113185987829346
P5_C5	Genotype	symrk	1.63343955841514	0.727728727457914	29	25	0.0342823457505926	0.118979905840292
P1_E1	Genotype	ccamk	-0.551784626137368	0.251027870213248	29	29	0.0378279690676645	0.129044211906084
P4_E5	Genotype	nsp1	-0.680080709684902	0.310182979125134	29	29	0.0382758255653638	0.129044211906084
P4_H10	Genotype	ccamk	1.09040245799344	0.504892671140648	29	29	0.0410069705270702	0.136304859780121
P1_C1	Genotype	symrk	-0.505076472460184	0.234798087394067	29	29	0.0417472411485584	0.136838179320275
P1_F10	Genotype	nsp1	0.741307550113029	0.348229170080955	29	29	0.0437336546316114	0.141385513603566
P2_H3	Genotype	nsp1	0.708599963565997	0.335953511484616	29	3	0.0455450789073311	0.145251873272029
P4_H10	Genotype	nsp2	1.05024926228141	0.504892671140649	29	29	0.0483603451770069	0.152173886156982
P5_B3.P4_C1	Genotype	symrk	1.69488423226633	0.818522899757724	29	27	0.0493114234698137	0.153124946564158
P2_G8	Genotype	ccamk	-1.51329883248202	0.735050014991945	29	22	0.0505278462023164	0.154864567581126
P5_B3.P4_C1	Genotype	ccamk	1.67780423703057	0.818522899757724	29	27	0.0514634845126513	0.155710030063919
P4_F10	Genotype	nsp2	1.32748021269888	0.675133979899702	29	29	0.0609392448411477	0.180955897215212
P2_G8	Genotype	nsp1	-1.44287780609095	0.735050014991945	29	22	0.0613409821068515	0.180955897215212
P3_C6	Genotype	symrk	-1.14688757387092	0.591376704204927	29	17	0.0643011231199359	0.187346482176603
P1_A1	Genotype	nsp1	1.09633846492087	0.57392786435242	29	29	0.0681228539443133	0.191798667021453
P4_C7	Genotype	ccamk	-1.21001171785399	0.633506284006483	29	29	0.0681516864860501	0.191798667021453
P5_C1	Genotype	symrk	-1.05449860932653	0.552334945771417	29	26	0.0682673221601781	0.191798667021453
P2_B1	Genotype	symrk	-1.38082040402824	0.744920584733523	29	19	0.0761219085989737	0.208892679411137
P5_D4.P4_F1	Genotype	ccamk	-1.55061063166041	0.835840186164141	29	12	0.0758991610757633	0.208892679411137
P2_D8	Genotype	symrk	-0.939993152905992	0.515571528122537	29	7	0.080752981186144	0.219054063907241
P5_E7	Genotype	ccamk	1.19769936881075	0.678269014038844	29	25	0.0901469025215579	0.241757602216905
P5_D4.P4_F1	Genotype	nsp1	-1.45811646521883	0.835840186164141	29	12	0.0938687132986433	0.248910295937975
