"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"symrk-WT",-0.034835226410228,-0.10314326054228,0.0334728077218241,0.53395944155383,"Flavobacteriales","Rhizosphere"
"ccamk-WT",-0.0440045234584876,-0.11231255759054,0.0243035106735646,0.316951625548931,"Flavobacteriales","Rhizosphere"
"nsp1-WT",-0.0561717500829856,-0.124479784215038,0.0121362840490665,0.133629451586578,"Flavobacteriales","Rhizosphere"
"nsp2-WT",-0.0734943391164233,-0.141802373248475,-0.00518630498437113,0.0321559218296172,"Flavobacteriales","Rhizosphere"
"ccamk-symrk",-0.00916929704825953,-0.0774773311803117,0.0591387370837926,0.993142372269227,"Flavobacteriales","Rhizosphere"
"nsp1-symrk",-0.0213365236727576,-0.0896445578048097,0.0469715104592946,0.866685272039936,"Flavobacteriales","Rhizosphere"
"nsp2-symrk",-0.0386591127061952,-0.106967146838247,0.0296489214258569,0.436709154798758,"Flavobacteriales","Rhizosphere"
"nsp1-ccamk",-0.0121672266244981,-0.0804752607565502,0.0561408075075541,0.98026175918091,"Flavobacteriales","Rhizosphere"
"nsp2-ccamk",-0.0294898156579357,-0.0977978497899879,0.0388182184741164,0.676079914663655,"Flavobacteriales","Rhizosphere"
"nsp2-nsp1",-0.0173225890334376,-0.0856306231654898,0.0509854450986145,0.93162657303131,"Flavobacteriales","Rhizosphere"
"symrk-WT",-0.0559448160314937,-0.100792194140867,-0.0110974379221206,0.0116002285288902,"Pseudomonadales","Rhizosphere"
"ccamk-WT",-0.059109267169499,-0.103956645278872,-0.0142618890601258,0.00759961955934818,"Pseudomonadales","Rhizosphere"
"nsp1-WT",-0.0629697238543299,-0.107817101963703,-0.0181223457449568,0.00453953068955526,"Pseudomonadales","Rhizosphere"
"nsp2-WT",-0.044792717846509,-0.0896400959558821,5.46602628641729e-05,0.0503516268140638,"Pseudomonadales","Rhizosphere"
"ccamk-symrk",-0.00316445113800523,-0.0480118292473784,0.0416829269713679,0.999437250541003,"Pseudomonadales","Rhizosphere"
"nsp1-symrk",-0.00702490782283616,-0.0518722859322093,0.037822470286537,0.987728523849533,"Pseudomonadales","Rhizosphere"
"nsp2-symrk",0.0111520981849848,-0.0336952799243883,0.0559994762943579,0.935981623393725,"Pseudomonadales","Rhizosphere"
"nsp1-ccamk",-0.00386045668483093,-0.0487078347942041,0.0409869214245422,0.998770345648309,"Pseudomonadales","Rhizosphere"
"nsp2-ccamk",0.01431654932299,-0.0305308287863831,0.0591639274323632,0.857594494224649,"Pseudomonadales","Rhizosphere"
"nsp2-nsp1",0.0181770060078209,-0.0266703721015522,0.0630243841171941,0.722827875187871,"Pseudomonadales","Rhizosphere"
"symrk-WT",0.0437274730800323,-0.00136729852736552,0.0888222446874302,0.0594711992125927,"Rhizobiales","Rhizosphere"
"ccamk-WT",0.0638196088496064,0.0187248372422086,0.108914380457004,0.00424729661726808,"Rhizobiales","Rhizosphere"
"nsp1-WT",0.0266960619773254,-0.0183987096300724,0.0717908335847233,0.394413003831578,"Rhizobiales","Rhizosphere"
"nsp2-WT",0.0225934894836634,-0.0225012821237344,0.0676882610910613,0.550080911069553,"Rhizobiales","Rhizosphere"
"ccamk-symrk",0.0200921357695741,-0.0250026358378238,0.0651869073769719,0.651089533232624,"Rhizobiales","Rhizosphere"
"nsp1-symrk",-0.0170314111027069,-0.0621261827101047,0.028063360504691,0.769635576350796,"Rhizobiales","Rhizosphere"
"nsp2-symrk",-0.0211339835963689,-0.0662287552037668,0.0239607880110289,0.608986628130479,"Rhizobiales","Rhizosphere"
"nsp1-ccamk",-0.037123546872281,-0.0822183184796788,0.00797122473511688,0.13299560615866,"Rhizobiales","Rhizosphere"
"nsp2-ccamk",-0.041226119365943,-0.0863208909733409,0.00386865224145485,0.0812491404794562,"Rhizobiales","Rhizosphere"
"nsp2-nsp1",-0.00410257249366203,-0.0491973441010599,0.0409921991137358,0.998473135782087,"Rhizobiales","Rhizosphere"
"symrk-WT",0.00163431606026228,-0.00361695220844939,0.00688558432897396,0.868157714635496,"Sphingomonadales","Rhizosphere"
"ccamk-WT",0.000579502752659257,-0.00467176551605242,0.00583077102137093,0.996765205762414,"Sphingomonadales","Rhizosphere"
"nsp1-WT",0.00130065996504664,-0.00395060830366503,0.00655192823375832,0.936829835047099,"Sphingomonadales","Rhizosphere"
"nsp2-WT",0.00225252929225312,-0.00299873897645856,0.00750379756096479,0.681047354989439,"Sphingomonadales","Rhizosphere"
"ccamk-symrk",-0.00105481330760302,-0.0063060815763147,0.00419645496110865,0.969512996131951,"Sphingomonadales","Rhizosphere"
"nsp1-symrk",-0.000333656095215639,-0.00558492436392731,0.00491761217349604,0.999628038473534,"Sphingomonadales","Rhizosphere"
"nsp2-symrk",0.000618213231990837,-0.00463305503672084,0.00586948150070251,0.995849074102016,"Sphingomonadales","Rhizosphere"
"nsp1-ccamk",0.000721157212387386,-0.00453011105632429,0.00597242548109906,0.992522088511485,"Sphingomonadales","Rhizosphere"
"nsp2-ccamk",0.00167302653959386,-0.00357824172911781,0.00692429480830554,0.858444886114007,"Sphingomonadales","Rhizosphere"
"nsp2-nsp1",0.000951869327206476,-0.0042993989415052,0.00620313759591815,0.978959675408125,"Sphingomonadales","Rhizosphere"
"symrk-WT",0.00911771285685019,-0.0163025592675844,0.0345379849812848,0.800112398189453,"Xanthomonadales","Rhizosphere"
"ccamk-WT",0.0231259656591949,-0.00229430646523969,0.0485462377836295,0.0832877531534775,"Xanthomonadales","Rhizosphere"
"nsp1-WT",-0.00141134140279649,-0.0268316135272311,0.0240089307216381,0.999781983259584,"Xanthomonadales","Rhizosphere"
"nsp2-WT",0.00208919559977949,-0.0233310765246551,0.0275094677242141,0.998974446651917,"Xanthomonadales","Rhizosphere"
"ccamk-symrk",0.0140082528023447,-0.0114120193220899,0.0394285249267793,0.461822482081496,"Xanthomonadales","Rhizosphere"
"nsp1-symrk",-0.0105290542596467,-0.0359493263840813,0.0148912178647879,0.70726636217292,"Xanthomonadales","Rhizosphere"
"nsp2-symrk",-0.0070285172570707,-0.0324487893815053,0.0183917548673639,0.909143624967598,"Xanthomonadales","Rhizosphere"
"nsp1-ccamk",-0.0245373070619914,-0.049957579186426,0.000882965062443206,0.0609825238626119,"Xanthomonadales","Rhizosphere"
"nsp2-ccamk",-0.0210367700594154,-0.04645704218385,0.00438350206501918,0.129998648549918,"Xanthomonadales","Rhizosphere"
"nsp2-nsp1",0.00350053700257597,-0.0219197351218586,0.0289208091270106,0.992444048175307,"Xanthomonadales","Rhizosphere"
