Number	Nodule_type	Genotype
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	symrk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	ccamk
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
	white	nsp1
