name	Anna_info	links	formulaId	alignedFeatureId	compoundId	mappingFeatureId
Liquiritigenin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0029519 HMDB0303602);MiMeDB:(MMDBc0053420);BloodExposome:(114829 1889);LIPIDMAPS:(LMPK12140061);SUPERNATURAL:(SN0096031);MESH:(1889 114829);FooDB:(FDB000655 FDB016563);PUBCHEM:(928837 1889 114829);GNPS:(CCMSLIB00000847787);COCONUT:(CNP0412193);NORMAN:(NS00068445 NS00097409);METACYC:(CPD-3061);PLANTCYC:(CPD-3061);CHEBI:(136678 28777);KEGG:(C09762);DSSTox:(DTXSID90206493 DTXSID90274339 DTXSID90961898);LOTUS:(Q72487544 Q6557526);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(FURUXTVZLHCCNA-UHFFFAOYSA-N)"	832571776747526268	832570080260421197	832570080260421196	848
Lupinalbin A	Isoflavonoids	"COCONUT:(CNP0206536);LIPIDMAPS:(LMPK12160012);SUPERNATURAL:(SN0020763);PUBCHEM:(5324349);DSSTox:(DTXSID20243437);LOTUS:(Q83127523);PUBMED:(null);KNAPSACK:(BBBAWACESCACAP-UHFFFAOYSA-N)"	832571797496749688	832570086631569740	832570086631569739	1000
Naringenin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002670 HMDB0242579);MiMeDB:(MMDBc0000416);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(667495 439246 932);LIPIDMAPS:(LMPK12140001);SUPERNATURAL:(SN0095407);MESH:(932 439246 667495);FooDB:(FDB000678 FDB016687);PUBCHEM:(76973414 76973919 25244584 667495 932 439246);GNPS:(CCMSLIB00003135897 CCMSLIB00000077216 CCMSLIB00003136767);COCONUT:(CNP0218028);NORMAN:(NS00003069 NS00068233);METACYC:(Tocotrienols Naringenin NARINGENIN-CMPD CPD-14042);PLANTCYC:(NARINGENIN-CMPD);CHEBI:(50202 50201 17846 58292);KEGG:(C00509);DSSTox:(DTXSID1022392 DTXSID50274239);LOTUS:(Q27121979 Q57826857 Q418374);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(FTVWIRXFELQLPI-UHFFFAOYSA-N)"	832571626348156541	832570083666196452	832570083662002147	928
Phlorizin	Phenylpropanoid glycoside/derivative	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0036634 HMDB0256451);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(6072 4789);LIPIDMAPS:(LMPK12120517);SUPERNATURAL:(SN0151280);MESH:(6072);FooDB:(FDB015554);PUBCHEM:(154746925 17759822 6604686 40481259 163014468 163014469 163285253 7059601 7059602 7059603 101614383 124427661 144780110 16758124 70687204 99721165 45933907 60020392 73265329 122524631 142039241 44655905 45040243 4789 6072 25766924 25791507 25791508 25791509 46926173 12358713 143932286 138402678);COCONUT:(CNP0290030);NORMAN:(NS00002475);METACYC:(CPD-12447);PLANTCYC:(CPD-12447);CHEBI:(182131 8113);KEGG:(C01604);DSSTox:(DTXSID00871535 DTXSID3075339 DTXSID901010017);LOTUS:(Q115948683 Q105116902 Q413105 Q105116908 Q105116909);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(IOUVKUPGCMBWBT-UHFFFAOYSA-N)"	832570556062344702	832570122841000056	832570122841000055	1763
Phlorizin	Phenylpropanoid glycoside/derivative	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0036634 HMDB0256451);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(6072 4789);LIPIDMAPS:(LMPK12120517);SUPERNATURAL:(SN0151280);MESH:(6072);FooDB:(FDB015554);PUBCHEM:(154746925 17759822 6604686 40481259 163014468 163014469 163285253 7059601 7059602 7059603 101614383 124427661 144780110 16758124 70687204 99721165 45933907 60020392 73265329 122524631 142039241 44655905 45040243 4789 6072 25766924 25791507 25791508 25791509 46926173 12358713 143932286 138402678);COCONUT:(CNP0290030);NORMAN:(NS00002475);METACYC:(CPD-12447);PLANTCYC:(CPD-12447);CHEBI:(182131 8113);KEGG:(C01604);DSSTox:(DTXSID00871535 DTXSID3075339 DTXSID901010017);LOTUS:(Q115948683 Q105116902 Q413105 Q105116908 Q105116909);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(IOUVKUPGCMBWBT-UHFFFAOYSA-N)"	832570574584394009	832570122811639923	832570122811639922	1762
Quercetin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0033751 HMDB0257017);MiMeDB:(MMDBc0053689);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5353915 18604930 5280459 6325794);LIPIDMAPS:(LMPK12112171);SUPERNATURAL:(SN0277652);HSDB:(522-12-3);MESH:(5280459 6325794);FooDB:(FDB011884);PUBCHEM:(21550894 124540693 144163037 6710619 40469466 40486293 15939939 23304560 5280459 5320477 5320852 5320854 5353915 5359430 51402819 51402820 51403177 51403178 69916642 124425448 162903256 162903257 162903258 162903259 6325794 5702146 16667665 89864329 16758176 10072329 25141341 25200492 25203748 90882953 54174440 24211982 26339717 12314853 12314855 12314856 12314859 11972444 49792009 49847482 18604930 44259217);GNPS:(CCMSLIB00004678847 CCMSLIB00000078893 CCMSLIB00003140223 CCMSLIB00003136824);COCONUT:(CNP0171505);NORMAN:(NS00006156);METACYC:(CPD-8013 QUERCITRIN);PLANTCYC:(CPD-8013);CHEBI:(58192 76060 17558 75886 110203 189427 75863);KEGG:(C01750);DSSTox:(DTXSID40871736 DTXSID50200230);LOTUS:(Q115948681 Q105202674 Q1649777 Q105202673 Q104667214 Q105202679 Q27145608 Q105202665 Q27145624 Q105202666 Q105202607 Q105202668 Q105202675 Q115950352 Q105202680 Q105202603 Q104193930 Q104399360);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(OXGUCUVFOIWWQJ-UHFFFAOYSA-N)"	832570887462739964	832570123658889444	832570123658889443	1783
Vaccinoside	Phenylpropanoid glycoside/derivative	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0034733);TeroMol:(TKC096770 TKC165050 TKC165048 TKC165053 TKC165046 TKC021479 TKC150735 TKC021480 TKC165047 TKC165049 TKC165052 TKC165051);SUPERNATURAL:(SN0412060);FooDB:(FDB013275);PUBCHEM:(154734965 163185883 163194625 154497649 162869760 162869761 162869762 162869763 162869764 162869765 162869766 162869767 6440568 76401261 56776261 56776351 56842360 131751614 156823 133567543);GNPS:(CCMSLIB00000851456 CCMSLIB00000851459);COCONUT:(CNP0134072);NORMAN:(NS00093958);CHEBI:(168060);DSSTox:(DTXSID30957553);LOTUS:(Q105306978 Q105306979 Q105306984 Q105306985 Q105306983);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(WJPRKOJNQIZCGY-UHFFFAOYSA-N)"	832570863760724910	832570127169522202	832570127169522201	1845
Vanillic Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000484);MiMeDB:(MMDBc0000107 MMDBc0054270);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(8468);SUPERNATURAL:(SN0412802);MESH:(8468);FooDB:(FDB000846);PUBCHEM:(102295056 102295057 71752915 131708670 10535133 10630957 10749645 8468 12358657 54675858);GNPS:(CCMSLIB00000578324);COCONUT:(CNP0122021);NORMAN:(NS00014581 NS00103831);METACYC:(VANILLATE);PLANTCYC:(VANILLATE);CHEBI:(132748 16632 30816);KEGG:(C06672);DSSTox:(DTXSID00635497 DTXSID6059522);LOTUS:(Q419672);YMDB:(YMDB01802);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(WKOLLVMJNQIZCI-UHFFFAOYSA-N)"	832570653366019087	832570059834157889	832570059834157888	284
Vestitol	Isoflavonoids	"PUBCHEMANNOTATIONBIO:(null);LIPIDMAPS:(LMPK12080026);SUPERNATURAL:(SN0438385);MESH:(92503);FooDB:(FDB030085);PUBCHEM:(92503 177149 182259);GNPS:(CCMSLIB00000854571);COCONUT:(CNP0112992);METACYC:(CPD-17501 CPD-9366);PLANTCYC:(CPD-9366);CHEBI:(80392 9971 69088);KEGG:(C16225 C10540);DSSTox:(DTXSID10943131 DTXSID201318024 DTXSID801178444);LOTUS:(Q27137428 Q27108542 Q27149418);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(XRVFNNUXNVWYTI-UHFFFAOYSA-N)"	832571863489936130	832570083871717368	832570083871717367	932
Wedelolactone	Coumarins/defense related metabolite	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0259891);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281813);LIPIDMAPS:(LMPK12090046);SUPERNATURAL:(SN0437013);MESH:(5281813);PUBCHEM:(5281813);COCONUT:(CNP0211697);CHEBI:(10037);KEGG:(C10541);DSSTox:(DTXSID60200408);LOTUS:(Q6586709);PUBMED:(null);KNAPSACK:(XQDCKJKKMFWXGB-UHFFFAOYSA-N)"	832571829805477097	832570099449364115	832570099449364114	1264
