name	Anna_info	links	formulaId	alignedFeatureId	compoundId	mappingFeatureId
Coumaric Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002035 HMDB0030677);MiMeDB:(MMDBc0000581 MMDBc0054083);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(322 637542 54708745);SUPERNATURAL:(SN0245076);MESH:(637542);FooDB:(FDB002592 FDB002593 FDB002594 FDB004146 FDB030490);PUBCHEM:(16109932 124202750 637542 131708669 131871182 1549106 11116469 322 117064649 54708745 54721280 54729371 71310960);GNPS:(CCMSLIB00003138651 CCMSLIB00000078887);COCONUT:(CNP0255341);NORMAN:(NS00004354 NS00068187 NS00082097);METACYC:(CIS-P-COUMARATE COUMARATE);PLANTCYC:(COUMARATE);CHEBI:(32373 12876 32374 58152 36090 17450);KEGG:(C00811 C06738);DSSTox:(DTXSID00746416 DTXSID30901076 DTXSID6064660 DTXSID901315564);LOTUS:(Q27104329 Q99374 Q27102404);YMDB:(YMDB00498);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGSWKAQJJWESNS-UHFFFAOYSA-N)"	832570792352688057	832570059372784379	832570059372784378	270
Coumaric Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002035 HMDB0030677);MiMeDB:(MMDBc0000581 MMDBc0054083);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(322 637542 54708745);SUPERNATURAL:(SN0245076);MESH:(637542);FooDB:(FDB002592 FDB002593 FDB002594 FDB004146 FDB030490);PUBCHEM:(16109932 124202750 637542 131708669 131871182 1549106 11116469 322 117064649 54708745 54721280 54729371 71310960);GNPS:(CCMSLIB00003138651 CCMSLIB00000078887);COCONUT:(CNP0255341);NORMAN:(NS00004354 NS00068187 NS00082097);METACYC:(CIS-P-COUMARATE COUMARATE);PLANTCYC:(COUMARATE);CHEBI:(32373 12876 32374 58152 36090 17450);KEGG:(C00811 C06738);DSSTox:(DTXSID00746416 DTXSID30901076 DTXSID6064660 DTXSID901315564);LOTUS:(Q27104329 Q99374 Q27102404);YMDB:(YMDB00498);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(NGSWKAQJJWESNS-UHFFFAOYSA-N)"	832570798614785181	832570059309869809	832570059305675504	268
Cumostrol	Coumarins/defense related metabolite	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002326);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281707);LIPIDMAPS:(LMPK12090018);SUPERNATURAL:(SN0484370);MESH:(5281707);FooDB:(FDB011663);PUBCHEM:(101333000 5281707 12304242);GNPS:(CCMSLIB00000085539);COCONUT:(CNP0328371);NORMAN:(NS00004410);METACYC:(CPD-11779);PLANTCYC:(CPD-11779);CHEBI:(3908);KEGG:(C10205);DSSTox:(DTXSID6022399);LOTUS:(Q908865);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ZZIALNLLNHEQPJ-UHFFFAOYSA-N)"	832571636552899580	832570082277881691	832570082277881690	902
Daidzein	Isoflavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0003312);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281708);LIPIDMAPS:(LMPK12050038);SUPERNATURAL:(SN0477735 SN0477736);MESH:(5281708);FooDB:(FDB002608);PUBCHEM:(86289348 101430397 101430398 101430399 5281708 10038069 90873552 131869353 10587403 46704425 12241084 12241085 11666028 11777207);GNPS:(CCMSLIB00000006049 CCMSLIB00000078891 CCMSLIB00000078314);COCONUT:(CNP0190002);NORMAN:(NS00010903);METACYC:(DAIDZEIN);PLANTCYC:(DAIDZEIN);CHEBI:(77764 28197);KEGG:(C10208);DSSTox:(DTXSID20442180 DTXSID601177719 DTXSID70892893 DTXSID80481999 DTXSID9022310);LOTUS:(Q408732);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ZQSIJRDFPHDXIC-UHFFFAOYSA-N)"	832571380654193483	832570079505446392	832570079505446391	831
Diosmetin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0029676);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281612);LIPIDMAPS:(LMPK12110824);SUPERNATURAL:(SN0221166);HSDB:(520-34-3);MESH:(5281612);FooDB:(FDB000861);PUBCHEM:(5281612 46781386 49849634 164575924);COCONUT:(CNP0246782);NORMAN:(NS00014641);METACYC:(CPD-20639);CHEBI:(192749 4630);KEGG:(C10038);DSSTox:(DTXSID30675866 DTXSID80199966);LOTUS:(Q1649664);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(MBNGWHIJMBWFHU-UHFFFAOYSA-N)"	832571880531394661	832570093153713126	832570093149518821	1130
Ferulic Acid	Phenylpropanoid_pw	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000954 HMDB0240705 HMDB0303721);MiMeDB:(MMDBc0000174);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(445858 709 23669636);SUPERNATURAL:(SN0193972 SN0193973);HSDB:(1135-24-6);MESH:(445858 1548883);FooDB:(FDB012801 FDB012802 FDB019993 FDB021752 FDB030860);PUBCHEM:(16109944 10262057 90887593 153709649 131871184 1548883 11310152 45039253 709 445858 117064991 54691413 54710368 54730542 71311006 57369490);GNPS:(CCMSLIB00003137199 CCMSLIB00003136569);COCONUT:(CNP0304940);NORMAN:(NS00006133 NS00068201);METACYC:(BUTANOL CPD-87 CPD-9731 D-ALLOSE-6-PHOSPHATE FERULIC-ACID);PLANTCYC:(FERULIC-ACID);CHEBI:(193350 29749 76117 17620 114954);KEGG:(C01494);DSSTox:(DTXSID00746436 DTXSID301034732 DTXSID5040673 DTXSID601034731 DTXSID70892035 DTXSID80894080);LOTUS:(Q27145764 Q51617501 Q417362);YMDB:(YMDB01325);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(KSEBMYQBYZTDHS-UHFFFAOYSA-N)"	832570857305689991	832570065223839314	832570065219645009	441
Formonetin	Isoflavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0005808);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5280378);LIPIDMAPS:(LMPK12050037);SUPERNATURAL:(SN0128276 SN0128277);MESH:(5280378);FooDB:(FDB012219);PUBCHEM:(86289331 21673728 5280378 101621877 101621882 10378473 46704426 12272376);GNPS:(CCMSLIB00003138653 CCMSLIB00003137643 CCMSLIB00000081283);COCONUT:(CNP0225909);NORMAN:(NS00002004);METACYC:(FORMONONETIN);PLANTCYC:(FORMONONETIN);CHEBI:(18088 77688);KEGG:(C00858);DSSTox:(DTXSID4022311);LOTUS:(Q408859);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(HKQYGTCOTHHOMP-UHFFFAOYSA-N)"	832571921396503584	832570082311436128	832570082311436127	903
Genkwanin	Flavonoids	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0252684);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5281617);LIPIDMAPS:(LMPK12111018);SUPERNATURAL:(SN0171771);MESH:(5281617);FooDB:(FDB006932);PUBCHEM:(5281617 164575970);GNPS:(CCMSLIB00003139004 CCMSLIB00003136090);COCONUT:(CNP0145919);NORMAN:(NS00083543);METACYC:(CPD-15486);PLANTCYC:(CPD-15486);CHEBI:(192700 75718);KEGG:(C10046);DSSTox:(DTXSID80195908);LOTUS:(Q3050376);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(JPMYFOBNRRGFNO-UHFFFAOYSA-N)"	832570876620462689	832570086765787488	832570086761593183	1004
Gentisate	derived from benzoic acid metabolism, connected to PPP but not core intermediate	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000152);MiMeDB:(MMDBc0000336 MMDBc0054204);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23663629 3469 55251260 54675839);SUPERNATURAL:(SN0422872);MESH:(3469 54675839);FooDB:(FDB000844);PUBCHEM:(162336009 76973713 10844644 3469 54675839);GNPS:(CCMSLIB00000479569);COCONUT:(CNP0187458);NORMAN:(NS00007790 NS00081239);METACYC:(CPD-633);PLANTCYC:(CPD-633);CHEBI:(189437 17189 58044);KEGG:(C00628);DSSTox:(DTXSID00445619 DTXSID0063656 DTXSID30197659 DTXSID4060078 DTXSID70635722);LOTUS:(Q417831);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(WXTMDXOMEHJXQO-UHFFFAOYSA-N)"	832570450248418359	832570057380489684	832570057376295379	211
Gentisate	derived from benzoic acid metabolism, connected to PPP but not core intermediate	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000152);MiMeDB:(MMDBc0000336 MMDBc0054204);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23663629 3469 55251260 54675839);SUPERNATURAL:(SN0422872);MESH:(3469 54675839);FooDB:(FDB000844);PUBCHEM:(162336009 76973713 10844644 3469 54675839);GNPS:(CCMSLIB00000479569);COCONUT:(CNP0187458);NORMAN:(NS00007790 NS00081239);METACYC:(CPD-633);PLANTCYC:(CPD-633);CHEBI:(189437 17189 58044);KEGG:(C00628);DSSTox:(DTXSID00445619 DTXSID0063656 DTXSID30197659 DTXSID4060078 DTXSID70635722);LOTUS:(Q417831);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(WXTMDXOMEHJXQO-UHFFFAOYSA-N)"	832570728163050784	832570057346935247	832570057346935246	210
