structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	1	0.087	0.087	-128.894	0.690	0.161	11.499	C12H9F15O2	[M - H]-	C12H8F15O2-	ZHZSNBDFSGXNFB	InChI=1S/C12H9F15O2/c1-2-29-5(3-4-28)6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)27/h3,28H,2,4H2,1H3	4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Pentadecafluoro-3-ethoxy-2-decene-1-ol	CCOC(=CCO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F	5.100	15496470	PUBCHEM:(15496470)	2	469.029	67	1.112	857713288725392026	857712834612287088	857712834612287087	1804	
1	1	0.017	0.017	-61.675	0.949	0.949	31.451	C3H7O4PS2	[M - H]-	C3H6O4PS2-	JZAOSAALEALZTF	InChI=1S/C3H7O4PS2/c1-2-3(8)9-7-10(4,5)6/h2-3H,1,8H2,(H,4,5,6)	1-Phosphaniumylprop-2-enylsulfanyl sulfate	C=CC(P)SOS(=O)(=O)O	0.000	139510102;139510103	PUBCHEM:(139510102 139510103)	2	200.945	67	1.117	857713294408675600	857712776726691022	857712776726691021	510	
1	1	0.268	0.268	-140.778	0.999	0.962	34.656	C10H16N4O4	[M - H]-	C10H15N4O4-	CJCSNWWKPUXVRD	InChI=1S/C10H16N4O4/c11-6(9(15)16)1-2-8-13-4-5(14-8)3-7(12)10(17)18/h4,6-7H,1-3,11-12H2,(H,13,14)(H,15,16)(H,17,18)	2-(3-Amino-3-Carboxypropyl)-L-Histidine	C1=C(NC(=N1)CCC(C(=O)O)N)CC(C(=O)O)N	-6.200	25203075;19360989;71581098;71581102;440342	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0083602);HMDB:(HMDB0011655);MiMeDB:(MMDBc0032905);METACYC:(CPD0-1185 CPD0-2198);CHEBI:(17144 58031 74043 74042);SUPERNATURAL:(SN0047110);FooDB:(FDB028346);PUBCHEM:(25203075 19360989 71581098 71581102 440342);YMDB:(YMDB00017);PUBCHEMANNOTATIONDRUG:(null)	1664157738	255.108	67	1.123	857713293423013880	857712789162804090	857712789162804089	850	
1	1	-Infinity	-Infinity	-370.081	0.996	0.990	18.834	C12H12N4O8S2	[M - H]-	C12H11N4O8S2-	OIZAXVULLKJYSN	InChI=1S/C12H12N4O8S2/c1-13-15-9-6(25-24-23-19)3-5-4-7(26(20,21)22)10(16-14-2)12(18)8(5)11(9)17/h3-4,17-19H,1-2H3,(H,20,21,22)	4,5-Dihydroxy-3,6-bis(methyldiazenyl)-7-(trioxidanylsulfanyl)naphthalene-2-sulfonic acid	CN=NC1=C(C2=C(C(=C(C=C2C=C1S(=O)(=O)O)SOOO)N=NC)O)O	1.700	135979742	PUBCHEM:(135979742)	2	403.000	68	1.127	857713274099850295	857712829872723175	857712829872723174	1727	
1	1	0.063	0.063	-94.055	0.562	0.534	12.240	C12H6F16O2	[M - H]-	C12H5F16O2-	ZNRFKGGBXXOHID	InChI=1S/C12H6F16O2/c13-7(14,15)5(8(16,17)18)11(25,26)29-3-1-2-4-30-12(27,28)6(9(19,20)21)10(22,23)24/h5-6H,3-4H2	2-[Difluoro-[4-[1,1,3,3,3-pentafluoro-2-(trifluoromethyl)propoxy]but-2-ynoxy]methyl]-1,1,1,3,3,3-hexafluoropropane	C(C#CCOC(C(C(F)(F)F)C(F)(F)F)(F)F)OC(C(C(F)(F)F)C(F)(F)F)(F)F	6.500	12521015	PUBCHEM:(12521015)	2	485.003	68	1.128	857713290155649955	857712836034156234	857712836034156233	1822	
1	1	0.033	0.033	-259.072	0.991	1.000	84.729	C5H8N2O8	[M - H]-	C5H7N2O8-	FLPXFIZGENKLQT	InChI=1S/C5H8N2O8/c8-5(9)2-1-4(15-7(12)13)3-14-6(10)11/h4H,1-3H2,(H,8,9)	(4R)-4,5-dinitrooxypentanoic acid	C(CC(=O)O)C(CO[N+](=O)[O-])O[N+](=O)[O-]	0.700	153534438;59748995	PUBCHEM:(153534438 59748995)	2	223.020	68	1.129	857713278952661410	857712781302677321	857712781302677320	637	
1	1	-Infinity	-Infinity	-96.056	0.996	0.972	17.439	C4H4N3O3	[M - H]-	C4H3N3O3-	XMZNYDYJJUZDOR	InChI=1S/C4H4N3O3/c1-3-4(5-2-8)7(9)10-6-3/h6H,1H3		CC1=C(N(ON1)[O])N=C=O	2.800	101924793	PUBCHEM:(101924793)	2	141.017	68	1.131	857713282396186120	857712764366075334	857712764361881029	150	
1	1	-Infinity	-Infinity	-160.765	0.557	0.764	12.940	C14H4N4O12	[M - H]-	C14H3N4O12-	YYOOOMNEONKALI	InChI=1S/C14H4N4O12/c19-11-5(17(27)28)1-3(15(23)24)7-9(11)14(22)10-8(13(7)21)4(16(25)26)2-6(12(10)20)18(29)30/h1-2,19-20H	Chrysamminic acid	C1=C(C2=C(C(=C1[N+](=O)[O-])O)C(=O)C3=C(C2=O)C(=CC(=C3O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	2.600	3938245	NORMAN:(NS00032346);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);SUPERNATURAL:(SN0463762);PUBCHEM:(3938245);DSSTox:(DTXSID50199655);PUBMED:(null)	137507373122	418.974	68	1.131	857713281255335164	857712830686418251	857712830686418250	1747	
1	2	0.031	0.031	-210.367	0.087	0.007	24.175	C8H10N4O6S2	[M - H]-	C8H9N4O6S2-	SHDJFBDLLQOGRM	InChI=1S/C8H10N4O6S2/c1-11(9-13)19(15,16)7-4-3-5-8(6-7)20(17,18)12(2)10-14/h3-6H,1-2H3	1-N,3-N-dimethyl-1-N,3-N-dinitrosobenzene-1,3-disulfonamide	CN(N=O)S(=O)(=O)C1=CC(=CC=C1)S(=O)(=O)N(C)N=O	-0.400	89277792	PUBCHEM:(89277792)	2	320.998	68	1.133	857713289006410440	857712811556195592	857712811556195591	1330	
1	1	-Infinity	-Infinity	-243.736	0.834	0.601	27.770	C9H11N2O6PS2	[M - H]-	C9H10N2O6PS2-	CWADGSJCAFLKPP	InChI=1S/C9H11N2O6PS2/c12-5-1-2-11(9(14)10-5)8-6(13)7-4(16-8)3-15-18(19,20)17-7/h1-2,4,6-8,13H,3H2,(H,19,20)(H,10,12,14)	Uridine 3',5'-dithiophosphoric acid	C1C2C(C(C(O2)N3C=CC(=O)NC3=O)O)OP(=S)(O1)S	-0.300	132559478	PUBCHEM:(132559478)	2	336.972	68	1.135	857713290579274713	857712816836824895	857712816836824894	1442	
1	1	0.042	0.042	-55.052	0.929	0.730	21.561	C5H6N2S2	[M - H]-	C5H5N2S2-	KEPZYOLMOSAKOG	InChI=1S/C5H6N2S2/c6-5(8)1-4-2-9-3-7-4/h2-3H,1H2,(H2,6,8)	2-(1,3-Thiazol-4-yl)ethanethioamide	C1=C(N=CS1)CC(=S)N	0.400	50989605	PUBCHEM:(50989605)	2	156.991	68	1.136	857713277048446943	857712767390168928	857712767385974623	232	
1	1	0.076	0.076	-132.443	1.000	1.000	48.916	C6H6F2N2O4S	[M - H]-	C6H5F2N2O4S-	IPIRKASCKKHKHZ	InChI=1S/C6H6F2N2O4S/c1-13-5-9-10-6(14-2-3(11)12)15(5)4(7)8/h4H,2H2,1H3/p+1	2-[[1-(Difluoromethyl)-5-methoxy-1,3,4-thiadiazol-1-ium-2-yl]oxy]acetate	COC1=NN=C([S+]1C(F)F)OCC(=O)O	1.500	162574159;162574160	PUBCHEM:(162574159 162574160)	2	238.994	68	1.139	857713289077713633	857712784947528000	857712784947527999	736	
1	2	-Infinity	-Infinity	-87.839	0.027	0.026	16.617	C6H14BCl2N	[M - H]-	C6H13BCl2N-	SQJYZIVNKOIKKX	InChI=1S/C6H14BCl2N/c1-5(2)10(6(3)4)7(8)9/h5-6H,1-4H3	Dichloro(diisopropylamino)borane	B(N(C(C)C)C(C)C)(Cl)Cl	3.218	4139105	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(4139105);DSSTox:(DTXSID70399796)	137506062338	179.056	70	1.173	857713273969826820	857712772050041357	857712772050041356	369	
