"","ASVid","10036","433","7453","5750","374","9283","4780","120","4233","7126","535","5202","6383","8563","2785","4159","12359","13152","8796","9691","9192","7120","7810","11214","7180","5496","751","3388","14120","7075","11249","3204","7716","7908","6014","6910","8529","9768","14263","10089","12263","8887","18128","5879"
"LjRoot149","LjRoot149",422,49,1010,218,19,723,316,8,673,277,47,652,832,683,487,790,878,780,1313,532,733,512,643,574,903,625,728,691,685,711,472,689,434,562,178,405,272,778,255,749,327,553,645,504
"LjRoot223","LjRoot223",354,11,201,608,11,135,129,2,133,135,4,153,110,118,867,109,9,10,3,2,945,160,278,174,184,217,57,150,131,60,481,353,262,282,2569,587,1289,136,1076,179,1446,154,157,308
"G37_LjNodule209","G37_LjNodule209",161,1278,15,790,2621,10,1844,3640,9,2048,2864,29,6,2,7,0,0,10,0,4,0,10,3,5,18,2,22,11,0,0,12,2,0,6,0,3,0,0,8,5,9,29,0,0
"G21_LjRoot111","G21_LjRoot111",221,11,370,193,12,330,108,7,441,102,26,451,227,198,588,275,181,191,198,200,241,283,350,217,297,222,408,246,464,349,268,278,357,340,345,309,748,297,711,296,510,345,249,217
"LjRoot228","LjRoot228",1056,2914,3,915,1622,29,243,826,5,61,1274,51,0,0,0,15,9,0,2,0,29,8,5,0,0,0,0,0,8,10,0,0,14,0,4,3,5,6,0,0,11,6,1,5
"G3_LjRoot129","G3_LjRoot129",111,76,77,96,121,100,105,4,113,84,22,97,394,352,291,225,389,349,449,336,110,171,207,281,183,234,178,145,419,251,390,306,502,273,140,208,228,338,257,426,202,294,355,228
"LjRoot196","LjRoot196",329,15,216,98,6,352,93,0,261,206,26,278,209,119,208,382,185,296,115,55,501,469,385,343,101,220,174,290,160,284,127,342,69,128,20,114,142,299,80,105,297,304,111,417
"G32_LjRoot291","G32_LjRoot291",190,21,103,168,13,104,164,2,106,198,18,108,149,111,257,143,239,112,151,78,297,121,278,155,509,159,368,167,370,150,264,138,404,157,156,188,234,109,171,87,208,111,135,119
"LjRoot259","LjRoot259",169,10,239,113,10,221,152,8,268,167,14,220,49,64,203,182,185,135,61,52,158,206,226,189,211,287,197,243,210,163,247,257,263,225,84,286,125,184,116,208,120,175,62,404
"G11_LjRoot25","G11_LjRoot25",82,9,125,230,3,97,50,0,113,105,20,98,123,82,153,70,123,30,54,16,353,208,264,195,443,314,161,223,164,87,281,187,141,252,140,234,266,133,303,257,206,135,90,166
"G8_LjRoot126","G8_LjRoot126",145,110,245,170,77,367,116,47,306,109,94,334,79,140,87,218,68,145,78,165,50,172,83,222,94,190,116,216,88,247,87,264,117,260,52,247,51,131,29,144,56,156,124,132
"LjRoot17","LjRoot17",100,6,164,87,0,184,75,2,83,53,12,116,175,404,64,126,188,312,101,611,56,199,112,212,64,140,120,127,120,188,62,67,109,57,38,109,41,202,19,115,54,227,422,108
"G2_LjRoot102","G2_LjRoot102",82,0,79,51,0,106,65,0,115,48,6,99,246,225,165,209,205,221,185,198,112,182,180,198,128,173,181,185,142,206,320,273,122,199,121,187,74,153,129,231,96,172,216,122
