id,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471
525,525.4,247.9,328.1,459.1,760.3,0,0,631.3,191.2,0,0,205.1,523.8,299.9,0,318,0,0,264.9,165.5
531,0,648.3,103.7,195.3,0,935.2,597.1,291.5,0,0,0,0,0,0,0,0,0,0,0,0
533,0,535.8,0,0,0,350.6,0,0,164,0,268.5,271.6,0,257.5,114.3,246.7,179.1,310.4,306.2,412.9
534,3486,1217,1506,3299,4110,0,2043,3662,0,0,0,0,310.4,0,0,0,631.4,0,0,394.1
536,164.9,439.3,2231,0,0,244.9,0,0,779.4,741.4,756.9,956.6,1632,546.1,640.4,943,667.2,166.8,698.7,0
537,0,482.1,305,68.48,0,107,134,0,0,0,0,0,0,94.29,0,0,556.9,1467,283.4,132.4
539,91.75,182.9,160.7,134.9,0,0,0,0,0,0,113.7,83.86,0,179.2,159.8,131.2,169.9,130.8,237.2,164.5
551,2730,3402,1158,1969,523,42390,1929,3321,124.2,201.6,0,0,2720,0,176.3,353.3,28920,223.7,471.2,2444
567,533.8,501.7,645.7,553.6,573.8,682.2,529.6,552.2,565.2,777.8,610.5,769.5,715.4,506.4,588.3,743.5,574.9,716.4,507.1,850.3
573,447.2,258.5,392.3,471.8,0,516.8,316.8,583.4,0,0,0,0,209.5,0,0,0,2077,0,0,0
587,0,477.9,121.2,0,0,311.6,104.6,0,189.4,175.4,379.3,210.5,227.5,858.4,284.4,204.1,393.3,412.8,870.1,262.7
588,0,523.6,0,0,0,383.6,0,0,326.5,522.7,495.3,204,196.9,0,0,0,0,202.3,0,163.6
591,330.8,302.4,248.5,217.1,331.1,0,0,0,260.2,0,236,262.9,377.8,309.1,350.6,0,297,251.5,297.4,211.6
612,0,0,0,0,0,0,0,0,171.7,268.2,202,153.8,0,200.9,138.5,208.2,96.04,164.2,221.4,0
625,0,627.3,4079,945,119.2,633,426.4,445.6,0,234.8,0,0,131,318.2,0,0,0,0,1188,464.3
630,1969,3363,2008,1608,1630,1507,2528,1741,2092,1255,3573,920.4,2449,3442,4416,3293,2590,3352,3479,3284
631,327.8,0,211.7,256.1,0,0,155.9,235.6,0,0,0,0,608,0,794.7,1079,278.6,0,245,392.9
632,988.5,2229,1002,1056,938.4,1413,1306,1191,726.7,715.3,1503,589.7,1117,1239,1003,1427,948.2,1436,1446,1711
635,0,323.2,132.8,0,0,235.7,135.3,0,0,0,92.24,0,0,115.6,0,0,113,132.7,137.8,194
647,0,642.6,0,533.7,0,834.8,2551,531.3,206,0,4048,430.9,0,0,0,0,768,232.2,795.8,951.2
650,287.1,1020,1208,891.4,232.1,1857,597.6,670.8,801.2,626.8,0,1096,785,1084,1174,862.2,2128,1343,1300,1317
655,0,151.8,274.2,163.8,0,66.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,0,363,200.3,0,0,0,0,0,0,135.4,0,0,0,121.4,0,158,308.4,439.4,280,0
665,170.7,773.1,572.4,512.6,173.7,394.9,480.8,629.5,0,0,0,0,0,0,0,0,124.4,0,250.9,0
666,497.6,2162,868.2,1847,364.4,1302,846.7,1232,379.2,534.7,561.5,605.6,521.1,622.6,418.6,547.6,398.6,539.2,1053,824.3
668,161.3,865.2,328.8,562.4,0,416.7,278,356.5,124.6,347.2,231,191.5,114.2,179.9,89.5,212.8,161.7,177.7,312.2,220.1
669,180.7,1414,603.8,793.4,187.4,503.8,311.3,549.1,179.3,244.2,307.1,333.4,228.4,313.7,0,280.5,258.9,269.6,346.6,395.5
677,0,595.9,162,0,417.8,0,0,814,0,0,0,0,0,0,0,0,0,0,0,0
684,226.1,0,2821,0,0,0,28410,596.3,2062,1162,1222,2384,2814,1801,5276,6567,47920,4991,15460,5991
697,671.5,398.5,119.7,600.5,930.4,374,1230,1165,162.4,0,777.2,308.5,634.7,1031,352.2,444.9,329.2,377.3,912.6,731.5
699,0,0,0,0,0,0,0,0,0,0,463.4,0,168.6,382.5,0,0,148.2,0,304.8,0
701,258.6,629.9,334.8,587.2,128.8,453.3,385.1,368,353.3,268.6,544.7,512.9,518,942.1,456.9,418.8,423.8,531.3,935.3,564.3
702,369.9,0,531.3,1521,221.6,873.6,448.3,0,457.1,636.8,698.8,974.4,740.5,545.2,567.7,614.9,461.9,476.3,1074,805
703,11580,50500,20100,42410,6620,33200,16500,17640,13940,16260,25570,18000,9996,20500,11280,10720,10390,15770,21550,16830
704,586.2,0,1123,0,362.2,0,480.7,0,527.4,0,1151,0,710,571.4,586.8,0,506.5,700.4,0,0
714,297.5,1062,260.7,355.3,0,410.2,182.4,136.2,157.4,325.6,168.8,377.5,366.3,332.3,253.4,476.8,341.6,257.8,457.2,282.5
723,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,119.6,132.5,124.8
731,222.3,1299,598,424.6,136.7,1720,406.9,641.5,304.6,0,420.8,0,400.9,361.6,212.9,297.3,781.9,589.1,981,928.9
749,0,337.5,245.2,165,0,120,0,0,0,0,0,0,0,110.3,0,0,423.3,877.9,265.3,128.8
753,96.79,313.7,0,177.6,0,189.7,147.2,0,0,0,139.2,0,0,0,0,0,145.7,0,0,122.5
764,296.3,742.2,1057,480.7,243.5,1314,926.1,682.7,0,0,0,0,0,0,0,0,0,0,0,0
767,0,0,0,0,0,0,0,82.16,212.3,0,0,209,396.2,226.7,0,639.4,0,0,0,0
784,1844,32220,1730,0,1542,11330,2244,3202,1934,2641,3753,3913,12970,8100,5521,13880,4678,7233,16700,12400
795,0,0,0,202.6,0,0,0,295.6,0,0,427.6,0,1025,1150,0,1046,770.6,0,1322,0
797,138.8,0,644.9,610.7,988.6,0,0,3597,0,0,0,1418,2637,0,0,1318,0,0,0,0
800,0,0,0,0,0,591.2,778.1,349.8,0,0,0,0,0,0,0,0,0,0,0,0
802,0,500.7,97.49,0,0,0,0,0,0,312.4,219.5,245.6,0,0,0,0,0,0,0,0
803,647.5,477.9,1013,0,264.2,0,704.6,578.4,662.9,945.6,0,580.8,0,0,346.6,494.1,965.2,589.3,0,832.8
804,949.3,2817,2678,2650,845.4,1866,1088,2014,762.4,1408,3241,2229,2210,857.4,3175,1546,1864,1565,1726,1982
809,0,270.1,0,0,0,305.3,325.4,128.1,140.2,296.4,257.4,171.9,295.6,313.8,156.4,241.7,236.2,275.6,408.8,240.1
810,224.4,481.5,345.5,592.2,0,305.9,189.5,146.4,198.8,0,255.8,168.5,0,112.2,137,0,164.5,208.4,191.7,153.6
816,127,1045,1101,571.8,77.79,619.1,315.3,0,0,0,299.2,0,0,276.7,0,259.4,282.4,311.1,549.8,465.4
