Row ID,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471
75,0,947.38214,260.41028,509.60336,0,891.06494,412.00256,140.65735,303.0203,537.78534,414.12366,273.9359,0,435.8124,0,188.83978,265.86844,445.374,192.54622,346.76196
116,0,344.41394,287.08356,145.40215,0,0,178.19345,119.22057,311.0915,0,511.63626,0,275.6298,481.28345,296.8987,350.37827,255.74007,441.93924,382.0845,0
167,0,854.1256,0,912.5204,0,530.4078,0,664.0939,0,266.8613,0,711.3747,791.51556,0,0,771.9741,0,0,1428.2428,848.18933
168,391.25754,0,541.02527,0,145.04259,0,566.47864,0,495.99542,0,803.4931,0,0,1336.5049,748.89246,0,580.0357,703.0562,0,0
169,490.32733,1020.9947,600.8494,983.035,259.33395,678.74664,637.0452,630.86035,562.7646,368.48984,1003.2288,834.2819,861.181,1527.3798,905.9853,825.91284,742.3028,860.1015,1660.4207,923.77075
171,0,577.14886,487.73166,350.27188,0,823.75073,350.27686,244.8513,1023.9373,769.0651,1060.577,983.2652,2130.108,2533.8525,1624.7441,2630.164,1985.4243,1584.4355,3270.7656,1738.8989
207,0,0,168.14873,180.85046,0,143.88782,171.18558,167.44254,244.10208,200.76083,486.7008,234.36166,229.17657,190.5108,164.53287,303.0812,157.8223,177.075,242.5543,172.3787
209,0,288.58707,208.13385,163.54028,176.41345,274.2541,112.743095,150.55957,126.37524,237.05786,236.34875,166.16298,166.26717,146.64622,132.61148,242.85019,169.22949,216.14487,203.96068,139.64143
215,93.53013,601.31793,577.0198,788.10846,0,0,748.2186,0,399.07465,1872.8392,612.2423,0,0,230.81314,0,0,0,274.5893,0,0
232,158.52719,506.8852,174.01285,332.75253,113.22831,610.4531,197.1369,399.07257,259.53543,248.26968,164.12071,330.80975,321.54477,309.48947,278.234,261.73373,150.11148,349.21603,284.4385,383.4693
263,296.4124,750.5586,226.0777,314.76862,287.77557,471.40414,436.41022,294.5794,223.65753,185.42723,494.26282,0,307.01892,354.612,318.8176,474.59177,317.72168,398.9814,412.14633,483.3816
265,0,498.23254,183.99226,326.27338,0,468.95276,389.3276,201.89914,394.50552,492.4609,363.5788,773.17566,298.26068,251.21089,434.1341,202.64261,506.63016,681.5551,781.9664,711.4332
273,0,647.18207,291.79007,346.1118,0,354.76202,0,0,128.67685,267.8192,232.61061,172.63205,165.48042,302.14258,0,229.88411,175.03725,177.7674,224.43298,242.58804
281,0,553.36835,325.2242,572.0304,0,0,290.3624,344.60535,0,0,0,0,0,0,0,129.60179,0,0,218.23358,200.91464
