"","Soil","MaxValue","Letters","y_position","Compartment","ANOVA_sig"
"1","NPK",1488.95219123506,"a",1000,"Rhizosphere",""
"2","PK",1819.01204819277,"a",1000,"Rhizosphere",""
"3","UF",1503.2125984252,"a",1000,"Rhizosphere",""
"4","NPK",1022.92215568862,"a",1000,"Root",""
"5","PK",859.425806451613,"a",907.926167897396,"Root",""
"6","UF",803.102803738318,"a",851.603165184101,"Root",""
