Feature	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
f42f5be22b97aa7d1ee48566bf1ac7fe	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	uncultured_soil	0.950032282676666
07fcdcaf919fd8e8babf6e57d28c0c41	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unknown	Unknown	Unknown	0.999999959879243
b363b1a541f2c72280e7ba1a22ed5535	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Unknown	0.801564123093535
e619960a76a0b95a00c8894adbed2bbf	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	uncultured_proteobacterium	0.929679221117076
fa67f15c9009a0acec3b693a6e761c29	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_oligophenolica	0.920278878898326
e728f6c685a43681364cda20c0e1fdd8	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Frateuria	Unknown	0.854987184022418
82c7685549fdf70e9460077eb8b31c06	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium_oligotrophicum	0.773073883729962
f297f653b8e5725dde5b93b45f09b200	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Unknown	0.999365582139543
47241269e0a9a2471cf818d7d18ba849	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	Unknown	0.999892959995439
7713b06e18c71210ddab02e5f4b4d23d	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	0.999670861465471
66dd968860fcafec8424e08113cbd403	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Unknown	Unknown	Unknown	0.999999699242555
8d2f79c05aa2aa0a8404c0a1f2cb5704	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	Unknown	0.857525392527917
0f1133da0c8e76f394363f196a70c4ad	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unknown	Unknown	0.997373386536239
343ba4be93fafd0eacf37bc22d082877	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unknown	0.886511453495356
33ae9b68f0aaea760ab693629d136b21	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Unknown	Unknown	0.999988242361794
fb8ac08e388c4c9729fcefb85d09eac3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	0.999938227362537
