SampleID	Sample_Number	Description	Plant	Genotype	Compartment	Soil	Bio_rep
AM_S_1	217	NPK_Hv_WT_1_rhizo	Hordeum	WT	Rhizosphere	NPK	1
AM_S_2	218	NPK_Hv_WT_1_endo	Hordeum	WT	Root	NPK	1
AM_S_3	219	NPK_Hv_WT_2_rhizo	Hordeum	WT	Rhizosphere	NPK	2
AM_S_4	220	NPK_Hv_WT_2_endo	Hordeum	WT	Root	NPK	2
AM_S_5	221	NPK_Hv_WT_3_rhizo	Hordeum	WT	Rhizosphere	NPK	3
AM_S_6	222	NPK_Hv_WT_3_endo	Hordeum	WT	Root	NPK	3
AM_S_7	223	NPK_Hv_WT_4_rhizo	Hordeum	WT	Rhizosphere	NPK	4
AM_S_8	224	NPK_Hv_WT_4_endo	Hordeum	WT	Root	NPK	4
AM_S_9	225	NPK_Hv_WT_5_rhizo	Hordeum	WT	Rhizosphere	NPK	5
AM_S_10	226	NPK_Hv_WT_5_endo	Hordeum	WT	Root	NPK	5
AM_S_11	227	NPK_Hv_WT_6_rhizo	Hordeum	WT	Rhizosphere	NPK	6
AM_S_12	228	NPK_Hv_WT_6_endo	Hordeum	WT	Root	NPK	6
AM_S_13	229	NPK_Hv_symrk_1_rhizo	Hordeum	symrk	Rhizosphere	NPK	1
AM_S_14	230	NPK_Hv_symrk_1_endo	Hordeum	symrk	Root	NPK	1
AM_S_15	231	NPK_Hv_symrk_2_rhizo	Hordeum	symrk	Rhizosphere	NPK	2
AM_S_16	232	NPK_Hv_symrk_2_endo	Hordeum	symrk	Root	NPK	2
AM_S_17	233	NPK_Hv_symrk_3_rhizo	Hordeum	symrk	Rhizosphere	NPK	3
AM_S_18	234	NPK_Hv_symrk_3_endo	Hordeum	symrk	Root	NPK	3
AM_S_19	235	NPK_Hv_symrk_4_rhizo	Hordeum	symrk	Rhizosphere	NPK	4
AM_S_20	236	NPK_Hv_symrk_4_endo	Hordeum	symrk	Root	NPK	4
AM_S_21	237	NPK_Hv_symrk_5_rhizo	Hordeum	symrk	Rhizosphere	NPK	5
AM_S_22	238	NPK_Hv_symrk_5_endo	Hordeum	symrk	Root	NPK	5
AM_S_23	239	NPK_Hv_symrk_6_rhizo	Hordeum	symrk	Rhizosphere	NPK	6
AM_S_24	240	NPK_Hv_symrk_6_endo	Hordeum	symrk	Root	NPK	6
AM_S_25	241	NPK_Hv_ccamk_1_rhizo	Hordeum	ccamk	Rhizosphere	NPK	1
AM_S_26	242	NPK_Hv_ccamk_1_endo	Hordeum	ccamk	Root	NPK	1
AM_S_27	243	NPK_Hv_ccamk_2_rhizo	Hordeum	ccamk	Rhizosphere	NPK	2
AM_S_28	244	NPK_Hv_ccamk_2_endo	Hordeum	ccamk	Root	NPK	2
AM_S_29	245	NPK_Hv_ccamk_3_rhizo	Hordeum	ccamk	Rhizosphere	NPK	3
AM_S_30	246	NPK_Hv_ccamk_3_endo	Hordeum	ccamk	Root	NPK	3
AM_S_31	247	NPK_Hv_ccamk_4_rhizo	Hordeum	ccamk	Rhizosphere	NPK	4
AM_S_32	248	NPK_Hv_ccamk_4_endo	Hordeum	ccamk	Root	NPK	4
