ASV,Soil,Compartment,Genotype,LogFC,DA_by_sig,DA_by_struc_zero
659871d903aa6707d62aee7cf6e50df9,NPK,Rhizosphere,symrk,0.676771919833806,FALSE,TRUE
66093c4194421f48446d78c441786c6d,NPK,Rhizosphere,symrk,-1.33857910081793,FALSE,TRUE
674ef4da107a4381c283c4a8f651469b,NPK,Rhizosphere,symrk,-0.577585260968987,FALSE,TRUE
68a56a2aee15e316ddd8f877f2ef1596,NPK,Rhizosphere,symrk,-0.913992436177676,FALSE,TRUE
6916d0b065efefe8c681e5030911f31a,NPK,Rhizosphere,symrk,-1.20698783142898,FALSE,TRUE
6a824944d5578f8d32c1c2ecd4498062,NPK,Rhizosphere,symrk,-1.05396822705443,FALSE,TRUE
6b9f27cd85046cea0ef626dcefa76e4f,NPK,Rhizosphere,symrk,-0.884195929517876,FALSE,TRUE
6dd39020a07fddff7f2821e5cfe82d44,NPK,Rhizosphere,symrk,-1.01297389768399,FALSE,TRUE
6ffaac3729345aa86a0d02329eea499d,NPK,Rhizosphere,symrk,-0.766050037169183,FALSE,TRUE
72474e0b809ff5f3959d09bc1aa35abe,NPK,Rhizosphere,symrk,-0.887247519560038,FALSE,TRUE
769320eeb6c3778e744e8c1506ac4962,NPK,Rhizosphere,symrk,-2.52502114889803,FALSE,TRUE
78c3fe4fa2752bff77ff3719b2dc4590,NPK,Rhizosphere,symrk,-2.04053154127314,FALSE,TRUE
7a16216bcf5dfd37e2f93b8ca5c3f21c,NPK,Rhizosphere,symrk,0.898947614472199,FALSE,TRUE
7ab84e6810f4742c3d0d55f779c6970b,NPK,Rhizosphere,symrk,-0.965643231482622,FALSE,TRUE
7d903234270ad13f7882b61fc2c6cd78,NPK,Rhizosphere,symrk,-1.47618984100632,FALSE,TRUE
844c4f4c12ab392686c57c339c91fe48,NPK,Rhizosphere,symrk,-0.822258246364055,FALSE,TRUE
8491e7d92435103d9e784e8e63da4e2d,NPK,Rhizosphere,symrk,-1.41393443920835,FALSE,TRUE
86d45e3caa8c6f3f20a5fb2b2ddaf3ec,NPK,Rhizosphere,symrk,4.22623799726806,TRUE,FALSE
87ceef96aee1433a39ed54c403d675d0,NPK,Rhizosphere,symrk,0.941103329829721,FALSE,TRUE
88a9c88ecdbb80ef5426ae5701b5e199,NPK,Rhizosphere,symrk,-1.28959730056271,FALSE,TRUE
8c5dcd2dac7aff0d736028e0365b7d3d,NPK,Rhizosphere,symrk,-0.908058198637749,FALSE,TRUE
8c9debd98b1b50715e3ba9f8b79cfb81,NPK,Rhizosphere,symrk,-0.826722771899235,FALSE,TRUE
8d2f79c05aa2aa0a8404c0a1f2cb5704,NPK,Rhizosphere,symrk,-1.22331740214212,FALSE,TRUE
8eed54f6a2826990d876cb5723bbff22,NPK,Rhizosphere,symrk,1.12904466781092,FALSE,TRUE
8f1aa389952f5e38a2d93c50596d732b,NPK,Rhizosphere,symrk,-1.39918053999873,FALSE,TRUE
8fe11131b8cb4aaa7fdfb226a9447a18,NPK,Rhizosphere,symrk,-1.52656819860243,FALSE,TRUE
9096416839d04a37ea40a250449034fb,NPK,Rhizosphere,symrk,-1.19420007232576,FALSE,TRUE
90e81b4beded436270f887ac72da53d5,NPK,Rhizosphere,symrk,1.31057723366375,FALSE,TRUE
92999515fd6508ff7c68331f25efa370,NPK,Rhizosphere,symrk,-0.761619815478772,FALSE,TRUE
93d6ac49f517a399044983e412b2e3ac,NPK,Rhizosphere,symrk,-1.44967271729355,FALSE,TRUE
94586d389ba69a3cf1e5a49241da3596,NPK,Rhizosphere,symrk,2.16279714364635,TRUE,FALSE
94747b6e3d4a58e8b17675656319b037,NPK,Rhizosphere,symrk,-0.874757307357879,FALSE,TRUE
94a96b76cc70f090f90021807a8fad55,NPK,Rhizosphere,symrk,1.14919044797424,FALSE,TRUE
95186df33715228e31cd4d8f547d511e,NPK,Rhizosphere,symrk,-0.581859686868714,FALSE,TRUE
954fe2de9637158a92b401a93c718f2c,NPK,Rhizosphere,symrk,-2.55103285342793,FALSE,TRUE
9d4012a5f1d5855128dd6155208723c7,NPK,Rhizosphere,symrk,-0.948196294134592,FALSE,TRUE
9dbd0bf8f05df4bcc7a0da21b5841264,NPK,Rhizosphere,symrk,-0.579578605454506,FALSE,TRUE
9f38acedafcee71f299cee67e105d357,NPK,Rhizosphere,symrk,1.12069554248172,FALSE,TRUE
a3f295db1ce6e1beaea0cbd9879f3bd0,NPK,Rhizosphere,symrk,-1.8321513362012,FALSE,TRUE
a409581b54825df49d0803478db37384,NPK,Rhizosphere,symrk,-0.67259264579835,FALSE,TRUE
a432d1dd55e9054b623acd4960aa89dc,NPK,Rhizosphere,symrk,-0.986508676599333,FALSE,TRUE
a4cc4c6042a1a2f8102a6fe2e76b20be,NPK,Rhizosphere,symrk,-0.794190217736811,FALSE,TRUE
a65c0f9ac2342d4c46f6e08bf27b5832,NPK,Rhizosphere,symrk,-1.08172930416293,FALSE,TRUE
a671a397af30361be28818a07148fe88,NPK,Rhizosphere,symrk,-1.00486810853085,FALSE,TRUE
a71c9250e70333ad6c33118e641d996e,NPK,Rhizosphere,symrk,-0.843535301500599,FALSE,TRUE
a981b7ebc5a69185d75cc823eed899bf,NPK,Rhizosphere,symrk,-0.730132904907568,FALSE,TRUE
a9bfeebcc4b30391c1945acb4fb6de0e,NPK,Rhizosphere,symrk,-0.840039602321108,FALSE,TRUE
ab7900c0426ebf53bf1b14c3b1f44b4f,NPK,Rhizosphere,symrk,-0.913835482613788,FALSE,TRUE
afb381d077a490bc042601217fc8e32d,NPK,Rhizosphere,symrk,1.71169709063627,FALSE,TRUE
b0464986777dfda7743c78df8782c812,NPK,Rhizosphere,symrk,-0.738566734326061,FALSE,TRUE
b163a138ac9199d1a4b4045cf3e1835f,NPK,Rhizosphere,symrk,-1.22169601083219,FALSE,TRUE
b26a07e1665758cdb50cf8467b9e84c4,NPK,Rhizosphere,symrk,-0.70549889470541,FALSE,TRUE
b402c831b4e5515b2587c560ec5d1f2b,NPK,Rhizosphere,symrk,0.916704419166896,FALSE,TRUE
b424427bd41182932bf4bc8be3d601ca,NPK,Rhizosphere,symrk,1.6708525156129,FALSE,TRUE
b5ff6520ef0b4059443387c3a672eb02,NPK,Rhizosphere,symrk,-1.16788207789877,FALSE,TRUE
b6b88a194ff771841caa0790786c0808,NPK,Rhizosphere,symrk,-0.996037562620065,FALSE,TRUE
b926da7222eedb5fb374a894f711a8d9,NPK,Rhizosphere,symrk,1.59816172086074,FALSE,TRUE
bb6d9601f421201d41eda2fc379d72e6,NPK,Rhizosphere,symrk,1.66156686712711,FALSE,TRUE
bba2568b6060e076158bb666734f5ef8,NPK,Rhizosphere,symrk,-1.0324728479223,FALSE,TRUE
bf42bf09aa53735d64851cc017a25a35,NPK,Rhizosphere,symrk,-1.2349360893434,FALSE,TRUE
bf8db754727fd4536b97e512e323c17a,NPK,Rhizosphere,symrk,1.00073978553482,FALSE,TRUE
c09d58d660c00d230b019db475a6ef0a,NPK,Rhizosphere,symrk,1.15594462745071,FALSE,TRUE
c0e35bcffa186d65dccffc14666a6f82,NPK,Rhizosphere,symrk,0.98285193851447,FALSE,TRUE
c132c61ed40e5798cad6191880a3d43a,NPK,Rhizosphere,symrk,-0.861236794281973,FALSE,TRUE
c1825fc926d707afd960234f5c52d5b2,NPK,Rhizosphere,symrk,-1.12906016387071,FALSE,TRUE
c247d182377465a39c99ac83693bc48f,NPK,Rhizosphere,symrk,-1.35637082869133,FALSE,TRUE
c3a74d72814aaed6576feee61fcabf0f,NPK,Rhizosphere,symrk,1.72235538583902,TRUE,TRUE
c3c718f303b64340747e95ef1be30b1a,NPK,Rhizosphere,symrk,-1.29556779326914,FALSE,TRUE
c3e255c4ba1bee80b5aae71bf9302c25,NPK,Rhizosphere,symrk,2.73801151882395,TRUE,TRUE
c4473bef22f16bc6d190cb8be128f934,NPK,Rhizosphere,symrk,-0.916324926160939,FALSE,TRUE
c5a4bbfa5ca41666e435a61bac65c42d,NPK,Rhizosphere,symrk,-1.13518281000441,FALSE,TRUE
c5ceeb00e5f44620bb3c12baa2c5c449,NPK,Rhizosphere,symrk,-1.15163955708298,FALSE,TRUE
cb13adb1f6399f1a1f1f32669c89be95,NPK,Rhizosphere,symrk,-0.986127365216042,FALSE,TRUE
ce1bf6f414536528d7c38cd71b591710,NPK,Rhizosphere,symrk,-1.05047905482838,FALSE,TRUE
ce3b5672c06ef15869b31bbaaca52299,NPK,Rhizosphere,symrk,-0.855129787770005,FALSE,TRUE
cfe65fbfb213c1a7e867dc63586827a5,NPK,Rhizosphere,symrk,-1.15394614112285,FALSE,TRUE
d45a95ce4a09d9958785fa5492179e08,NPK,Rhizosphere,symrk,0.67314181905293,FALSE,TRUE
d65864b8347d0d905b09ddcd3adc2539,NPK,Rhizosphere,symrk,-0.773525303257684,FALSE,TRUE
d8bfd1e7559f8c2ee889c883a6a6d837,NPK,Rhizosphere,symrk,-1.07216652566771,FALSE,TRUE
e00d39dc50836280935e643ed4642c3b,NPK,Rhizosphere,symrk,-1.20362119944121,FALSE,TRUE
e16356fc7a9aaf18d2f1016b6fe3d438,NPK,Rhizosphere,symrk,-0.90372128882135,FALSE,TRUE
e217e4b8c25de3d62a4ddaad75099d28,NPK,Rhizosphere,symrk,0.603002326790072,FALSE,TRUE
e5bb1de27fe4fa157ef1caaac01330d6,NPK,Rhizosphere,symrk,-0.998955920360666,FALSE,TRUE
e61b9019d92ece8a330caf36763e902e,NPK,Rhizosphere,symrk,-0.989385251727692,FALSE,TRUE
e6b8b8c3ce76f14005d02f340241292e,NPK,Rhizosphere,symrk,-1.28845890387833,FALSE,TRUE
e9480362ae5bfb8b710b8b78391e1ae2,NPK,Rhizosphere,symrk,-0.893439971076057,FALSE,TRUE
e9bc5333babf9ad6e0963fb3293c9531,NPK,Rhizosphere,symrk,-1.43270444304422,TRUE,TRUE
ee7249ba659fe563cbc535080624f831,NPK,Rhizosphere,symrk,-0.802338227869129,FALSE,TRUE
ef3d06d6d4091953f422d772be07aed5,NPK,Rhizosphere,symrk,-0.902753097567192,FALSE,TRUE
f189221072f2e8ea502ac17465cbcbc2,NPK,Rhizosphere,symrk,-0.685882628499306,FALSE,TRUE
f3312107169fdb56bb8d69bf3bfb2f9f,NPK,Rhizosphere,symrk,-0.71661720423123,FALSE,TRUE
f3f49a5096e2df15ac4a583ac67cbe1b,NPK,Rhizosphere,symrk,-0.996711686708583,FALSE,TRUE
f418f33596b57bbecec383c1ae3487bd,NPK,Rhizosphere,symrk,-0.686522744559928,FALSE,TRUE
f44fea8fa12d38d9e411442dd9d10be4,NPK,Rhizosphere,symrk,-1.11383864415648,FALSE,TRUE
f4df001db443ff0da78191acff78bf8c,NPK,Rhizosphere,symrk,-0.638144588546624,FALSE,TRUE
f5049bbd1790a469c35bbf78e2d78bcf,NPK,Rhizosphere,symrk,-1.80415488783328,FALSE,TRUE
f52fa377ffb2402486e322a875a73ee8,NPK,Rhizosphere,symrk,-1.22611083525706,FALSE,TRUE
f56c5e206d419fcef8ce39993c5de754,NPK,Rhizosphere,symrk,-0.768898698205684,FALSE,TRUE
f9c1d4064815a63300356bd64875bb47,NPK,Rhizosphere,symrk,-0.755928263318114,FALSE,TRUE
