"","Soil","Mean","Max","Min","Median","Std","Letters","y_position","Compartment"
"1","NPK",407.114606242019,468.632183908046,346.568181818182,394.756607561057,50.4060668116206,"b",518.632183908046,"Rhizosphere"
"2","PK",263.463535005024,391.581081081081,182.066666666667,236.066731141199,77.7089563589744,"a",441.581081081081,"Rhizosphere"
"3","UF",249.567567479802,319.063829787234,164.142857142857,253.332692307692,55.9020963587247,"a",369.063829787234,"Rhizosphere"
"4","NPK",115.713871912401,141.117647058824,77.1666666666667,121.42803030303,25.8410554056662,"a",191.117647058824,"Root"
"5","PK",129.454288766789,183,71,142.467032967033,41.8448183070775,"a",233,"Root"
"6","UF",154.13682581786,233.551724137931,125,141.384615384615,40.4831742102765,"a",283.551724137931,"Root"
"7","NPK",31.2916666666667,55.5,8,33.825,19.5188221126857,"a",105.5,"Nodules"
"8","PK",14.1666666666667,23,12,12.5,4.35507366948788,"a",73,"Nodules"
"9","UF",20.3333333333333,74,6,10.5,26.3565298676944,"a",124,"Nodules"
