x,y,SampleID,Genotype,Compartment,Description,Bio_rep,Rev_barcode,Host
0.129151008395133,-0.335589000196831,Lj_Gifu_LjSC_3_endo,WT,Root,Lj_Gifu_LjSC_3_endo,3,B5-R-20,Lotus
0.119133496683144,-0.307984369227575,Lj_Gifu_LjSC_4_endo,WT,Root,Lj_Gifu_LjSC_4_endo,4,B5-R-23,Lotus
-0.221400384431368,-0.00409067100016289,Lj_ccamk_LjSC_1_endo,ccamk,Root,Lj_ccamk_LjSC_1_endo,1,B5-R-34,Lotus
0.0287801857800889,0.102652651035347,Lj_ccamk_LjSC_2_endo,ccamk,Root,Lj_ccamk_LjSC_2_endo,2,B5-R-36,Lotus
-0.201425483973534,-0.00656762470356505,Lj_ccamk_LjSC_3_endo,ccamk,Root,Lj_ccamk_LjSC_3_endo,3,B5-R-38,Lotus
-0.229463918092812,-0.0113575369313291,Lj_ccamk_LjSC_4_endo,ccamk,Root,Lj_ccamk_LjSC_4_endo,4,B5-R-40,Lotus
0.0580738155458737,0.0850366698880447,Lj_nsp1_LjSC_1_endo,nsp1,Root,Lj_nsp1_LjSC_1_endo,1,B5-R-42,Lotus
-0.0594911627474289,0.0223749825508626,Lj_nsp1_LjSC_2_endo,nsp1,Root,Lj_nsp1_LjSC_2_endo,2,B5-R-44,Lotus
-0.0907961905346434,0.0129647235402106,Lj_nsp1_LjSC_3_endo,nsp1,Root,Lj_nsp1_LjSC_3_endo,3,B5-R-46,Lotus
-0.122221244771705,0.00493369238208242,Lj_nsp1_LjSC_4_endo,nsp1,Root,Lj_nsp1_LjSC_4_endo,4,B5-R-48,Lotus
-0.120302611607779,0.0255975793216241,Lj_nsp2_LjSC_1_endo,nsp2,Root,Lj_nsp2_LjSC_1_endo,1,B5-R-74,Lotus
-0.0495702461772754,0.0428268100370067,Lj_nsp2_LjSC_2_endo,nsp2,Root,Lj_nsp2_LjSC_2_endo,2,B5-R-76,Lotus
-0.0846991915157833,0.0190563718465518,Lj_nsp2_LjSC_3_endo,nsp2,Root,Lj_nsp2_LjSC_3_endo,3,B5-R-78,Lotus
0.276664006956633,0.235351302990546,Lj_nsp2_LjSC_4_endo,nsp2,Root,Lj_nsp2_LjSC_4_endo,4,B5-R-80,Lotus
0.185237418792226,0.16649592357941,Lj_symrk_LjSC_1_endo,symrk,Root,Lj_symrk_LjSC_1_endo,1,B5-R-26,Lotus
0.103979429280092,0.15815053492557,Lj_symrk_LjSC_2_endo,symrk,Root,Lj_symrk_LjSC_2_endo,2,B5-R-28,Lotus
0.152877433869949,0.13129393413728,Lj_symrk_LjSC_3_endo,symrk,Root,Lj_symrk_LjSC_3_endo,3,B5-R-30,Lotus
-0.189858058435152,-0.00597299244793305,Lj_symrk_LjSC_4_endo,symrk,Root,Lj_symrk_LjSC_4_endo,4,B5-R-32,Lotus
