x,y,SampleID,Genotype,Compartment,Inoculum,Description,Bio_rep,Host
-0.071192700924826,-0.0889493708519301,Hv_WT_HvSC_only_rhizo_1,WT,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_1,1,Hordeum
-0.065020669347425,-0.0740002286215933,Hv_WT_HvSC_only_rhizo_2,WT,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_2,2,Hordeum
0.324465853634098,0.0263457312576011,Hv_WT_HvSC_only_rhizo_3,WT,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_3,3,Hordeum
0.329255218577796,0.0540694395337722,Hv_WT_HvSC_only_rhizo_4,WT,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_4,4,Hordeum
0.340964686263573,0.0210699323655605,Hv_WT_HvSC_only_rhizo_5,WT,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_5,5,Hordeum
0.416079975568248,0.0522455643249137,Hv_WT_HvSC_only_rhizo_6,WT,Rhizosphere,SC,Hv_WT_HvSC_only_rhizo_6,6,Hordeum
0.221112452698101,-0.363045544992903,Hv_ccamk_HvSC_only_rhizo_1,ccamk,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_1,1,Hordeum
0.0997467532639081,0.124398057698505,Hv_ccamk_HvSC_only_rhizo_2,ccamk,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_2,2,Hordeum
-0.0532672865490524,0.0023470376921589,Hv_ccamk_HvSC_only_rhizo_3,ccamk,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_3,3,Hordeum
-0.127658626206655,-0.0085415402741473,Hv_ccamk_HvSC_only_rhizo_4,ccamk,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_4,4,Hordeum
-0.0896534179238677,0.0979750023682312,Hv_ccamk_HvSC_only_rhizo_5,ccamk,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_5,5,Hordeum
-0.105815256378714,-0.00721760269447564,Hv_ccamk_HvSC_only_rhizo_6,ccamk,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_6,6,Hordeum
