"","ASVid","Lj_Gifu_LjSC_1_endo","Lj_Gifu_LjSC_1_nod","Lj_Gifu_LjSC_1_rhizo","Lj_Gifu_LjSC_2_endo","Lj_Gifu_LjSC_2_nod","Lj_Gifu_LjSC_2_rhizo","Lj_Gifu_LjSC_3_endo","Lj_Gifu_LjSC_3_nod","Lj_Gifu_LjSC_3_rhizo","Lj_Gifu_LjSC_4_endo","Lj_Gifu_LjSC_4_nod","Lj_Gifu_LjSC_4_rhizo","Lj_ccamk_LjSC_1_endo","Lj_ccamk_LjSC_1_rhizo","Lj_ccamk_LjSC_2_endo","Lj_ccamk_LjSC_2_rhizo","Lj_ccamk_LjSC_3_endo","Lj_ccamk_LjSC_3_rhizo","Lj_ccamk_LjSC_4_endo","Lj_ccamk_LjSC_4_rhizo","Lj_nsp1_LjSC_1_endo","Lj_nsp1_LjSC_1_rhizo","Lj_nsp1_LjSC_2_endo","Lj_nsp1_LjSC_2_rhizo","Lj_nsp1_LjSC_3_endo","Lj_nsp1_LjSC_3_rhizo","Lj_nsp1_LjSC_4_endo","Lj_nsp1_LjSC_4_rhizo","Lj_nsp2_LjSC_1_endo","Lj_nsp2_LjSC_1_rhizo","Lj_nsp2_LjSC_2_endo","Lj_nsp2_LjSC_2_rhizo","Lj_nsp2_LjSC_3_endo","Lj_nsp2_LjSC_3_rhizo","Lj_nsp2_LjSC_4_endo","Lj_nsp2_LjSC_4_rhizo","Lj_symrk_LjSC_1_endo","Lj_symrk_LjSC_1_rhizo","Lj_symrk_LjSC_2_endo","Lj_symrk_LjSC_2_rhizo","Lj_symrk_LjSC_3_endo","Lj_symrk_LjSC_3_rhizo","Lj_symrk_LjSC_4_endo","Lj_symrk_LjSC_4_rhizo"
"LjRoot3","LjRoot3",60,7,35,43,7,38,125,5,35,43,5,34,114,71,41,46,123,71,91,114,61,54,71,58,58,54,62,76,46,43,34,24,41,31,8,22,25,41,51,45,38,51,60,54
"G4_LjRoot26","G4_LjRoot26",17,2,24,12,7,45,20,0,57,11,1,86,31,76,35,60,18,56,38,94,14,44,34,52,33,48,38,73,37,86,30,45,39,52,31,84,15,34,27,51,13,58,71,30
"LjRoot18","LjRoot18",18,2,32,5,2,19,35,2,35,23,2,42,3,12,38,78,3,17,0,9,23,62,36,49,30,48,34,65,21,16,66,82,90,80,24,132,13,47,52,146,16,90,14,139
"G6_LjRoot130","G6_LjRoot130",29,0,23,28,0,36,24,0,33,19,13,52,31,25,30,56,54,44,35,30,21,48,35,47,29,64,55,64,41,71,29,75,41,85,25,78,21,39,36,65,16,60,16,56
"G17_LjRoot232","G17_LjRoot232",23,1,42,0,0,77,7,0,98,8,4,78,16,29,11,39,39,36,30,29,45,68,42,37,39,35,0,37,42,121,31,37,38,53,36,42,14,31,13,37,17,40,36,38
"LjRoot227","LjRoot227",37,1,27,48,0,22,48,1,22,39,6,21,11,10,47,33,16,8,2,8,11,29,28,26,46,42,47,31,38,15,67,23,78,36,48,56,34,16,29,20,27,30,12,55
"LjRoot219","LjRoot219",32,4,21,48,1,24,33,1,18,54,2,41,43,30,22,29,40,18,22,28,20,41,30,33,47,26,32,33,46,29,19,9,33,19,19,33,19,22,22,14,28,19,28,37
"LjRoot122","LjRoot122",32,0,56,13,0,56,9,0,52,3,0,39,94,193,16,53,74,246,65,238,6,49,11,76,6,50,28,45,22,79,8,47,13,42,23,77,10,34,3,49,12,65,190,34
"LjRoot243","LjRoot243",19,3,15,32,2,7,42,0,12,26,0,13,22,14,32,36,37,15,20,11,30,15,48,20,49,18,86,29,35,19,62,19,70,23,23,21,40,14,54,21,31,18,22,20
"G12_LjRoot70","G12_LjRoot70",13,0,44,8,0,16,0,0,64,20,0,51,12,30,0,0,39,36,12,0,23,63,53,82,0,33,0,16,27,30,0,33,0,11,0,25,0,9,11,16,13,38,17,21
