Soil_type	Genotype	pink	white	total
PK	WT	9	0	9
PK	WT	10	0	10
PK	WT	5	0	5
PK	WT	7	0	7
PK	WT	7	1	8
PK	WT	10	2	12
PK	WT	4	2	6
PK	WT	12	3	15
PK	WT	10	0	10
PK	WT	8	0	8
PK	WT	5	0	5
PK	WT	12	3	15
PK	WT	10	0	10
PK	WT	7	3	10
PK	WT	10	1	11
PK	WT	10	1	11
PK	WT	8	0	8
PK	WT	11	0	11
PK	WT	12	1	13
PK	WT	9	0	9
PK	WT	14	2	16
PK	WT	6	1	7
UF	WT	3	1	4
UF	WT	4	2	6
UF	WT	7	1	8
UF	WT	5	1	6
UF	WT	8	3	11
UF	WT	4	0	4
UF	WT	1	2	3
UF	WT	2	0	2
UF	WT	6	0	6
UF	WT	0	0	0
UF	WT	0	1	1
UF	WT	0	1	1
UF	WT	2	0	2
UF	WT	4	2	6
UF	WT	0	0	0
UF	WT	0	0	0
UF	WT	3	2	5
UF	WT	6	0	6
UF	WT	4	0	4
UF	WT	7	1	8
UF	WT	7	1	8
UF	WT	7	0	7
UF	WT	8	1	9
UF	WT	4	3	7
UF	WT	6	0	6
UF	WT	6	0	6
UF	WT	6	0	6
UF	WT	6	0	6
UF	WT	3	3	6
UF	WT	6	0	6
UF	WT	4	1	5
UF	WT	7	0	7
UF	WT	5	0	5
UF	WT	4	0	4
UF	WT	3	0	3
UF	WT	5	1	6
UF	WT	6	0	6
UF	WT	4	0	4
UF	WT	7	0	7
UF	WT	6	1	7
UF	WT	5	1	6
UF	WT	6	0	6
UF	WT	7	0	7
UF	WT	4	0	4
UF	WT	7	0	7
UF	WT	4	0	4
UF	WT	10	0	10
UF	WT	4	0	4
UF	WT	5	0	5
UF	WT	4	0	4
UF	WT	5	0	5
UF	WT	6	0	6
UF	WT	8	2	10
UF	WT	9	0	9
UF	WT	10	0	10
UF	WT	7	1	8
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
NPK	ccamk	0	0	0
