SampleID	Plant	Genotype	Compartment	Description	Soil	Bio_rep	Growth_condition
PK_Lj_ccamk_5_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_5_rhizo	PK	5	Lj
PK_Lj_ccamk_5_endo	Lotus	ccamk	Root	PK_Lj_ccamk_5_endo	PK	5	Lj
PK_Lj_ccamk_6_rhizo	Lotus	ccamk	Rhizosphere	PK_Lj_ccamk_6_rhizo	PK	6	Lj
PK_Lj_ccamk_6_endo	Lotus	ccamk	Root	PK_Lj_ccamk_6_endo	PK	6	Lj
PK_Lj_nsp1_1_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_1_rhizo	PK	1	Lj
PK_Lj_nsp1_1_endo	Lotus	nsp1	Root	PK_Lj_nsp1_1_endo	PK	1	Lj
PK_Lj_nsp1_2_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_2_rhizo	PK	2	Lj
PK_Lj_nsp1_2_endo	Lotus	nsp1	Root	PK_Lj_nsp1_2_endo	PK	2	Lj
PK_Lj_nsp1_3_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_3_rhizo	PK	3	Lj
PK_Lj_nsp1_3_endo	Lotus	nsp1	Root	PK_Lj_nsp1_3_endo	PK	3	Lj
PK_Lj_nsp1_4_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_4_rhizo	PK	4	Lj
PK_Lj_nsp1_4_endo	Lotus	nsp1	Root	PK_Lj_nsp1_4_endo	PK	4	Lj
PK_Lj_nsp1_5_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_5_rhizo	PK	5	Lj
PK_Lj_nsp1_5_endo	Lotus	nsp1	Root	PK_Lj_nsp1_5_endo	PK	5	Lj
PK_Lj_nsp1_6_rhizo	Lotus	nsp1	Rhizosphere	PK_Lj_nsp1_6_rhizo	PK	6	Lj
PK_Lj_nsp1_6_endo	Lotus	nsp1	Root	PK_Lj_nsp1_6_endo	PK	6	Lj
PK_Lj_nsp2_1_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_1_rhizo	PK	1	Lj
PK_Lj_nsp2_1_endo	Lotus	nsp2	Root	PK_Lj_nsp2_1_endo	PK	1	Lj
PK_Lj_nsp2_2_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_2_rhizo	PK	2	Lj
PK_Lj_nsp2_3_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_3_rhizo	PK	3	Lj
PK_Lj_nsp2_3_endo	Lotus	nsp2	Root	PK_Lj_nsp2_3_endo	PK	3	Lj
PK_Lj_nsp2_4_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_4_rhizo	PK	4	Lj
PK_Lj_nsp2_4_endo	Lotus	nsp2	Root	PK_Lj_nsp2_4_endo	PK	4	Lj
PK_Lj_nsp2_5_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_5_rhizo	PK	5	Lj
PK_Lj_nsp2_5_endo	Lotus	nsp2	Root	PK_Lj_nsp2_5_endo	PK	5	Lj
PK_Lj_nsp2_6_rhizo	Lotus	nsp2	Rhizosphere	PK_Lj_nsp2_6_rhizo	PK	6	Lj
PK_Lj_nsp2_6_endo	Lotus	nsp2	Root	PK_Lj_nsp2_6_endo	PK	6	Lj
UF_Lj_WT_1_rhizo	Lotus	WT	Rhizosphere	UF_Lj_WT_1_rhizo	UF	1	Lj
UF_Lj_WT_1_endo	Lotus	WT	Root	UF_Lj_WT_1_endo	UF	1	Lj
