feature	Actinomycetales	Burkholderiales	Caulobacterales	Flavobacteriales	Pseudomonadales	Rhizobiales	Sphingomonadales	Xanthomonadales
Lj_Gifu_LjSC_1_endo	0.00139729855612483	0.296778859117986	0.0980192680116687	0.0995391366165764	0.0590787635133479	0.405817174515235	0.0104797391709362	0.0288897604981247
Lj_Gifu_LjSC_2_endo	0.00107376785139053	0.279222592075593	0.0830666809835714	0.0476752926017395	0.0522280682916354	0.506646623000107	0.0109739074412112	0.0191130677547514
Lj_Gifu_LjSC_3_endo	0.000634428309601015	0.176183091310682	0.0896423704121434	0.0672728981625076	0.0357394614408572	0.590112317308144	0.0117486724000188	0.0286667606560459
Lj_Gifu_LjSC_4_endo	0.00123673322540025	0.184340708760568	0.0904838999820112	0.0602176650476704	0.0333018528512322	0.60357078611261	0.0126146788990826	0.0142336751214247
Lj_symrk_LjSC_1_endo	6.77082451715558e-05	0.445808013270816	0.0970428423921323	0.0584152885217597	0.199705469133504	0.176955498755861	0.0101054555918547	0.0118997240889009
Lj_symrk_LjSC_2_endo	0.000201529102061895	0.446500321187006	0.0629778443943421	0.0599423122945348	0.177572330054287	0.225838549998111	0.00855239126875165	0.0184147217009056
Lj_symrk_LjSC_3_endo	0.000315664536983257	0.508346170357837	0.0827798681784894	0.0759362610166923	0.113765499128766	0.19231546251168	0.0104674360463648	0.0160736382231875
Lj_symrk_LjSC_4_endo	0.00217160853411278	0.299496722003232	0.117647664234328	0.156808661733376	0.118769490443893	0.232887004312341	0.00878935397219106	0.0634294947665264
Lj_ccamk_LjSC_1_endo	0.00057927359091699	0.35150321496843	0.0819382494352082	0.180212014134276	0.0628511846144934	0.244829983201066	0.0104269246365058	0.0676591554191044
Lj_ccamk_LjSC_2_endo	0	0.423093777388256	0.0988716038562664	0.112346625766871	0.130970639789658	0.193634969325153	0.0134750219106047	0.0276073619631902
Lj_ccamk_LjSC_3_endo	0.000975314454832851	0.298076276316674	0.12487388175153	0.185511535615793	0.0668931189883635	0.270128472455775	0.0105098540391471	0.0430315463778839
Lj_ccamk_LjSC_4_endo	0.000447828034034931	0.32269870438717	0.0669580122612227	0.275784857235511	0.0718377935976034	0.181710085396173	0.0104853529348179	0.070077366153466
Lj_nsp1_LjSC_1_endo	0.000272781245487075	0.451661558704129	0.108695303348791	0.151570096757112	0.0689334253301455	0.190144574060108	0.00776624251857319	0.0209560180356541
Lj_nsp1_LjSC_2_endo	0.000749679572440812	0.347657855916423	0.125196488597616	0.137409010664796	0.0977969093855046	0.246910594665183	0.0130831176996929	0.0311963434983435
Lj_nsp1_LjSC_3_endo	0.000202315387209172	0.29596493199955	0.162998763628189	0.206114420591211	0.0820051702821176	0.213330336068338	0.0143419130043835	0.0250421490390019
Lj_nsp1_LjSC_4_endo	0	0.288169464428457	0.145483613109512	0.172262190247802	0.116506794564349	0.222621902478018	0.01378896882494	0.0411670663469225
Lj_nsp2_LjSC_1_endo	0.000648724175787618	0.28814997172228	0.12751588542533	0.142303469842643	0.110349645696796	0.292424897701188	0.0129079477028511	0.0256994577331249
Lj_nsp2_LjSC_2_endo	0.000191873107917964	0.380868119217158	0.109815375431714	0.0939112267087366	0.0687545303372703	0.288875623587601	0.0162239372361745	0.0413593143734277
Lj_nsp2_LjSC_3_endo	0	0.310699382406944	0.136504757135704	0.0867300951427141	0.0898347521281923	0.312535469871474	0.0237022199966617	0.0399933233183108
Lj_nsp2_LjSC_4_endo	0.000209664118082831	0.664914806480019	0.0613197657352921	0.0410103014970018	0.0976475685951106	0.104706260570566	0.0104552506883972	0.0197363823155305
