Genotype,x,y,SampleID,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
nsp1,-0.0246744364723482,-0.0871330362807881,Hv_nsp1_HvSC_only_endo_5,Root,SC,Hv_nsp1_HvSC_only_endo_5,5,-0.0198689753238545,-0.062762717259474,Hordeum
nsp1,0.0393542390376952,-0.187003355019628,Hv_nsp1_HvSC_only_endo_6,Root,SC,Hv_nsp1_HvSC_only_endo_6,6,-0.0198689753238545,-0.062762717259474,Hordeum
nsp2,-0.0526201253330142,-0.191193590994435,Hv_nsp2_HvSC_only_endo_1,Root,SC,Hv_nsp2_HvSC_only_endo_1,1,0.0473649300631884,0.0117980324202744,Hordeum
nsp2,0.143525902365505,0.108031882555864,Hv_nsp2_HvSC_only_endo_2,Root,SC,Hv_nsp2_HvSC_only_endo_2,2,0.0473649300631884,0.0117980324202744,Hordeum
nsp2,0.00677848575579769,0.0372861836972319,Hv_nsp2_HvSC_only_endo_3,Root,SC,Hv_nsp2_HvSC_only_endo_3,3,0.0473649300631884,0.0117980324202744,Hordeum
nsp2,0.104210720128615,-0.00284690548972615,Hv_nsp2_HvSC_only_endo_4,Root,SC,Hv_nsp2_HvSC_only_endo_4,4,0.0473649300631884,0.0117980324202744,Hordeum
nsp2,0.0870503140123795,0.114438869408318,Hv_nsp2_HvSC_only_endo_5,Root,SC,Hv_nsp2_HvSC_only_endo_5,5,0.0473649300631884,0.0117980324202744,Hordeum
nsp2,-0.00475571655015276,0.00507175534439292,Hv_nsp2_HvSC_only_endo_6,Root,SC,Hv_nsp2_HvSC_only_endo_6,6,0.0473649300631884,0.0117980324202744,Hordeum
symrk,-0.0713123559874712,0.10092907595549,Hv_symrk_HvSC_only_endo_1,Root,SC,Hv_symrk_HvSC_only_endo_1,1,-0.105866029782269,0.0488468231090422,Hordeum
symrk,-0.200504675472123,-0.0211316452501795,Hv_symrk_HvSC_only_endo_2,Root,SC,Hv_symrk_HvSC_only_endo_2,2,-0.105866029782269,0.0488468231090422,Hordeum
symrk,-0.143009175991864,0.0980150616581767,Hv_symrk_HvSC_only_endo_3,Root,SC,Hv_symrk_HvSC_only_endo_3,3,-0.105866029782269,0.0488468231090422,Hordeum
symrk,0.0792407607205619,0.0536064100685623,Hv_symrk_HvSC_only_endo_4,Root,SC,Hv_symrk_HvSC_only_endo_4,4,-0.105866029782269,0.0488468231090422,Hordeum
symrk,-0.190956504293272,0.0535618534402765,Hv_symrk_HvSC_only_endo_5,Root,SC,Hv_symrk_HvSC_only_endo_5,5,-0.105866029782269,0.0488468231090422,Hordeum
symrk,-0.108654227669446,0.00810018278192712,Hv_symrk_HvSC_only_endo_6,Root,SC,Hv_symrk_HvSC_only_endo_6,6,-0.105866029782269,0.0488468231090422,Hordeum
WT,-0.268846116414258,0.032614889900006,Hv_WT_HvSC_only_endo_1,Root,SC,Hv_WT_HvSC_only_endo_1,1,-0.0793022921873794,0.0542217837066609,Hordeum
WT,-0.0361217702429103,0.0635434777394288,Hv_WT_HvSC_only_endo_2,Root,SC,Hv_WT_HvSC_only_endo_2,2,-0.0793022921873794,0.0542217837066609,Hordeum
WT,-0.0112129105191135,0.0953714348728504,Hv_WT_HvSC_only_endo_3,Root,SC,Hv_WT_HvSC_only_endo_3,3,-0.0793022921873794,0.0542217837066609,Hordeum
WT,-0.0818033012649488,0.0323369812709121,Hv_WT_HvSC_only_endo_4,Root,SC,Hv_WT_HvSC_only_endo_4,4,-0.0793022921873794,0.0542217837066609,Hordeum
WT,0.00147263750433394,0.0472421347501071,Hv_WT_HvSC_only_endo_5,Root,SC,Hv_WT_HvSC_only_endo_5,5,-0.0793022921873794,0.0542217837066609,Hordeum
