"","Fresh_weight","Genotype","Treatment","Host"
"441",0.0319,"nsp2","Lj_SC","Lotus"
"442",0.0177,"nsp2","Lj_SC","Lotus"
"443",0.0233,"nsp2","Lj_SC","Lotus"
"444",0.0191,"nsp2","Lj_SC","Lotus"
"445",0.0311,"nsp2","Lj_SC","Lotus"
"446",0.0209,"nsp2","Lj_SC","Lotus"
"447",0.0208,"nsp2","Lj_SC","Lotus"
"448",0.018,"nsp2","Lj_SC","Lotus"
"449",0.0197,"nsp2","Lj_SC","Lotus"
"450",0.0205,"nsp2","Lj_SC","Lotus"
"451",0.019,"nsp2","Lj_SC","Lotus"
"452",0.0137,"nsp2","Lj_SC","Lotus"
"453",0.0174,"nsp2","Lj_SC","Lotus"
"454",0.0209,"nsp2","Lj_SC","Lotus"
"455",0.027,"nsp2","Lj_SC","Lotus"
"456",0.0256,"nsp2","Lj_SC","Lotus"
"457",0.0216,"nsp2","Lj_SC","Lotus"
"458",0.0187,"nsp2","Lj_SC","Lotus"
"459",0.0212,"nsp2","Lj_SC","Lotus"
"460",0.0219,"nsp2","Lj_SC","Lotus"
"461",0.0176,"nsp2","Lj_SC","Lotus"
"462",0.0196,"nsp2","Lj_SC","Lotus"
"463",0.0194,"nsp2","Lj_SC","Lotus"
"464",0.0278,"nsp2","Lj_SC","Lotus"
"465",0.0161,"nsp2","Lj_SC","Lotus"
"466",0.0192,"nsp2","Lj_SC","Lotus"
"467",0.0268,"nsp2","Lj_SC","Lotus"
"468",0.0196,"nsp2","Lj_SC","Lotus"
"469",0.0202,"nsp2","Lj_SC","Lotus"
"470",0.0164,"nsp2","Lj_SC","Lotus"
"471",0.0167,"nsp2","Lj_SC","Lotus"
"472",0.0172,"nsp2","Lj_SC","Lotus"
"473",0.0285,"nsp2","Lj_SC","Lotus"
"474",0.0195,"nsp2","Lj_SC","Lotus"
"475",0.0188,"nsp2","Lj_SC","Lotus"
"476",0.0276,"nsp2","Lj_SC","Lotus"
"477",0.0203,"nsp2","Lj_SC","Lotus"
"478",0.0228,"nsp2","Lj_SC","Lotus"
"479",0.0217,"nsp2","Lj_SC","Lotus"
"480",0.0209,"nsp2","Lj_SC","Lotus"
"481",0.013,"nsp2","Lj_SC","Lotus"
"482",0.0141,"nsp2","Lj_SC","Lotus"
"483",0.0142,"nsp2","Lj_SC","Lotus"
"484",0.0129,"nsp2","Lj_SC","Lotus"
