"","Genotype","y_pos","label","Host"
"1","WT",0.0416,"c","Lotus"
"2","symrk",0.0378,"a","Lotus"
"3","ccamk",0.0433,"bc","Lotus"
"4","nsp1",0.0421,"ab","Lotus"
"5","nsp2",0.044,"bc","Lotus"
