"","ASVid","Lfc_symrk","Lfc_ccamk","Lfc_nsp1","Lfc_nsp2","DA_symrk","DA_ccamk","DA_nsp1","DA_nsp2","Kingdom","Phylum","Class","Order","Family","Genus","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6"
"27","P2_E4",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Intrasporangiaceae","Phycicoccus",0,0,6.39897616381379e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","P2_F5",0.00750619386345313,-0.449091603960588,-0.0832787338773804,0.398157349219199,0,0,0,0,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",0.000159572091479489,0,0.000223964165733483,0,0,0.000152619777175125,0,0.000175392440585811,9.26465138440362e-05,0,0,0,0.00032524858284546,0,0,0,0,0,0,0,0.000155796331704554,0.000161567498494485,6.75630024998311e-05,0.000147671224785138,0,0.000379582098185236,0.000224668613794653,0,0
"29","P2_G8",-1.87608366285221,-1.68350061684483,-1.61109359554848,-3.08295687880519,0,0,0,-1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium",0.000242549579048823,0.00110177661479135,9.59846424572068e-05,0.000234129373202221,0.00220682576340775,0.000246539640052126,0,0.000137808346174566,6.61760813171687e-05,0.000176245098183207,0.000173970804535893,0.000267101526696095,0.000185856333054549,8.95110904241036e-05,0,0.000131507261079487,0.000262643359500394,0,0.000332679064506471,0.000246653362333789,0.000254939451880178,7.34397720429476e-05,0.000135126004999662,0,0,9.03766900441038e-05,0,0.000139178844815588,0
"30","P2_H11",0.363462358117817,-0.712833528235966,-0.0169659019528531,-0.778527928848822,0,0,0,-1,"Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",0.374968883442162,0.198004997343931,0.2432890737482,0.297277409860191,0.300692840646651,0.290681975604316,0.53729950296269,0.394094285964846,0.237386838900948,0.409020811608677,0.338578816682219,0.197149042651896,0.119017749279807,0.252546590522566,0.203967558088558,0.0992504086118469,0.191788017626288,0.38635300720232,0.155893409627732,0.36776016323968,0.276977551164932,0.316114154781664,0.214512532936964,0.182669305059216,0.116867901194389,0.152989660906659,0.13363289148506,0.172303409881698,0.232957545265381
"31","P2_H12",-1.05286371972341,-1.08272483683351,-0.900558294409898,-0.19595679831148,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",0.000255315346367182,0.000354142483325791,0.00140777475603903,0,0,0.000387419434367626,0,0,0,0,0.000158155276850812,0,0.000232320416318186,0.000232728835102669,0,0,0,0,0.000232875345154529,0,0.000495715600878125,0,0,0,0,0.000578410816282264,0,0.000501043841336117,0.000590080437280661
"32","P2_H2",1.19231437488272,0.986424427799481,0.00361840399199781,0.602882067309945,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter",0,0.00177071241662896,0.00534314509678451,0,0,0.00278237593773113,0.00247433420875567,0.00254319038849426,0.00299115887553603,0.00327522140790459,0.00245140679118759,0.00295217476874631,0.00355450236966825,0.00157539519146422,0.00191801841297676,0.0012774991076293,0.00440657192050661,0.00240856795435413,0.00246182507734788,0,0.0019403724948658,0,0,0,0.00527223614410779,0.00146410237871448,0.00359469782071445,0.00320111343075852,0
"33","P2_H3",0.166666666666673,6.16822097313025e-15,0.70928936442776,6.14065630173201e-15,0,0,0,0,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter",0,0,0,0,0,0,0,0,0,5.87483660610689e-05,0,0,0,0,0,0,0,0,0.000182973485478559,0,0,0,9.00840033331081e-05,0,0,0,0,0,0
"34","P2_H9",NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","P3_A2",0.85956081728601,0.928780414474235,1.74869630627056,2.63092473375514,0,0,0,1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium",0.000746797388124007,0,0.000287953927371621,0,0,0.000399159417227251,0,0.000400897007053282,0.000185293027688072,0.000396551470912215,0.000506096885922599,0.000435797227767312,0.000766657373850014,0.000143217744678566,0.000383603682595353,0.000432095286404028,0,0.000444298943036199,0.000748527895139559,0.000493306724667579,0.000580695418171518,0.000381886814623327,0.000472941017498818,0.000826958858796775,0.000878706024017965,0.00155447906875859,0.000674005841383959,0.00069589422407794,0.00127333146992143
"36","P3_C6",-1.1443580010935,-2.24405880893371,-1.98710429468916,-1.74112680083097,0,-1,-1,-1,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.000248932462708002,0.000767308713872548,0.000479923212286034,0.000167235266573015,0.000205286117526302,0.00021131969147325,0,0.000137808346174566,0.000132352162634337,0.000176245098183207,0.000253048442961299,0,0.000116160208159093,0.000125315526593745,0,0,0,0,0,0.000156961230576048,9.9143120175625e-05,0,0.000135126004999662,0.00038394518444136,0,0.000307280746149953,0,0,0
