ASV_ID	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_f6h1_LjSC_1_endo	Lj_f6h1_LjSC_1_nod	Lj_f6h1_LjSC_1_rhizo	Lj_f6h1_LjSC_2_endo	Lj_f6h1_LjSC_2_nod	Lj_f6h1_LjSC_2_rhizo	Lj_f6h1_LjSC_3_endo	Lj_f6h1_LjSC_3_nod	Lj_f6h1_LjSC_3_rhizo	Lj_f6h1_LjSC_4_endo	Lj_f6h1_LjSC_4_nod	Lj_f6h1_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo	Mag_unplanted_1	Mag_unplanted_2	Mag_unplanted_3
G16_LjRoot125	2078	199	1860	808	153	2273	985	58	1219	499	184	1815	2315	2893	380	742	2472	3605	4522	4967	1096	171	1981	602	104	492	1162	124	1179	569	61	1325	977	1208	1005	1938	874	1061	168	500	1277	1269	1311	559	712	966	973	1622	514	1582	780	1446	1044	1846	5891	943	0	0	0
LjRoot17	1531	80	2171	853	35	2896	671	14	1257	466	80	1756	1209	3823	200	724	1827	4773	1232	6696	668	63	2479	462	37	442	504	21	1294	311	19	1136	730	2057	749	3211	494	1332	128	675	1217	2095	544	367	476	629	557	1147	401	2286	381	1458	879	2607	7556	1164	0	0	9
LjRoot82	1184	55	5039	395	35	3333	251	0	3648	457	63	2415	1061	1652	366	1008	1684	2443	1489	1654	403	0	2276	570	0	1170	571	32	2513	481	0	1789	1250	1861	984	2543	1223	2274	118	710	1019	1256	576	715	308	778	356	1149	411	4093	594	1628	1142	1978	3313	3674	0	0	0
G2_LjRoot102	1394	0	987	464	0	1352	650	0	1408	420	77	1311	1715	2078	614	1298	2515	3803	2021	2246	586	0	1077	395	0	325	1002	0	1393	594	0	1164	1017	1598	1209	2914	992	1677	175	960	1476	2239	2449	1576	609	2127	1569	1935	875	1820	1739	2581	1593	1893	3992	1200	19	0	0
G20_LjRoot162	1006	77	2850	544	74	4025	397	0	3496	353	76	4008	674	865	272	1125	1230	1603	1284	1019	398	0	1850	349	0	833	493	0	3565	1031	57	2192	970	2171	1038	2143	914	1599	131	937	1644	2004	800	758	748	2483	1614	1803	2583	2333	3404	2914	1249	2707	1902	1340	0	0	0
LjRoot183	696	33	1081	306	47	1560	954	0	2476	476	90	1495	2318	1407	889	1194	2430	2055	5965	2209	421	39	910	389	36	381	972	57	1303	640	51	1298	1278	1216	911	1904	1219	1362	163	475	2550	1856	2476	1008	1568	1797	1394	1185	1088	1711	4612	2345	2204	1722	2971	1438	0	0	24
G1_LjRoot134	2323	175	1660	491	55	1070	677	529	1070	677	52	827	393	411	173	484	826	871	921	574	499	52	870	692	36	292	1829	69	1121	2051	0	706	846	841	1002	1930	1107	1462	130	689	762	746	675	429	484	1221	487	936	670	904	1376	887	605	750	842	741	0	0	0
LjRoot71	32	6	533	34	0	882	9	0	1488	20	20	1418	109	2520	12	356	129	4148	365	2723	38	0	2158	0	4	171	0	0	949	0	0	415	17	627	31	1248	63	440	36	333	79	1252	23	327	29	795	54	556	15	667	21	857	34	693	4684	340	0	0	0
LjRoot289	1196	128	878	372	70	987	509	25	897	740	166	1402	43	116	117	530	277	556	662	499	466	72	682	509	80	445	1050	76	2046	541	21	900	341	1438	341	1410	270	1377	84	630	695	927	195	192	222	919	93	373	522	1075	280	866	798	909	206	814	0	0	0
LjRoot3	1078	66	551	426	66	624	986	25	385	321	53	368	722	584	200	247	1143	1028	1117	1156	428	41	548	376	110	155	422	71	431	326	31	346	487	550	524	729	378	527	64	307	509	377	260	143	224	326	132	296	273	554	666	606	607	597	1104	462	16	7	12
G4_LjRoot26	224	28	367	81	43	704	170	0	501	96	33	766	210	663	89	312	271	902	431	983	149	22	555	68	19	122	199	26	522	112	18	414	149	485	254	1067	184	401	42	318	397	815	248	265	236	614	423	739	185	542	303	604	277	644	1339	244	0	0	0
LjRoot18	264	14	378	82	11	386	235	8	442	134	17	480	21	105	124	345	87	175	16	67	33	0	93	224	0	146	330	28	422	186	19	685	325	556	285	725	240	606	38	279	254	257	629	391	486	691	439	1250	189	606	682	1646	229	951	272	1178	0	0	0
G6_LjRoot130	354	0	267	183	0	474	216	0	398	185	64	480	205	254	143	296	617	609	548	281	190	57	455	203	0	158	339	73	438	315	0	447	232	418	267	700	230	557	51	264	486	611	285	338	237	818	248	664	302	482	441	725	325	612	469	418	0	0	0
G17_LjRoot232	266	14	635	0	19	1053	50	0	1096	80	37	748	101	301	52	181	354	588	353	251	137	31	428	87	21	168	165	26	739	77	23	195	385	723	296	597	307	339	0	145	324	1172	256	188	171	493	571	522	146	514	225	375	237	460	578	332	17	17	20
LjRoot227	517	18	273	336	21	313	374	12	198	380	24	233	55	76	155	170	182	127	61	70	88	0	74	533	35	95	518	20	207	518	20	313	282	328	275	328	405	398	48	128	446	155	545	134	515	316	557	431	327	256	453	257	515	318	200	388	0	0	0
LjRoot219	457	28	300	397	12	380	293	8	213	344	17	358	256	268	47	174	432	377	273	311	359	15	272	302	13	192	227	0	274	475	7	224	205	314	178	371	325	272	37	200	410	294	149	73	180	208	226	233	165	277	248	207	356	253	480	221	3	0	0
LjRoot243	442	44	176	288	53	178	251	0	155	245	0	140	125	119	107	140	358	233	250	107	146	0	93	304	0	119	346	58	197	505	60	191	438	155	362	222	428	157	88	144	489	173	493	102	409	261	240	239	377	191	796	248	396	171	307	165	11	0	0
LjRoot122	405	0	630	122	0	877	85	0	453	67	0	477	585	1606	59	302	857	4203	691	2391	270	0	920	48	0	163	141	0	544	0	0	322	47	487	89	863	50	459	31	225	272	851	81	199	91	468	296	856	80	522	95	577	163	579	2906	305	0	0	0
G12_LjRoot70	298	0	500	88	0	271	0	0	623	149	0	548	103	222	0	0	383	610	119	0	154	0	411	0	0	104	119	0	274	0	0	161	212	578	356	1006	0	298	0	110	198	370	0	163	0	173	0	148	0	257	170	187	236	456	335	212	0	0	0
G29_LjRoot226	278	25	229	145	17	268	101	7	152	155	16	203	238	149	78	85	368	290	507	348	140	25	145	163	11	78	197	25	149	161	0	221	193	162	257	337	224	184	21	83	254	137	167	87	114	168	139	269	242	206	174	122	263	271	374	175	0	0	0
LjRoot237	360	37	119	171	22	124	175	11	96	120	0	112	176	241	67	105	366	431	313	308	212	54	221	148	0	58	147	23	151	157	23	149	263	195	207	250	235	196	59	107	422	219	154	81	137	232	152	154	183	207	262	186	238	164	383	101	0	0	37
G22_LjRoot238	355	14	213	146	15	260	191	17	317	99	13	155	136	229	27	125	389	406	147	239	97	12	185	194	0	40	142	8	166	168	0	167	136	180	172	312	147	156	26	118	198	169	210	119	99	184	186	243	117	271	246	428	153	261	484	148	0	0	0
LjRoot10	255	0	227	139	0	280	106	0	246	328	26	200	195	245	40	121	224	534	248	449	867	0	206	100	0	76	137	0	149	160	0	193	63	144	44	218	76	123	0	112	145	113	107	106	57	142	79	198	73	183	134	285	119	213	582	93	0	0	0
G7_LjRoot117	115	0	95	57	0	130	46	0	102	59	14	137	308	183	33	114	249	179	396	297	154	13	127	50	0	23	109	0	127	39	0	93	615	493	398	491	142	325	16	134	262	169	41	80	77	204	36	112	42	168	49	208	160	252	373	135	0	0	0
LjRoot229	177	0	58	102	0	91	211	0	92	119	69	94	96	86	118	83	291	144	246	102	0	23	55	180	81	0	156	0	106	322	0	97	241	87	251	153	330	110	0	0	515	125	267	69	250	142	141	100	193	89	406	114	272	109	162	93	0	0	0
LjRoot11	188	21	254	122	63	265	54	0	217	92	36	161	117	138	24	48	79	128	142	237	124	15	125	86	35	59	123	23	102	105	28	127	116	141	58	162	136	125	55	33	146	84	141	90	53	103	78	118	73	157	81	151	158	176	374	88	36	0	29
G36_LjRoot142	280	18	200	112	0	206	82	0	152	113	0	165	0	116	0	106	123	207	84	175	119	0	128	131	36	62	132	0	129	124	0	139	75	115	116	156	72	147	0	61	122	125	82	68	84	115	41	148	82	178	69	193	95	188	243	137	0	0	0
G5_LjRoot105	0	0	113	0	0	153	0	0	140	0	0	135	159	336	0	95	0	387	410	515	0	0	175	0	0	0	0	0	135	0	0	103	0	210	0	500	0	168	0	74	0	241	0	199	0	162	0	124	0	133	0	275	0	161	553	108	0	0	0
G14_LjRoot22	455	0	111	89	0	113	167	0	153	176	0	103	0	29	32	53	28	47	24	36	29	0	17	378	0	67	439	0	104	304	0	144	80	76	93	95	120	119	16	72	121	64	164	67	138	166	438	323	96	112	422	287	116	210	61	219	0	0	0
LjRoot285	272	0	0	106	0	0	109	0	75	124	0	95	0	0	0	0	214	108	151	0	76	0	0	132	0	0	233	0	78	147	0	0	205	83	135	0	253	103	0	0	222	0	241	0	134	115	0	126	775	91	144	0	188	67	138	97	0	0	0
LjRoot240	166	0	74	76	14	165	52	0	157	87	0	76	59	37	0	0	126	70	64	65	64	0	84	124	14	36	132	246	93	98	0	71	108	79	139	101	96	65	0	0	232	81	85	47	69	113	72	93	104	105	100	112	121	116	91	95	0	0	0
LjRoot248	155	0	164	167	0	89	106	0	221	91	0	67	36	38	19	28	50	77	0	21	48	0	46	197	0	39	147	0	90	233	0	85	69	30	62	53	123	52	0	38	60	73	112	35	113	95	99	95	97	73	137	82	137	94	84	54	0	0	0
LjRoot89	60	5	66	30	0	93	25	0	65	26	0	63	67	120	13	41	75	157	111	260	29	5	90	35	0	23	30	0	45	35	0	81	9	16	9	19	9	16	0	0	76	108	49	37	81	84	52	127	28	76	52	56	51	81	280	74	0	0	0
LjRoot1	104	0	101	69	7	113	70	0	68	51	0	80	34	65	0	17	66	120	46	55	24	0	52	43	0	25	62	0	77	40	0	62	40	87	83	77	32	41	12	27	35	83	32	30	31	69	48	77	69	110	82	106	102	114	98	90	0	0	0
G35_LjRoot145	88	0	0	0	0	0	78	0	0	0	24	0	144	103	66	0	108	157	150	151	0	0	55	0	0	0	0	0	41	0	0	0	85	55	139	96	58	0	0	46	122	75	79	40	0	58	44	79	80	102	110	99	100	88	201	0	0	0	0
G30_LjRoot2	110	11	66	45	0	63	52	0	76	49	13	67	54	52	14	35	84	136	41	49	44	0	48	37	6	16	66	15	87	37	0	52	25	106	44	97	28	48	8	42	71	72	69	31	21	52	43	64	47	106	44	113	41	92	108	50	0	0	0
LjRoot277	45	0	103	23	0	176	27	0	120	30	0	109	7	26	0	61	0	91	18	43	17	0	99	23	0	42	51	0	155	23	0	134	33	96	0	93	15	83	0	41	26	127	34	60	44	178	31	187	33	119	29	120	32	139	69	64	0	0	0
LjRoot152	32	0	59	0	0	103	0	0	96	26	0	58	40	99	0	32	0	69	70	143	20	0	34	20	0	23	25	0	108	25	0	78	27	164	19	67	0	69	0	0	15	39	0	28	0	55	0	61	27	110	0	23	74	99	227	62	0	0	0
G33_LjRoot104	68	0	0	0	0	44	0	18	44	48	29	0	63	27	32	0	120	98	62	30	50	72	45	0	0	0	65	0	40	59	0	26	67	31	90	37	57	0	0	0	119	41	72	0	48	52	47	43	45	31	132	92	82	36	88	33	15	0	0
G27_LjRoot78	32	0	115	25	0	95	11	0	56	27	6	93	0	22	0	33	7	80	6	31	14	0	41	24	0	14	24	0	118	0	0	50	11	99	20	88	0	54	0	28	19	126	9	40	0	90	4	62	4	85	4	156	12	132	43	44	0	0	0
LjRoot30	98	15	49	40	14	89	22	5	31	22	0	30	32	21	0	14	48	55	15	27	33	0	35	31	0	0	48	0	37	19	0	27	51	62	33	74	35	48	0	25	60	31	29	18	22	25	29	55	26	49	21	54	40	71	48	34	0	0	0
LjRoot296	50	0	69	16	0	62	44	0	50	0	23	57	36	34	20	33	43	60	38	44	33	0	43	49	23	33	52	0	56	39	30	57	61	52	31	86	71	50	41	47	31	86	29	37	0	68	28	54	0	47	63	73	27	29	90	28	0	0	9
G24_LjRoot12	82	0	55	25	0	55	16	0	53	28	0	38	20	45	0	20	51	65	23	66	23	5	39	44	4	17	44	0	57	19	0	25	6	50	11	31	9	21	0	11	20	49	0	12	0	27	0	49	0	30	12	40	13	74	89	29	0	0	0
LjRoot295	14	0	9	12	0	20	51	0	27	0	0	24	97	41	15	39	57	80	24	19	0	0	12	0	0	0	15	0	31	0	0	16	14	11	14	22	11	11	0	0	41	20	74	35	29	36	29	32	43	39	76	65	55	41	85	14	0	0	0
LjRoot257	75	0	46	54	0	75	0	0	104	0	0	55	53	63	0	0	71	98	0	76	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	48	54	0	0	0	51	0	0	0	44	0	74	0	0	113	0	0	0	0
G9_LjRoot131	98	0	90	0	0	0	0	0	0	0	0	0	99	0	0	0	164	0	362	76	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	81	0	0	0	50	0	0	0	0	69	0	0	0	0	0	0	0	0	88	0	0	0	0
LjRoot258	106	11	0	96	0	0	98	0	0	82	0	37	0	0	0	31	0	0	0	0	0	0	0	115	0	0	86	0	0	108	0	0	75	0	0	0	0	0	0	38	0	0	67	0	0	0	0	0	84	0	65	0	0	0	0	0	0	0	0
G15_LjRoot29	34	0	32	10	0	27	10	0	24	16	0	18	0	0	0	7	0	15	0	0	0	0	0	14	0	0	20	0	19	19	0	44	6	48	25	53	0	60	0	15	0	23	19	30	0	32	23	63	12	42	56	61	31	77	8	93	0	0	0
LjRoot244	5	0	25	310	27	13	0	0	30	7	0	25	0	30	0	0	0	26	0	20	0	0	16	0	0	0	12	0	23	0	0	0	0	10	0	17	0	20	0	0	0	10	0	0	0	18	7	21	0	14	225	19	0	40	51	26	0	0	0
LjRoot230	30	0	13	7	0	25	12	0	24	7	0	20	0	0	8	0	0	0	0	0	0	0	0	14	0	14	22	0	23	0	0	26	33	66	11	80	0	26	0	5	0	0	22	25	22	76	32	89	17	41	12	36	14	30	0	81	0	0	0
LjRoot8	0	0	10	0	0	10	0	0	26	0	0	33	0	44	0	14	0	26	0	14	0	0	18	4	0	0	4	0	24	0	0	18	0	40	0	21	0	30	0	12	0	26	0	10	0	26	0	12	0	23	0	10	0	43	57	14	0	0	0
LjRoot220	0	0	0	18	0	0	0	7	11	16	0	13	0	23	0	0	18	11	14	0	21	8	13	26	0	0	20	13	0	15	0	0	37	0	35	22	0	19	0	0	36	10	0	0	0	9	0	0	8	0	0	17	13	0	23	0	0	0	8
G34_LjRoot233	21	0	16	24	0	20	8	0	13	13	0	0	28	0	0	0	20	0	0	0	0	0	13	15	0	0	24	0	0	16	0	16	0	22	15	22	0	0	0	0	23	0	0	0	0	13	0	20	0	14	0	21	21	14	11	0	0	0	0
LjRoot58	0	0	42	18	0	80	0	0	40	12	7	47	0	0	0	0	0	0	0	0	0	0	14	6	0	20	0	0	36	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot80	0	0	0	0	0	15	0	0	20	0	0	21	0	11	0	11	0	30	0	14	0	0	13	0	0	11	0	0	21	0	0	4	0	13	0	15	0	6	0	11	0	32	0	9	0	33	7	18	0	12	0	8	0	22	22	10	0	0	0
LjRoot224	0	28	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	23	0	0	29	0	0	37	0	0	25	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	23	45
LjRoot247	15	0	17	0	0	23	0	0	18	0	0	20	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	17	0	26	0	20	0	11	14	10	0	9	0	26	0	15	0	14	0	36	0	18	0	0	0	0	0
LjRoot261	15	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	22	9	37	0	12	0	0	0	0	0	0	0	0	0	26	9	27	0	26	22	0	0	38	0	0	9	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
LjRoot28	0	0	0	0	0	0	0	0	0	0	0	0	14	6	0	12	18	10	0	34	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	23	8	0	0	0
G31_LjRoot101	18	0	19	0	0	12	0	0	0	0	0	0	0	0	0	0	8	17	0	20	0	0	7	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	17	0	16	0	0	18	0	0	0	0
G25_LjRoot27	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	7	4	7	0	6	0	5	0	14	0	0	0	0	0
LjRoot246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot288	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	3	3	0	1	0	0	0
LjRoot231	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0
