ASVid	Lj_Gifu_LjSC_1_endo	Lj_Gifu_LjSC_1_nod	Lj_Gifu_LjSC_1_rhizo	Lj_Gifu_LjSC_2_endo	Lj_Gifu_LjSC_2_nod	Lj_Gifu_LjSC_2_rhizo	Lj_Gifu_LjSC_3_endo	Lj_Gifu_LjSC_3_nod	Lj_Gifu_LjSC_3_rhizo	Lj_Gifu_LjSC_4_endo	Lj_Gifu_LjSC_4_nod	Lj_Gifu_LjSC_4_rhizo	Lj_ccamk_LjSC_1_endo	Lj_ccamk_LjSC_1_rhizo	Lj_ccamk_LjSC_2_endo	Lj_ccamk_LjSC_2_rhizo	Lj_ccamk_LjSC_3_endo	Lj_ccamk_LjSC_3_rhizo	Lj_ccamk_LjSC_4_endo	Lj_ccamk_LjSC_4_rhizo	Lj_nsp1_LjSC_1_endo	Lj_nsp1_LjSC_1_rhizo	Lj_nsp1_LjSC_2_endo	Lj_nsp1_LjSC_2_rhizo	Lj_nsp1_LjSC_3_endo	Lj_nsp1_LjSC_3_rhizo	Lj_nsp1_LjSC_4_endo	Lj_nsp1_LjSC_4_rhizo	Lj_nsp2_LjSC_1_endo	Lj_nsp2_LjSC_1_rhizo	Lj_nsp2_LjSC_2_endo	Lj_nsp2_LjSC_2_rhizo	Lj_nsp2_LjSC_3_endo	Lj_nsp2_LjSC_3_rhizo	Lj_nsp2_LjSC_4_endo	Lj_nsp2_LjSC_4_rhizo	Lj_symrk_LjSC_1_endo	Lj_symrk_LjSC_1_rhizo	Lj_symrk_LjSC_2_endo	Lj_symrk_LjSC_2_rhizo	Lj_symrk_LjSC_3_endo	Lj_symrk_LjSC_3_rhizo	Lj_symrk_LjSC_4_endo	Lj_symrk_LjSC_4_rhizo
LjRoot285	17	0	0	9	0	0	9	0	5	21	0	12	0	0	0	0	20	6	12	0	16	7	18	0	27	6	0	0	14	0	23	0	26	11	0	10	68	11	15	0	13	5	6	9
LjRoot240	7	0	6	7	0	9	2	0	17	9	0	5	6	6	0	0	15	3	7	4	9	4	19	10	6	8	0	0	29	7	13	5	8	8	8	13	11	10	9	7	7	14	4	7
LjRoot248	9	0	13	22	0	10	5	0	13	10	0	10	7	5	7	4	1	6	0	0	6	1	9	3	15	1	0	8	4	6	17	6	18	9	8	5	10	7	3	4	10	6	4	3
G35_LjRoot145	8	0	0	0	0	0	13	0	0	0	1	0	11	9	19	0	9	13	14	13	3	1	12	5	9	0	0	6	8	3	9	7	0	3	4	6	8	8	6	8	5	12	12	0
LjRoot89	6	0	4	0	0	6	3	0	7	3	0	7	7	11	5	5	5	8	11	27	1	4	3	2	1	0	0	0	12	6	3	6	19	5	0	14	3	3	4	0	8	7	10	7
LjRoot1	9	0	4	6	1	7	7	0	2	6	0	8	10	8	0	4	4	4	3	4	3	10	7	4	6	10	11	4	2	6	5	1	1	6	2	7	6	8	5	7	4	14	3	12
G30_LjRoot2	7	2	6	1	0	2	7	0	4	3	3	5	7	2	2	3	4	8	2	6	1	6	4	5	5	9	10	13	8	9	7	13	4	8	3	4	5	13	6	9	1	3	4	4
LjRoot277	0	0	4	2	0	9	1	0	8	3	0	8	1	1	0	5	0	6	2	2	4	11	0	5	3	10	0	9	1	11	2	6	9	16	2	21	0	10	5	13	2	13	8	7
LjRoot152	2	0	6	0	0	7	0	0	9	2	0	3	9	15	0	5	0	4	4	10	2	17	1	2	0	6	0	0	0	4	0	9	0	4	0	4	1	4	0	1	4	9	15	6
G33_LjRoot104	3	0	0	0	0	3	0	4	6	6	4	0	6	0	6	0	13	12	5	3	4	6	2	3	5	0	0	0	4	3	12	0	10	6	1	3	3	2	8	10	5	0	4	3
G27_LjRoot78	0	0	9	1	0	14	2	0	6	3	4	11	0	2	0	5	1	3	2	3	0	6	4	9	0	8	0	4	1	20	1	10	0	8	0	3	1	3	0	14	1	14	0	4
LjRoot30	8	0	1	9	2	2	1	1	2	3	0	2	9	3	0	1	4	2	0	1	2	6	3	3	0	5	0	4	8	4	3	8	2	3	2	8	4	7	2	2	1	5	2	1
LjRoot295	2	0	1	1	0	1	9	0	1	0	0	2	14	5	4	10	6	6	1	2	2	2	1	1	1	0	0	0	1	2	5	7	3	4	2	4	3	5	2	8	0	6	2	1
LjRoot296	3	0	6	2	0	5	6	0	2	0	3	5	7	1	1	3	1	4	3	4	4	5	0	5	7	9	56	10	2	7	2	4	0	4	1	2	0	5	3	10	1	3	7	2
LjRoot257	8	0	4	14	0	2	0	0	8	0	0	6	7	7	0	0	3	3	0	10	0	0	0	7	0	0	0	0	1	8	0	0	0	2	0	5	0	2	0	4	0	0	12	0
G9_LjRoot131	6	0	7	0	0	0	0	0	0	0	0	0	19	0	0	0	13	0	31	6	1	0	0	0	8	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0
G24_LjRoot12	4	0	1	0	0	4	3	0	3	2	0	4	3	2	0	5	5	9	3	7	0	5	3	0	0	1	0	3	1	5	0	3	0	0	0	4	0	4	2	8	2	10	2	3
LjRoot244	0	0	2	36	1	2	0	0	2	1	0	1	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	1	13	1	0	2	2	5
G15_LjRoot29	3	0	2	2	0	2	0	0	1	0	0	2	0	0	0	1	0	3	0	0	0	9	2	3	0	6	0	4	0	2	3	2	0	2	3	8	1	3	2	3	1	7	1	5
LjRoot230	2	0	0	3	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	6	2	11	0	2	0	1	0	0	4	4	2	11	3	6	0	4	0	2	0	3	0	7
LjRoot258	5	0	0	6	0	0	13	0	0	12	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	8	0	10	0	0	0	0	0
LjRoot8	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	1	0	3	0	6	0	0	0	0	0	1	0	3	0	2	0	2	0	1	0	1	0	0	0	3	7	0
LjRoot220	0	0	0	1	0	0	0	1	1	3	0	1	0	1	0	0	3	0	1	0	6	0	6	3	0	1	0	0	3	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0
G34_LjRoot233	2	0	0	1	0	3	3	0	2	2	0	0	1	0	0	0	1	0	0	0	0	3	2	3	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	3	1	0	0
LjRoot80	0	0	0	0	0	1	0	0	5	0	0	2	0	2	0	3	0	1	0	2	0	0	0	0	0	1	0	3	0	2	0	1	0	0	2	4	0	1	0	1	0	4	1	0
LjRoot247	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	2	0	4	0	3	0	2	2	0	0	1	0	1	0	1	0	1	0	6	0	0	0	0
LjRoot58	0	0	3	2	0	2	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot261	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	2	2	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
G31_LjRoot101	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0
LjRoot28	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2
LjRoot224	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G25_LjRoot27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LjRoot246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LjRoot153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LjRoot231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LjRoot100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
