Sample_ID	Sample_Number	Description	Plant	Genotype	Compartment	Soil	Bio_rep
AM_S_1	217	NPK_Hv_WT_1_rhizosphere	Barley	WT	rhizosphere	NPK	1
AM_S_2	218	NPK_Hv_WT_1_root	Barley	WT	root	NPK	1
AM_S_3	219	NPK_Hv_WT_2_rhizosphere	Barley	WT	rhizosphere	NPK	2
AM_S_4	220	NPK_Hv_WT_2_root	Barley	WT	root	NPK	2
AM_S_5	221	NPK_Hv_WT_3_rhizosphere	Barley	WT	rhizosphere	NPK	3
AM_S_6	222	NPK_Hv_WT_3_root	Barley	WT	root	NPK	3
AM_S_7	223	NPK_Hv_WT_4_rhizosphere	Barley	WT	rhizosphere	NPK	4
AM_S_8	224	NPK_Hv_WT_4_root	Barley	WT	root	NPK	4
AM_S_9	225	NPK_Hv_WT_5_rhizosphere	Barley	WT	rhizosphere	NPK	5
AM_S_10	226	NPK_Hv_WT_5_root	Barley	WT	root	NPK	5
AM_S_11	227	NPK_Hv_WT_6_rhizosphere	Barley	WT	rhizosphere	NPK	6
AM_S_12	228	NPK_Hv_WT_6_root	Barley	WT	root	NPK	6
AM_S_13	229	NPK_Hv_symrk_1_rhizosphere	Barley	symrk	rhizosphere	NPK	1
AM_S_14	230	NPK_Hv_symrk_1_root	Barley	symrk	root	NPK	1
AM_S_15	231	NPK_Hv_symrk_2_rhizosphere	Barley	symrk	rhizosphere	NPK	2
AM_S_16	232	NPK_Hv_symrk_2_root	Barley	symrk	root	NPK	2
AM_S_17	233	NPK_Hv_symrk_3_rhizosphere	Barley	symrk	rhizosphere	NPK	3
AM_S_18	234	NPK_Hv_symrk_3_root	Barley	symrk	root	NPK	3
AM_S_19	235	NPK_Hv_symrk_4_rhizosphere	Barley	symrk	rhizosphere	NPK	4
AM_S_20	236	NPK_Hv_symrk_4_root	Barley	symrk	root	NPK	4
AM_S_21	237	NPK_Hv_symrk_5_rhizosphere	Barley	symrk	rhizosphere	NPK	5
AM_S_22	238	NPK_Hv_symrk_5_root	Barley	symrk	root	NPK	5
AM_S_23	239	NPK_Hv_symrk_6_rhizosphere	Barley	symrk	rhizosphere	NPK	6
AM_S_24	240	NPK_Hv_symrk_6_root	Barley	symrk	root	NPK	6
AM_S_25	241	NPK_Hv_ccamk_1_rhizosphere	Barley	ccamk	rhizosphere	NPK	1
AM_S_26	242	NPK_Hv_ccamk_1_root	Barley	ccamk	root	NPK	1
AM_S_27	243	NPK_Hv_ccamk_2_rhizosphere	Barley	ccamk	rhizosphere	NPK	2
AM_S_28	244	NPK_Hv_ccamk_2_root	Barley	ccamk	root	NPK	2
AM_S_29	245	NPK_Hv_ccamk_3_rhizosphere	Barley	ccamk	rhizosphere	NPK	3
AM_S_30	246	NPK_Hv_ccamk_3_root	Barley	ccamk	root	NPK	3
AM_S_31	247	NPK_Hv_ccamk_4_rhizosphere	Barley	ccamk	rhizosphere	NPK	4
AM_S_32	248	NPK_Hv_ccamk_4_root	Barley	ccamk	root	NPK	4
AM_S_33	249	NPK_Hv_ccamk_5_rhizosphere	Barley	ccamk	rhizosphere	NPK	5
AM_S_34	250	NPK_Hv_ccamk_5_root	Barley	ccamk	root	NPK	5
AM_S_35	251	NPK_Hv_ccamk_6_rhizosphere	Barley	ccamk	rhizosphere	NPK	6
AM_S_36	252	NPK_Hv_ccamk_6_root	Barley	ccamk	root	NPK	6
AM_S_37	253	NPK_Hv_nsp1_1_rhizosphere	Barley	nsp1	rhizosphere	NPK	1
AM_S_38	254	NPK_Hv_nsp1_1_root	Barley	nsp1	root	NPK	1
