Genotype,x,y,SampleID,Compartment,Inoculum,Description,Bio_rep,seg_x,seg_y,Host
ccamk,0.221112452698101,-0.363045544992903,Hv_ccamk_HvSC_only_rhizo_1,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_1,1,-0.00925589684937991,-0.0256807650337717,Hordeum
ccamk,0.0997467532639082,0.124398057698505,Hv_ccamk_HvSC_only_rhizo_2,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_2,2,-0.00925589684937991,-0.0256807650337717,Hordeum
ccamk,-0.0532672865490524,0.00234703769215892,Hv_ccamk_HvSC_only_rhizo_3,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_3,3,-0.00925589684937991,-0.0256807650337717,Hordeum
ccamk,-0.127658626206655,-0.00854154027414728,Hv_ccamk_HvSC_only_rhizo_4,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_4,4,-0.00925589684937991,-0.0256807650337717,Hordeum
ccamk,-0.0896534179238677,0.0979750023682313,Hv_ccamk_HvSC_only_rhizo_5,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_5,5,-0.00925589684937991,-0.0256807650337717,Hordeum
ccamk,-0.105815256378714,-0.0072176026944756,Hv_ccamk_HvSC_only_rhizo_6,Rhizosphere,SC,Hv_ccamk_HvSC_only_rhizo_6,6,-0.00925589684937991,-0.0256807650337717,Hordeum
nsp1,-0.266612421481817,0.00655150713426222,Hv_nsp1_HvSC_only_rhizo_1,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_1,1,-0.114169730927567,0.0256759974538601,Hordeum
nsp1,-0.23947962363644,-0.0600516210953324,Hv_nsp1_HvSC_only_rhizo_2,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_2,2,-0.114169730927567,0.0256759974538601,Hordeum
nsp1,-0.0900543017549684,0.092468092536388,Hv_nsp1_HvSC_only_rhizo_3,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_3,3,-0.114169730927567,0.0256759974538601,Hordeum
nsp1,0.0364798844999774,-0.0171395137198504,Hv_nsp1_HvSC_only_rhizo_4,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_4,4,-0.114169730927567,0.0256759974538601,Hordeum
nsp1,-0.0452175667137317,0.123036699805038,Hv_nsp1_HvSC_only_rhizo_5,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_5,5,-0.114169730927567,0.0256759974538601,Hordeum
nsp1,-0.0801343564784223,0.00919082006265491,Hv_nsp1_HvSC_only_rhizo_6,Rhizosphere,SC,Hv_nsp1_HvSC_only_rhizo_6,6,-0.114169730927567,0.0256759974538601,Hordeum
