"Comparison","diff","lwr","upr","p adj","Order","Compartment"
"nsp2-nsp1",0.000872470075027927,-0.00135288789573891,0.00309782804579476,0.775986602417278,"Sphingomonadales","Root"
"symrk-WT",-0.0135773866297896,-0.0263676308418992,-0.000787142417679933,0.0336562754730771,"Xanthomonadales","Root"
"ccamk-WT",-0.0214187163814303,-0.0342089605935399,-0.00862847216932067,0.000434180929929195,"Xanthomonadales","Root"
"nsp1-WT",-0.0154296504184682,-0.0282198946305778,-0.0026394062063586,0.0126804990501247,"Xanthomonadales","Root"
"nsp2-WT",-0.00162948154023071,-0.0144197257523403,0.0111607626718789,0.995485880640017,"Xanthomonadales","Root"
"ccamk-symrk",-0.00784132975164073,-0.0200363491152022,0.00435368961192075,0.347112318191792,"Xanthomonadales","Root"
"nsp1-symrk",-0.00185226378867866,-0.0140472831522401,0.0103427555748828,0.991164212343139,"Xanthomonadales","Root"
"nsp2-symrk",0.0119479050895588,-0.000247114274002645,0.0241429244531203,0.056788693497352,"Xanthomonadales","Root"
"nsp1-ccamk",0.00598906596296207,-0.00620595340059942,0.0181840853265236,0.604906528351183,"Xanthomonadales","Root"
"nsp2-ccamk",0.0197892348411996,0.00759421547763809,0.0319842542047611,0.000635041838573103,"Xanthomonadales","Root"
"nsp2-nsp1",0.0138001688782375,0.00160514951467602,0.025995188241799,0.0211308206944251,"Xanthomonadales","Root"
"symrk-WT",-0.000500717606326977,-0.0013684327087489,0.000366997496094948,0.455016608566884,"Bacillales","Rhizosphere"
"ccamk-WT",-0.000428593820393837,-0.00129630892281576,0.000439121282028089,0.60227718291816,"Bacillales","Rhizosphere"
"nsp1-WT",-0.000263922809864044,-0.00113163791228597,0.000603792292557882,0.896694557328969,"Bacillales","Rhizosphere"
"nsp2-WT",-0.000509010959740019,-0.00137672606216194,0.000358704142681906,0.43885923146577,"Bacillales","Rhizosphere"
"ccamk-symrk",7.21237859331405e-05,-0.000795591316488785,0.000939838888355066,0.999158608846574,"Bacillales","Rhizosphere"
"nsp1-symrk",0.000236794796462934,-0.000630920305958992,0.00110450989888486,0.927704483718456,"Bacillales","Rhizosphere"
"nsp2-symrk",-8.29335341304182e-06,-0.000876008455834967,0.000859421749008884,0.999999848163755,"Bacillales","Rhizosphere"
"nsp1-ccamk",0.000164671010529793,-0.000703044091892132,0.00103238611295172,0.979977992006586,"Bacillales","Rhizosphere"
"nsp2-ccamk",-8.04171393461823e-05,-0.000948132241768108,0.000787297963075743,0.998709671401977,"Bacillales","Rhizosphere"
"nsp2-nsp1",-0.000245088149875976,-0.0011128032522979,0.00062262695254595,0.918900893997108,"Bacillales","Rhizosphere"
"symrk-WT",-0.0453899632275777,-0.0850847816743489,-0.00569514478080643,0.0193596400168713,"Burkholderiales","Rhizosphere"
"ccamk-WT",-0.0171332437330801,-0.0568280621798514,0.0225615747136911,0.712665614426404,"Burkholderiales","Rhizosphere"
"nsp1-WT",-0.0284775867767088,-0.0681724052234801,0.0112172316700624,0.248498575605557,"Burkholderiales","Rhizosphere"
"nsp2-WT",-0.0491690042508321,-0.0888638226976033,-0.00947418580406082,0.00998707015429479,"Burkholderiales","Rhizosphere"
"ccamk-symrk",0.0282567194944975,-0.0114380989522737,0.0679515379412687,0.255253188758219,"Burkholderiales","Rhizosphere"
"nsp1-symrk",0.0169123764508688,-0.0227824419959024,0.05660719489764,0.722157593912684,"Burkholderiales","Rhizosphere"
"nsp2-symrk",-0.0037790410232544,-0.0434738594700256,0.0359157774235168,0.998566318117864,"Burkholderiales","Rhizosphere"
"nsp1-ccamk",-0.0113443430436287,-0.0510391614903999,0.0283504754031425,0.915686676496964,"Burkholderiales","Rhizosphere"
"nsp2-ccamk",-0.0320357605177519,-0.0717305789645231,0.00765905792901932,0.156797383959189,"Burkholderiales","Rhizosphere"
"nsp2-nsp1",-0.0206914174741232,-0.0603862359208944,0.019003400972648,0.553033895632544,"Burkholderiales","Rhizosphere"
"symrk-WT",-0.0681853017915654,-0.161282162351146,0.0249115587680155,0.230919275869554,"Caulobacterales","Rhizosphere"
"ccamk-WT",-0.00555595032355136,-0.0986528108831323,0.0875409102360296,0.999772891200614,"Caulobacterales","Rhizosphere"
"nsp1-WT",-0.0594416614594813,-0.152538522019062,0.0336551991000996,0.355884053581922,"Caulobacterales","Rhizosphere"
"nsp2-WT",0.00145234209970274,-0.0916445184598782,0.0945492026592837,0.999998923061882,"Caulobacterales","Rhizosphere"
"ccamk-symrk",0.062629351468014,-0.0304675090915669,0.155726212027595,0.306281121213794,"Caulobacterales","Rhizosphere"
"nsp1-symrk",0.00874364033208405,-0.0843532202274969,0.101840500891665,0.998640504827664,"Caulobacterales","Rhizosphere"
"nsp2-symrk",0.0696376438912681,-0.0234592166683128,0.162734504450849,0.213605858482372,"Caulobacterales","Rhizosphere"
"nsp1-ccamk",-0.05388571113593,-0.146982571695511,0.0392111494236509,0.45202314554114,"Caulobacterales","Rhizosphere"
"nsp2-ccamk",0.0070082924232541,-0.0860885681363268,0.100105152982835,0.999430620475238,"Caulobacterales","Rhizosphere"
"nsp2-nsp1",0.0608940035591841,-0.0322028570003969,0.153990864118765,0.332733603300726,"Caulobacterales","Rhizosphere"
"symrk-WT",0.000249959574490281,-0.00231725618734558,0.00281717533632614,0.998434493006165,"Corynebacteriales","Rhizosphere"
"ccamk-WT",0.00259468177460999,2.74660127741275e-05,0.00516189753644585,0.0466991648646365,"Corynebacteriales","Rhizosphere"
"nsp1-WT",0.00109728299143454,-0.00146993277040132,0.00366449875327041,0.71984331159441,"Corynebacteriales","Rhizosphere"
"nsp2-WT",0.000392847022924702,-0.00217436873891116,0.00296006278476056,0.991039804930001,"Corynebacteriales","Rhizosphere"
"ccamk-symrk",0.00234472220011971,-0.000222493561716154,0.00491193796195557,0.0854326629153814,"Corynebacteriales","Rhizosphere"
"nsp1-symrk",0.000847323416944263,-0.0017198923448916,0.00341453917878013,0.866275158578655,"Corynebacteriales","Rhizosphere"
"nsp2-symrk",0.00014288744843442,-0.00242432831340144,0.00271010321027028,0.999827811384061,"Corynebacteriales","Rhizosphere"
"nsp1-ccamk",-0.00149739878317545,-0.00406461454501131,0.00106981697866042,0.444467508777243,"Corynebacteriales","Rhizosphere"
"nsp2-ccamk",-0.00220183475168529,-0.00476905051352115,0.000365381010150574,0.118305168303999,"Corynebacteriales","Rhizosphere"
"nsp2-nsp1",-0.000704435968509843,-0.00327165173034571,0.00186277979332602,0.926360394678887,"Corynebacteriales","Rhizosphere"
"symrk-WT",0.084753431336463,-0.0565489352571353,0.226055797930061,0.416965765918992,"Enterobacterales","Rhizosphere"
"ccamk-WT",0.0196305181467359,-0.121671848446862,0.160932884740334,0.99379766762935,"Enterobacterales","Rhizosphere"
"nsp1-WT",0.135216975753205,-0.00608539084039306,0.276519342346803,0.0655158797701775,"Enterobacterales","Rhizosphere"
"nsp2-WT",0.126319318299307,-0.0149830482942917,0.267621684892905,0.0958495436076552,"Enterobacterales","Rhizosphere"
"ccamk-symrk",-0.0651229131897271,-0.206425279783325,0.0761794534038712,0.661551705262141,"Enterobacterales","Rhizosphere"
"nsp1-symrk",0.0504635444167422,-0.0908388221768561,0.19176591101034,0.830185833909629,"Enterobacterales","Rhizosphere"
"nsp2-symrk",0.0415658869628436,-0.0997364796307547,0.182868253556442,0.90730040247608,"Enterobacterales","Rhizosphere"
"nsp1-ccamk",0.115586457606469,-0.025715908987129,0.256888824200068,0.147706557167798,"Enterobacterales","Rhizosphere"
"nsp2-ccamk",0.106688800152571,-0.0346135664410276,0.247991166746169,0.206128828375309,"Enterobacterales","Rhizosphere"
"nsp2-nsp1",-0.00889765745389862,-0.150200024047497,0.1324047091397,0.999719048781061,"Enterobacterales","Rhizosphere"
"symrk-WT",0.00107154400238585,-0.00583494879438697,0.00797803679915868,0.990559635243243,"Micrococcales","Rhizosphere"
"ccamk-WT",0.00652129019542279,-0.000385202601350034,0.0134277829921956,0.0708483038628953,"Micrococcales","Rhizosphere"
"nsp1-WT",0.00954923604745516,0.00264274325068233,0.016455728844228,0.00354959724245463,"Micrococcales","Rhizosphere"
"nsp2-WT",0.00216968065097533,-0.0047368121457975,0.00907617344774815,0.885453085859129,"Micrococcales","Rhizosphere"
"ccamk-symrk",0.00544974619303694,-0.00145674660373589,0.0123562389898098,0.17267187156072,"Micrococcales","Rhizosphere"
"nsp1-symrk",0.00847769204506931,0.00157119924829648,0.0153841848418421,0.0108058492508702,"Micrococcales","Rhizosphere"
"nsp2-symrk",0.00109813664858947,-0.00580835614818335,0.0080046294453623,0.989644115443227,"Micrococcales","Rhizosphere"
"nsp1-ccamk",0.00302794585203237,-0.00387854694474046,0.0099344386488052,0.700959510304988,"Micrococcales","Rhizosphere"
"nsp2-ccamk",-0.00435160954444747,-0.0112581023412203,0.00255488325232536,0.368742750834457,"Micrococcales","Rhizosphere"
"nsp2-nsp1",-0.00737955539647984,-0.0142860481932527,-0.000473062599707008,0.0320564528953429,"Micrococcales","Rhizosphere"
"symrk-WT",-0.000262830982743577,-0.00107465652948,0.000548994563992848,0.874060390090069,"Propionibacteriales","Rhizosphere"
"ccamk-WT",0.000224210040696602,-0.000587615506039823,0.00103603558743303,0.924745732819179,"Propionibacteriales","Rhizosphere"
"nsp1-WT",7.00578455078339e-05,-0.000741767701228591,0.000881883392244259,0.999024817721153,"Propionibacteriales","Rhizosphere"
"nsp2-WT",-0.000470871330966116,-0.00128269687770254,0.000340954215770309,0.449983645450573,"Propionibacteriales","Rhizosphere"
"ccamk-symrk",0.000487041023440179,-0.000324784523296246,0.0012988665701766,0.416750553980933,"Propionibacteriales","Rhizosphere"
"nsp1-symrk",0.000332888828251411,-0.000478936718485014,0.00114471437498784,0.748941720926619,"Propionibacteriales","Rhizosphere"
"nsp2-symrk",-0.00020804034822254,-0.00101986589495896,0.000603785198513886,0.941601132369933,"Propionibacteriales","Rhizosphere"
"nsp1-ccamk",-0.000154152195188768,-0.000965977741925193,0.000657673351547657,0.979936081321704,"Propionibacteriales","Rhizosphere"
"nsp2-ccamk",-0.000695081371662719,-0.00150690691839914,0.000116744175073707,0.11930673761252,"Propionibacteriales","Rhizosphere"
"nsp2-nsp1",-0.00054092917647395,-0.00135275472321038,0.000270896370262475,0.315241404188185,"Propionibacteriales","Rhizosphere"
"symrk-WT",0.212222524419081,0.00275842787446229,0.4216866209637,0.0459656677756868,"Pseudomonadales","Rhizosphere"
"ccamk-WT",0.203785219806578,-0.00567887673804091,0.413249316351197,0.0593267247411193,"Pseudomonadales","Rhizosphere"
"nsp1-WT",0.160060245305064,-0.0494038512395548,0.369524341849683,0.196735477080493,"Pseudomonadales","Rhizosphere"
"nsp2-WT",0.0951613410465769,-0.114302755498042,0.304625437591196,0.673176772941791,"Pseudomonadales","Rhizosphere"
"ccamk-symrk",-0.00843730461250319,-0.217901401157122,0.201026791932116,0.999952440418097,"Pseudomonadales","Rhizosphere"
"nsp1-symrk",-0.0521622791140171,-0.261626375658636,0.157301817430602,0.947086458702584,"Pseudomonadales","Rhizosphere"
"nsp2-symrk",-0.117061183372504,-0.326525279917123,0.0924029131721146,0.486372230053178,"Pseudomonadales","Rhizosphere"
"nsp1-ccamk",-0.0437249745015139,-0.253189071046133,0.165739122043105,0.971663160089372,"Pseudomonadales","Rhizosphere"
"nsp2-ccamk",-0.108623878760001,-0.31808797530462,0.100840217784618,0.557853266516032,"Pseudomonadales","Rhizosphere"
"nsp2-nsp1",-0.064898904258487,-0.274363000803106,0.144565192286132,0.890388233647226,"Pseudomonadales","Rhizosphere"
"symrk-WT",-0.0673589867777132,-0.118494981024647,-0.0162229925307793,0.00570182293335419,"Rhizobiales","Rhizosphere"
"ccamk-WT",-0.0330926659792959,-0.0842286602262298,0.018043328267638,0.342925302167582,"Rhizobiales","Rhizosphere"
"nsp1-WT",-0.0569524909773821,-0.108088485224316,-0.00581649673044825,0.0236921509657724,"Rhizobiales","Rhizosphere"
"nsp2-WT",-0.0619811787105619,-0.113117172957496,-0.010845184463628,0.0120404476208786,"Rhizobiales","Rhizosphere"
"ccamk-symrk",0.0342663207984173,-0.0168696734485166,0.0854023150453511,0.309933607969841,"Rhizobiales","Rhizosphere"
