"","Soil","Mean","Max","Min","Median","Std","Letters","y_position","Compartment"
"1","NPK",1527.79006027494,2080.72727272727,1331.525,1401.87711864407,314.82462357708,"a",2205.72727272727,"Rhizosphere"
"2","PK",1414.09439240048,1808.93037974684,1056.41666666667,1370.68545895852,263.093571360969,"a",1933.93037974684,"Rhizosphere"
"3","UF",1316.03593189921,1440.40316205534,1105.29743589744,1355.83250420404,135.101509720003,"a",1565.40316205534,"Rhizosphere"
"4","NPK",569.204753516917,748.611650485437,358.651162790698,580.620958751394,135.850725393604,"a",873.611650485437,"Root"
"5","PK",483.593687674214,687.761904761905,79,578.019956002514,245.315088822651,"a",812.761904761905,"Root"
"6","UF",626.158797512832,694.244897959184,521.5,632.818704197202,58.6321802685595,"a",819.244897959184,"Root"
