"","Soil","MaxValue","Letters","y_position","Compartment","ANOVA_sig"
"1","NPK",981.462121212121,"c",1000,"Rhizosphere","***"
"2","PK",686.189189189189,"a",715.453052825553,"Rhizosphere","***"
"3","UF",426.693548387097,"b",455.95741202346,"Rhizosphere","***"
"4","NPK",305.763157894737,"ab",335.0270215311,"Root","*"
"5","PK",664.578947368421,"a",693.842811004785,"Root","*"
"6","UF",361.125,"b",390.388863636364,"Root","*"
"7","NPK",55.5,"a",84.7638636363636,"Nodules",""
"8","PK",23,"a",52.2638636363636,"Nodules",""
"9","UF",74,"a",103.263863636364,"Nodules",""
