structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	1	0,050	0,136	-119,701		15,100	C9H18O2	[M - H]-	C9H17O2-	HWXRWNDOEKHFTL	InChI=1S/C9H18O2/c1-3-5-7-8(6-4-2)9(10)11/h8H,3-7H2,1-2H3,(H,10,11)	2-Propylhexanoic Acid-d7	CCCCC(CCC)C(=O)O	2,935	59360160;59360161;59360162;92169694;19080626;71751848;59815865;18647	PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(18647);PUBCHEM:(59360160 59360161 59360162 92169694 19080626 71751848 59815865 18647);DSSTox:(DTXSID20875838 DTXSID30964868)	137510256642	157,123	884	14,734	650282635193503916	650277883746828562	242	
1	1	0,173	0,173	-175,283		55,513	C10H19NO4	[M - H]-	C10H18NO4-	OZELAETXNOXZOK	InChI=1S/C10H19NO4/c11-8(10(14)15)6-4-2-1-3-5-7-9(12)13/h8H,1-7,11H2,(H,12,13)(H,14,15)	2-aminodecanedioic acid	C(CCCC(C(=O)O)N)CCCC(=O)O	0,922	153761369;1763887;1763888;1763889;1763890;3762849	COCONUT:(CNP0380696);SUPERNATURAL:(SN0279047);PUBCHEM:(153761369 1763887 1763888 1763889 1763890 3762849);PUBMED:(null)	3145794	216,124	884	14,736	650282640910341906	650277899819403404	635	
1	2	0,050	0,050	-153,392		82,889	C9H16N6O2	[M - H]-	C9H15N6O2-	ZPAUMALGOHNKPT	InChI=1S/C9H16N6O2/c1-9(2,3)13-5(16)4-11-7(17)6-12-8(10)15-14-6/h4H2,1-3H3,(H,11,17)(H,13,16)(H3,10,12,14,15)	3-amino-N-[2-(tert-butylamino)-2-oxoethyl]-1H-1,2,4-triazole-5-carboxamide	CC(C)(C)NC(=O)CNC(=O)C1=NC(=NN1)N	-0,400	62805942	PUBCHEM:(62805942)	2	239,127	885	14,744	650282643036854627	650277905548823342	771	
1	1	0,300	0,300	-184,421		57,719	C24H45NO6	[M - H]-	C24H44NO6-	HVNBNFVCWQIXMI	InChI=1S/C24H45NO6/c1-25(2,3)20-21(19-23(28)29)31-24(30)18-16-14-12-10-8-6-4-5-7-9-11-13-15-17-22(26)27/h21H,4-20H2,1-3H3,(H-,26,27,28,29)/p+1	16-Carboxy-hexadecanoyl-carnitine	C[N+](C)(C)CC(CC(=O)O)OC(=O)CCCCCCCCCCCCCCCC(=O)O	5,800	145720511;145720512	PUBCHEM:(145720511 145720512)	2	442,316	885	14,756	650282642193799356	650277983441248328	1843	
1	1	0,099	0,099	-318,215		48,429	C16H29NO2	[M - H]-	C16H28NO2-	LWBAYRVWDMTLKC	InChI=1S/C16H29NO2/c1-14-8-5-6-11-17(14)12-7-13-19-16(18)15-9-3-2-4-10-15/h14-15H,2-13H2,1H3	3-(2-Methylpiperidin-1-yl)propyl cyclohexanecarboxylate	CC1CCCCN1CCCOC(=O)C2CCCCC2	3,900	115672	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(115672);DSSTox:(DTXSID20981943)	137506062338	266,213	886	14,773	650282642147662000	650277913195040378	941	
1	1	0,008	0,015	-194,290		143,712	C18H31NO4	[M - H]-	C18H30NO4-	URRNFVDDJZKQGD	InChI=1S/C18H31NO4/c1-2-3-4-5-6-8-11-14-17(19(22)23)15-12-9-7-10-13-16-18(20)21/h8,11,14H,2-7,9-10,12-13,15-16H2,1H3,(H,20,21)	9-Nitrooctadeca-9,11-dienoic acid	CCCCCCC=CC=C(CCCCCCCC(=O)O)[N+](=O)[O-]	6,300	118701777;102125744;142734394	LIPIDMAPS:(LMFA01120005);PUBCHEM:(118701777 102125744 142734394)	2147483650	324,218	888	14,794	650282647277296285	650277950771812232	1404	
1	1	0,109	0,109	-256,606		72,549	C17H31NO2	[M - H]-	C17H30NO2-	YJLRGSXYXOQIGX	InChI=1S/C17H31NO2/c1-14(2)8-6-9-15(3)11-12-16(17(19)20)10-7-13-18(4)5/h8,11,16H,6-7,9-10,12-13H2,1-5H3,(H,19,20)	5,9-Dimethyl-2-(3-(dimethylamino)propyl)-4,8-decadienoic acid	CC(=CCCC(=CCC(CCCN(C)C)C(=O)O)C)C	2,000	6366129;3021177	PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);PUBCHEM:(6366129 3021177)	67108866	280,228	888	14,800	650282648032271070	650277920069505112	1035	
1	1	0,101	0,134	-83,897		23,756	C9H10O2	[M - H]-	C9H9O2-	FHEHIXJLCWUPCZ	InChI=1S/C9H10O2/c1-2-3-7-4-5-8(10)9(11)6-7/h2,4-6,10-11H,1,3H2	Hydroxychavicol	C=CCC1=CC(=C(C=C1)O)O	2,069	70775	PUBCHEMANNOTATIONBIO;COCONUT:(CNP0278721);NORMAN:(NS00115963);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(70775);SUPERNATURAL:(SN0085605);MESH:(70775);PUBCHEM:(70775);DSSTox:(DTXSID20150112);LOTUS:(Q72437390);PUBCHEMANNOTATIONDRUG;PUBMED;KNAPSACK:(FHEHIXJLCWUPCZ-UHFFFAOYSA-N)	137832431702	149,061	890	14,830	650282657083579871	650277881280577590	198	
1	2	0,077	0,077	-273,433		117,492	C16H36N2O7P2	[M - H]-	C16H35N2O7P2-	FRHJWJLPHYCTOK	InChI=1S/C16H36N2O7P2/c1-8-22-26(20,23-9-2)15(13(5)6)12-16(18-17-14(7)19)27(21,24-10-3)25-11-4/h13,15-16,18H,8-12H2,1-7H3,(H,17,19)	N'-[1,3-bis(diethoxyphosphoryl)-4-methylpentyl]acetohydrazide	CCOP(=O)(C(CC(NNC(=O)C)P(=O)(OCC)OCC)C(C)C)OCC	1,200	135009228	PUBCHEM:(135009228)	2	429,191	890	14,833	650282658488672046	650277982744993794	1829	
1	1	0,009	0,009	-324,917		95,051	C12H22N3O2	[M - H]-	C12H21N3O2-	ZGRKIYLQZORBQZ	InChI=1S/C12H22N3O2/c1-11(2)8-9(12(3,4)15(11)17)10(16)14-7-5-6-13/h8H,5-7,13H2,1-4H3,(H,14,16)		CC1(C=C(C(N1[O])(C)C)C(=O)NCCCN)C	-0,400	10586139	PUBCHEM:(10586139);PUBMED	66	239,165	890	14,841	650282657381375579	650277905695624002	775	
